action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,127,1,2,26,14,14,127,,,,,,683,,683,15,13,,642,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,26,,0.710385,"[{'action_type': 'outbound_click', 'value': '0.710385'}]",0.710385,1.319286,0.145433,,0.027042,0.027042,1.231333,,0.028769,0.710385,10.335758,10.405634,1.454952,2025-12-02,2025-12-02,1.006761,1787,1.454952,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '1.454952'}]",facebook,1775,18.47,82,3,76,618,291,177
,,,1,,,,,,,,,,31,,31,1,,,30,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,1,,,,,,,,0.040323,0.040323,1.25,,0.041667,1.25,15.822785,15.822785,1.265823,2025-12-02,2025-12-02,1,79,,,,,instagram,79,1.25,2,3,2,28,7,2
,,,,,,,,,,,,,4,,4,,,,4,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.015,0.015,,,0.015,,12,12,0,2025-12-02,2025-12-02,1,5,,,,,threads,5,0.06,,5,,4,2,1
,518,2,1,111,53,53,518,,,1,1,,4192,2,4192,18,14,,4063,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,109,"[{'action_type': 'subscribe_mobile_app', 'value': '76.47'}, {'action_type': 'subscribe_total', 'value': '76.47'}, {'action_type': 'start_trial_mobile_app', 'value': '76.47'}, {'action_type': 'start_trial_total', 'value': '76.47'}]",0.688919,"[{'action_type': 'outbound_click', 'value': '0.688919'}]",0.688919,1.44283,0.147625,,0.018242,0.018242,4.248333,,0.018821,0.70156,8.919865,8.986955,1.271434,2025-12-02,2025-12-02,1.007521,8573,1.294763,111,"[{'action_type': 'outbound_click', 'value': '111'}]","[{'action_type': 'outbound_click', 'value': '1.294763'}]",facebook,8509,76.47,332,4,301,3876,1721,906
,22,,,11,2,2,22,,,1,1,,248,,248,1,,,236,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,11,,0.550909,"[{'action_type': 'outbound_click', 'value': '0.550909'}]",0.550909,3.03,0.275455,,0.024435,0.024435,6.06,,0.025678,0.550909,12.704403,12.757895,2.30608,2025-12-02,2025-12-02,1.004211,477,2.30608,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '2.30608'}]",instagram,475,6.06,25,4,25,224,95,62
,,,,,,,,,,,,,3,,3,,,,3,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.036667,0.036667,,,0.036667,,8.461538,8.461538,0,2025-12-02,2025-12-02,1,13,,,,,threads,13,0.11,,3,,3,2,1
,,,,,,,,,,,,,1,,1,,,,1,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.07,0.07,,,0.07,,35,35,0,2025-12-02,2025-12-02,1,2,,,,,facebook,2,0.07,,4,,2,,
,,,,,,,,,,,,,4,,4,,,,4,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.0225,0.0225,,,0.0225,,18,18,0,2025-12-02,2025-12-02,1,5,,,,,audience_network,5,0.09,1,8,1,4,3,3
,3,,,4,1,1,3,,,,,,171,,171,1,1,,166,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,3.3375,"[{'action_type': 'outbound_click', 'value': '3.3375'}]",3.3375,13.35,4.45,,0.07807,0.07807,13.35,,0.080422,3.3375,36.081081,36.081081,1.081081,2025-12-02,2025-12-02,1,370,1.081081,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.081081'}]",facebook,370,13.35,32,4,32,156,86,57
,1,,,,,,1,,,,,,25,,25,,,,25,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,5.33,,0.2132,0.2132,,,0.2132,,48.899083,49.813084,0,2025-12-02,2025-12-02,1.018692,109,,,,,instagram,107,5.33,1,2,1,24,9,2
