action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,1,,,,,,,,,,15,1,15,2,,,13,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.034667,0.034667,0.26,,0.04,,12.093023,12.093023,0,2025-12-03,2025-12-03,1,female,43,,,,,43,0.52,2,3,2,13,7,3
,29,,,5,1,1,29,,,,,,198,1,198,3,2,,190,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,5,,0.918,"[{'action_type': 'outbound_click', 'value': '0.918'}]",0.918,4.59,0.158276,,0.023182,0.023182,1.53,,0.024158,0.918,9.978261,10.245536,1.086957,2025-12-03,2025-12-03,1.026786,male,460,1.086957,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.086957'}]",448,4.59,22,4,22,177,79,52
,,,,,,,,,,,,,,,,,,,,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,5,5,0,2025-12-03,2025-12-03,1,unknown,4,,,,,4,0.02,,1,,,,
,4,,,7,1,1,4,,,,,,239,,239,,,,232,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,7,,0.804286,"[{'action_type': 'outbound_click', 'value': '0.804286'}]",0.804286,5.63,1.4075,,0.023556,0.023556,,,0.024267,0.804286,10.543071,10.642722,1.310861,2025-12-03,2025-12-03,1.009452,female,534,1.310861,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.310861'}]",529,5.63,18,4,14,217,94,55
,473,3,1,123,60,60,473,,,1,1,,4564,,4564,22,20,,4419,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,124,,0.665935,"[{'action_type': 'outbound_click', 'value': '0.665935'}]",0.665935,1.365167,0.173171,,0.017947,0.017947,3.723182,,0.018536,0.660565,8.625737,9.022913,1.305813,2025-12-03,2025-12-03,1.046045,male,9496,1.295282,123,"[{'action_type': 'outbound_click', 'value': '123'}]","[{'action_type': 'outbound_click', 'value': '1.295282'}]",9078,81.91,388,4,348,4229,1824,1009
,,,,,,,,,,,,,48,,48,,,,48,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.020833,0.020833,,,0.020833,,10,10.10101,0,2025-12-03,2025-12-03,1.010101,unknown,100,,,,,99,1,4,4,3,45,18,9
,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,6.666667,6.666667,0,2025-12-03,2025-12-03,1,male,3,,,,,3,0.02,1,4,1,1,1,1
,,,,,,,,,,,,,6,,6,,,,6,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.048333,0.048333,,,0.048333,,29,29,0,2025-12-03,2025-12-03,1,female,10,,,,,10,0.29,1,4,1,6,2,1
,3,,,2,,,3,,,,,,72,,72,,,,70,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,3.125,"[{'action_type': 'outbound_click', 'value': '3.125'}]",3.125,,2.083333,,0.086806,0.086806,,,0.089286,3.125,32.722513,34.153005,1.04712,2025-12-03,2025-12-03,1.043716,male,191,1.04712,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.04712'}]",183,6.25,18,4,18,66,35,24
,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-03,2025-12-03,1,unknown,1,,,,,1,0.01,,1,,,,
