action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,23,,23,,,,23,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.051739,0.051739,,,0.051739,,21.25,21.636364,0,2025-12-12,2025-12-12,UNKNOWN,1.018182,56,,,,,UNKNOWN,55,1.19,,3,,18,4,2
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.06,,5,,1,1,
,3,,,,,,3,,,,,,,,,,,,,,,,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,,,,1,,,,,,,,,,,,14,,14,,,,13,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.4,"[{'action_type': 'outbound_click', 'value': '0.4'}]",0.4,,,,0.028571,0.028571,,,0.030769,0.4,12.121212,12.903226,3.030303,2025-12-12,2025-12-12,UNKNOWN,1.064516,33,3.030303,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.030303'}]",UNKNOWN,31,0.4,2,5,2,13,7,6
,,,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,1,,,,
,393,2,1,118,38,38,393,,,,18,,,2,,3372,3,3372,24,20,,3230,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,125,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '10.187692'}, {'action_type': 'subscribe_total', 'value': '10.187692'}, {'action_type': 'start_trial_mobile_app', 'value': '8.2775'}, {'action_type': 'start_trial_total', 'value': '8.2775'}]",1.122373,"[{'action_type': 'outbound_click', 'value': '1.122373'}]",1.122373,3.485263,0.336997,,0.039276,0.039276,5.518333,,0.041003,1.05952,14.561847,15.362487,1.374382,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.054982,9095,1.297416,118,"[{'action_type': 'outbound_click', 'value': '118'}]","[{'action_type': 'outbound_click', 'value': '1.297416'}]",AVERAGE,8621,132.44,268,4,257,2828,1446,853
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.09,0.09,,,0.09,,22.5,22.5,0,2025-12-12,2025-12-12,UNKNOWN,1,4,,,,,UNKNOWN,4,0.09,,3,,1,,
,9,,,,,,9,,,,,,,,,,,,,,,,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,0.005556,,,,,,,,12.5,12.5,0,2025-12-12,2025-12-12,UNKNOWN,1,4,,,,,UNKNOWN,4,0.05,,1,,,,
,707,,1,117,56,56,707,,,,20,,,,,2480,2,2480,23,20,,2340,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,119,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '8.430667'}, {'action_type': 'subscribe_total', 'value': '8.430667'}, {'action_type': 'start_trial_mobile_app', 'value': '7.90375'}, {'action_type': 'start_trial_total', 'value': '7.90375'}]",1.080855,"[{'action_type': 'outbound_click', 'value': '1.080855'}]",1.080855,2.258214,0.178868,,0.050992,0.050992,5.498261,,0.054043,1.062689,16.888355,17.610361,1.589209,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.042752,7488,1.5625,117,"[{'action_type': 'outbound_click', 'value': '117'}]","[{'action_type': 'outbound_click', 'value': '1.5625'}]",AVERAGE,7181,126.46,214,3,205,1991,986,544
,73,,,12,9,9,73,,,,1,,,,,186,,186,1,1,,173,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,12,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '4.285'}, {'action_type': 'subscribe_total', 'value': '4.285'}, {'action_type': 'start_trial_mobile_app', 'value': '4.285'}, {'action_type': 'start_trial_total', 'value': '4.285'}]",0.714167,"[{'action_type': 'outbound_click', 'value': '0.714167'}]",0.714167,0.952222,0.117397,,0.046075,0.046075,8.57,,0.049538,0.714167,18.71179,18.71179,2.620087,2025-12-12,2025-12-12,UNKNOWN,1,458,2.620087,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '2.620087'}]",UNKNOWN,458,8.57,18,4,17,158,78,53
