action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,203,1,1,37,13,13,203,,,,8,,,,,1153,,1153,9,8,,1107,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,39,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '36.8'}, {'action_type': 'subscribe_total', 'value': '36.8'}, {'action_type': 'start_trial_mobile_app', 'value': '24.533333'}, {'action_type': 'start_trial_total', 'value': '24.533333'}]",1.989189,"[{'action_type': 'outbound_click', 'value': '1.989189'}]",1.989189,5.661538,0.362562,,0.063833,0.063833,8.177778,,0.066486,1.887179,28.406021,29.44,1.50521,2025-12-12,2025-12-12,AVERAGE,1.0364,2591,1.42802,37,"[{'action_type': 'outbound_click', 'value': '37'}]","[{'action_type': 'outbound_click', 'value': '1.42802'}]",BELOW_AVERAGE_35,2500,73.6,104,5,102,983,566,366
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999337584,01_black4_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.25,0.25,,,0.25,,125,125,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.25,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,12.5,12.5,0,2025-12-12,2025-12-12,UNKNOWN,1,4,,,,,UNKNOWN,4,0.05,,1,,,,
,147,,,14,4,4,147,,,,4,,,1,,378,,378,5,5,,359,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,14,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '5.2925'}, {'action_type': 'subscribe_total', 'value': '5.2925'}, {'action_type': 'start_trial_mobile_app', 'value': '5.2925'}, {'action_type': 'start_trial_total', 'value': '5.2925'}]",1.512143,"[{'action_type': 'outbound_click', 'value': '1.512143'}]",1.512143,5.2925,0.144014,,0.056005,0.056005,4.234,,0.058969,1.512143,27.529259,28.264352,1.820546,2025-12-12,2025-12-12,AVERAGE,1.026702,769,1.820546,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.820546'}]",AVERAGE,749,21.17,47,5,44,326,181,147
,1,,,,,,1,,,,,,,,,,,,,,,,,6922611488184,01_Cristiano_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,,6922614475984,02_Eddie_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,,6922615092384,03_Gael_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,32,,,,,,32,,,,,,,,,,,,,,,,,6922617151984,05_Jesus_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,,6922617314184,06_LioneM_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,,6922617563384,07_Morgan_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,,6922618733184,08_Neymar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,,6922620236784,11_Timmy_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,3,,,,,,3,,,,,,,,,,,,,,,,,6922620509184,12_Tyson_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6924668031984,01 Morgan_Gasstation_gthang,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,1,,,,
,268,1,,52,27,27,268,,,,28,2,2,1,,2030,2,2030,33,29,,1945,,6924679041584,12_prerna_noendcardaudio,6924675697784,FB_iOS_Rap_StartTrial_winnersnomusic_091225,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,78,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '23.4025'}, {'action_type': 'subscribe_total', 'value': '23.4025'}, {'action_type': 'start_trial_mobile_app', 'value': '18.722'}, {'action_type': 'start_trial_total', 'value': '18.722'}]",1.800192,"[{'action_type': 'outbound_click', 'value': '1.800192'}]",1.800192,3.467037,0.349291,,0.046113,0.046113,2.836667,,0.048129,1.200128,16.51844,16.769975,1.37639,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.015228,5667,0.917593,52,"[{'action_type': 'outbound_click', 'value': '52'}]","[{'action_type': 'outbound_click', 'value': '0.917593'}]",AVERAGE,5582,93.61,146,4,141,1749,845,504
,46,,,6,4,4,46,,,,,,,,,108,,108,,,,102,,6924697559784,02 Morgan_Gasstation_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,7,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '3.095'}, {'action_type': 'subscribe_total', 'value': '3.095'}, {'action_type': 'start_trial_mobile_app', 'value': '3.095'}, {'action_type': 'start_trial_total', 'value': '3.095'}]",1.031667,"[{'action_type': 'outbound_click', 'value': '1.031667'}]",1.031667,1.5475,0.134565,,0.057315,0.057315,,,0.060686,0.884286,16.820652,17.43662,1.902174,2025-12-12,2025-12-12,UNKNOWN,1.03662,368,1.630435,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.630435'}]",UNKNOWN,355,6.19,12,3,12,84,38,23
,,,,,,,,,,,,,,,,2,,2,,,,2,,6924698562784,03 Morgan_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,0.065,0.065,,,0.065,,13,14.444444,0,2025-12-12,2025-12-12,UNKNOWN,1.111111,10,,,,,UNKNOWN,9,0.13,,2,,1,1,1
,34,,,16,3,3,34,,,,3,1,1,,,611,,611,4,3,,591,,6924706270984,05 Eddie_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,19,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '34.96'}, {'action_type': 'subscribe_total', 'value': '34.96'}, {'action_type': 'start_trial_mobile_app', 'value': '34.96'}, {'action_type': 'start_trial_total', 'value': '34.96'}]",2.185,"[{'action_type': 'outbound_click', 'value': '2.185'}]",2.185,11.653333,1.028235,,0.057218,0.057218,8.74,,0.059154,1.84,18.477801,19.357697,1.004228,2025-12-12,2025-12-12,AVERAGE,1.047619,1892,0.845666,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '0.845666'}]",AVERAGE,1806,34.96,62,3,61,528,239,130
,,,,1,,,,,,,,,,,,46,,46,,,,45,,6924706727584,06 Eddie_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,1,UNKNOWN,,1.95,"[{'action_type': 'outbound_click', 'value': '1.95'}]",1.95,,,,0.042391,0.042391,,,0.043333,1.95,14.130435,14.444444,0.724638,2025-12-12,2025-12-12,UNKNOWN,1.022222,138,0.724638,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.724638'}]",UNKNOWN,135,1.95,4,4,4,41,19,14
,111,,,19,7,7,111,,,,2,,,,,376,,376,2,2,,355,,6924707290984,07 Mike_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,24,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '10.923333'}, {'action_type': 'subscribe_total', 'value': '10.923333'}, {'action_type': 'start_trial_mobile_app', 'value': '8.1925'}, {'action_type': 'start_trial_total', 'value': '8.1925'}]",1.724737,"[{'action_type': 'outbound_click', 'value': '1.724737'}]",1.724737,4.681429,0.295225,,0.087154,0.087154,16.385,,0.09231,1.365417,19.575866,20.740506,1.433692,2025-12-12,2025-12-12,AVERAGE,1.059494,1674,1.135006,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '1.135006'}]",AVERAGE,1580,32.77,40,5,39,306,147,92
,,,,1,,,,,,,,,,,,47,,47,,,,46,,6924708193184,08 Mike_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,1,UNKNOWN,,3.5,"[{'action_type': 'outbound_click', 'value': '3.5'}]",3.5,,,,0.074468,0.074468,,,0.076087,3.5,17.5,18.229167,0.5,2025-12-12,2025-12-12,UNKNOWN,1.041667,200,0.5,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.5'}]",UNKNOWN,192,3.5,4,2,4,38,14,9
,,,,,,,,,,,,,,,,,,,,,,,,6924708943784,01 Morgan_dropit,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,1,,,,
1,227,2,2,68,17,17,227,1,1,,42,,,,1,1933,10,1933,54,42,1,1811,1,6924712553784,01 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,97,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '14.64'}, {'action_type': 'subscribe_total', 'value': '14.64'}, {'action_type': 'start_trial_mobile_app', 'value': '14.64'}, {'action_type': 'start_trial_total', 'value': '14.64'}]",1.291765,"[{'action_type': 'outbound_click', 'value': '1.291765'}]",1.291765,5.167059,0.38696,87.84,0.045442,0.045442,1.626667,87.84,0.048504,0.905567,15.113558,16.360589,1.668961,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.082511,5812,1.169993,68,"[{'action_type': 'outbound_click', 'value': '68'}]","[{'action_type': 'outbound_click', 'value': '1.169993'}]",AVERAGE,5369,87.84,195,3,189,1576,791,454
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924713760384,02 Morgan_paris,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,1,19,1,1,1,1
,319,1,,76,26,26,319,,,,18,,,,,1690,2,1690,20,18,,1594,,6924714716184,04 Morgan_humble,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,78,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '11.644286'}, {'action_type': 'subscribe_total', 'value': '11.644286'}, {'action_type': 'start_trial_mobile_app', 'value': '10.18875'}, {'action_type': 'start_trial_total', 'value': '10.18875'}]",1.0725,"[{'action_type': 'outbound_click', 'value': '1.0725'}]",1.0725,3.135,0.255517,,0.048231,0.048231,4.0755,,0.051136,1.045,17.324123,17.949791,1.657811,2025-12-12,2025-12-12,AVERAGE,1.036115,4705,1.615303,76,"[{'action_type': 'outbound_click', 'value': '76'}]","[{'action_type': 'outbound_click', 'value': '1.615303'}]",AVERAGE,4541,81.51,135,4,128,1393,663,348
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924715827784,06 Morgan_gthang,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,7,,1,1,1
,112,1,,54,13,13,112,,,1,18,3,3,2,,1304,2,1304,25,20,,1225,,6924716345384,02 Prerna_tusa,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,73,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '29.153333'}, {'action_type': 'subscribe_total', 'value': '29.153333'}, {'action_type': 'start_trial_mobile_app', 'value': '29.153333'}, {'action_type': 'start_trial_total', 'value': '29.153333'}]",1.61963,"[{'action_type': 'outbound_click', 'value': '1.61963'}]",1.61963,6.727692,0.780893,,0.067071,0.067071,3.4984,,0.071396,1.198082,20.114995,21.064547,1.678933,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.047206,4348,1.24195,54,"[{'action_type': 'outbound_click', 'value': '54'}]","[{'action_type': 'outbound_click', 'value': '1.24195'}]",BELOW_AVERAGE_35,4152,87.46,142,3,139,1099,515,314
,,,,,,,,,,,,,,,,,,,,,,,,6924716446184,04 Prerna_fancy,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6924717255784,02 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,1,,,,
,51,1,,15,4,4,51,,,,1,,,,,339,,339,1,1,,323,,6924718889384,02 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,15,ABOVE_AVERAGE,,1.282667,"[{'action_type': 'outbound_click', 'value': '1.282667'}]",1.282667,4.81,0.377255,,0.056755,0.056755,19.24,,0.059567,1.282667,17.163247,17.964519,1.338091,2025-12-12,2025-12-12,AVERAGE,1.046685,1121,1.338091,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.338091'}]",AVERAGE,1071,19.24,39,4,34,284,135,84
,218,,,36,11,11,218,,,,8,2,2,,,805,,805,10,8,,759,,6924719922384,03 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,39,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '9'}, {'action_type': 'subscribe_total', 'value': '9'}, {'action_type': 'start_trial_mobile_app', 'value': '9'}, {'action_type': 'start_trial_total', 'value': '9'}]",1.75,"[{'action_type': 'outbound_click', 'value': '1.75'}]",1.75,5.727273,0.288991,,0.078261,0.078261,6.3,,0.083004,1.615385,21.428571,22.909091,1.326531,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.069091,2940,1.22449,36,"[{'action_type': 'outbound_click', 'value': '36'}]","[{'action_type': 'outbound_click', 'value': '1.22449'}]",BELOW_AVERAGE_35,2750,63,97,4,95,679,367,215
,,,,,,,,,,,,,,,,,,,,,,,,6924720140184,04 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6925369207984,01Prerna_bollamarket1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,50,50,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.05,,6,,1,,
,1,,,,,,1,,,,,,,,,,,,,,,,,6925372388984,02 Morgan_ginjuice_bollarmarket2,6925369208984,FB_iOS_Rap_StartTrial_morganginjuice+hht2variants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,,6925372726784,04 Morgan_ginjuice_redcar2,6925369208984,FB_iOS_Rap_StartTrial_morganginjuice+hht2variants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6925374916984,02black04_gasstation_1,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,1,,,,
,16,1,,8,2,2,16,,,,3,,,,,151,,151,3,3,,140,,6925375114184,03black04_gasstation2,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,9,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '12.88'}, {'action_type': 'subscribe_total', 'value': '12.88'}, {'action_type': 'start_trial_mobile_app', 'value': '12.88'}, {'action_type': 'start_trial_total', 'value': '12.88'}]",1.61,"[{'action_type': 'outbound_click', 'value': '1.61'}]",1.61,6.44,0.805,,0.085298,0.085298,4.293333,,0.092,1.431111,23.94052,25.304519,1.672862,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.056974,538,1.486989,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.486989'}]",BELOW_AVERAGE_35,509,12.88,18,3,18,126,52,35
,,,,,,,,,,,,,,,,2,,2,,,,2,,6925375332984,04black04_bollamarket1,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,12,12,0,2025-12-12,2025-12-12,UNKNOWN,1,10,,,,,UNKNOWN,10,0.12,,2,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6925375629784,05black04_bollamarket2,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6925375992184,06black04_bollamarket3,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.23,0.23,,,0.23,,32.857143,32.857143,0,2025-12-12,2025-12-12,UNKNOWN,1,7,,,,,UNKNOWN,7,0.23,,1,,1,,
,15,1,1,12,4,4,15,,,,,,,,,199,1,199,2,,,185,,6925378629584,02Prerna_gasstation1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,12,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.18'}, {'action_type': 'subscribe_total', 'value': '17.18'}, {'action_type': 'start_trial_mobile_app', 'value': '17.18'}, {'action_type': 'start_trial_total', 'value': '17.18'}]",1.431667,"[{'action_type': 'outbound_click', 'value': '1.431667'}]",1.431667,4.295,1.145333,,0.086332,0.086332,8.59,,0.092865,1.431667,22.815405,24.197183,1.593626,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.060563,753,1.593626,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.593626'}]",BELOW_AVERAGE_35,710,17.18,22,3,22,159,78,47
,,,,,,,,,,,,,,,,7,,7,,,,7,,6925378999984,03Prerna_gasstation2,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.162857,0.162857,,,0.162857,,40.714286,43.846154,0,2025-12-12,2025-12-12,UNKNOWN,1.076923,28,,,,,UNKNOWN,26,1.14,,2,,6,4,2
,69,,,15,5,5,69,,,,6,,,1,,339,,339,7,7,,317,,6925379086584,04Prerna_redcar,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,16,ABOVE_AVERAGE,,2.113333,"[{'action_type': 'outbound_click', 'value': '2.113333'}]",2.113333,6.34,0.45942,,0.09351,0.09351,4.528571,,0.1,1.98125,31.293189,32.446264,1.579467,2025-12-12,2025-12-12,AVERAGE,1.036847,1013,1.48075,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.48075'}]",AVERAGE,977,31.7,31,4,31,278,155,99
,,,,,,,,,,,,,,,,1,,1,,,,1,,6925379228984,05Prerna_gasstation3,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-12,2025-12-12,UNKNOWN,1,3,,,,,UNKNOWN,3,0.05,,2,,1,,
,64,2,,7,6,6,64,,,,1,,,,,211,,211,1,1,,203,,6926060791784,02_blonde_jumpoff_gasstation1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,8,ABOVE_AVERAGE,,2.587143,"[{'action_type': 'outbound_click', 'value': '2.587143'}]",2.587143,3.018333,0.282969,,0.085829,0.085829,18.11,,0.089212,2.26375,25.871429,28.83758,1.142857,2025-12-12,2025-12-12,AVERAGE,1.11465,700,1,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1'}]",AVERAGE,628,18.11,23,4,23,185,102,53
,,,,,,,,,,,,,,,,,,,,,,,,6926063705384,03_blonde_jumpoff_gasstation2,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6926064243784,06_blonde_jumpoff_gasstation3,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,26.666667,26.666667,0,2025-12-12,2025-12-12,UNKNOWN,1,3,,,,,UNKNOWN,3,0.08,,2,,1,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6926065374784,08_blonde_jumpoff_bolla1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.2,0.2,,,0.2,,26.666667,30.769231,0,2025-12-12,2025-12-12,UNKNOWN,1.153846,15,,,,,UNKNOWN,13,0.4,,2,,2,2,1
,,,,,,,,,,,,,,,,4,,4,,,,4,,6926065580384,10_blonde_jumpoff_bolla2,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.1075,0.1075,,,0.1075,,39.090909,47.777778,0,2025-12-12,2025-12-12,UNKNOWN,1.222222,11,,,,,UNKNOWN,9,0.43,1,7,1,4,3,2
