action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,258,,1,29,22,22,258,,,7,,,,,,913,,913,8,7,,876,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,27,"[{'action_type': 'subscribe_mobile_app', 'value': '7.85'}, {'action_type': 'subscribe_total', 'value': '7.85'}, {'action_type': 'start_trial_mobile_app', 'value': '7.85'}, {'action_type': 'start_trial_total', 'value': '7.85'}]",1.082759,"[{'action_type': 'outbound_click', 'value': '1.082759'}]",1.082759,1.427273,0.121705,,0.034392,0.034392,3.925,,0.035845,1.162963,11.984733,12.156407,1.030534,2025-12-14,2025-12-14,1.014324,2620,1.10687,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '1.10687'}]",facebook,2583,31.4,62,3,59,753,353,178
,49,,,10,3,3,49,,,3,,,1,,,253,,253,4,4,,239,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,14,,1.064,"[{'action_type': 'outbound_click', 'value': '1.064'}]",1.064,3.546667,0.217143,,0.042055,0.042055,2.66,,0.044519,0.76,15.092199,15.624082,1.985816,2025-12-14,2025-12-14,1.035242,705,1.41844,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.41844'}]",instagram,681,10.64,20,6,20,206,102,53
,,,,,,,,,,,,,,,,18,,18,,,,18,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.019444,0.019444,,,0.019444,,11.290323,11.290323,0,2025-12-14,2025-12-14,1,31,,,,,threads,31,0.35,3,7,3,17,10,7
,43,,,9,4,4,43,,,1,,,,,,419,,419,1,1,,409,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '17.48'}, {'action_type': 'subscribe_total', 'value': '17.48'}, {'action_type': 'start_trial_mobile_app', 'value': '17.48'}, {'action_type': 'start_trial_total', 'value': '17.48'}]",1.942222,"[{'action_type': 'outbound_click', 'value': '1.942222'}]",1.942222,4.37,0.406512,,0.041718,0.041718,17.48,,0.042738,1.942222,11.818796,11.923602,0.608519,2025-12-14,2025-12-14,1.008868,1479,0.608519,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.608519'}]",facebook,1466,17.48,35,3,28,376,166,90
,345,,,39,25,25,345,,,9,,,,,,847,1,847,10,9,,798,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,45,"[{'action_type': 'subscribe_mobile_app', 'value': '4.231111'}, {'action_type': 'subscribe_total', 'value': '4.231111'}, {'action_type': 'start_trial_mobile_app', 'value': '3.808'}, {'action_type': 'start_trial_total', 'value': '3.808'}]",0.97641,"[{'action_type': 'outbound_click', 'value': '1.002105'}]",0.97641,1.5232,0.110377,,0.044959,0.044959,3.808,,0.047719,0.846222,16.672504,17.869545,1.970228,2025-12-14,2025-12-14,1.071797,2284,1.707531,39,"[{'action_type': 'outbound_click', 'value': '38'}]","[{'action_type': 'outbound_click', 'value': '1.663748'}]",instagram,2131,38.08,85,4,85,739,362,237
,,,,,,,,,,2,,,,,,31,,31,2,2,,29,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.019355,0.019355,0.3,,0.02069,,13.953488,13.953488,0,2025-12-14,2025-12-14,1,43,,,,,threads,43,0.6,5,8,5,27,20,12
,,,,,,,,,,,,,,,,,,,,,,,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,1,1,,,,,audience_network,1,0.01,,2,,,,
1,279,3,,41,29,29,279,1,1,17,,,,,1,1148,,1148,17,17,1,1090,1,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,40,"[{'action_type': 'subscribe_mobile_app', 'value': '18.975'}, {'action_type': 'subscribe_total', 'value': '18.975'}, {'action_type': 'start_trial_mobile_app', 'value': '37.95'}, {'action_type': 'start_trial_total', 'value': '37.95'}]",0.92561,"[{'action_type': 'outbound_click', 'value': '0.92561'}]",0.92561,1.308621,0.136022,37.95,0.033057,0.033057,2.232353,37.95,0.034817,0.94875,15.898618,16.866667,1.675744,2025-12-14,2025-12-14,1.060889,2387,1.717637,41,"[{'action_type': 'outbound_click', 'value': '41'}]","[{'action_type': 'outbound_click', 'value': '1.717637'}]",facebook,2250,37.95,138,6,124,983,586,379
,178,,,25,14,14,178,,,1,,,,,,635,,635,1,1,,609,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,31,"[{'action_type': 'subscribe_mobile_app', 'value': '22.37'}, {'action_type': 'subscribe_total', 'value': '22.37'}, {'action_type': 'start_trial_mobile_app', 'value': '22.37'}, {'action_type': 'start_trial_total', 'value': '22.37'}]",1.7896,"[{'action_type': 'outbound_click', 'value': '1.7896'}]",1.7896,3.195714,0.251348,,0.070457,0.070457,44.74,,0.073465,1.443226,27.566235,27.892768,1.910043,2025-12-14,2025-12-14,1.011845,1623,1.540357,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.540357'}]",instagram,1604,44.74,45,4,45,533,253,143
,,,,1,,,,,,,,,,,,82,,82,,,,81,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,2.57,"[{'action_type': 'outbound_click', 'value': '2.57'}]",2.57,,,,0.031341,0.031341,,,0.031728,2.57,17.972028,17.972028,0.699301,2025-12-14,2025-12-14,1,143,0.699301,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.699301'}]",threads,143,2.57,14,7,14,76,45,32
,,,,,,,,,,,,,,,,,,,,,,,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-14,2025-12-14,1,1,,,,,threads,1,0.02,,10,,1,1,
,10,,,3,1,1,10,,,2,,,,,,119,1,119,3,2,,113,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,3,,1.433333,"[{'action_type': 'outbound_click', 'value': '1.433333'}]",1.433333,4.3,0.43,,0.036134,0.036134,1.433333,,0.038053,1.433333,15.98513,16.731518,1.115242,2025-12-14,2025-12-14,1.046693,269,1.115242,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.115242'}]",facebook,257,4.3,14,5,13,107,49,31
,27,,,7,4,4,27,,,4,,,,,,208,,208,4,4,,197,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,9,"[{'action_type': 'start_trial_mobile_app', 'value': '10.03'}, {'action_type': 'start_trial_total', 'value': '10.03'}]",1.432857,"[{'action_type': 'outbound_click', 'value': '1.432857'}]",1.432857,2.5075,0.371481,,0.048221,0.048221,2.5075,,0.050914,1.114444,18.40367,18.67784,1.651376,2025-12-14,2025-12-14,1.014898,545,1.284404,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.284404'}]",instagram,537,10.03,11,3,11,170,73,33
,,,,,,,,,,1,,,,,,36,,36,1,1,,35,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.024722,0.024722,0.89,,0.025429,,13.90625,13.90625,0,2025-12-14,2025-12-14,1,64,,,,,threads,64,0.89,4,6,4,34,13,7
,,,,,,,,,,,,,,,,,,,,,,,,6920992824584,01 Jesus_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-14,2025-12-14,1,1,,,,,facebook,1,0,,3,,,,
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6920992824584,01 Jesus_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,0,"[{'action_type': 'outbound_click', 'value': '0'}]",0,,,,0,0,,,0,0,0,0,100,2025-12-14,2025-12-14,1,1,100,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '100'}]",instagram,1,0,,11,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920992824584,01 Jesus_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-14,2025-12-14,1,1,,,,,threads,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402584,07_nose ring_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,60,0,2025-12-14,2025-12-14,2,2,,,,,instagram,1,0.06,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402584,07_nose ring_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,40,40,0,2025-12-14,2025-12-14,1,1,,,,,threads,1,0.04,,4,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.005,0.005,,,0.005,,5,10,0,2025-12-14,2025-12-14,2,2,,,,,audience_network,1,0.01,,9,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,1,2,,,,,facebook,2,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-14,2025-12-14,1,2,,,,,instagram,2,0.04,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,50,50,0,2025-12-14,2025-12-14,1,1,,,,,threads,1,0.05,,,,,,
,,,,1,,,,,,,,,,,,23,,23,,,,22,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.52,"[{'action_type': 'outbound_click', 'value': '0.52'}]",0.52,,,,0.022609,0.022609,,,0.023636,0.52,11.555556,21.666667,2.222222,2025-12-14,2025-12-14,1.875,45,2.222222,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.222222'}]",audience_network,24,0.52,8,5,8,20,17,12
,393,2,,76,26,26,393,,,26,,,2,,,2011,3,2011,31,28,,1904,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,75,"[{'action_type': 'subscribe_mobile_app', 'value': '15.678333'}, {'action_type': 'subscribe_total', 'value': '15.678333'}, {'action_type': 'start_trial_mobile_app', 'value': '11.75875'}, {'action_type': 'start_trial_total', 'value': '11.75875'}]",1.237763,"[{'action_type': 'outbound_click', 'value': '1.237763'}]",1.237763,3.618077,0.239364,,0.046778,0.046778,3.034516,,0.049407,1.254267,24.612768,25.786732,1.962323,2025-12-14,2025-12-14,1.047697,3822,1.988488,76,"[{'action_type': 'outbound_click', 'value': '76'}]","[{'action_type': 'outbound_click', 'value': '1.988488'}]",facebook,3648,94.07,321,6,296,1789,1128,810
,5,,,3,,,5,,,3,,,,,,119,,119,3,3,,113,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,3,,2.836667,"[{'action_type': 'outbound_click', 'value': '2.836667'}]",2.836667,,1.702,,0.071513,0.071513,2.836667,,0.07531,2.836667,33.11284,34.176707,1.167315,2025-12-14,2025-12-14,1.032129,257,1.167315,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.167315'}]",instagram,249,8.51,22,8,22,107,64,53
,,,,,,,,,,,,,,,,10,,10,,,,10,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.086,0.086,,,0.086,,34.4,34.4,0,2025-12-14,2025-12-14,1,25,,,,,threads,25,0.86,2,32,2,10,4,4
,,,,,,,,,,,,,,,,,,,,,,,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,50,50,0,2025-12-14,2025-12-14,1,1,,,,,facebook,1,0.05,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404584,02_blackNew_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-14,2025-12-14,1,1,,,,,facebook,1,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-14,2025-12-14,1,1,,,,,instagram,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,7.5,15,0,2025-12-14,2025-12-14,2,4,,,,,audience_network,2,0.03,,0,,,,
2,439,3,,71,30,30,439,2,2,15,1,1,,,2,1551,2,1551,18,15,2,1462,2,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,68,"[{'action_type': 'subscribe_mobile_app', 'value': '5.373333'}, {'action_type': 'subscribe_total', 'value': '5.373333'}, {'action_type': 'start_trial_mobile_app', 'value': '4.396364'}, {'action_type': 'start_trial_total', 'value': '4.396364'}]",0.681127,"[{'action_type': 'outbound_click', 'value': '0.681127'}]",0.681127,1.612,0.110159,24.18,0.03118,0.03118,2.686667,24.18,0.033078,0.711176,15.131414,15.986777,2.12766,2025-12-14,2025-12-14,1.056529,3196,2.221527,71,"[{'action_type': 'outbound_click', 'value': '71'}]","[{'action_type': 'outbound_click', 'value': '2.221527'}]",facebook,3025,48.36,122,4,109,1308,687,370
,177,,1,27,17,17,177,,,15,,,,,,1008,3,1008,19,15,,962,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,33,"[{'action_type': 'subscribe_mobile_app', 'value': '48.11'}, {'action_type': 'subscribe_total', 'value': '48.11'}, {'action_type': 'start_trial_mobile_app', 'value': '24.055'}, {'action_type': 'start_trial_total', 'value': '24.055'}]",1.781852,"[{'action_type': 'outbound_click', 'value': '1.781852'}]",1.781852,2.83,0.271808,,0.047728,0.047728,2.532105,,0.05001,1.457879,22.089073,22.231978,1.515152,2025-12-14,2025-12-14,1.00647,2178,1.239669,27,"[{'action_type': 'outbound_click', 'value': '27'}]","[{'action_type': 'outbound_click', 'value': '1.239669'}]",instagram,2164,48.11,67,5,67,827,407,224
,,,,,,,,,,,,,,,,20,,20,,,,20,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.037,0.037,,,0.037,,16.444444,16.444444,0,2025-12-14,2025-12-14,1,45,,,,,threads,45,0.74,3,7,3,19,13,9
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6920996505784,09_red lipstick_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.06,"[{'action_type': 'outbound_click', 'value': '0.06'}]",0.06,,,,0.03,0.03,,,0.06,0.06,60,60,100,2025-12-14,2025-12-14,1,1,100,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '100'}]",facebook,1,0.06,,9,,1,1,
,,,,1,,,,,,,,,,,,9,,9,,,,8,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.3,"[{'action_type': 'outbound_click', 'value': '0.3'}]",0.3,,,,0.033333,0.033333,,,0.0375,0.3,30,37.5,10,2025-12-14,2025-12-14,1.25,10,10,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '10'}]",audience_network,8,0.3,4,10,4,7,4,4
,485,1,,100,32,32,485,,,27,1,1,2,,,2357,3,2357,33,29,,2224,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,94,"[{'action_type': 'subscribe_mobile_app', 'value': '12.691429'}, {'action_type': 'subscribe_total', 'value': '12.691429'}, {'action_type': 'start_trial_mobile_app', 'value': '12.691429'}, {'action_type': 'start_trial_total', 'value': '12.691429'}]",0.8884,"[{'action_type': 'outbound_click', 'value': '0.8884'}]",0.8884,2.77625,0.183175,,0.037692,0.037692,2.692121,,0.039946,0.945106,19.023555,19.633149,2.012848,2025-12-14,2025-12-14,1.032044,4670,2.141328,100,"[{'action_type': 'outbound_click', 'value': '100'}]","[{'action_type': 'outbound_click', 'value': '2.141328'}]",facebook,4525,88.84,296,5,272,2005,1266,891
,2,,,6,,,2,,,1,,,,,,214,,214,1,1,,207,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,8,,2.208333,"[{'action_type': 'outbound_click', 'value': '2.208333'}]",2.208333,,6.625,,0.061916,0.061916,13.25,,0.06401,1.65625,27.546778,28.191489,1.663202,2025-12-14,2025-12-14,1.023404,481,1.247401,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.247401'}]",instagram,470,13.25,22,4,22,186,107,71
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.025,0.025,,,0.025,,7.142857,7.142857,0,2025-12-14,2025-12-14,1,7,,,,,messenger,7,0.05,,10,,2,1,1
,,,,,,,,,,,,,,,,4,,4,,,,4,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.07,0.07,,,0.07,,35,35,0,2025-12-14,2025-12-14,1,8,,,,,threads,8,0.28,2,96,2,4,3,3
,,,,,,,,,,1,,,,,,12,,12,1,1,,11,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.075,0.075,0.9,,0.081818,,23.684211,26.470588,0,2025-12-14,2025-12-14,1.117647,38,,,,,facebook,34,0.9,1,3,,11,4,3
,,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,45,45,0,2025-12-14,2025-12-14,1,2,,,,,instagram,2,0.09,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-14,2025-12-14,1,2,,,,,threads,2,0.04,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336584,09_red lipstick_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,5,5,0,2025-12-14,2025-12-14,1,2,,,,,facebook,2,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336584,09_red lipstick_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-14,2025-12-14,1,1,,,,,instagram,1,0.04,,6,,1,,
,,,,,,,,,,,,,,,,18,,18,,,,18,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.018333,0.018333,,,0.018333,,11.785714,16.5,0,2025-12-14,2025-12-14,1.4,28,,,,,audience_network,20,0.33,5,5,5,17,6,5
,150,1,,39,17,17,150,,,10,,,,,,1113,,1113,10,10,,1064,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,38,"[{'action_type': 'subscribe_mobile_app', 'value': '13.325'}, {'action_type': 'subscribe_total', 'value': '13.325'}, {'action_type': 'start_trial_mobile_app', 'value': '17.766667'}, {'action_type': 'start_trial_total', 'value': '17.766667'}]",1.366667,"[{'action_type': 'outbound_click', 'value': '1.366667'}]",1.366667,3.135294,0.355333,,0.047889,0.047889,5.33,,0.050094,1.402632,23.043666,24.883287,1.642888,2025-12-14,2025-12-14,1.079832,2313,1.686122,39,"[{'action_type': 'outbound_click', 'value': '39'}]","[{'action_type': 'outbound_click', 'value': '1.686122'}]",facebook,2142,53.3,155,5,144,965,643,435
,16,,,6,,,16,,,3,,,,,,166,,166,3,3,,157,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,10,"[{'action_type': 'subscribe_mobile_app', 'value': '13.37'}, {'action_type': 'subscribe_total', 'value': '13.37'}, {'action_type': 'start_trial_mobile_app', 'value': '6.685'}, {'action_type': 'start_trial_total', 'value': '6.685'}]",2.228333,"[{'action_type': 'outbound_click', 'value': '2.228333'}]",2.228333,,0.835625,,0.080542,0.080542,4.456667,,0.085159,1.337,35.091864,37.036011,2.624672,2025-12-14,2025-12-14,1.055402,381,1.574803,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.574803'}]",instagram,361,13.37,23,6,23,141,79,55
,,,,,,,,,,,,,,,,22,,22,,,,22,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,34.375,34.375,0,2025-12-14,2025-12-14,1,32,,,,,threads,32,1.1,6,9,6,17,11,9
,,,,,,,,,,,,,,,,,,,,,,,,6920999337584,01_black4_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,1,2,,,,,facebook,2,0.02,,1,,,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.016667,0.016667,,,0.016667,,12.5,12.5,0,2025-12-14,2025-12-14,1,4,,,,,audience_network,4,0.05,,8,,3,2,1
