action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,227,2,,40,16,16,227,,,8,,,1,,,1403,,1403,9,9,,1354,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,40,"[{'action_type': 'subscribe_mobile_app', 'value': '40.6'}, {'action_type': 'subscribe_total', 'value': '40.6'}, {'action_type': 'start_trial_mobile_app', 'value': '11.6'}, {'action_type': 'start_trial_total', 'value': '11.6'}]",2.03,"[{'action_type': 'outbound_click', 'value': '2.03'}]",2.03,5.075,0.357709,,0.057876,0.057876,9.022222,,0.05997,2.03,21.999458,23.441109,1.083717,2025-12-14,2025-12-14,1.065531,3691,1.083717,40,"[{'action_type': 'outbound_click', 'value': '40'}]","[{'action_type': 'outbound_click', 'value': '1.083717'}]",facebook,3464,81.2,147,4,141,1301,603,343
,1,,1,2,,,1,,,1,,,,,,90,,90,2,1,,86,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,2.74,"[{'action_type': 'outbound_click', 'value': '2.74'}]",2.74,,5.48,,0.060889,0.060889,2.74,,0.063721,1.826667,25.022831,25.7277,1.369863,2025-12-14,2025-12-14,1.028169,219,0.913242,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.913242'}]",instagram,213,5.48,12,4,12,84,36,19
,,,,,,,,,,,,,,,,7,,7,,,,7,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.047143,0.047143,,,0.047143,,25.384615,25.384615,0,2025-12-14,2025-12-14,1,13,,,,,threads,13,0.33,4,7,4,7,5,5
,67,1,,16,4,4,67,,,1,,,,,,239,,239,1,1,,222,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,15,"[{'action_type': 'subscribe_mobile_app', 'value': '13.89'}, {'action_type': 'subscribe_total', 'value': '13.89'}, {'action_type': 'start_trial_mobile_app', 'value': '13.89'}, {'action_type': 'start_trial_total', 'value': '13.89'}]",0.868125,"[{'action_type': 'outbound_click', 'value': '0.926'}]",0.868125,3.4725,0.207313,,0.058117,0.058117,13.89,,0.062568,0.926,21.839623,22.439418,2.358491,2025-12-14,2025-12-14,1.027464,636,2.515723,16,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '2.358491'}]",facebook,619,13.89,31,3,29,218,111,60
,,,,2,,,,,,,,,,,,32,,32,,,,30,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,2.04,"[{'action_type': 'outbound_click', 'value': '2.04'}]",2.04,,,,0.1275,0.1275,,,0.136,2.04,29.352518,30.447761,1.438849,2025-12-14,2025-12-14,1.037313,139,1.438849,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.438849'}]",instagram,134,4.08,3,2,3,27,11,7
,,,,,,,,,,,,,,,,18,,18,,,,18,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.027222,0.027222,,,0.027222,,14,14,0,2025-12-14,2025-12-14,1,35,,,,,threads,35,0.49,3,7,3,18,11,6
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-14,2025-12-14,1,1,,,,,instagram,1,0,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-14,2025-12-14,1,1,,,,,facebook,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,1,1,,,,,instagram,1,0.01,,1,,,,
,74,,,10,6,6,74,,,,,,,,,268,,268,,,,258,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '8.32'}, {'action_type': 'subscribe_total', 'value': '8.32'}, {'action_type': 'start_trial_mobile_app', 'value': '16.64'}, {'action_type': 'start_trial_total', 'value': '16.64'}]",1.664,"[{'action_type': 'outbound_click', 'value': '1.664'}]",1.664,2.773333,0.224865,,0.06209,0.06209,,,0.064496,1.664,24.186047,26.040689,1.453488,2025-12-14,2025-12-14,1.076682,688,1.453488,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.453488'}]",facebook,639,16.64,34,4,30,236,137,77
