action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,instagram,1,0.01,,6,,1,1,
,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-06,2025-12-06,1,1,,,,,audience_network,1,0,,3,,,,
1,95,,1,26,9,9,95,1,1,,,,1,1011,,1011,5,4,1,980,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,26,"[{'action_type': 'subscribe_mobile_app', 'value': '60.736347'}, {'action_type': 'subscribe_total', 'value': '60.736347'}]",2.336013,"[{'action_type': 'outbound_click', 'value': '2.336013'}]",2.336013,6.748483,0.63933,60.736347,0.060076,0.060076,12.147269,60.736347,0.061976,2.336013,23.968566,25.519473,1.026046,2025-12-06,2025-12-06,1.064706,2534,1.026046,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '1.026046'}]",facebook,2380,60.736347,93,3,86,928,417,226
2,265,,,44,22,22,265,2,2,1,1,,2,1885,,1885,11,10,2,1830,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,51,"[{'action_type': 'subscribe_mobile_app', 'value': '128.42342'}, {'action_type': 'subscribe_total', 'value': '128.42342'}]",2.918714,"[{'action_type': 'outbound_click', 'value': '2.918714'}]",2.918714,5.837428,0.484617,64.21171,0.068129,0.068129,11.674856,64.21171,0.070177,2.518106,28.095257,28.755804,1.11573,2025-12-06,2025-12-06,1.023511,4571,0.96259,44,"[{'action_type': 'outbound_click', 'value': '44'}]","[{'action_type': 'outbound_click', 'value': '0.96259'}]",instagram,4466,128.42342,142,3,142,1715,690,354
,,,,,,,,,,,,,,69,,69,,,,69,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.032322,0.032322,,,0.032322,,19.393331,19.393331,0,2025-12-06,2025-12-06,1,115,,,,,threads,115,2.230233,15,7,16,65,37,23
,,,,,,,,,,,,,,1,,1,,,,1,,6916164484784,04 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,facebook,1,0.01,,4,,1,,
,2,,,,,,2,,,,,,,4,,4,,,,4,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.06,,0.03,0.03,,,0.03,,15,17.142857,0,2025-12-06,2025-12-06,1.142857,8,,,,,facebook,7,0.12,1,4,1,3,1,1
,2,,,,,,2,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,0,0,,,0,,0,0,0,2025-12-06,2025-12-06,1,1,,,,,instagram,1,0,,3,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,facebook,1,0.01,,3,,,,
,,,,,,,,,,,,,,2,,2,,,,2,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03001,0.03001,,,0.03001,,30.009965,30.009965,0,2025-12-06,2025-12-06,1,2,,,,,audience_network,2,0.06002,1,11,1,2,2,1
