action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,6,,6,,,,6,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.183333,0.183333,,,0.183333,,52.380952,57.894737,0,2025-11-29,2025-11-29,UNKNOWN,1.105263,21,,,,,UNKNOWN,19,1.1,2,5,2,6,4,3
,922,3,,134,45,45,922,,,,,,3072,1,3072,29,28,,2909,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,132,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '10.401176'}, {'action_type': 'subscribe_total', 'value': '10.401176'}, {'action_type': 'start_trial_mobile_app', 'value': '9.823333'}, {'action_type': 'start_trial_total', 'value': '9.823333'}]",1.319552,"[{'action_type': 'outbound_click', 'value': '1.319552'}]",1.319552,3.929333,0.191779,,0.057559,0.057559,6.097241,,0.060784,1.339545,23.566573,25.526202,1.759296,2025-11-29,2025-11-29,AVERAGE,1.083153,7503,1.785952,134,"[{'action_type': 'outbound_click', 'value': '134'}]","[{'action_type': 'outbound_click', 'value': '1.785952'}]",AVERAGE,6927,176.82,369,5,342,2543,1358,1074
,191,1,,49,18,18,191,,,,,,939,1,939,9,8,,881,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,49,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '66.03'}, {'action_type': 'subscribe_total', 'value': '66.03'}, {'action_type': 'start_trial_mobile_app', 'value': '33.015'}, {'action_type': 'start_trial_total', 'value': '33.015'}]",1.347551,"[{'action_type': 'outbound_click', 'value': '1.347551'}]",1.347551,3.668333,0.345707,,0.070319,0.070319,7.336667,,0.074949,1.347551,21.988012,23.071279,1.631702,2025-11-29,2025-11-29,ABOVE_AVERAGE,1.049266,3003,1.631702,49,"[{'action_type': 'outbound_click', 'value': '49'}]","[{'action_type': 'outbound_click', 'value': '1.631702'}]",AVERAGE,2862,66.03,111,4,106,748,426,311
,715,4,,72,42,42,715,,,,,,1582,,1582,16,16,,1494,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,77,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.016667'}, {'action_type': 'subscribe_total', 'value': '13.016667'}, {'action_type': 'start_trial_mobile_app', 'value': '9.011538'}, {'action_type': 'start_trial_total', 'value': '9.011538'}]",1.627083,"[{'action_type': 'outbound_click', 'value': '1.627083'}]",1.627083,2.789286,0.163846,,0.074052,0.074052,7.321875,,0.078414,1.521429,26.777143,29.449472,1.76,2025-11-29,2025-11-29,AVERAGE,1.099799,4375,1.645714,72,"[{'action_type': 'outbound_click', 'value': '72'}]","[{'action_type': 'outbound_click', 'value': '1.645714'}]",AVERAGE,3978,117.15,181,5,175,1347,736,406
,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,280,280,0,2025-11-29,2025-11-29,UNKNOWN,1,1,,,,,UNKNOWN,1,0.28,,2,,,,
,,,,,,,,,,,,,,,,,,,,,6916170650384,18 esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-11-29,2025-11-29,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,2,,,,
,,,,,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,15,30,0,2025-11-29,2025-11-29,UNKNOWN,2,2,,,,,UNKNOWN,1,0.03,,1,,,,
,19,,,1,1,1,19,,,,,,4,,4,,,,3,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,0.38,"[{'action_type': 'outbound_click', 'value': '0.38'}]",0.38,0.38,0.02,,0.095,0.095,,,0.126667,0.38,38,42.222222,10,2025-11-29,2025-11-29,UNKNOWN,1.111111,10,10,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '10'}]",UNKNOWN,9,0.38,,3,,2,1,
,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-11-29,2025-11-29,UNKNOWN,1,2,,,,,UNKNOWN,2,0.06,,2,,,,
,183,,,15,10,10,183,,,,,,248,4,248,10,6,,223,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,15,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '25.67'}, {'action_type': 'subscribe_total', 'value': '25.67'}, {'action_type': 'start_trial_mobile_app', 'value': '25.67'}, {'action_type': 'start_trial_total', 'value': '25.67'}]",1.711333,"[{'action_type': 'outbound_click', 'value': '1.711333'}]",1.711333,2.567,0.140273,,0.103508,0.103508,2.567,,0.115112,1.711333,36.463068,39.012158,2.130682,2025-11-29,2025-11-29,AVERAGE,1.069909,704,2.130682,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '2.130682'}]",AVERAGE,658,25.67,43,4,43,196,120,89
