action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-07,2025-12-07,1,1,,,,,1,0,,6,,1,1,
,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-07,2025-12-07,1,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-07,2025-12-07,1,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-07,2025-12-07,1,1,,,,,1,0.04,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.12,0.12,,,0.12,,120,120,0,2025-12-07,2025-12-07,1,1,,,,,1,0.12,,4,,1,,
,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-12-07,2025-12-07,1,4,,,,,4,0.1,,4,,2,,
,,,,,,,,,,,,,,3,,3,,,,3,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.173333,0.173333,,,0.173333,,30.588235,30.588235,0,2025-12-07,2025-12-07,1,17,,,,,17,0.52,,2,,3,,
,,,,,,,,,,,,,,6,,6,,,,6,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.073333,0.073333,,,0.073333,,23.157895,25.882353,0,2025-12-07,2025-12-07,1.117647,19,,,,,17,0.44,,3,,6,2,
,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-07,2025-12-07,1,2,,,,,2,0.02,,4,,2,,
,,,,1,,,,,,,,,,39,,39,,,,38,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.66,"[{'action_type': 'outbound_click', 'value': '2.66'}]",2.66,,,,0.068205,0.068205,,,0.07,2.66,19.275362,20.620155,0.724638,2025-12-07,2025-12-07,1.069767,138,0.724638,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.724638'}]",129,2.66,3,3,3,34,16,8
