action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,43.333333,43.333333,0,2025-12-15,2025-12-15,UNKNOWN,1,3,,,,,UNKNOWN,3,0.13,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-15,2025-12-15,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,2,,1,,
,,1,,3,,,,,,,,,,,,86,,86,,,,83,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,UNKNOWN,,2.34,"[{'action_type': 'outbound_click', 'value': '2.34'}]",2.34,,,,0.081628,0.081628,,,0.084578,2.34,26.292135,28.192771,1.123596,2025-12-15,2025-12-15,UNKNOWN,1.072289,267,1.123596,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.123596'}]",UNKNOWN,249,7.02,11,3,11,83,36,20
,64,,,29,8,8,64,,,,6,1,1,,,1908,3,1908,10,6,,1869,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,36,ABOVE_AVERAGE,,3.475172,"[{'action_type': 'outbound_click', 'value': '3.475172'}]",3.475172,12.5975,1.574688,,0.05282,0.05282,10.078,,0.053922,2.799444,20.265433,21.123454,0.723909,2025-12-15,2025-12-15,AVERAGE,1.042339,4973,0.583149,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '0.583149'}]",AVERAGE,4771,100.78,177,3,174,1770,688,377
,,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,60,60,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0.06,,1,,,,
,167,1,,51,23,23,167,,,,16,,,,,1471,1,1471,17,16,,1403,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,52,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '20.3375'}, {'action_type': 'subscribe_total', 'value': '20.3375'}]",1.595098,"[{'action_type': 'outbound_click', 'value': '1.595098'}]",1.595098,3.536957,0.487126,,0.055303,0.055303,4.785294,,0.057983,1.564423,21.927224,23.091116,1.401617,2025-12-15,2025-12-15,AVERAGE,1.05308,3710,1.374663,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '1.374663'}]",AVERAGE,3523,81.35,179,4,167,1336,644,359
,51,,1,6,3,3,51,,,,3,,,,,265,1,265,5,3,,254,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '20.75'}, {'action_type': 'subscribe_total', 'value': '20.75'}, {'action_type': 'start_trial_mobile_app', 'value': '20.75'}, {'action_type': 'start_trial_total', 'value': '20.75'}]",3.458333,"[{'action_type': 'outbound_click', 'value': '3.458333'}]",3.458333,6.916667,0.406863,,0.078302,0.078302,4.15,,0.081693,2.964286,27.124183,28.819444,0.915033,2025-12-15,2025-12-15,AVERAGE,1.0625,765,0.784314,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '0.784314'}]",AVERAGE,720,20.75,49,4,45,241,139,83
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,15,15,0,2025-12-15,2025-12-15,UNKNOWN,1,4,,,,,UNKNOWN,4,0.06,1,19,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,33.333333,33.333333,0,2025-12-15,2025-12-15,UNKNOWN,1,3,,,,,UNKNOWN,3,0.1,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916166162984,05 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,40,40,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,,1,,,,
,265,,,28,14,14,265,,,,9,,,,,557,2,557,11,9,,518,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,34,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '5.897143'}, {'action_type': 'subscribe_total', 'value': '5.897143'}, {'action_type': 'start_trial_mobile_app', 'value': '41.28'}, {'action_type': 'start_trial_total', 'value': '41.28'}]",1.474286,"[{'action_type': 'outbound_click', 'value': '1.474286'}]",1.474286,2.948571,0.155774,,0.074111,0.074111,3.752727,,0.079691,1.214118,29.193777,31.367781,2.404526,2025-12-15,2025-12-15,ABOVE_AVERAGE,1.074468,1414,1.980198,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.980198'}]",BELOW_AVERAGE_35,1316,41.28,64,5,62,467,243,166
,170,1,,26,7,7,170,,,,13,1,1,1,,1138,,1138,15,14,,1097,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,36,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '12.526'}, {'action_type': 'subscribe_total', 'value': '12.526'}, {'action_type': 'start_trial_mobile_app', 'value': '62.63'}, {'action_type': 'start_trial_total', 'value': '62.63'}]",2.408846,"[{'action_type': 'outbound_click', 'value': '2.408846'}]",2.408846,8.947143,0.368412,,0.055035,0.055035,4.175333,,0.057092,1.739722,19.217551,19.510903,1.104633,2025-12-15,2025-12-15,ABOVE_AVERAGE,1.015265,3259,0.797791,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '0.797791'}]",BELOW_AVERAGE_35,3210,62.63,81,4,80,937,444,248
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.22,0.22,,,0.22,,27.5,27.5,0,2025-12-15,2025-12-15,UNKNOWN,1,8,,,,,UNKNOWN,8,0.22,1,3,1,1,1,1
,,,,,,,,,,,,,,,,11,,11,,,,11,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,UNKNOWN,,,,,,,,0.065455,0.065455,,,0.065455,0.36,20,20,5.555556,2025-12-15,2025-12-15,UNKNOWN,1,36,,,,,UNKNOWN,36,0.72,2,3,2,10,6,5
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.19,0.19,,,0.19,,27.142857,27.142857,0,2025-12-15,2025-12-15,UNKNOWN,1,7,,,,,UNKNOWN,7,0.19,,2,,,,
