action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,,,,1,,,,,,,,,,,,,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-25,2025-11-25,0,male,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,20,20,0,2025-11-25,2025-11-25,1,female,2,,,,,2,0.04,,1,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.29,0.29,,,0.29,,58,58,0,2025-11-25,2025-11-25,1,male,5,,,,,5,0.29,,2,,1,,
,46,1,,13,4,4,46,,,,,,439,,439,3,3,,423,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,13,,0.986282,"[{'action_type': 'outbound_click', 'value': '0.986282'}]",0.986282,3.205416,0.278732,,0.029207,0.029207,4.273888,,0.030311,0.986282,13.625572,13.625572,1.381509,2025-11-25,2025-11-25,1,female,941,1.381509,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.381509'}]",941,12.821663,61,4,58,407,197,117
,453,,,124,41,41,453,,,1,1,,2685,8,2685,32,23,,2529,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,120,"[{'action_type': 'subscribe_mobile_app', 'value': '21.249423'}, {'action_type': 'subscribe_total', 'value': '21.249423'}, {'action_type': 'start_trial_mobile_app', 'value': '21.249423'}, {'action_type': 'start_trial_total', 'value': '21.249423'}]",0.514099,"[{'action_type': 'outbound_click', 'value': '0.518279'}]",0.514099,1.554836,0.140725,,0.023742,0.023742,1.992133,,0.025207,0.531236,10.626483,10.885975,2.000333,2025-11-25,2025-11-25,1.024419,male,5999,2.067011,124,"[{'action_type': 'outbound_click', 'value': '123'}]","[{'action_type': 'outbound_click', 'value': '2.050342'}]",5856,63.748269,376,4,351,2431,1227,761
,,,,,,,,,,,,,23,,23,,,,23,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.022612,0.022612,,,0.022612,,10.834739,11.557055,0,2025-11-25,2025-11-25,1.066667,unknown,48,,,,,45,0.520067,4,5,4,23,12,7
2,143,,1,23,11,11,143,2,2,,,2,1075,,1075,19,18,2,1033,2,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,24,"[{'action_type': 'subscribe_mobile_app', 'value': '27.04'}, {'action_type': 'subscribe_total', 'value': '27.04'}, {'action_type': 'start_trial_mobile_app', 'value': '27.04'}, {'action_type': 'start_trial_total', 'value': '27.04'}]",1.175652,"[{'action_type': 'outbound_click', 'value': '1.175652'}]",1.175652,2.458182,0.189091,13.52,0.025153,0.025153,1.423158,13.52,0.026176,1.126667,11.192053,11.725932,0.993377,2025-11-25,2025-11-25,1.047702,female,2416,0.951987,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '0.951987'}]",2306,27.04,93,4,84,979,438,216
1,1271,6,1,300,118,118,1271,1,1,3,3,1,12507,1,12507,53,48,1,12154,1,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,297,"[{'action_type': 'subscribe_mobile_app', 'value': '46.97'}, {'action_type': 'subscribe_total', 'value': '46.97'}, {'action_type': 'start_trial_mobile_app', 'value': '26.094444'}, {'action_type': 'start_trial_total', 'value': '26.094444'}]",0.782833,"[{'action_type': 'outbound_click', 'value': '0.782833'}]",0.782833,1.990254,0.184776,234.85,0.018777,0.018777,4.431132,234.85,0.019323,0.790741,9.119326,9.627762,1.153264,2025-11-25,2025-11-25,1.055754,male,25753,1.164913,300,"[{'action_type': 'outbound_click', 'value': '300'}]","[{'action_type': 'outbound_click', 'value': '1.164913'}]",24393,234.85,956,4,864,11591,5078,2687
,,,,3,,,,,,,,,97,,97,,,,94,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,3,,0.69,"[{'action_type': 'outbound_click', 'value': '0.69'}]",0.69,,,,0.02134,0.02134,,,0.022021,0.69,10.670103,11.129032,1.546392,2025-11-25,2025-11-25,1.043011,unknown,194,1.546392,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.546392'}]",186,2.07,7,4,7,89,46,21
,,,,,,,,,,,,,,,,,,,,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,25,25,0,2025-11-25,2025-11-25,1,female,2,,,,,2,0.05,,1,,,,
