action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.055,0.055,,,0.055,,27.5,27.5,0,2025-12-09,2025-12-09,1,female,4,,,,,4,0.11,1,5,1,2,2,1
,2,,,4,,,2,,,,,,,,22,,22,,,,18,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,0.3,"[{'action_type': 'outbound_click', 'value': '0.3'}]",0.3,,0.6,,0.054545,0.054545,,,0.066667,0.4,27.272727,27.906977,6.818182,2025-12-09,2025-12-09,1.023256,male,44,9.090909,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '9.090909'}]",43,1.2,2,5,2,16,7,4
,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,80,80,0,2025-12-09,2025-12-09,1,unknown,2,,,,,2,0.16,,2,,,,
,12,,,6,2,2,12,,,4,,,,,244,,244,4,4,,234,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,,4.801667,"[{'action_type': 'outbound_click', 'value': '4.801667'}]",4.801667,14.405,2.400833,,0.118074,0.118074,7.2025,,0.12312,4.115714,48.338926,48.665541,1.174497,2025-12-09,2025-12-09,1.006757,female,596,1.006711,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.006711'}]",592,28.81,13,3,13,223,84,39
,185,1,,28,17,17,185,,,6,,,,,1505,1,1505,7,6,,1470,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,32,"[{'action_type': 'subscribe_mobile_app', 'value': '106.81'}, {'action_type': 'subscribe_total', 'value': '106.81'}, {'action_type': 'start_trial_mobile_app', 'value': '106.81'}, {'action_type': 'start_trial_total', 'value': '106.81'}]",3.814643,"[{'action_type': 'outbound_click', 'value': '3.814643'}]",3.814643,6.282941,0.577351,,0.07097,0.07097,15.258571,,0.07266,3.337813,28.658438,29.432351,0.858599,2025-12-09,2025-12-09,1.027005,male,3727,0.751274,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '0.751274'}]",3629,106.81,126,4,125,1397,587,286
,,,,1,,,,,,,,,,,17,,17,,,,16,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.11,"[{'action_type': 'outbound_click', 'value': '1.11'}]",1.11,,,,0.065294,0.065294,,,0.069375,1.11,28.461538,29.210526,2.564103,2025-12-09,2025-12-09,1.026316,unknown,39,2.564103,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.564103'}]",38,1.11,3,5,3,15,8,5
,,,,,,,,,,,,,,,1,,1,,,,1,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.15,0.15,,,0.15,,37.5,37.5,0,2025-12-09,2025-12-09,1,female,4,,,,,4,0.15,,2,,2,1,
,,,,,,,,,,,,,,,4,,4,,,,4,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.08,0.08,,,0.08,,24.615385,26.666667,0,2025-12-09,2025-12-09,1.083333,male,13,,,,,12,0.32,2,3,2,7,4,2
,213,,,24,12,12,213,,,4,,,,,553,,553,4,4,,525,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,23,"[{'action_type': 'subscribe_mobile_app', 'value': '5.265714'}, {'action_type': 'subscribe_total', 'value': '5.265714'}, {'action_type': 'start_trial_mobile_app', 'value': '4.095556'}, {'action_type': 'start_trial_total', 'value': '4.095556'}]",1.535833,"[{'action_type': 'outbound_click', 'value': '1.535833'}]",1.535833,3.071667,0.173052,,0.066655,0.066655,9.215,,0.07021,1.602609,23.388325,23.388325,1.459391,2025-12-09,2025-12-09,1,female,1576,1.522843,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '1.522843'}]",1576,36.86,61,3,57,493,206,105
,255,,,50,16,16,255,,,11,,,,,1598,1,1598,12,11,,1536,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,54,"[{'action_type': 'subscribe_mobile_app', 'value': '18'}, {'action_type': 'subscribe_total', 'value': '18'}, {'action_type': 'start_trial_mobile_app', 'value': '12'}, {'action_type': 'start_trial_total', 'value': '12'}]",2.16,"[{'action_type': 'outbound_click', 'value': '2.16'}]",2.16,6.75,0.423529,,0.067584,0.067584,9,,0.070313,2,22.589416,23.003195,1.129471,2025-12-09,2025-12-09,1.018317,male,4781,1.045806,50,"[{'action_type': 'outbound_click', 'value': '50'}]","[{'action_type': 'outbound_click', 'value': '1.045806'}]",4695,108,204,4,198,1470,698,425
