action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,6,,,5,2,2,6,,,,,,,,393,,393,,,,388,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,,4.728,"[{'action_type': 'outbound_click', 'value': '4.728'}]",4.728,11.82,3.94,,0.060153,0.060153,,,0.060928,4.728,22.973761,24.728033,0.485909,2025-12-10,2025-12-10,1.07636,1029,0.485909,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.485909'}]",facebook,956,23.64,34,3,33,365,151,76
,234,,,25,22,22,234,,,5,2,2,,,1018,1,1018,8,5,,985,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,30,"[{'action_type': 'subscribe_mobile_app', 'value': '15.728'}, {'action_type': 'subscribe_total', 'value': '15.728'}, {'action_type': 'start_trial_mobile_app', 'value': '19.66'}, {'action_type': 'start_trial_total', 'value': '19.66'}]",3.1456,"[{'action_type': 'outbound_click', 'value': '3.1456'}]",3.1456,3.574545,0.336068,,0.07725,0.07725,9.83,,0.079838,2.621333,30.433437,30.433437,1.160991,2025-12-10,2025-12-10,1,2584,0.967492,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '0.967492'}]",instagram,2584,78.64,79,4,79,931,373,196
,,,,,,,,,,,,,,,109,,109,,,,109,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.025413,0.025413,,,0.025413,,14.972973,15.136612,0,2025-12-10,2025-12-10,1.010929,185,,,,,threads,183,2.77,21,6,21,104,60,33
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,70,70,0,2025-12-10,2025-12-10,1,2,,,,,facebook,2,0.14,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-10,2025-12-10,1,1,,,,,instagram,1,0.02,,2,,,,
,101,,,6,6,6,101,,,1,,,,,173,,173,1,1,,166,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,6,"[{'action_type': 'subscribe_mobile_app', 'value': '9.541919'}, {'action_type': 'subscribe_total', 'value': '9.541919'}, {'action_type': 'start_trial_mobile_app', 'value': '4.770959'}, {'action_type': 'start_trial_total', 'value': '4.770959'}]",1.59032,"[{'action_type': 'outbound_click', 'value': '1.59032'}]",1.59032,1.59032,0.094474,,0.055156,0.055156,9.541919,,0.057481,1.59032,22.242235,23.387056,1.398601,2025-12-10,2025-12-10,1.051471,429,1.398601,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.398601'}]",facebook,408,9.541919,17,8,16,160,75,47
,16,,,2,,,16,,,,,,,,55,,55,,,,53,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.754029,"[{'action_type': 'outbound_click', 'value': '1.754029'}]",1.754029,,0.219254,,0.063783,0.063783,,,0.06619,1.754029,23.079331,23.079331,1.315789,2025-12-10,2025-12-10,1,152,1.315789,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.315789'}]",instagram,152,3.508058,5,4,5,50,18,12
,,,,,,,,,,,,,,,,,,,,,,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10.023024,10.023024,0,2025-12-10,2025-12-10,1,1,,,,,threads,1,0.010023,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,1,1,,,,,facebook,1,0.01,,1,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0,,,,,,,,,,,2025-12-10,2025-12-10,0,0,,,,,audience_network,0,0,,,,,,
