action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,female,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.01,,2,,,,
7,587,2,1,118,56,56,587,7,7,,1,1,3,7,2584,3,2584,45,40,7,2421,7,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,114,"[{'action_type': 'subscribe_mobile_app', 'value': '32.76'}, {'action_type': 'subscribe_total', 'value': '32.76'}]",1.110508,"[{'action_type': 'outbound_click', 'value': '1.12'}]",1.110508,2.34,0.223237,18.72,0.050712,0.050712,2.912,18.72,0.054126,1.149474,24.640842,27.460184,2.143663,2025-12-05,2025-12-05,1.114417,female,5318,2.218879,118,"[{'action_type': 'outbound_click', 'value': '117'}]","[{'action_type': 'outbound_click', 'value': '2.200075'}]",4772,131.04,459,5,437,2224,1370,994
,7,,,5,,,7,,,,,,1,,140,,140,5,5,,130,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,5,,1.508,"[{'action_type': 'outbound_click', 'value': '1.508'}]",1.508,,1.077143,,0.053857,0.053857,1.508,,0.058,1.508,23.936508,26,1.587302,2025-12-05,2025-12-05,1.086207,male,315,1.587302,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.587302'}]",290,7.54,30,5,30,119,73,54
,,,,,,,,,,,,,,,11,,11,,,,11,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.065455,0.065455,,,0.065455,,26.666667,31.304348,0,2025-12-05,2025-12-05,1.173913,unknown,27,,,,,23,0.72,1,5,1,10,9,8
,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,female,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995424984,01_Eddie_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,173.333333,173.333333,0,2025-12-05,2025-12-05,1,male,3,,,,,3,0.52,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,40,40,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.04,,,,,,
,11,1,,11,,,11,,,,,,,,208,1,208,3,2,,194,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,10,,0.836364,"[{'action_type': 'outbound_click', 'value': '0.836364'}]",0.836364,,0.836364,,0.044231,0.044231,3.066667,,0.047423,0.92,22.009569,23,2.392345,2025-12-05,2025-12-05,1.045,female,418,2.631579,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '2.631579'}]",400,9.2,38,5,37,174,94,58
5,565,3,,166,39,39,565,5,5,,2,2,2,5,2873,5,2873,38,31,5,2669,5,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,164,"[{'action_type': 'subscribe_mobile_app', 'value': '42.883333'}, {'action_type': 'subscribe_total', 'value': '42.883333'}]",0.775,"[{'action_type': 'outbound_click', 'value': '0.775'}]",0.775,3.298718,0.227699,25.73,0.044779,0.044779,3.385526,25.73,0.048202,0.784451,20.11099,22.044208,2.563702,2025-12-05,2025-12-05,1.096127,male,6397,2.594966,166,"[{'action_type': 'outbound_click', 'value': '166'}]","[{'action_type': 'outbound_click', 'value': '2.594966'}]",5836,128.65,401,5,382,2372,1322,856
,6,,,3,1,1,6,,,,,,,,28,,28,2,2,,23,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,2,,0.306667,"[{'action_type': 'outbound_click', 'value': '0.306667'}]",0.306667,0.92,0.153333,,0.032857,0.032857,0.46,,0.04,0.46,18.039216,20,3.921569,2025-12-05,2025-12-05,1.108696,unknown,51,5.882353,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '5.882353'}]",46,0.92,4,4,4,22,10,9
,,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,female,1,,,,,1,0.01,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,unknown,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.07,0.07,,,0.07,,14,14,0,2025-12-05,2025-12-05,1,female,5,,,,,5,0.07,,3,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.08,0.08,,,0.08,,40,40,0,2025-12-05,2025-12-05,1,male,2,,,,,2,0.08,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6920996505784,09_red lipstick_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,40,40,0,2025-12-05,2025-12-05,1,female,2,,,,,2,0.08,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,12.5,12.5,0,2025-12-05,2025-12-05,1,female,4,,,,,4,0.05,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,female,1,,,,,1,0.02,,3,,,,
,,,,,,,,,,,,,,,5,,5,1,1,,4,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.042,0.042,0.21,,0.0525,,19.090909,19.090909,0,2025-12-05,2025-12-05,1,male,11,,,,,11,0.21,1,6,1,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,female,1,,,,,1,0.01,,3,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-05,2025-12-05,1,male,2,,,,,2,0.02,,3,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-05,2025-12-05,1,female,1,,,,,1,0.03,,11,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,15,15,0,2025-12-05,2025-12-05,1,male,2,,,,,2,0.03,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506784,10_Red pants_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.1,0.1,,,0.1,,33.333333,33.333333,0,2025-12-05,2025-12-05,1,female,3,,,,,3,0.1,,2,,1,,
,,,,,,,,,,,,,,,2,,2,1,1,,1,,6920996506784,10_Red pants_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,0.02,,0.02,,20,20,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.02,,11,,1,1,1
1,516,4,,108,55,55,516,1,1,,1,1,,1,2487,7,2487,43,35,1,2336,1,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,109,"[{'action_type': 'subscribe_mobile_app', 'value': '138.81'}, {'action_type': 'subscribe_total', 'value': '138.81'}]",1.285278,"[{'action_type': 'outbound_click', 'value': '1.285278'}]",1.285278,2.523818,0.269012,138.81,0.055814,0.055814,3.22814,138.81,0.059422,1.273486,26.663465,29.800344,2.093738,2025-12-05,2025-12-05,1.117647,female,5206,2.074529,108,"[{'action_type': 'outbound_click', 'value': '108'}]","[{'action_type': 'outbound_click', 'value': '2.074529'}]",4658,138.81,321,5,309,2110,1276,892
,,,,3,,,,,,,,,,,122,,122,4,4,,115,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,3,,2.546667,"[{'action_type': 'outbound_click', 'value': '2.546667'}]",2.546667,,,,0.062623,0.062623,1.91,,0.066435,2.546667,25.898305,27.681159,1.016949,2025-12-05,2025-12-05,1.068841,male,295,1.016949,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.016949'}]",276,7.64,12,4,10,105,61,44
,,,,1,,,,,,,,,,,16,,16,,,,15,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,2,,1.25,"[{'action_type': 'outbound_click', 'value': '1.25'}]",1.25,,,,0.078125,0.078125,,,0.083333,0.625,36.764706,40.322581,5.882353,2025-12-05,2025-12-05,1.096774,unknown,34,2.941176,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.941176'}]",31,1.25,1,4,1,14,5,2
,,,,,,,,,,,,,,,,,,,,,,,6920996507184,08_Red dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,female,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920996507184,08_Red dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,1,male,4,,,,,4,0.12,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920996507384,07_nose ring_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,female,1,,,,,1,0.02,,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920996507384,07_nose ring_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,40,0,2025-12-05,2025-12-05,2,male,2,,,,,1,0.04,,0,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.15,0.15,,,0.15,,30,30,0,2025-12-05,2025-12-05,1,female,5,,,,,5,0.15,,2,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.02,,3,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,20,20,0,2025-12-05,2025-12-05,1,female,5,,,,,5,0.1,,6,,2,2,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-05,2025-12-05,1,male,3,,,,,3,0.03,,3,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.16,0.16,,,0.16,,53.333333,53.333333,0,2025-12-05,2025-12-05,1,female,3,,,,,3,0.16,,3,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.01,,13,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,21.428571,21.428571,0,2025-12-05,2025-12-05,1,female,7,,,,,7,0.15,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,5,5,0,2025-12-05,2025-12-05,1,male,2,,,,,2,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999336584,09_red lipstick_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,female,2,,,,,2,0.04,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.11,0.11,,,0.11,,18.333333,18.333333,0,2025-12-05,2025-12-05,1,female,6,,,,,6,0.11,,1,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.016667,0.016667,,,0.016667,,12.5,12.5,0,2025-12-05,2025-12-05,1,male,4,,,,,4,0.05,1,17,1,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,6920999336984,03_blackbodysuit_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.03,,1,,,,
3,415,3,1,140,57,57,415,3,3,,4,4,3,3,3421,7,3421,50,38,3,3231,3,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,153,"[{'action_type': 'subscribe_mobile_app', 'value': '80.93'}, {'action_type': 'subscribe_total', 'value': '80.93'}]",1.156143,"[{'action_type': 'outbound_click', 'value': '1.156143'}]",1.156143,2.839649,0.390024,53.953333,0.047314,0.047314,3.2372,53.953333,0.050096,1.057909,22.593523,24.479734,2.135678,2025-12-05,2025-12-05,1.083485,female,7164,1.954216,140,"[{'action_type': 'outbound_click', 'value': '140'}]","[{'action_type': 'outbound_click', 'value': '1.954216'}]",6612,161.86,311,5,293,2944,1811,1141
,,,,9,1,1,,,,,1,1,1,,457,,457,6,5,,442,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,14,,2.704444,"[{'action_type': 'outbound_click', 'value': '2.704444'}]",2.704444,24.34,,,0.05326,0.05326,4.056667,,0.055068,1.738571,20.928633,22.371324,1.203783,2025-12-05,2025-12-05,1.068934,male,1163,0.773861,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.773861'}]",1088,24.34,53,5,53,392,235,151
,,,,,,,,,,,,,,,30,,30,1,1,,29,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.053333,0.053333,1.6,,0.055172,,24.242424,25.396825,0,2025-12-05,2025-12-05,1.047619,unknown,66,,,,,63,1.6,4,5,4,27,18,12
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,female,1,,,,,1,0.01,,5,,,1,
,,,,,,,,,,,,,,,,,,,,,,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,60,60,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.06,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-05,2025-12-05,1,unknown,1,,,,,1,0,,,,,,
,35,,,5,3,3,35,,,,1,1,,,158,,158,1,,,152,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,6,,2.216,"[{'action_type': 'outbound_click', 'value': '2.216'}]",2.216,3.693333,0.316571,,0.070127,0.070127,11.08,,0.072895,1.846667,27.979798,28.630491,1.515152,2025-12-05,2025-12-05,1.023256,female,396,1.262626,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.262626'}]",387,11.08,18,4,17,133,83,64
,4,,,1,,,4,,,,,,,,22,,22,,,,21,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.29,"[{'action_type': 'outbound_click', 'value': '1.29'}]",1.29,,0.3225,,0.058636,0.058636,,,0.061429,1.29,21.864407,22.631579,1.694915,2025-12-05,2025-12-05,1.035088,male,59,1.694915,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.694915'}]",57,1.29,4,4,4,20,14,10
,,,,,,,,,,,,,,,,,,,,,,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,12.5,12.5,0,2025-12-05,2025-12-05,1,unknown,4,,,,,4,0.05,,0,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6921774416784,02_Jesus_God's Plan,6921773421984,GodsPlan_Singing_251204,6920922044184,FB_iOS_Install_Rap_SingingTest_251203,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,male,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6921774934184,04_Lebron_God's Plan,6921773421984,GodsPlan_Singing_251204,6920922044184,FB_iOS_Install_Rap_SingingTest_251203,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,male,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,9,,9,,,,9,,6922611488184,01_Cristiano_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.037778,0.037778,,,0.037778,,21.25,21.25,0,2025-12-05,2025-12-05,1,female,16,,,,,16,0.34,1,6,1,8,3,3
,,,,1,,,,,,,,,,,15,,15,,,,14,,6922611488184,01_Cristiano_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.53,"[{'action_type': 'outbound_click', 'value': '1.53'}]",1.53,,,,0.102,0.102,,,0.109286,1.53,24.677419,25.5,1.612903,2025-12-05,2025-12-05,1.033333,male,62,1.612903,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.612903'}]",60,1.53,1,3,1,11,5,2
,,,,,,,,,,,,,,,11,,11,,,,11,,6922613374584,01_Cristiano_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.066364,0.066364,,,0.066364,,20.277778,21.470588,0,2025-12-05,2025-12-05,1.058824,female,36,,,,,34,0.73,1,3,1,8,3,2
,3,,,1,,,3,,,,,,,,28,,28,,,,27,,6922613374584,01_Cristiano_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,2.52,"[{'action_type': 'outbound_click', 'value': '2.52'}]",2.52,,0.84,,0.09,0.09,,,0.093333,2.52,22.702703,23.551402,0.900901,2025-12-05,2025-12-05,1.037383,male,111,0.900901,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.900901'}]",107,2.52,1,3,1,22,8,2
,9,,,2,,,9,,,,1,1,,,70,,70,1,,,67,,6922613549984,01_black4_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,2,,4.16,"[{'action_type': 'outbound_click', 'value': '4.16'}]",4.16,,0.924444,,0.118857,0.118857,8.32,,0.124179,4.16,40.985222,42.233503,0.985222,2025-12-05,2025-12-05,1.030457,female,203,0.985222,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.985222'}]",197,8.32,5,4,5,60,28,16
,14,,,2,1,1,14,,,,,,,,21,,21,1,1,,18,,6922613549984,01_black4_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,4,,1.315,"[{'action_type': 'outbound_click', 'value': '1.315'}]",1.315,2.63,0.187857,,0.125238,0.125238,2.63,,0.146111,0.6575,31.309524,31.686747,4.761905,2025-12-05,2025-12-05,1.012048,male,84,2.380952,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.380952'}]",83,2.63,2,3,2,16,5,4
,,,,,,,,,,,,,,,1,,1,,,,1,,6922613549984,01_black4_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-05,2025-12-05,1,unknown,2,,,,,2,0.06,,4,,1,1,
,9,,,4,5,5,9,,,,,,,,140,,140,1,1,,135,,6922613869184,01_Cristiano_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,4,,2.275,"[{'action_type': 'outbound_click', 'value': '2.275'}]",2.275,1.82,1.011111,,0.065,0.065,9.1,,0.067407,2.275,21.666667,22.864322,0.952381,2025-12-05,2025-12-05,1.055276,female,420,0.952381,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.952381'}]",398,9.1,17,4,16,110,51,31
