action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,1,male,1,,,,,1,0.03,,,,,,
11,863,,,142,69,69,863,11,11,,14,14,2,11,3992,7,3992,91,70,11,3759,11,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,164,"[{'action_type': 'subscribe_mobile_app', 'value': '34.296'}, {'action_type': 'subscribe_total', 'value': '34.296'}]",2.415211,"[{'action_type': 'outbound_click', 'value': '2.415211'}]",2.415211,4.970435,0.397404,31.178182,0.085912,0.085912,3.768791,31.178182,0.091237,2.09122,35.342127,35.908282,1.690025,2025-12-05,2025-12-05,1.016019,female,9704,1.463314,142,"[{'action_type': 'outbound_click', 'value': '142'}]","[{'action_type': 'outbound_click', 'value': '1.463314'}]",9551,342.96,398,5,385,3439,1738,1061
,36,,,3,,,36,,,,,,,,216,,216,1,1,,212,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,6.456667,"[{'action_type': 'outbound_click', 'value': '6.456667'}]",6.456667,,0.538056,,0.089676,0.089676,19.37,,0.091368,4.8425,32.554622,34.900901,0.672269,2025-12-05,2025-12-05,1.072072,male,595,0.504202,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.504202'}]",555,19.37,31,5,30,193,95,67
,8,,,,,,8,,,,,,,,23,,23,,,,23,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,,,,,0.33375,,0.116087,0.116087,,,0.116087,1.335,39.850746,41.076923,2.985075,2025-12-05,2025-12-05,1.030769,unknown,67,,,,,65,2.67,1,4,1,20,12,8
,,,,,,,,,,,,,,,2,,2,,,,2,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.115,0.115,,,0.115,,32.857143,32.857143,0,2025-12-05,2025-12-05,1,female,7,,,,,7,0.23,1,3,1,2,1,1
1,65,,,8,3,3,65,1,1,,1,1,,1,236,,236,4,3,1,224,1,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '12.005'}, {'action_type': 'subscribe_total', 'value': '12.005'}]",3.00125,"[{'action_type': 'outbound_click', 'value': '3.00125'}]",3.00125,8.003333,0.369385,24.01,0.101737,0.101737,6.0025,24.01,0.107188,2.667778,40.694915,44.136029,1.525424,2025-12-05,2025-12-05,1.084559,female,590,1.355932,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.355932'}]",544,24.01,21,4,20,196,96,53
4,129,,,13,5,5,129,4,4,,,,,4,560,,560,3,3,4,544,4,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,15,"[{'action_type': 'subscribe_mobile_app', 'value': '14.5225'}, {'action_type': 'subscribe_total', 'value': '14.5225'}]",4.468462,"[{'action_type': 'outbound_click', 'value': '4.468462'}]",4.468462,11.618,0.45031,14.5225,0.103732,0.103732,19.363333,14.5225,0.106783,3.872667,35.946782,39.356369,0.928218,2025-12-05,2025-12-05,1.094851,male,1616,0.804455,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '0.804455'}]",1476,58.09,64,3,63,469,233,144
,,,,,,,,,,,,,,,6,,6,,,,6,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.075,0.075,,,0.075,,19.565217,23.684211,0,2025-12-05,2025-12-05,1.210526,unknown,23,,,,,19,0.45,,3,,5,4,2
,5,,,,,,5,,,,,,,,,,,,,,,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,female,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,male,0,,,,,0,0,,,,,,
