action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,60,,,28,6,6,60,,,2,2,1,,1478,2,1478,13,9,,1437,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,37,BELOW_AVERAGE_35,,5.1925,"[{'action_type': 'outbound_click', 'value': '5.1925'}]",5.1925,24.231667,2.423167,,0.098369,0.098369,11.183846,,0.101176,3.929459,29.927954,33.058208,0.76163,2025-12-04,2025-12-04,BELOW_AVERAGE_35,1.104593,4858,0.576369,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '0.576369'}]",AVERAGE,4398,145.39,97,4,97,1168,490,240
,3,,,,,,3,,,,,,,1,,1,,,,1,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,0.04,,0.12,0.12,,,0.12,,15,15,0,2025-12-04,2025-12-04,UNKNOWN,1,8,,,,,UNKNOWN,8,0.12,,1,,1,,
,500,1,,135,54,54,500,,,,,,,5098,2,5098,16,14,,4947,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,135,ABOVE_AVERAGE,,0.684963,"[{'action_type': 'outbound_click', 'value': '0.684963'}]",0.684963,1.712407,0.18494,,0.018138,0.018138,5.779375,,0.018692,0.684963,8.625933,9.074583,1.259328,2025-12-04,2025-12-04,ABOVE_AVERAGE,1.052012,10720,1.259328,135,"[{'action_type': 'outbound_click', 'value': '135'}]","[{'action_type': 'outbound_click', 'value': '1.259328'}]",ABOVE_AVERAGE,10190,92.47,406,4,371,4698,2059,1142
,,,,1,,,,,,,,,,15,,15,,,,14,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,1.49,"[{'action_type': 'outbound_click', 'value': '1.49'}]",1.49,,,,0.099333,0.099333,,,0.106429,1.49,39.210526,39.210526,2.631579,2025-12-04,2025-12-04,UNKNOWN,1,38,2.631579,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.631579'}]",UNKNOWN,38,1.49,4,4,4,14,7,5
2,301,3,,42,21,21,301,2,2,2,2,,2,1957,1,1957,9,6,2,1906,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,46,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '74.015'}, {'action_type': 'subscribe_total', 'value': '74.015'}]",3.524524,"[{'action_type': 'outbound_click', 'value': '3.524524'}]",3.524524,7.049048,0.491794,74.015,0.075641,0.075641,16.447778,74.015,0.077665,3.218043,29.802698,30.340234,0.926112,2025-12-04,2025-12-04,AVERAGE,1.018036,4967,0.845581,42,"[{'action_type': 'outbound_click', 'value': '42'}]","[{'action_type': 'outbound_click', 'value': '0.845581'}]",AVERAGE,4879,148.03,153,3,148,1805,738,387
,1,,,,,,1,,,,,,,,,,,,,,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-04,2025-12-04,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-04,2025-12-04,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,2,,,,
,21,,,1,,,21,,,,,,,76,,76,,,,75,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,5.78,"[{'action_type': 'outbound_click', 'value': '5.78'}]",5.78,,0.275238,,0.076053,0.076053,,,0.077067,5.78,35.900621,35.900621,0.621118,2025-12-04,2025-12-04,UNKNOWN,1,161,0.621118,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.621118'}]",UNKNOWN,161,5.78,11,4,9,68,35,28
,,,,1,,,,,,,,,,14,,14,,,,13,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,1.63,"[{'action_type': 'outbound_click', 'value': '1.63'}]",1.63,,,,0.116429,0.116429,,,0.125385,1.63,36.222222,40.75,2.222222,2025-12-04,2025-12-04,UNKNOWN,1.125,45,2.222222,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.222222'}]",UNKNOWN,40,1.63,2,3,2,11,5,4
,,,,,,,,,,,,,,1,,1,,,,1,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-12-04,2025-12-04,UNKNOWN,1,1,,,,,UNKNOWN,1,0.06,1,14,1,1,1,1
