action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.02,,1,,,,
,10,,,11,,,10,,,,,,,167,,167,3,3,,153,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,10,,1.266364,"[{'action_type': 'outbound_click', 'value': '1.266364'}]",1.266364,,1.393,,0.083413,0.083413,4.643333,,0.091046,1.393,38.060109,41.831832,2.73224,2025-11-30,2025-11-30,1.099099,female,366,3.005464,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '3.005464'}]",333,13.93,25,4,24,152,79,42
,449,,,72,29,29,449,,,,,,,1729,,1729,12,12,,1645,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,71,"[{'action_type': 'subscribe_mobile_app', 'value': '32.5475'}, {'action_type': 'subscribe_total', 'value': '32.5475'}, {'action_type': 'start_trial_mobile_app', 'value': '16.27375'}, {'action_type': 'start_trial_total', 'value': '16.27375'}]",1.808194,"[{'action_type': 'outbound_click', 'value': '1.808194'}]",1.808194,4.48931,0.289955,,0.075298,0.075298,10.849167,,0.079143,1.833662,29.689852,31.699537,1.619156,2025-11-30,2025-11-30,1.067689,male,4385,1.641961,72,"[{'action_type': 'outbound_click', 'value': '72'}]","[{'action_type': 'outbound_click', 'value': '1.641961'}]",4107,130.19,321,4,311,1568,874,565
,,,,,,,,,,,,,,18,,18,,,,18,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.071111,0.071111,,,0.071111,,31.219512,32,0,2025-11-30,2025-11-30,1.025,unknown,41,,,,,40,1.28,5,5,5,18,13,10
,136,2,,15,3,3,136,,,,,,,426,,426,3,3,,408,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,18,"[{'action_type': 'subscribe_mobile_app', 'value': '17.275'}, {'action_type': 'subscribe_total', 'value': '17.275'}, {'action_type': 'start_trial_mobile_app', 'value': '17.275'}, {'action_type': 'start_trial_total', 'value': '17.275'}]",2.303333,"[{'action_type': 'outbound_click', 'value': '2.467857'}]",2.303333,11.516667,0.254044,,0.081103,0.081103,11.516667,,0.084681,1.919444,28.389482,30.174672,1.479047,2025-11-30,2025-11-30,1.062882,female,1217,1.232539,15,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.15037'}]",1145,34.55,35,3,34,385,175,92
,629,2,1,72,34,34,629,,,,,,,3799,2,3799,14,11,,3713,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,78,"[{'action_type': 'subscribe_mobile_app', 'value': '28.44'}, {'action_type': 'subscribe_total', 'value': '28.44'}, {'action_type': 'start_trial_mobile_app', 'value': '17.501538'}, {'action_type': 'start_trial_total', 'value': '17.501538'}]",3.16,"[{'action_type': 'outbound_click', 'value': '3.16'}]",3.16,6.691765,0.361717,,0.059889,0.059889,16.251429,,0.061277,2.916923,20.8964,22.22092,0.716385,2025-11-30,2025-11-30,1.063385,male,10888,0.661278,72,"[{'action_type': 'outbound_click', 'value': '72'}]","[{'action_type': 'outbound_click', 'value': '0.661278'}]",10239,227.52,293,3,275,3507,1444,751
,,,,,,,,,,,,,,41,,41,,,,41,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.049268,0.049268,,,0.049268,,19.056604,20.612245,0,2025-11-30,2025-11-30,1.081633,unknown,106,,,,,98,2.02,2,3,2,39,15,5
,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,50,50,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.05,,2,,,,
,140,1,,17,6,6,140,,,,,,,404,,404,7,7,,380,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,17,"[{'action_type': 'subscribe_mobile_app', 'value': '30.45'}, {'action_type': 'subscribe_total', 'value': '30.45'}, {'action_type': 'start_trial_mobile_app', 'value': '10.15'}, {'action_type': 'start_trial_total', 'value': '10.15'}]",1.791176,"[{'action_type': 'outbound_click', 'value': '1.791176'}]",1.791176,5.075,0.2175,,0.075371,0.075371,4.35,,0.080132,1.791176,26.114923,27.808219,1.457976,2025-11-30,2025-11-30,1.06484,female,1166,1.457976,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '1.457976'}]",1095,30.45,55,3,51,356,174,104
,166,2,,30,15,15,166,,,,,,,1072,1,1072,7,6,,1035,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,30,"[{'action_type': 'subscribe_mobile_app', 'value': '69.04'}, {'action_type': 'subscribe_total', 'value': '69.04'}, {'action_type': 'start_trial_mobile_app', 'value': '34.52'}, {'action_type': 'start_trial_total', 'value': '34.52'}]",2.301333,"[{'action_type': 'outbound_click', 'value': '2.301333'}]",2.301333,4.602667,0.415904,,0.064403,0.064403,9.862857,,0.066705,2.301333,21.361386,23.475009,0.928218,2025-11-30,2025-11-30,1.098946,male,3232,0.928218,30,"[{'action_type': 'outbound_click', 'value': '30'}]","[{'action_type': 'outbound_click', 'value': '0.928218'}]",2941,69.04,122,3,108,984,427,261
