action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,,,,1,,,,,,,20,,20,,,,20,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,1.99,,0.0995,0.0995,,,0.0995,,28.84058,30.151515,0,2025-11-30,2025-11-30,1.045455,male,69,,,,,66,1.99,2,3,2,18,11,7
,1,,,1,,,1,,,,,,,3,,3,,,,2,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.43,"[{'action_type': 'outbound_click', 'value': '0.43'}]",0.43,,0.43,,0.143333,0.143333,,,0.215,0.43,35.833333,35.833333,8.333333,2025-11-30,2025-11-30,1,unknown,12,8.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '8.333333'}]",12,0.43,1,3,1,2,2,2
,,,,,,,,,,,,,,1,,1,,,,1,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.6,0.6,,,0.6,,150,150,0,2025-11-30,2025-11-30,1,female,4,,,,,4,0.6,,3,,1,1,
,,,,1,,,,,,,,,,5,,5,,,,4,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,0.44,"[{'action_type': 'outbound_click', 'value': '0.44'}]",0.44,,,,0.088,0.088,,,0.11,,55,62.857143,0,2025-11-30,2025-11-30,1.142857,male,8,12.5,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '12.5'}]",7,0.44,,4,,4,,
,720,3,,101,51,51,720,,,,2,2,,2237,2,2237,28,24,,2108,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,112,"[{'action_type': 'subscribe_mobile_app', 'value': '22.105935'}, {'action_type': 'subscribe_total', 'value': '22.105935'}, {'action_type': 'start_trial_mobile_app', 'value': '9.671347'}, {'action_type': 'start_trial_total', 'value': '9.671347'}]",1.532095,"[{'action_type': 'outbound_click', 'value': '1.532095'}]",1.532095,3.034148,0.214919,,0.069174,0.069174,5.526484,,0.073407,1.381621,27.276846,29.452141,1.974264,2025-11-30,2025-11-30,1.079749,female,5673,1.780363,101,"[{'action_type': 'outbound_click', 'value': '101'}]","[{'action_type': 'outbound_click', 'value': '1.780363'}]",5254,154.741548,276,4,264,1912,1018,643
,115,2,,13,3,3,115,,,,,,,463,,463,4,4,,446,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,19,"[{'action_type': 'subscribe_mobile_app', 'value': '10.094558'}, {'action_type': 'subscribe_total', 'value': '10.094558'}, {'action_type': 'start_trial_mobile_app', 'value': '10.094558'}, {'action_type': 'start_trial_total', 'value': '10.094558'}]",3.106018,"[{'action_type': 'outbound_click', 'value': '3.106018'}]",3.106018,13.459411,0.351115,,0.08721,0.08721,10.094558,,0.090534,2.12517,27.045032,30.291247,1.272605,2025-11-30,2025-11-30,1.12003,male,1493,0.87073,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '0.87073'}]",1333,40.378232,64,4,64,412,227,140
,1,,,1,,,1,,,,,,,15,,15,,,,14,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.08022,"[{'action_type': 'outbound_click', 'value': '1.08022'}]",1.08022,,1.08022,,0.072015,0.072015,,,0.077159,1.08022,29.195141,30.863435,2.702703,2025-11-30,2025-11-30,1.057143,unknown,37,2.702703,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.702703'}]",35,1.08022,2,4,2,13,7,5
,,,,,,,,,,,,,,1,,1,,,,1,,6916169150784,13 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.07,0.07,,,0.07,,70,70,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0.07,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,6916169150784,13 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,male,2,,,,,2,0.02,,1,,,,
,,,,,,,,,,,,,,8,,8,,,,8,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.08125,0.08125,,,0.08125,,34.210526,36.111111,0,2025-11-30,2025-11-30,1.055556,female,19,,,,,18,0.65,3,5,3,8,4,4
,,,,1,,,,,,,,,,4,,4,,,,3,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.56,"[{'action_type': 'outbound_click', 'value': '0.56'}]",0.56,,,,0.14,0.14,,,0.186667,0.56,112,112,20,2025-11-30,2025-11-30,1,male,5,20,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '20'}]",5,0.56,1,12,1,3,3,1
,,,,,,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,10,,10,,,,10,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.136,0.136,,,0.136,,27.2,27.2,0,2025-11-30,2025-11-30,1,male,50,,,,,50,1.36,1,2,,10,4,2
,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.01,,1,,,,
,17,,,8,2,2,17,,,,,,,102,1,102,4,3,,90,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,"[{'action_type': 'subscribe_mobile_app', 'value': '8.42'}, {'action_type': 'subscribe_total', 'value': '8.42'}, {'action_type': 'start_trial_mobile_app', 'value': '8.42'}, {'action_type': 'start_trial_total', 'value': '8.42'}]",2.105,"[{'action_type': 'outbound_click', 'value': '2.105'}]",2.105,8.42,0.990588,,0.165098,0.165098,4.21,,0.187111,2.105,53.974359,61.236364,2.564103,2025-11-30,2025-11-30,1.134545,female,312,2.564103,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '2.564103'}]",275,16.84,14,4,14,83,48,28
,19,,1,7,1,1,19,,,,,,,268,,268,7,6,,254,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,,4.518571,"[{'action_type': 'outbound_click', 'value': '4.518571'}]",4.518571,31.63,1.664737,,0.118022,0.118022,4.518571,,0.124528,3.95375,36.651217,40.292994,0.926999,2025-11-30,2025-11-30,1.099363,male,863,0.811124,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '0.811124'}]",785,31.63,43,4,42,226,129,91
,,,,1,,,,,,,,,,5,,5,,,,4,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.36,"[{'action_type': 'outbound_click', 'value': '0.36'}]",0.36,,,,0.072,0.072,,,0.09,0.36,25.714286,36,7.142857,2025-11-30,2025-11-30,1.4,unknown,14,7.142857,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '7.142857'}]",10,0.36,,3,,3,3,1
,58,2,,33,9,9,58,,,,,,,575,,575,1,1,,541,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,30,"[{'action_type': 'start_trial_mobile_app', 'value': '21.897567'}, {'action_type': 'start_trial_total', 'value': '21.897567'}]",0.663563,"[{'action_type': 'outbound_click', 'value': '0.663563'}]",0.663563,2.433063,0.377544,,0.038083,0.038083,21.897567,,0.040476,0.729919,13.319688,14.349651,1.824818,2025-11-30,2025-11-30,1.077326,female,1644,2.007299,33,"[{'action_type': 'outbound_click', 'value': '33'}]","[{'action_type': 'outbound_click', 'value': '2.007299'}]",1526,21.897567,74,4,66,462,222,145
,290,,,54,20,20,290,,,,,,,898,2,898,9,7,,835,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,52,"[{'action_type': 'subscribe_mobile_app', 'value': '9.113978'}, {'action_type': 'subscribe_total', 'value': '9.113978'}, {'action_type': 'start_trial_mobile_app', 'value': '9.113978'}, {'action_type': 'start_trial_total', 'value': '9.113978'}]",0.506332,"[{'action_type': 'outbound_click', 'value': '0.506332'}]",0.506332,1.367097,0.094283,,0.030448,0.030448,3.037993,,0.032745,0.525806,10.495944,11.373517,1.996161,2025-11-30,2025-11-30,1.083611,male,2605,2.072937,54,"[{'action_type': 'outbound_click', 'value': '54'}]","[{'action_type': 'outbound_click', 'value': '2.072937'}]",2404,27.341935,83,3,75,741,352,200
,,,,1,,,,,,,,,,11,,11,1,1,,9,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,1,,0.620498,"[{'action_type': 'outbound_click', 'value': '0.620498'}]",0.620498,,,,0.056409,0.056409,0.620498,,0.068944,0.620498,16.328889,18.249935,2.631579,2025-11-30,2025-11-30,1.117647,unknown,38,2.631579,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.631579'}]",34,0.620498,2,3,2,6,4,2
,,,,,,,,,,,,,,3,,3,,,,3,,6916177884584,08 aiartist3 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.103333,0.103333,,,0.103333,,19.375,19.375,0,2025-11-30,2025-11-30,1,female,16,,,,,16,0.31,1,3,1,3,3,3
,7,,,5,,,7,,,,,,,20,,20,,,,15,,6916177884584,08 aiartist3 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,5,,0.258,"[{'action_type': 'outbound_click', 'value': '0.258'}]",0.258,,0.184286,,0.0645,0.0645,,,0.086,0.258,33.947368,37.941176,13.157895,2025-11-30,2025-11-30,1.117647,male,38,13.157895,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '13.157895'}]",34,1.29,2,4,2,12,6,3
,,,,,,,,,,,,,,3,,3,,,,3,,6916177884784,18 esha - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.026667,0.026667,,,0.026667,,16,16,0,2025-11-30,2025-11-30,1,female,5,,,,,5,0.08,,3,,3,,
,,,,,,,,,,,,,,,,,,,,,,6916177884784,18 esha - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0,,5,,,,
,,,,,,,,,,,,,,,,,,,,,,6916177884984,14 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,female,2,,,,,2,0.04,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916177885184,12 Prerna - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0.03,,8,,1,1,
,,,,,,,,,,,,,,1,,1,,,,1,,6916177885184,12 Prerna - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-11-30,2025-11-30,1,male,2,,,,,2,0.01,,6,,1,1,1
,184,1,,52,17,17,184,,,,1,1,,690,2,690,8,5,,630,,6916177885984,07 black_4 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,50,"[{'action_type': 'subscribe_mobile_app', 'value': '11.334913'}, {'action_type': 'subscribe_total', 'value': '11.334913'}, {'action_type': 'start_trial_mobile_app', 'value': '7.556609'}, {'action_type': 'start_trial_total', 'value': '7.556609'}]",0.435958,"[{'action_type': 'outbound_click', 'value': '0.435958'}]",0.435958,1.333519,0.123206,,0.032855,0.032855,2.833728,,0.035984,0.453397,12.865963,13.534225,2.837684,2025-11-30,2025-11-30,1.05194,female,1762,2.951192,52,"[{'action_type': 'outbound_click', 'value': '52'}]","[{'action_type': 'outbound_click', 'value': '2.951192'}]",1675,22.669827,86,4,80,529,303,216
,1,,,,,,1,,,,,,,9,,9,,,,9,,6916177885984,07 black_4 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0.330143,,0.036683,0.036683,,,0.036683,,9.710091,10.004337,0,2025-11-30,2025-11-30,1.030303,male,34,,,,,33,0.330143,,3,,6,2,2
,,,,,,,,,,,,,,1,,1,,,,1,,6916177885984,07 black_4 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.07003,0.07003,,,0.07003,,17.507589,17.507589,0,2025-11-30,2025-11-30,1,unknown,4,,,,,4,0.07003,,2,,1,,
,2873,25,1,711,258,258,2873,,,,6,6,,14961,18,14961,243,218,,14007,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,701,"[{'action_type': 'subscribe_mobile_app', 'value': '13.589911'}, {'action_type': 'subscribe_total', 'value': '13.589911'}, {'action_type': 'start_trial_mobile_app', 'value': '8.096117'}, {'action_type': 'start_trial_total', 'value': '8.096117'}]",0.535186,"[{'action_type': 'outbound_click', 'value': '0.535186'}]",0.535186,1.474874,0.132446,,0.025434,0.025434,1.565916,,0.027166,0.542821,13.188144,13.687681,2.429557,2025-11-30,2025-11-30,1.037878,female,28853,2.464215,711,"[{'action_type': 'outbound_click', 'value': '711'}]","[{'action_type': 'outbound_click', 'value': '2.464215'}]",27800,380.51752,2263,5,2085,12551,7262,5850
,50,1,,40,3,3,50,,,,,,,984,2,984,29,27,,915,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,40,"[{'action_type': 'subscribe_mobile_app', 'value': '23.772344'}, {'action_type': 'subscribe_total', 'value': '23.772344'}, {'action_type': 'start_trial_mobile_app', 'value': '23.772344'}, {'action_type': 'start_trial_total', 'value': '23.772344'}]",0.594309,"[{'action_type': 'outbound_click', 'value': '0.594309'}]",0.594309,7.924115,0.475447,,0.024159,0.024159,0.819736,,0.025981,0.594309,11.462075,11.710514,1.92864,2025-11-30,2025-11-30,1.021675,male,2074,1.92864,40,"[{'action_type': 'outbound_click', 'value': '40'}]","[{'action_type': 'outbound_click', 'value': '1.92864'}]",2030,23.772344,109,4,103,817,416,314
,,,1,1,,,,,,,,,,61,1,61,2,,,58,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,1,,1.380136,"[{'action_type': 'outbound_click', 'value': '1.380136'}]",1.380136,,,,0.022625,0.022625,0.690068,,0.023795,1.380136,11.312591,12.213594,0.819672,2025-11-30,2025-11-30,1.079646,unknown,122,0.819672,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.819672'}]",113,1.380136,5,5,5,53,28,25
,4,,,1,1,1,4,,,,,,,3,,3,,,,2,,6916177886384,02 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,1,,0.03,"[{'action_type': 'outbound_click', 'value': '0.03'}]",0.03,0.03,0.0075,,0.01,0.01,,,0.015,0.03,10,10,33.333333,2025-11-30,2025-11-30,1,female,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",3,0.03,2,16,2,2,2,2
,,,,,,,,,,,,,,1,,1,,,,1,,6916177886584,01 Esha - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0,0,,,0,,0,0,0,2025-11-30,2025-11-30,1,male,2,,,,,2,0,,7,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6916856622384,01 Jesus_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,3,,3,,,,3,,6916856622384,01 Jesus_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.076667,0.076667,,,0.076667,,20.909091,20.909091,0,2025-11-30,2025-11-30,1,male,11,,,,,11,0.23,,3,,3,1,1
,,,,,,,,,,,,,,,,,,,,,,6916857336784,01 Santa_slim,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0.01,,1,,,,
,16,,1,10,3,3,16,,,,,,,218,1,218,5,3,,203,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,11,,0.585,"[{'action_type': 'outbound_click', 'value': '0.585'}]",0.585,1.95,0.365625,,0.026835,0.026835,1.17,,0.028818,0.531818,13.356164,14.408867,2.511416,2025-11-30,2025-11-30,1.078818,female,438,2.283105,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '2.283105'}]",406,5.85,25,5,24,185,103,61
,404,3,,85,30,30,404,,,,2,2,,2087,2,2087,26,22,,1976,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,81,"[{'action_type': 'subscribe_mobile_app', 'value': '21.375'}, {'action_type': 'subscribe_total', 'value': '21.375'}, {'action_type': 'start_trial_mobile_app', 'value': '8.55'}, {'action_type': 'start_trial_total', 'value': '8.55'}]",0.502941,"[{'action_type': 'outbound_click', 'value': '0.502941'}]",0.502941,1.425,0.105817,,0.020484,0.020484,1.644231,,0.021635,0.527778,10.465116,11.063665,1.982864,2025-11-30,2025-11-30,1.057195,male,4085,2.080783,85,"[{'action_type': 'outbound_click', 'value': '85'}]","[{'action_type': 'outbound_click', 'value': '2.080783'}]",3864,42.75,219,5,204,1804,1081,741
,,,,2,,,,,,,,,,19,,19,,,,17,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,2,,0.255,"[{'action_type': 'outbound_click', 'value': '0.255'}]",0.255,,,,0.026842,0.026842,,,0.03,0.255,13.421053,13.783784,5.263158,2025-11-30,2025-11-30,1.027027,unknown,38,5.263158,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '5.263158'}]",37,0.51,2,4,2,16,7,6
,,,,,,,,,,,,,,,,,,,,,,6916859158784,02 Mike_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,15,15,0,2025-11-30,2025-11-30,1,male,2,,,,,2,0.03,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916860073184,02 Mike_sicko,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.03,0.03,,,0.03,,7.5,7.5,0,2025-11-30,2025-11-30,1,male,4,,,,,4,0.03,,3,,1,1,
,,,,,,,,,,,,,,1,,1,,,,1,,6916860754984,02 snoop_loseYourself,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0,0,,,0,,0,0,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0,,5,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916860754984,02 snoop_loseYourself,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-11-30,2025-11-30,1,male,2,,,,,2,0.02,,3,,1,,
,,,,1,,,,,,,,,,3,,3,,,,2,,6916861420184,02 Timothy_slim,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,,0.16,"[{'action_type': 'outbound_click', 'value': '0.16'}]",0.16,,,,0.053333,0.053333,,,0.08,0.16,22.857143,26.666667,14.285714,2025-11-30,2025-11-30,1.166667,female,7,14.285714,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '14.285714'}]",6,0.16,,3,,2,1,1
,,,,,,,,,,,,,,7,,7,,,,7,,6916861420184,02 Timothy_slim,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.032857,0.032857,,,0.032857,,9.583333,11.5,0,2025-11-30,2025-11-30,1.2,male,24,,,,,20,0.23,1,3,1,4,3,2
,,,,,,,,,,,,,,,,,,,,,,6916861420184,02 Timothy_slim,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,unknown,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,4,,4,,,,4,,6916862364784,03 Mike_gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.043376,0.043376,,,0.043376,,12.393225,12.393225,0,2025-11-30,2025-11-30,1,female,14,,,,,14,0.173505,,2,,3,,
,,,,1,,,,,,,,,,21,,21,,,,20,,6916862364784,03 Mike_gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,,0.816495,"[{'action_type': 'outbound_click', 'value': '0.816495'}]",0.816495,,,,0.038881,0.038881,,,0.040825,0.816495,12.007277,13.169272,1.470588,2025-11-30,2025-11-30,1.096774,male,68,1.470588,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.470588'}]",62,0.816495,2,3,2,16,8,6
,,,,,,,,,,,,,,5,,5,,,,5,,6916863115584,03 Snoop_sicko,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.022,0.022,,,0.022,,10,10,0,2025-11-30,2025-11-30,1,female,11,,,,,11,0.11,,3,,3,1,
,,,,1,,,,,,,,,,24,,24,1,1,,22,,6916863115584,03 Snoop_sicko,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,,0.47,"[{'action_type': 'outbound_click', 'value': '0.47'}]",0.47,,,,0.019583,0.019583,0.47,,0.021364,0.47,8.392857,8.392857,1.785714,2025-11-30,2025-11-30,1,male,56,1.785714,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.785714'}]",56,0.47,,3,,20,8,3
,136,2,,48,21,21,136,,,,2,2,,998,6,998,48,40,,902,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,48,"[{'action_type': 'subscribe_mobile_app', 'value': '26.300984'}, {'action_type': 'subscribe_total', 'value': '26.300984'}, {'action_type': 'start_trial_mobile_app', 'value': '26.300984'}, {'action_type': 'start_trial_total', 'value': '26.300984'}]",0.547937,"[{'action_type': 'outbound_click', 'value': '0.547937'}]",0.547937,1.252428,0.19339,,0.026354,0.026354,0.547937,,0.029159,0.547937,13.203305,14.387847,2.409639,2025-11-30,2025-11-30,1.089716,female,1992,2.409639,48,"[{'action_type': 'outbound_click', 'value': '48'}]","[{'action_type': 'outbound_click', 'value': '2.409639'}]",1828,26.300984,150,5,141,837,478,305
,1771,12,1,449,148,148,1771,,,,3,3,,10639,17,10639,216,195,,9974,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,449,"[{'action_type': 'subscribe_mobile_app', 'value': '21.757178'}, {'action_type': 'subscribe_total', 'value': '21.757178'}, {'action_type': 'start_trial_mobile_app', 'value': '14.95806'}, {'action_type': 'start_trial_total', 'value': '14.95806'}]",0.533027,"[{'action_type': 'outbound_click', 'value': '0.533027'}]",0.533027,1.617088,0.135138,,0.022495,0.022495,1.108004,,0.023995,0.533027,11.104721,11.922335,2.083333,2025-11-30,2025-11-30,1.073628,male,21552,2.083333,449,"[{'action_type': 'outbound_click', 'value': '449'}]","[{'action_type': 'outbound_click', 'value': '2.083333'}]",20074,239.328954,1283,5,1151,9177,5443,3393
