action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,29,,1,5,1,1,29,,,,,,213,2,213,5,2,,203,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,5,ABOVE_AVERAGE,,1.026,"[{'action_type': 'outbound_click', 'value': '1.026'}]",1.026,5.13,0.176897,,0.024085,0.024085,1.026,,0.025271,1.026,10.118343,10.40568,0.986193,2025-12-03,2025-12-03,ABOVE_AVERAGE,1.028398,507,0.986193,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.986193'}]",AVERAGE,493,5.13,24,4,24,190,86,55
,477,3,1,130,61,61,477,,,1,1,,4851,,4851,22,20,,4699,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,131,ABOVE_AVERAGE,,0.681077,"[{'action_type': 'outbound_click', 'value': '0.681077'}]",0.681077,1.451475,0.185618,,0.018252,0.018252,4.024545,,0.018842,0.675878,8.740375,9.103434,1.293189,2025-12-03,2025-12-03,AVERAGE,1.041538,10130,1.283317,130,"[{'action_type': 'outbound_click', 'value': '130'}]","[{'action_type': 'outbound_click', 'value': '1.283317'}]",AVERAGE,9726,88.54,410,4,365,4491,1936,1073
,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,6.666667,6.666667,0,2025-12-03,2025-12-03,UNKNOWN,1,3,,,,,UNKNOWN,3,0.02,1,4,1,1,1,1
,3,,,2,,,3,,,,,,78,,78,,,,76,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,UNKNOWN,,3.275,"[{'action_type': 'outbound_click', 'value': '3.275'}]",3.275,,2.183333,,0.083974,0.083974,,,0.086184,3.275,32.425743,33.762887,0.990099,2025-12-03,2025-12-03,UNKNOWN,1.041237,202,0.990099,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.990099'}]",UNKNOWN,194,6.55,19,4,19,72,37,25
,73,1,,23,9,9,73,,,,,,1497,1,1497,8,7,,1466,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,27,ABOVE_AVERAGE,,4.525217,"[{'action_type': 'outbound_click', 'value': '4.525217'}]",4.525217,11.564444,1.425753,,0.069526,0.069526,13.01,,0.070996,3.854815,27.210458,27.63675,0.705882,2025-12-03,2025-12-03,AVERAGE,1.015666,3825,0.601307,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '0.601307'}]",AVERAGE,3766,104.08,119,3,114,1371,520,280
,1,,,1,,,1,,,,,,20,,20,,,,19,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,1.45,"[{'action_type': 'outbound_click', 'value': '1.45'}]",1.45,,1.45,,0.0725,0.0725,,,0.076316,1.45,21.641791,21.641791,1.492537,2025-12-03,2025-12-03,UNKNOWN,1,67,1.492537,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.492537'}]",UNKNOWN,67,1.45,2,3,2,19,6,5
,54,,,6,3,3,54,,,,,,195,,195,,,,189,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,6,ABOVE_AVERAGE,,2.32,"[{'action_type': 'outbound_click', 'value': '2.32'}]",2.32,4.64,0.257778,,0.071385,0.071385,,,0.073651,2.32,22.272,22.487884,0.96,2025-12-03,2025-12-03,BELOW_AVERAGE_35,1.009693,625,0.96,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '0.96'}]",AVERAGE,619,13.92,18,3,15,185,84,44
,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-03,2025-12-03,UNKNOWN,1,6,,,,,UNKNOWN,6,0.08,,2,,2,1,
,,,,,,,,,,,,,1,,1,,,,1,,6916143725584,jesus_rap_1_4x5_subtitles,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-03,2025-12-03,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,50,50,0,2025-12-03,2025-12-03,UNKNOWN,1,2,,,,,UNKNOWN,2,0.1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-03,2025-12-03,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,35,35,0,2025-12-03,2025-12-03,UNKNOWN,1,2,,,,,UNKNOWN,2,0.07,,4,,1,1,
,,,,,,,,,,,,,,,,,,,,,6916164484784,04 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,50,50,0,2025-12-03,2025-12-03,UNKNOWN,1,3,,,,,UNKNOWN,3,0.15,,1,,,,
1,92,,,30,9,9,92,1,1,,,1,773,2,773,8,6,1,735,1,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,31,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '48.67'}, {'action_type': 'subscribe_total', 'value': '48.67'}]",1.622333,"[{'action_type': 'outbound_click', 'value': '1.622333'}]",1.622333,5.407778,0.529022,48.67,0.062962,0.062962,6.08375,48.67,0.066218,1.57,25.902076,27.684869,1.649814,2025-12-03,2025-12-03,AVERAGE,1.068828,1879,1.596594,30,"[{'action_type': 'outbound_click', 'value': '30'}]","[{'action_type': 'outbound_click', 'value': '1.596594'}]",AVERAGE,1758,48.67,122,4,116,650,328,253
,6,,,10,2,2,6,,,,,,157,1,157,1,,,146,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,10,ABOVE_AVERAGE,,1.49,"[{'action_type': 'outbound_click', 'value': '1.49'}]",1.49,7.45,2.483333,,0.094904,0.094904,14.9,,0.102055,1.49,27.695167,29.330709,1.858736,2025-12-03,2025-12-03,AVERAGE,1.059055,538,1.858736,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.858736'}]",AVERAGE,508,14.9,25,4,25,125,66,51
,,,,,,,,,,,,,1,,1,,,,1,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.34,0.34,,,0.34,,37.777778,37.777778,0,2025-12-03,2025-12-03,UNKNOWN,1,9,,,,,UNKNOWN,9,0.34,,1,,1,,
11,840,2,1,164,68,68,840,11,11,12,12,11,4251,5,4251,74,56,11,4013,11,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,180,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '44.97'}, {'action_type': 'subscribe_total', 'value': '44.97'}]",2.193659,"[{'action_type': 'outbound_click', 'value': '2.193659'}]",2.193659,5.290588,0.428286,32.705455,0.08463,0.08463,4.861622,32.705455,0.089649,1.998667,31.913421,33.920422,1.596736,2025-12-03,2025-12-03,AVERAGE,1.062889,11273,1.454804,164,"[{'action_type': 'outbound_click', 'value': '164'}]","[{'action_type': 'outbound_click', 'value': '1.454804'}]",AVERAGE,10606,359.76,498,4,483,3635,1850,1144
,,,,15,2,2,,,,2,2,,497,,497,9,7,,473,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,16,AVERAGE,,3.578667,"[{'action_type': 'outbound_click', 'value': '3.578667'}]",3.578667,26.84,,,0.108008,0.108008,5.964444,,0.113488,3.355,34.039315,37.02069,1.014585,2025-12-03,2025-12-03,AVERAGE,1.087586,1577,0.951173,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '0.951173'}]",AVERAGE,1450,53.68,67,3,65,427,221,149
,269,3,1,86,29,29,269,,,,,,1601,3,1601,19,15,,1496,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,78,ABOVE_AVERAGE,,0.566163,"[{'action_type': 'outbound_click', 'value': '0.566163'}]",0.566163,1.678966,0.181004,,0.030412,0.030412,2.562632,,0.032547,0.624231,10.446256,10.745972,1.673461,2025-12-03,2025-12-03,AVERAGE,1.028691,4661,1.845098,86,"[{'action_type': 'outbound_click', 'value': '86'}]","[{'action_type': 'outbound_click', 'value': '1.845098'}]",AVERAGE,4531,48.69,171,4,160,1330,641,397
,,,,,,,,,,,,,1,,1,,,,1,,6916177884584,08 aiartist3 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.18,0.18,,,0.18,,45,45,0,2025-12-03,2025-12-03,UNKNOWN,1,4,,,,,UNKNOWN,4,0.18,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,6916177884984,14 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-03,2025-12-03,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,1,,,,
,,,,,,,,,,,,,6,,6,1,1,,5,,6916177885184,12 Prerna - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.036667,0.036667,0.22,,0.044,,14.666667,15.714286,0,2025-12-03,2025-12-03,UNKNOWN,1.071429,15,,,,,UNKNOWN,14,0.22,1,4,1,4,4,1
