action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,9,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,80,80,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.08,,1,,,,
,,,,1,,,,,,,,,,,3,,3,,,,2,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.18,"[{'action_type': 'outbound_click', 'value': '0.18'}]",0.18,,,,0.06,0.06,,,0.09,0.18,45,45,25,2025-12-11,2025-12-11,UNKNOWN,1,4,25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '25'}]",UNKNOWN,4,0.18,,9,,2,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-11,2025-12-11,UNKNOWN,1,2,,,,,UNKNOWN,2,0.01,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6917461956384,02 Timothy_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,1,,,,
,315,1,1,104,36,36,315,,,25,4,4,1,,3498,6,3498,37,26,,3357,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,133,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '32.45'}, {'action_type': 'subscribe_total', 'value': '32.45'}, {'action_type': 'start_trial_mobile_app', 'value': '32.45'}, {'action_type': 'start_trial_total', 'value': '32.45'}]",1.248077,"[{'action_type': 'outbound_click', 'value': '1.248077'}]",1.248077,3.605556,0.412063,,0.037107,0.037107,3.508108,,0.038665,0.97594,14.029399,14.847861,1.437527,2025-12-11,2025-12-11,ABOVE_AVERAGE,1.058339,9252,1.124081,104,"[{'action_type': 'outbound_click', 'value': '104'}]","[{'action_type': 'outbound_click', 'value': '1.124081'}]",AVERAGE,8742,129.8,272,4,263,2970,1482,898
,,,,,,,,,,,,,,,13,,13,,,,13,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.073077,0.073077,,,0.073077,,21.590909,21.590909,0,2025-12-11,2025-12-11,UNKNOWN,1,44,,,,,UNKNOWN,44,0.95,,3,,12,7,4
,,,,,,,,,,,,,,,10,,10,,,,10,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.048,0.048,,,0.048,,20,20,0,2025-12-11,2025-12-11,UNKNOWN,1,24,,,,,UNKNOWN,24,0.48,1,6,1,10,4,4
,,,,1,,,,,,,,,,,9,,9,,,,8,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.68,"[{'action_type': 'outbound_click', 'value': '0.68'}]",0.68,,,,0.075556,0.075556,,,0.085,0.68,20,20,2.941176,2025-12-11,2025-12-11,UNKNOWN,1,34,2.941176,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.941176'}]",UNKNOWN,34,0.68,,2,,7,2,2
,550,3,,101,38,38,550,,,32,2,2,3,,2572,1,2572,38,35,,2433,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,104,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '9.305'}, {'action_type': 'subscribe_total', 'value': '9.305'}, {'action_type': 'start_trial_mobile_app', 'value': '8.141875'}, {'action_type': 'start_trial_total', 'value': '8.141875'}]",1.289802,"[{'action_type': 'outbound_click', 'value': '1.289802'}]",1.289802,3.428158,0.236855,,0.050649,0.050649,3.428158,,0.053543,1.252596,16.720575,17.589792,1.334874,2025-12-11,2025-12-11,ABOVE_AVERAGE,1.051985,7791,1.296368,101,"[{'action_type': 'outbound_click', 'value': '101'}]","[{'action_type': 'outbound_click', 'value': '1.296368'}]",AVERAGE,7406,130.27,220,3,207,2069,1026,607
,1,,,2,,,1,,,,,,,,14,,14,,,,12,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,UNKNOWN,,0.23,"[{'action_type': 'outbound_click', 'value': '0.23'}]",0.23,,0.46,,0.032857,0.032857,,,0.038333,0.23,16.428571,17.037037,7.142857,2025-12-11,2025-12-11,UNKNOWN,1.037037,28,7.142857,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '7.142857'}]",UNKNOWN,27,0.46,1,4,1,10,4,2
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505482184,08 aiartist3 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,,,,,,,0.1,0.1,,,0.1,0.1,100,100,100,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.1,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6920992822384,04 Will_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,1,,,,
1,514,,,80,27,27,514,1,1,14,,,,1,1715,4,1715,18,14,1,1617,1,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,85,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '20.81'}, {'action_type': 'subscribe_total', 'value': '20.81'}, {'action_type': 'start_trial_mobile_app', 'value': '20.81'}, {'action_type': 'start_trial_total', 'value': '20.81'}]",1.0405,"[{'action_type': 'outbound_click', 'value': '1.0405'}]",1.0405,3.082963,0.161946,83.24,0.048536,0.048536,4.624444,83.24,0.051478,0.979294,21.87073,22.473002,2.233316,2025-12-11,2025-12-11,ABOVE_AVERAGE,1.027538,3806,2.101944,80,"[{'action_type': 'outbound_click', 'value': '80'}]","[{'action_type': 'outbound_click', 'value': '2.101944'}]",AVERAGE,3704,83.24,172,4,165,1455,773,473
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,1,17,1,1,1,1
,,,,3,,,,,,1,,,,,250,,250,1,1,,246,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,4,ABOVE_AVERAGE,,3.74,"[{'action_type': 'outbound_click', 'value': '3.74'}]",3.74,,,,0.04488,0.04488,11.22,,0.04561,2.805,18.7,18.731219,0.666667,2025-12-11,2025-12-11,ABOVE_AVERAGE,1.001669,600,0.5,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.5'}]",AVERAGE,599,11.22,14,4,12,223,109,63
,,,,,,,,,,,,,,,1,,1,,,,1,,6920994402784,09_red lipstick_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.55,0.55,,,0.55,,137.5,137.5,0,2025-12-11,2025-12-11,UNKNOWN,1,4,,,,,UNKNOWN,4,0.55,,2,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.115,0.115,,,0.115,,76.666667,76.666667,0,2025-12-11,2025-12-11,UNKNOWN,1,3,,,,,UNKNOWN,3,0.23,1,14,1,2,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,13,,1,1,1
3,655,5,,81,30,30,655,3,3,26,,,,3,1756,,1756,26,26,3,1649,3,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,82,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '7.8975'}, {'action_type': 'subscribe_total', 'value': '7.8975'}, {'action_type': 'start_trial_mobile_app', 'value': '9.477'}, {'action_type': 'start_trial_total', 'value': '9.477'}]",1.17,"[{'action_type': 'outbound_click', 'value': '1.17'}]",1.17,3.159,0.144687,31.59,0.053969,0.053969,3.645,31.59,0.057471,1.155732,27.271942,28.357271,2.359712,2025-12-11,2025-12-11,ABOVE_AVERAGE,1.039797,3475,2.330935,81,"[{'action_type': 'outbound_click', 'value': '81'}]","[{'action_type': 'outbound_click', 'value': '2.330935'}]",BELOW_AVERAGE_35,3342,94.77,249,5,232,1535,929,639
,,,,,,,,,,,,,,,1,,1,,,,1,,6920994403784,11_yellow dress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.1,0.1,,,0.1,,50,50,0,2025-12-11,2025-12-11,UNKNOWN,1,2,,,,,UNKNOWN,2,0.1,,2,,1,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.055,0.055,,,0.055,,15.714286,18.333333,0,2025-12-11,2025-12-11,UNKNOWN,1.166667,7,,,,,UNKNOWN,6,0.11,,2,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920994404584,02_blackNew_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,14,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,2,,,,
,411,,,70,31,31,411,,,26,,,2,,1989,3,1989,31,28,,1888,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,78,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.527143'}, {'action_type': 'subscribe_total', 'value': '13.527143'}, {'action_type': 'start_trial_mobile_app', 'value': '9.469'}, {'action_type': 'start_trial_total', 'value': '9.469'}]",1.352714,"[{'action_type': 'outbound_click', 'value': '1.352714'}]",1.352714,3.054516,0.230389,,0.047607,0.047607,3.054516,,0.050154,1.213974,22.855419,23.58406,1.882694,2025-12-11,2025-12-11,ABOVE_AVERAGE,1.03188,4143,1.689597,70,"[{'action_type': 'outbound_click', 'value': '70'}]","[{'action_type': 'outbound_click', 'value': '1.689597'}]",BELOW_AVERAGE_35,4015,94.69,152,5,147,1676,829,445
2,360,,,65,26,26,360,2,2,22,1,1,,2,1887,2,1887,25,22,2,1797,2,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,64,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '31.963333'}, {'action_type': 'subscribe_total', 'value': '31.963333'}, {'action_type': 'start_trial_mobile_app', 'value': '23.9725'}, {'action_type': 'start_trial_total', 'value': '23.9725'}]",1.475231,"[{'action_type': 'outbound_click', 'value': '1.475231'}]",1.475231,3.688077,0.266361,47.945,0.050816,0.050816,3.8356,47.945,0.053361,1.498281,22.711985,23.184236,1.515869,2025-12-11,2025-12-11,AVERAGE,1.020793,4222,1.539555,65,"[{'action_type': 'outbound_click', 'value': '65'}]","[{'action_type': 'outbound_click', 'value': '1.539555'}]",AVERAGE,4136,95.89,192,4,184,1611,944,620
,,,,,,,,,,,,,,,,,,,,,,,6920996507384,07_nose ring_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,0,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-12-11,2025-12-11,UNKNOWN,1,2,,,,,UNKNOWN,2,0.05,,3,,1,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,26.666667,26.666667,0,2025-12-11,2025-12-11,UNKNOWN,1,6,,,,,UNKNOWN,6,0.16,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,50,50,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.05,,5,,1,,
,2,,,3,2,2,2,,,,,,,,23,,23,,,,20,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,3,UNKNOWN,,0.556667,"[{'action_type': 'outbound_click', 'value': '0.556667'}]",0.556667,0.835,0.835,,0.072609,0.072609,,,0.0835,0.556667,26.507937,27.833333,4.761905,2025-12-11,2025-12-11,UNKNOWN,1.05,63,4.761905,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '4.761905'}]",UNKNOWN,60,1.67,,3,,17,8,5
,,,,,,,,,,,,,,,3,,3,,,,3,,6920999336584,09_red lipstick_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.093333,0.093333,,,0.093333,,31.111111,40,0,2025-12-11,2025-12-11,UNKNOWN,1.285714,9,,,,,UNKNOWN,7,0.28,,2,,2,,
,202,,1,42,17,17,202,,,18,,,1,,1270,1,1270,21,19,,1207,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,40,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '15.222'}, {'action_type': 'subscribe_total', 'value': '15.222'}, {'action_type': 'start_trial_mobile_app', 'value': '12.685'}, {'action_type': 'start_trial_total', 'value': '12.685'}]",1.812143,"[{'action_type': 'outbound_click', 'value': '1.812143'}]",1.812143,4.477059,0.376782,,0.059929,0.059929,3.624286,,0.063057,1.90275,26.818182,28.807721,1.409443,2025-12-11,2025-12-11,AVERAGE,1.074186,2838,1.479915,42,"[{'action_type': 'outbound_click', 'value': '42'}]","[{'action_type': 'outbound_click', 'value': '1.479915'}]",BELOW_AVERAGE_35,2642,76.11,128,5,123,1083,669,413
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.09,0.09,,,0.09,,45,45,0,2025-12-11,2025-12-11,UNKNOWN,1,2,,,,,UNKNOWN,2,0.09,1,13,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920999337584,01_black4_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,45,45,0,2025-12-11,2025-12-11,UNKNOWN,1,2,,,,,UNKNOWN,2,0.09,,1,,,,
