action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,23.333333,23.333333,0,2025-12-11,2025-12-11,UNKNOWN,1,3,,,,,UNKNOWN,3,0.07,1,6,1,1,1,1
,162,,,36,18,18,162,,,6,2,2,,,1300,1,1300,9,6,,1255,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,41,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '46.11'}, {'action_type': 'subscribe_total', 'value': '46.11'}, {'action_type': 'start_trial_mobile_app', 'value': '46.11'}, {'action_type': 'start_trial_total', 'value': '46.11'}]",2.561667,"[{'action_type': 'outbound_click', 'value': '2.561667'}]",2.561667,5.123333,0.569259,,0.070938,0.070938,10.246667,,0.073482,2.249268,29.063977,29.063977,1.292153,2025-12-11,2025-12-11,ABOVE_AVERAGE,1,3173,1.134573,36,"[{'action_type': 'outbound_click', 'value': '36'}]","[{'action_type': 'outbound_click', 'value': '1.134573'}]",AVERAGE,3173,92.22,104,3,101,1175,489,270
,,,,,,,,,,,,,,,1,,1,,,,1,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,13.333333,13.333333,0,2025-12-11,2025-12-11,UNKNOWN,1,6,,,,,UNKNOWN,6,0.08,,2,,1,,
,44,,,7,4,4,44,,,0,,,1,,209,,209,1,1,,201,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '18.36'}, {'action_type': 'subscribe_total', 'value': '18.36'}, {'action_type': 'start_trial_mobile_app', 'value': '18.36'}, {'action_type': 'start_trial_total', 'value': '18.36'}]",2.622857,"[{'action_type': 'outbound_click', 'value': '2.622857'}]",2.622857,4.59,0.417273,,0.087847,0.087847,18.36,,0.091343,2.622857,35.239923,37.165992,1.34357,2025-12-11,2025-12-11,AVERAGE,1.054656,521,1.34357,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.34357'}]",AVERAGE,494,18.36,29,4,28,190,97,63
1,271,2,,71,15,15,271,1,1,17,,,1,1,1654,1,1654,19,18,1,1564,1,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,75,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.888571'}, {'action_type': 'subscribe_total', 'value': '17.888571'}, {'action_type': 'start_trial_mobile_app', 'value': '20.87'}, {'action_type': 'start_trial_total', 'value': '20.87'}]",1.763662,"[{'action_type': 'outbound_click', 'value': '1.788857'}]",1.763662,8.348,0.462066,125.22,0.075707,0.075707,6.590526,125.22,0.080064,1.6696,26.631221,28.000894,1.595066,2025-12-11,2025-12-11,AVERAGE,1.051431,4702,1.509996,71,"[{'action_type': 'outbound_click', 'value': '70'}]","[{'action_type': 'outbound_click', 'value': '1.488728'}]",AVERAGE,4472,125.22,253,3,237,1495,745,459
,,,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.095,0.095,,,0.095,,38,38,0,2025-12-11,2025-12-11,UNKNOWN,1,5,,,,,UNKNOWN,5,0.19,1,5,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,50,50,0,2025-12-11,2025-12-11,UNKNOWN,1,1,,,,,UNKNOWN,1,0.05,,2,,,,
,317,,,54,31,31,317,,,25,4,4,,,1339,2,1339,31,25,,1254,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,59,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '18.554'}, {'action_type': 'subscribe_total', 'value': '18.554'}, {'action_type': 'start_trial_mobile_app', 'value': '13.252857'}, {'action_type': 'start_trial_total', 'value': '13.252857'}]",1.717963,"[{'action_type': 'outbound_click', 'value': '1.717963'}]",1.717963,2.992581,0.29265,,0.069283,0.069283,2.992581,,0.073979,1.572373,27.422406,27.842137,1.744014,2025-12-11,2025-12-11,ABOVE_AVERAGE,1.015306,3383,1.596216,54,"[{'action_type': 'outbound_click', 'value': '54'}]","[{'action_type': 'outbound_click', 'value': '1.596216'}]",BELOW_AVERAGE_35,3332,92.77,119,4,117,1139,575,362
,,,,,,,,,,,,,,,2,,2,,,,2,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-11,2025-12-11,UNKNOWN,1,4,,,,,UNKNOWN,4,0.12,,6,,2,2,1
,134,1,,24,7,7,134,,,5,,,,,503,,503,5,5,,474,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,23,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '15.683333'}, {'action_type': 'subscribe_total', 'value': '15.683333'}, {'action_type': 'start_trial_mobile_app', 'value': '15.683333'}, {'action_type': 'start_trial_total', 'value': '15.683333'}]",1.960417,"[{'action_type': 'outbound_click', 'value': '1.960417'}]",1.960417,6.721429,0.351119,,0.093539,0.093539,9.41,,0.099262,2.045652,35.402558,36.643302,1.730625,2025-12-11,2025-12-11,AVERAGE,1.035047,1329,1.805869,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '1.805869'}]",AVERAGE,1284,47.05,83,6,80,412,233,157
