action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.07,0.07,,,0.07,,23.333333,23.333333,0,2025-12-11,2025-12-11,1,male,3,,,,,3,0.07,1,6,1,1,1,1
,5,,,8,2,2,5,,,1,1,1,,,268,,268,2,1,,258,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,,3.365,"[{'action_type': 'outbound_click', 'value': '3.365'}]",3.365,13.46,5.384,,0.100448,0.100448,13.46,,0.104341,2.991111,40.35982,40.542169,1.349325,2025-12-11,2025-12-11,1.004518,female,667,1.1994,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.1994'}]",664,26.92,14,3,14,240,99,58
,157,,,28,16,16,157,,,5,1,1,,,1026,1,1026,7,5,,991,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,32,"[{'action_type': 'subscribe_mobile_app', 'value': '32.435'}, {'action_type': 'subscribe_total', 'value': '32.435'}, {'action_type': 'start_trial_mobile_app', 'value': '32.435'}, {'action_type': 'start_trial_total', 'value': '32.435'}]",2.316786,"[{'action_type': 'outbound_click', 'value': '2.316786'}]",2.316786,4.054375,0.413185,,0.063226,0.063226,9.267143,,0.065459,2.027188,26.073151,26.073151,1.286174,2025-12-11,2025-12-11,1,male,2488,1.125402,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.125402'}]",2488,64.87,89,3,86,929,389,211
,,,,,,,,,,,,,,,6,,6,,,,6,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.071667,0.071667,,,0.071667,,23.888889,23.888889,0,2025-12-11,2025-12-11,1,unknown,18,,,,,18,0.43,1,2,1,6,1,1
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-11,2025-12-11,1,female,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,12,12,0,2025-12-11,2025-12-11,1,male,5,,,,,5,0.06,,2,,1,,
,23,,,5,3,3,23,,,,,,,,83,,83,,,,78,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,"[{'action_type': 'subscribe_mobile_app', 'value': '8.69'}, {'action_type': 'subscribe_total', 'value': '8.69'}, {'action_type': 'start_trial_mobile_app', 'value': '8.69'}, {'action_type': 'start_trial_total', 'value': '8.69'}]",1.738,"[{'action_type': 'outbound_click', 'value': '1.738'}]",1.738,2.896667,0.377826,,0.104699,0.104699,,,0.11141,1.738,40.046083,40.798122,2.304147,2025-12-11,2025-12-11,1.018779,female,217,2.304147,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '2.304147'}]",213,8.69,9,3,9,74,34,24
,18,,,2,1,1,18,,,0,,,1,,124,,124,1,1,,121,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,4.755,"[{'action_type': 'outbound_click', 'value': '4.755'}]",4.755,9.51,0.528333,,0.076694,0.076694,9.51,,0.078595,4.755,31.912752,33.368421,0.671141,2025-12-11,2025-12-11,1.045614,male,298,0.671141,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.671141'}]",285,9.51,20,4,19,114,63,39
,3,,,,,,3,,,,,,,,2,,2,,,,2,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.053333,,0.08,0.08,,,0.08,,26.666667,26.666667,0,2025-12-11,2025-12-11,1,unknown,6,,,,,6,0.16,,2,,2,,
,62,,,16,3,3,62,,,5,,,,,457,,457,5,5,,436,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,16,"[{'action_type': 'subscribe_mobile_app', 'value': '11.073333'}, {'action_type': 'subscribe_total', 'value': '11.073333'}, {'action_type': 'start_trial_mobile_app', 'value': '11.073333'}, {'action_type': 'start_trial_total', 'value': '11.073333'}]",2.07625,"[{'action_type': 'outbound_click', 'value': '2.214667'}]",2.07625,11.073333,0.535806,,0.072691,0.072691,6.644,,0.076193,2.07625,26.61859,27.683333,1.282051,2025-12-11,2025-12-11,1.04,female,1248,1.282051,16,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.201923'}]",1200,33.22,76,3,71,414,193,108
