action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
1,208,2,,55,12,12,208,1,1,12,,,1,1,1188,1,1188,14,13,1,1119,1,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,59,"[{'action_type': 'subscribe_mobile_app', 'value': '22.805'}, {'action_type': 'subscribe_total', 'value': '22.805'}, {'action_type': 'start_trial_mobile_app', 'value': '30.406667'}, {'action_type': 'start_trial_total', 'value': '30.406667'}]",1.658545,"[{'action_type': 'outbound_click', 'value': '1.658545'}]",1.658545,7.601667,0.438558,91.22,0.076785,0.076785,6.515714,91.22,0.081519,1.546102,26.672515,28.015971,1.725146,2025-12-11,2025-12-11,1.050369,male,3420,1.608187,55,"[{'action_type': 'outbound_click', 'value': '55'}]","[{'action_type': 'outbound_click', 'value': '1.608187'}]",3256,91.22,175,3,164,1072,546,346
,1,,,,,,1,,,,,,,,9,,9,,,,9,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.78,,0.086667,0.086667,,,0.086667,,22.941176,23.636364,0,2025-12-11,2025-12-11,1.030303,unknown,34,,,,,33,0.78,2,3,2,9,6,5
,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,60,60,0,2025-12-11,2025-12-11,1,female,1,,,,,1,0.06,,2,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.065,0.065,,,0.065,,32.5,32.5,0,2025-12-11,2025-12-11,1,male,4,,,,,4,0.13,1,6,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,50,50,0,2025-12-11,2025-12-11,1,female,1,,,,,1,0.05,,2,,,,
,311,,,51,30,30,311,,,24,4,4,,,1289,2,1289,30,24,,1208,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,56,"[{'action_type': 'subscribe_mobile_app', 'value': '18.018'}, {'action_type': 'subscribe_total', 'value': '18.018'}, {'action_type': 'start_trial_mobile_app', 'value': '12.87'}, {'action_type': 'start_trial_total', 'value': '12.87'}]",1.766471,"[{'action_type': 'outbound_click', 'value': '1.766471'}]",1.766471,3.003,0.289678,,0.069891,0.069891,3.003,,0.074578,1.60875,27.634969,27.995649,1.717791,2025-12-11,2025-12-11,1.013052,female,3260,1.564417,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '1.564417'}]",3218,90.09,112,4,110,1097,554,348
,6,,,3,1,1,6,,,1,,,,,46,,46,1,1,,42,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,0.78,"[{'action_type': 'outbound_click', 'value': '0.78'}]",0.78,2.34,0.39,,0.05087,0.05087,2.34,,0.055714,0.78,21.666667,22.718447,2.777778,2025-12-11,2025-12-11,1.048544,male,108,2.777778,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.777778'}]",103,2.34,7,4,7,38,19,12
,,,,,,,,,,,,,,,4,,4,,,,4,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.085,0.085,,,0.085,,22.666667,24.285714,0,2025-12-11,2025-12-11,1.071429,unknown,15,,,,,14,0.34,,3,,4,2,2
,,,,,,,,,,,,,,,2,,2,,,,2,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-11,2025-12-11,1,male,4,,,,,4,0.12,,6,,2,2,1
,18,,,6,1,1,18,,,1,,,,,174,,174,1,1,,167,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,"[{'action_type': 'subscribe_mobile_app', 'value': '19.06'}, {'action_type': 'subscribe_total', 'value': '19.06'}, {'action_type': 'start_trial_mobile_app', 'value': '9.53'}, {'action_type': 'start_trial_total', 'value': '9.53'}]",3.176667,"[{'action_type': 'outbound_click', 'value': '3.176667'}]",3.176667,19.06,1.058889,,0.10954,0.10954,19.06,,0.114132,3.176667,44.741784,46.830467,1.408451,2025-12-11,2025-12-11,1.046683,female,426,1.408451,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.408451'}]",407,19.06,22,4,21,142,82,55
,116,1,,18,6,6,116,,,4,,,,,325,,325,4,4,,303,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,17,"[{'action_type': 'subscribe_mobile_app', 'value': '13.755'}, {'action_type': 'subscribe_total', 'value': '13.755'}, {'action_type': 'start_trial_mobile_app', 'value': '27.51'}, {'action_type': 'start_trial_total', 'value': '27.51'}]",1.528333,"[{'action_type': 'outbound_click', 'value': '1.528333'}]",1.528333,4.585,0.237155,,0.084646,0.084646,6.8775,,0.090792,1.618235,31.049661,31.548165,1.918736,2025-12-11,2025-12-11,1.016055,male,886,2.031603,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '2.031603'}]",872,27.51,60,6,58,266,148,101
,,,,,,,,,,,,,,,4,,4,,,,4,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.12,0.12,,,0.12,,28.235294,30,0,2025-12-11,2025-12-11,1.0625,unknown,17,,,,,16,0.48,1,3,1,4,3,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-11,2025-12-11,1,male,1,,,,,1,0.03,,9,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,80,80,0,2025-12-11,2025-12-11,1,male,1,,,,,1,0.08,,1,,,,
,,,,1,,,,,,,,,,,2,,2,,,,1,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.17,"[{'action_type': 'outbound_click', 'value': '0.17'}]",0.17,,,,0.085,0.085,,,0.17,0.17,56.666667,56.666667,33.333333,2025-12-11,2025-12-11,1,male,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",3,0.17,,11,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-11,2025-12-11,1,unknown,1,,,,,1,0.01,,6,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-11,2025-12-11,1,male,2,,,,,2,0.01,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6917461956384,02 Timothy_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-11,2025-12-11,1,male,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-11,2025-12-11,1,male,1,,,,,1,0.03,,1,,,,
,,,1,4,,,,,,4,,,1,,293,1,293,7,5,,282,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,6,,2.975,"[{'action_type': 'outbound_click', 'value': '2.975'}]",2.975,,,,0.040614,0.040614,1.7,,0.042199,1.983333,14.637146,15.354839,0.738007,2025-12-11,2025-12-11,1.049032,female,813,0.492005,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.492005'}]",775,11.9,29,4,27,254,118,69
,315,1,,100,36,36,315,,,20,4,4,,,3183,5,3183,29,20,,3054,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,127,"[{'action_type': 'subscribe_mobile_app', 'value': '29.33'}, {'action_type': 'subscribe_total', 'value': '29.33'}, {'action_type': 'start_trial_mobile_app', 'value': '29.33'}, {'action_type': 'start_trial_total', 'value': '29.33'}]",1.1732,"[{'action_type': 'outbound_click', 'value': '1.1732'}]",1.1732,3.258889,0.372444,,0.036858,0.036858,4.045517,,0.038415,0.92378,13.981647,15.019844,1.513526,2025-12-11,2025-12-11,1.074254,male,8391,1.191753,100,"[{'action_type': 'outbound_click', 'value': '100'}]","[{'action_type': 'outbound_click', 'value': '1.191753'}]",7811,117.32,242,4,235,2698,1353,825
,,,,,,,,,,1,,,,,22,,22,1,1,,21,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.026364,0.026364,0.58,,0.027619,,12.083333,12.608696,0,2025-12-11,2025-12-11,1.043478,unknown,48,,,,,46,0.58,1,4,1,18,11,4
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.14,0.14,,,0.14,,23.333333,23.333333,0,2025-12-11,2025-12-11,1,female,6,,,,,6,0.14,,3,,1,1,1
,,,,,,,,,,,,,,,12,,12,,,,12,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0675,0.0675,,,0.0675,,21.315789,21.315789,0,2025-12-11,2025-12-11,1,male,38,,,,,38,0.81,,3,,11,6,3
,,,,,,,,,,,,,,,9,,9,,,,9,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.036667,0.036667,,,0.036667,,16.5,16.5,0,2025-12-11,2025-12-11,1,female,20,,,,,20,0.33,1,7,1,9,4,4
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.14,0.14,,,0.14,,70,70,0,2025-12-11,2025-12-11,1,male,2,,,,,2,0.14,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,5,5,0,2025-12-11,2025-12-11,1,unknown,2,,,,,2,0.01,,2,,,,
,,,,1,,,,,,,,,,,8,,8,,,,7,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.63,"[{'action_type': 'outbound_click', 'value': '0.63'}]",0.63,,,,0.07875,0.07875,,,0.09,0.63,19.090909,19.090909,3.030303,2025-12-11,2025-12-11,1,female,33,3.030303,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.030303'}]",33,0.63,,2,,6,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,50,50,0,2025-12-11,2025-12-11,1,male,1,,,,,1,0.05,,11,,1,1,1
,550,3,,96,38,38,550,,,31,2,2,2,,2504,1,2504,36,33,,2372,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,99,"[{'action_type': 'subscribe_mobile_app', 'value': '9.095714'}, {'action_type': 'subscribe_total', 'value': '9.095714'}, {'action_type': 'start_trial_mobile_app', 'value': '7.95875'}, {'action_type': 'start_trial_total', 'value': '7.95875'}]",1.326458,"[{'action_type': 'outbound_click', 'value': '1.326458'}]",1.326458,3.351053,0.231527,,0.050855,0.050855,3.537222,,0.053685,1.286263,16.746449,17.620036,1.301946,2025-12-11,2025-12-11,1.052165,female,7604,1.262493,96,"[{'action_type': 'outbound_click', 'value': '96'}]","[{'action_type': 'outbound_click', 'value': '1.262493'}]",7227,127.34,214,3,202,2015,1000,593
,,,,3,,,,,,1,,,1,,51,,51,2,2,,46,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,0.7,"[{'action_type': 'outbound_click', 'value': '0.7'}]",0.7,,,,0.041176,0.041176,1.05,,0.045652,0.7,16.27907,17.213115,2.325581,2025-12-11,2025-12-11,1.057377,male,129,2.325581,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.325581'}]",122,2.1,4,4,4,40,20,11
,,,,2,,,,,,,,,,,17,,17,,,,15,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,0.415,"[{'action_type': 'outbound_click', 'value': '0.415'}]",0.415,,,,0.048824,0.048824,,,0.055333,0.415,14.310345,15.660377,3.448276,2025-12-11,2025-12-11,1.09434,unknown,58,3.448276,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.448276'}]",53,0.83,2,3,1,14,6,3
,1,,,1,,,1,,,,,,,,11,,11,,,,10,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.42,"[{'action_type': 'outbound_click', 'value': '0.42'}]",0.42,,0.42,,0.038182,0.038182,,,0.042,0.42,16.8,17.5,4,2025-12-11,2025-12-11,1.041667,female,25,4,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4'}]",24,0.42,,3,,8,2,1
,,,,1,,,,,,,,,,,3,,3,,,,2,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.04,"[{'action_type': 'outbound_click', 'value': '0.04'}]",0.04,,,,0.013333,0.013333,,,0.02,0.04,13.333333,13.333333,33.333333,2025-12-11,2025-12-11,1,male,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",3,0.04,1,12,1,2,2,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505482184,08 aiartist3 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,,,,,,,0.1,0.1,,,0.1,0.1,100,100,100,2025-12-11,2025-12-11,1,male,1,,,,,1,0.1,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6920992822384,04 Will_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-11,2025-12-11,1,male,1,,,,,1,0.02,,1,,,,
,,,,5,,,,,,3,,,,,77,,77,3,3,,69,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,5,,0.884,"[{'action_type': 'outbound_click', 'value': '0.884'}]",0.884,,,,0.057403,0.057403,1.473333,,0.064058,0.884,26.309524,26.626506,2.97619,2025-12-11,2025-12-11,1.012048,female,168,2.97619,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '2.97619'}]",166,4.42,2,3,2,60,29,11
1,514,,,74,27,27,514,1,1,11,,,,1,1628,4,1628,15,11,1,1539,1,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,79,"[{'action_type': 'subscribe_mobile_app', 'value': '19.6225'}, {'action_type': 'subscribe_total', 'value': '19.6225'}, {'action_type': 'start_trial_mobile_app', 'value': '19.6225'}, {'action_type': 'start_trial_total', 'value': '19.6225'}]",1.060676,"[{'action_type': 'outbound_click', 'value': '1.060676'}]",1.060676,2.907037,0.152704,78.49,0.048213,0.048213,5.232667,78.49,0.051001,0.993544,21.700304,22.349089,2.18413,2025-12-11,2025-12-11,1.029897,male,3617,2.045894,74,"[{'action_type': 'outbound_click', 'value': '74'}]","[{'action_type': 'outbound_click', 'value': '2.045894'}]",3512,78.49,169,4,162,1386,737,456
,,,,1,,,,,,,,,,,10,,10,,,,9,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.33,"[{'action_type': 'outbound_click', 'value': '0.33'}]",0.33,,,,0.033,0.033,,,0.036667,0.33,15.714286,16.5,4.761905,2025-12-11,2025-12-11,1.05,unknown,21,4.761905,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.761905'}]",20,0.33,1,5,1,9,7,6
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-11,2025-12-11,1,male,1,,,,,1,0.04,1,17,1,1,1,1
