action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
3,130,,,9,4,4,130,3,3,,,,,,3,365,,365,,,3,356,3,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,11,"[{'action_type': 'subscribe_mobile_app', 'value': '13.015'}, {'action_type': 'subscribe_total', 'value': '13.015'}, {'action_type': 'start_trial_mobile_app', 'value': '8.676667'}, {'action_type': 'start_trial_total', 'value': '8.676667'}]",2.892222,"[{'action_type': 'outbound_click', 'value': '2.892222'}]",2.892222,6.5075,0.200231,8.676667,0.071315,0.071315,,8.676667,0.073118,2.366364,21.87395,23.220339,0.92437,2025-12-14,2025-12-14,1.061552,1190,0.756303,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.756303'}]",1121,26.03,29,3,28,327,137,70
2,234,,,18,15,15,234,2,2,2,,,,,2,722,2,722,4,2,2,700,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,24,"[{'action_type': 'subscribe_mobile_app', 'value': '6.422857'}, {'action_type': 'subscribe_total', 'value': '6.422857'}, {'action_type': 'start_trial_mobile_app', 'value': '7.493333'}, {'action_type': 'start_trial_total', 'value': '7.493333'}]",2.497778,"[{'action_type': 'outbound_click', 'value': '2.497778'}]",2.497778,2.997333,0.192137,22.48,0.062271,0.062271,11.24,22.48,0.064229,1.873333,26.078886,27.616708,1.392111,2025-12-14,2025-12-14,1.058968,1724,1.044084,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '1.044084'}]",1628,44.96,52,3,51,647,269,127
,20,,,6,2,2,20,,,1,,,,,,259,,259,1,1,,252,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '8.28'}, {'action_type': 'subscribe_total', 'value': '8.28'}, {'action_type': 'start_trial_mobile_app', 'value': '8.28'}, {'action_type': 'start_trial_total', 'value': '8.28'}]",2.76,"[{'action_type': 'outbound_click', 'value': '2.76'}]",2.76,8.28,0.828,,0.063938,0.063938,16.56,,0.065714,2.365714,30.953271,33.454545,1.308411,2025-12-14,2025-12-14,1.080808,535,1.121495,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.121495'}]",495,16.56,30,12,30,236,112,59
,5,,,1,,,5,,,,,,,,,42,,42,,,,41,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.29,"[{'action_type': 'outbound_click', 'value': '2.29'}]",2.29,,0.458,,0.054524,0.054524,,,0.055854,2.29,26.627907,28.987342,1.162791,2025-12-14,2025-12-14,1.088608,86,1.162791,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.162791'}]",79,2.29,4,4,4,40,16,9
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,Unknown,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,5,5,0,2025-12-14,2025-12-14,1,4,,,,,4,0.02,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-14,2025-12-14,1,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-14,2025-12-14,1,1,,,,,1,0.02,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,7,,7,,,,7,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.14,0.14,,,0.14,,26.486486,27.222222,0,2025-12-14,2025-12-14,1.027778,37,,,,,36,0.98,1,3,1,7,5,4
