action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,,,,1,,,,,,,120,,120,2,2,,118,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,18-24,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,2,,,,,,9.86,,0.082167,0.082167,4.93,,0.083559,4.93,24.166667,26.084656,0.490196,2025-12-04,2025-12-04,1.079365,408,,,,,378,9.86,4,3,4,108,50,15
,15,,,6,2,2,15,,,1,1,,,457,1,457,3,1,,448,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,25-34,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,11,,6.83,"[{'action_type': 'outbound_click', 'value': '6.83'}]",6.83,20.49,2.732,,0.089672,0.089672,13.66,,0.091473,3.725455,25.500933,27.484909,0.684505,2025-12-04,2025-12-04,1.0778,1607,0.373367,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '0.373367'}]",1491,40.98,19,3,19,367,149,61
,31,,,17,2,2,31,,,1,1,,,551,1,551,4,2,,530,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,35-44,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,18,,3.149412,"[{'action_type': 'outbound_click', 'value': '3.149412'}]",3.149412,26.77,1.727097,,0.097169,0.097169,13.385,,0.101019,2.974444,30.681948,34.653722,1.031519,2025-12-04,2025-12-04,1.12945,1745,0.974212,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '0.974212'}]",1545,53.54,54,4,54,428,190,106
,8,,,4,2,2,8,,,,,,,246,,246,2,2,,240,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,45-54,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,4,,6.265,"[{'action_type': 'outbound_click', 'value': '6.265'}]",6.265,12.53,3.1325,,0.10187,0.10187,12.53,,0.104417,6.265,32.005109,34.951186,0.510856,2025-12-04,2025-12-04,1.09205,783,0.510856,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.510856'}]",717,25.06,12,3,12,187,73,38
,5,,,1,,,5,,,,,,,81,,81,1,1,,79,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,55-64,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,2,,12.37,"[{'action_type': 'outbound_click', 'value': '12.37'}]",12.37,,2.474,,0.152716,0.152716,12.37,,0.156582,6.185,48.320313,54.977778,0.78125,2025-12-04,2025-12-04,1.137778,256,0.390625,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.390625'}]",225,12.37,6,3,6,61,22,15
,,,,,,,,,,,,1,,23,,23,1,1,,22,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,65+,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,,,0.155652,0.155652,3.58,,0.162727,,60.677966,66.296296,0,2025-12-04,2025-12-04,1.092593,59,,,,,54,3.58,2,3,2,17,6,5
,,,,,,,,,,,,,,,,,,,,,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,18.333333,18.333333,0,2025-12-04,2025-12-04,1,6,,,,,6,0.11,,1,,,,
,3,,,,,,3,,,,,,,1,,1,,,,1,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0.003333,,0.01,0.01,,,0.01,,5,5,0,2025-12-04,2025-12-04,1,2,,,,,2,0.01,,2,,1,,
,,,,,,,,,,,,,,7,,7,,,,7,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.032857,0.032857,,,0.032857,,12.777778,12.777778,0,2025-12-04,2025-12-04,1,18,,,,,18,0.23,,2,,6,,
,,,,3,,,,,,,,,,87,,87,,,,84,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,3,,0.573333,"[{'action_type': 'outbound_click', 'value': '0.573333'}]",0.573333,,,,0.01977,0.01977,,,0.020476,0.573333,8.77551,9.100529,1.530612,2025-12-04,2025-12-04,1.037037,196,1.530612,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.530612'}]",189,1.72,8,4,8,81,33,22
