action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,3,,3,,,,3,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.076667,0.076667,,,0.076667,,19.166667,19.166667,0,2025-12-09,2025-12-09,UNKNOWN,1,12,,,,,UNKNOWN,12,0.23,,2,,3,,
,,,,,,,,,,,,,,,23,,23,,,,23,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.038261,0.038261,,,0.038261,,15.438596,15.438596,0,2025-12-09,2025-12-09,UNKNOWN,1,57,,,,,UNKNOWN,57,0.88,1,4,1,20,8,3
,,,,4,1,1,,,,,,,,,292,,292,,,,288,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,UNKNOWN,,2.2125,"[{'action_type': 'outbound_click', 'value': '2.2125'}]",2.2125,8.85,,,0.030308,0.030308,,,0.030729,2.2125,11.523438,11.553525,0.520833,2025-12-09,2025-12-09,UNKNOWN,1.002611,768,0.520833,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.520833'}]",UNKNOWN,766,8.85,17,4,15,252,124,63
,,,,,,,,,,,,,,,22,,22,,,,22,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.034091,0.034091,,,0.034091,,12.711864,12.711864,0,2025-12-09,2025-12-09,UNKNOWN,1,59,,,,,UNKNOWN,59,0.75,,3,,20,9,3
,,,,1,,,,,,,,,,,6,,6,,,,5,,6917461956184,02 Mike_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.68,"[{'action_type': 'outbound_click', 'value': '0.68'}]",0.68,,,,0.113333,0.113333,,,0.136,0.68,26.153846,26.153846,3.846154,2025-12-09,2025-12-09,UNKNOWN,1,26,3.846154,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.846154'}]",UNKNOWN,26,0.68,,2,,4,2,1
,,,,,,,,,,,,,,,3,,3,,,,3,,6917461956384,02 Timothy_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.14,0.14,,,0.14,,18.26087,20,0,2025-12-09,2025-12-09,UNKNOWN,1.095238,23,,,,,UNKNOWN,21,0.42,,2,,3,,
,,,,,,,,,,,,,,,13,,13,,,,13,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.013077,0.013077,,,0.013077,,7.727273,7.727273,0,2025-12-09,2025-12-09,UNKNOWN,1,22,,,,,UNKNOWN,22,0.17,2,7,2,13,5,3
,470,2,3,145,35,35,470,,,49,4,4,2,,6918,4,6918,62,51,,6711,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,154,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '25.875'}, {'action_type': 'subscribe_total', 'value': '25.875'}, {'action_type': 'start_trial_mobile_app', 'value': '17.25'}, {'action_type': 'start_trial_total', 'value': '17.25'}]",1.07069,"[{'action_type': 'outbound_click', 'value': '1.07069'}]",1.07069,4.435714,0.330319,,0.022441,0.022441,2.504032,,0.023134,1.008117,9.998068,10.020654,0.991757,2025-12-09,2025-12-09,AVERAGE,1.002259,15528,0.933797,145,"[{'action_type': 'outbound_click', 'value': '145'}]","[{'action_type': 'outbound_click', 'value': '0.933797'}]",AVERAGE,15493,155.25,546,4,519,6029,3016,1778
,,,,1,,,,,,,,,,,22,,22,,,,21,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.72,"[{'action_type': 'outbound_click', 'value': '0.72'}]",0.72,,,,0.032727,0.032727,,,0.034286,0.72,17.142857,17.142857,2.380952,2025-12-09,2025-12-09,UNKNOWN,1,42,2.380952,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.380952'}]",UNKNOWN,42,0.72,3,7,3,19,12,9
,,,,,,,,,,,,,,,3,,3,,,,3,,6917461957384,01 Jesus_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.026667,0.026667,,,0.026667,,10,10,0,2025-12-09,2025-12-09,UNKNOWN,1,8,,,,,UNKNOWN,8,0.08,,2,,1,,
