action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,306,3,,47,21,21,306,,,,,,,1497,1,1497,14,13,,1436,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,47,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '50.5'}, {'action_type': 'subscribe_total', 'value': '50.5'}, {'action_type': 'start_trial_mobile_app', 'value': '20.2'}, {'action_type': 'start_trial_total', 'value': '20.2'}]",2.148936,"[{'action_type': 'outbound_click', 'value': '2.148936'}]",2.148936,4.809524,0.330065,,0.067468,0.067468,7.214286,,0.070334,2.148936,22.660983,24.520515,1.054521,2025-11-30,2025-11-30,AVERAGE,1.082059,4457,1.054521,47,"[{'action_type': 'outbound_click', 'value': '47'}]","[{'action_type': 'outbound_click', 'value': '1.054521'}]",AVERAGE,4119,101,181,3,163,1361,614,374
,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,193.333333,193.333333,0,2025-11-30,2025-11-30,UNKNOWN,1,3,,,,,UNKNOWN,3,0.58,,1,,,,
,279,1,,71,17,17,279,,,,,,,1503,,1503,10,10,,1422,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,74,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '54.875'}, {'action_type': 'subscribe_total', 'value': '54.875'}, {'action_type': 'start_trial_mobile_app', 'value': '54.875'}, {'action_type': 'start_trial_total', 'value': '54.875'}]",1.545775,"[{'action_type': 'outbound_click', 'value': '1.545775'}]",1.545775,6.455882,0.393369,,0.073021,0.073021,10.975,,0.07718,1.483108,25.224086,26.985493,1.700758,2025-11-30,2025-11-30,AVERAGE,1.06983,4351,1.631809,71,"[{'action_type': 'outbound_click', 'value': '71'}]","[{'action_type': 'outbound_click', 'value': '1.631809'}]",AVERAGE,4067,109.75,231,4,220,1360,688,429
,5,,,2,1,1,5,,,,,,,18,,18,,,,16,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '2.65'}, {'action_type': 'subscribe_total', 'value': '2.65'}, {'action_type': 'start_trial_mobile_app', 'value': '2.65'}, {'action_type': 'start_trial_total', 'value': '2.65'}]",1.325,"[{'action_type': 'outbound_click', 'value': '1.325'}]",1.325,2.65,0.53,,0.147222,0.147222,,,0.165625,0.883333,40.769231,44.915254,4.615385,2025-11-30,2025-11-30,UNKNOWN,1.101695,65,3.076923,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.076923'}]",UNKNOWN,59,2.65,5,3,5,15,9,6
,,,,,,,,,,,,,,9,,9,,,,9,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.196667,0.196667,,,0.196667,,36.875,38.478261,0,2025-11-30,2025-11-30,UNKNOWN,1.043478,48,,,,,UNKNOWN,46,1.77,,2,,8,2,2
,,,,,,,,,,,,,,,,,,,,,,6916143725584,jesus_rap_1_4x5_subtitles,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916143725784,tyson_rap_2_4x5_subtitles,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,40,40,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,,1,,,,
,,,,,,,,,,,,,,9,,9,,,,9,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.22,0.22,,,0.22,,44,49.5,0,2025-11-30,2025-11-30,UNKNOWN,1.125,45,,,,,UNKNOWN,40,1.98,,2,,8,4,2
,618,3,,116,37,37,618,,,,,,,2682,3,2682,30,27,,2536,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,115,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '25.212857'}, {'action_type': 'subscribe_total', 'value': '25.212857'}, {'action_type': 'start_trial_mobile_app', 'value': '13.576154'}, {'action_type': 'start_trial_total', 'value': '13.576154'}]",1.521466,"[{'action_type': 'outbound_click', 'value': '1.521466'}]",1.521466,4.77,0.285583,,0.065805,0.065805,5.883,,0.069594,1.534696,27.257143,28.909091,1.776062,2025-11-30,2025-11-30,AVERAGE,1.060606,6475,1.791506,116,"[{'action_type': 'outbound_click', 'value': '116'}]","[{'action_type': 'outbound_click', 'value': '1.791506'}]",AVERAGE,6105,176.49,336,4,308,2198,1238,978
