action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,185,1,,52,17,17,185,,,,1,1,,700,2,700,8,5,,640,,6916177885984,07 black_4 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,50,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '11.535'}, {'action_type': 'subscribe_total', 'value': '11.535'}, {'action_type': 'start_trial_mobile_app', 'value': '7.69'}, {'action_type': 'start_trial_total', 'value': '7.69'}]",0.443654,"[{'action_type': 'outbound_click', 'value': '0.443654'}]",0.443654,1.357059,0.124703,,0.032957,0.032957,2.88375,,0.036047,0.4614,12.816667,13.459743,2.777778,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.050175,1800,2.888889,52,"[{'action_type': 'outbound_click', 'value': '52'}]","[{'action_type': 'outbound_click', 'value': '2.888889'}]",AVERAGE,1714,23.07,86,4,80,536,305,218
,2923,26,2,752,261,261,2923,,,,6,6,,16006,21,16006,274,245,,14980,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,742,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.988621'}, {'action_type': 'subscribe_total', 'value': '13.988621'}, {'action_type': 'start_trial_mobile_app', 'value': '8.451458'}, {'action_type': 'start_trial_total', 'value': '8.451458'}]",0.539455,"[{'action_type': 'outbound_click', 'value': '0.539455'}]",0.539455,1.554291,0.138785,,0.025345,0.025345,1.480547,,0.027081,0.546725,13.065477,13.529098,2.389771,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.035484,31049,2.421978,752,"[{'action_type': 'outbound_click', 'value': '752'}]","[{'action_type': 'outbound_click', 'value': '2.421978'}]",AVERAGE,29985,405.67,2377,5,2193,13421,7706,6189
,4,,,1,1,1,4,,,,,,,3,,3,,,,2,,6916177886384,02 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,1,UNKNOWN,,0.03,"[{'action_type': 'outbound_click', 'value': '0.03'}]",0.03,0.03,0.0075,,0.01,0.01,,,0.015,0.03,10,10,33.333333,2025-11-30,2025-11-30,UNKNOWN,1,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",UNKNOWN,3,0.03,2,16,2,2,2,2
,,,,,,,,,,,,,,1,,1,,,,1,,6916177886584,01 Esha - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0,0,,,0,,0,0,0,2025-11-30,2025-11-30,UNKNOWN,1,2,,,,,UNKNOWN,2,0,,7,,1,1,1
,,,,,,,,,,,,,,3,,3,,,,3,,6916856622384,01 Jesus_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,20,20,0,2025-11-30,2025-11-30,UNKNOWN,1,12,,,,,UNKNOWN,12,0.24,,3,,3,1,1
,,,,,,,,,,,,,,,,,,,,,,6916857336784,01 Santa_slim,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,420,3,1,97,33,33,420,,,,2,2,,2324,3,2324,31,25,,2196,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,94,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '24.555'}, {'action_type': 'subscribe_total', 'value': '24.555'}, {'action_type': 'start_trial_mobile_app', 'value': '9.822'}, {'action_type': 'start_trial_total', 'value': '9.822'}]",0.506289,"[{'action_type': 'outbound_click', 'value': '0.506289'}]",0.506289,1.488182,0.116929,,0.021132,0.021132,1.584194,,0.022363,0.522447,10.767376,11.026044,2.060952,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.024023,4561,2.126727,97,"[{'action_type': 'outbound_click', 'value': '97'}]","[{'action_type': 'outbound_click', 'value': '2.126727'}]",AVERAGE,4454,49.11,246,5,230,2005,1191,808
,,,,,,,,,,,,,,,,,,,,,,6916859158784,02 Mike_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-11-30,2025-11-30,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916860073184,02 Mike_sicko,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,7.5,7.5,0,2025-11-30,2025-11-30,UNKNOWN,1,4,,,,,UNKNOWN,4,0.03,,3,,1,1,
,,,,,,,,,,,,,,2,,2,,,,2,,6916860754984,02 snoop_loseYourself,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,6.666667,6.666667,0,2025-11-30,2025-11-30,UNKNOWN,1,3,,,,,UNKNOWN,3,0.02,,3,,2,,
,,,,1,,,,,,,,,,10,,10,,,,9,,6916861420184,02 Timothy_slim,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,UNKNOWN,,0.4,"[{'action_type': 'outbound_click', 'value': '0.4'}]",0.4,,,,0.04,0.04,,,0.044444,0.4,12.5,14.814815,3.125,2025-11-30,2025-11-30,UNKNOWN,1.185185,32,3.125,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.125'}]",UNKNOWN,27,0.4,1,3,1,6,4,3
,,,,1,,,,,,,,,,25,,25,,,,24,,6916862364784,03 Mike_gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,UNKNOWN,,0.99,"[{'action_type': 'outbound_click', 'value': '0.99'}]",0.99,,,,0.0396,0.0396,,,0.04125,0.99,12.073171,13.026316,1.219512,2025-11-30,2025-11-30,UNKNOWN,1.078947,82,1.219512,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.219512'}]",UNKNOWN,76,0.99,2,3,2,19,8,6
,,,,1,,,,,,,,,,29,,29,1,1,,27,,6916863115584,03 Snoop_sicko,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,UNKNOWN,,0.58,"[{'action_type': 'outbound_click', 'value': '0.58'}]",0.58,,,,0.02,0.02,0.58,,0.021481,0.58,8.656716,8.656716,1.492537,2025-11-30,2025-11-30,UNKNOWN,1,67,1.492537,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.492537'}]",UNKNOWN,67,0.58,,3,,23,9,3
,1909,14,1,498,170,170,1909,,,,6,6,,11714,23,11714,268,238,,10948,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,498,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '22.273333'}, {'action_type': 'subscribe_total', 'value': '22.273333'}, {'action_type': 'start_trial_mobile_app', 'value': '15.722353'}, {'action_type': 'start_trial_total', 'value': '15.722353'}]",0.536707,"[{'action_type': 'outbound_click', 'value': '0.536707'}]",0.536707,1.572235,0.14001,,0.022817,0.022817,0.997313,,0.024414,0.536707,11.279065,12.042352,2.101532,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.067673,23697,2.101532,498,"[{'action_type': 'outbound_click', 'value': '498'}]","[{'action_type': 'outbound_click', 'value': '2.101532'}]",AVERAGE,22195,267.28,1442,5,1300,10083,5965,3725
,,,,1,1,1,,,,,,,,23,,23,1,1,,21,,6916865002784,04 will_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,UNKNOWN,,0.81,"[{'action_type': 'outbound_click', 'value': '0.81'}]",0.81,0.81,,,0.035217,0.035217,0.81,,0.038571,0.81,12.461538,12.65625,1.538462,2025-11-30,2025-11-30,UNKNOWN,1.015625,65,1.538462,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.538462'}]",UNKNOWN,64,0.81,2,3,1,16,10,5
,,,,,,,,,,,,,,,,,,,,,,6917461954184,01 Bob_snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6917461954384,04 Will_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,37,,,,,,37,,,,,,,15,,15,,,,15,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,0.045946,,0.113333,0.113333,,,0.113333,,22.077922,22.972973,0,2025-11-30,2025-11-30,UNKNOWN,1.040541,77,,,,,UNKNOWN,74,1.7,2,2,1,13,2,2
,20,,,1,1,1,20,,,,,,,13,,13,,,,12,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.97,"[{'action_type': 'outbound_click', 'value': '0.97'}]",0.97,0.97,0.0485,,0.074615,0.074615,,,0.080833,0.97,26.216216,27.714286,2.702703,2025-11-30,2025-11-30,UNKNOWN,1.057143,37,2.702703,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.702703'}]",UNKNOWN,35,0.97,2,4,2,12,7,4
1,931,3,,130,50,50,931,1,1,,1,1,1,2270,6,2270,36,29,1,2104,1,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,132,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '20.058333'}, {'action_type': 'subscribe_total', 'value': '20.058333'}, {'action_type': 'start_trial_mobile_app', 'value': '9.257692'}, {'action_type': 'start_trial_total', 'value': '9.257692'}]",0.925769,"[{'action_type': 'outbound_click', 'value': '0.932946'}]",0.925769,2.407,0.12927,120.35,0.053018,0.053018,3.343056,120.35,0.057201,0.911742,20.125418,21.798587,2.207358,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.083137,5980,2.173913,130,"[{'action_type': 'outbound_click', 'value': '129'}]","[{'action_type': 'outbound_click', 'value': '2.157191'}]",AVERAGE,5521,120.35,266,4,249,1882,1049,664
,,,,,,,,,,,,,,2,,2,,,,2,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.235,0.235,,,0.235,,22.380952,27.647059,0,2025-11-30,2025-11-30,UNKNOWN,1.235294,21,,,,,UNKNOWN,17,0.47,,1,,2,,
,25,,,,,,25,,,,,,,6,,6,,,,6,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,0.0264,,0.11,0.11,,,0.11,,22,23.571429,0,2025-11-30,2025-11-30,UNKNOWN,1.071429,30,,,,,UNKNOWN,28,0.66,,2,,5,1,
,,,,,,,,,,,,,,,,,,,,,,6917461955584,03 Snoop_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,0,,,,
,25,,,2,,,25,,,,,,,31,,31,,,,29,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.98,"[{'action_type': 'outbound_click', 'value': '0.98'}]",0.98,,0.0784,,0.063226,0.063226,,,0.067586,1.96,18.148148,19.79798,0.925926,2025-11-30,2025-11-30,UNKNOWN,1.090909,108,1.851852,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.851852'}]",UNKNOWN,99,1.96,4,3,3,23,7,4
,,,,,,,,,,,,,,1,,1,,,,1,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,17.5,17.5,0,2025-11-30,2025-11-30,UNKNOWN,1,4,,,,,UNKNOWN,4,0.07,,4,,1,1,1
,,,,,,,,,,,,,,5,,5,,,,5,,6917461956184,02 Mike_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,16.666667,17.391304,0,2025-11-30,2025-11-30,UNKNOWN,1.043478,24,,,,,UNKNOWN,23,0.4,,2,,4,2,1
,20,,,1,,,20,,,,,,,3,,3,,,,2,,6917461956384,02 Timothy_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.02,"[{'action_type': 'outbound_click', 'value': '0.02'}]",0.02,,0.001,,0.006667,0.006667,,,0.01,0.02,5,5,25,2025-11-30,2025-11-30,UNKNOWN,1,4,25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '25'}]",UNKNOWN,4,0.02,,4,,2,1,
,,,,,,,,,,,,,,2,,2,,,,2,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.035,0.035,,,0.035,,17.5,17.5,0,2025-11-30,2025-11-30,UNKNOWN,1,4,,,,,UNKNOWN,4,0.07,,4,,2,,
,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,65,65,0,2025-11-30,2025-11-30,UNKNOWN,1,2,,,,,UNKNOWN,2,0.13,,1,,,,
,1135,5,3,293,82,82,1135,,,,3,3,,7694,9,7694,85,70,,7316,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,327,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '16.281667'}, {'action_type': 'subscribe_total', 'value': '16.281667'}, {'action_type': 'start_trial_mobile_app', 'value': '11.271923'}, {'action_type': 'start_trial_total', 'value': '11.271923'}]",1.000239,"[{'action_type': 'outbound_click', 'value': '1.000239'}]",1.000239,3.574024,0.258211,,0.038091,0.038091,3.447882,,0.040059,0.896239,15.692332,17.385656,1.75091,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.107908,18676,1.568858,293,"[{'action_type': 'outbound_click', 'value': '293'}]","[{'action_type': 'outbound_click', 'value': '1.568858'}]",AVERAGE,16857,293.07,672,5,637,6583,3418,2108
,19,,,2,1,1,19,,,,,,,25,,25,,,,23,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,UNKNOWN,,0.78,"[{'action_type': 'outbound_click', 'value': '0.78'}]",0.78,1.56,0.082105,,0.0624,0.0624,,,0.067826,0.78,20.526316,22.941176,2.631579,2025-11-30,2025-11-30,UNKNOWN,1.117647,76,2.631579,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.631579'}]",UNKNOWN,68,1.56,5,4,5,20,12,8
,,,,,,,,,,,,,,,,,,,,,,6917461957384,01 Jesus_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,80,80,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0.08,,1,,,,
,902,5,2,194,71,71,902,,,1,,,,4360,1,4360,46,43,,4120,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,186,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '16.947692'}, {'action_type': 'subscribe_total', 'value': '16.947692'}, {'action_type': 'start_trial_mobile_app', 'value': '8.8128'}, {'action_type': 'start_trial_total', 'value': '8.8128'}]",1.13567,"[{'action_type': 'outbound_click', 'value': '1.13567'}]",1.13567,3.103099,0.244257,,0.050532,0.050532,4.789565,,0.053476,1.184516,20.212844,22.685338,1.706422,2025-11-30,2025-11-30,AVERAGE,1.122323,10900,1.779817,194,"[{'action_type': 'outbound_click', 'value': '194'}]","[{'action_type': 'outbound_click', 'value': '1.779817'}]",AVERAGE,9712,220.32,442,4,397,3609,1844,1403
,,,,,,,,,,,,,,,,,,,,,,6917505480184,04 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-11-30,2025-11-30,UNKNOWN,1,4,,,,,UNKNOWN,4,0.06,,1,,,,
,8,1,,22,6,6,8,,,,2,2,,409,,409,2,,,385,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,19,ABOVE_AVERAGE,,1.168182,"[{'action_type': 'outbound_click', 'value': '1.168182'}]",1.168182,4.283333,3.2125,,0.062836,0.062836,12.85,,0.066753,1.352632,18.609703,20.252167,1.375815,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.088258,1381,1.593049,22,"[{'action_type': 'outbound_click', 'value': '22'}]","[{'action_type': 'outbound_click', 'value': '1.593049'}]",AVERAGE,1269,25.7,35,3,34,332,172,106
,,,,,,,,,,,,,,1,,1,,,,1,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-11-30,2025-11-30,UNKNOWN,1,2,,,,,UNKNOWN,2,0.05,,4,,1,,
,,,,,,,,,,,,,,2,,2,,,,2,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.295,0.295,,,0.295,,65.555556,65.555556,0,2025-11-30,2025-11-30,UNKNOWN,1,9,,,,,UNKNOWN,9,0.59,,2,,1,,
,,,,,,,,,,,,,,4,,4,,,,4,,6917505481384,01 Esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.195,0.195,,,0.195,,43.333333,52,0,2025-11-30,2025-11-30,UNKNOWN,1.2,18,,,,,UNKNOWN,15,0.78,,2,,4,1,
,,,,,,,,,,,,,,2,,2,1,1,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.125,0.125,0.25,,0.25,,41.666667,50,0,2025-11-30,2025-11-30,UNKNOWN,1.2,6,,,,,UNKNOWN,5,0.25,,2,,1,1,1
,473,1,,63,31,31,473,,,,1,1,,1484,2,1484,27,24,,1394,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,63,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.73'}, {'action_type': 'subscribe_total', 'value': '17.73'}, {'action_type': 'start_trial_mobile_app', 'value': '8.059091'}, {'action_type': 'start_trial_total', 'value': '8.059091'}]",1.407143,"[{'action_type': 'outbound_click', 'value': '1.407143'}]",1.407143,2.859677,0.187421,,0.059737,0.059737,3.283333,,0.063594,1.407143,20.568445,22.684237,1.461717,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.102866,4310,1.461717,63,"[{'action_type': 'outbound_click', 'value': '63'}]","[{'action_type': 'outbound_click', 'value': '1.461717'}]",AVERAGE,3908,88.65,168,4,153,1269,660,411
,,,,3,,,,,,,,,,6,,6,,,,3,,6917505482184,08 aiartist3 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,UNKNOWN,,0.65,"[{'action_type': 'outbound_click', 'value': '0.65'}]",0.65,,,,0.325,0.325,,,0.65,0.65,114.705882,162.5,17.647059,2025-11-30,2025-11-30,UNKNOWN,1.416667,17,17.647059,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '17.647059'}]",UNKNOWN,12,1.95,1,5,1,3,2,1
