action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,240,,,30,24,24,240,,,5,2,2,,,1520,1,1520,8,5,,1482,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,35,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '21.01'}, {'action_type': 'subscribe_total', 'value': '21.01'}, {'action_type': 'start_trial_mobile_app', 'value': '26.2625'}, {'action_type': 'start_trial_total', 'value': '26.2625'}]",3.501667,"[{'action_type': 'outbound_click', 'value': '3.501667'}]",3.501667,4.377083,0.437708,,0.069112,0.069112,13.13125,,0.070884,3.001429,27.659294,28.15599,0.921538,2025-12-10,2025-12-10,AVERAGE,1.017958,3798,0.789889,30,"[{'action_type': 'outbound_click', 'value': '30'}]","[{'action_type': 'outbound_click', 'value': '0.789889'}]",AVERAGE,3731,105.05,134,4,133,1400,584,305
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,53.333333,53.333333,0,2025-12-10,2025-12-10,UNKNOWN,1,3,,,,,UNKNOWN,3,0.16,,1,,,,
,117,,,8,6,6,117,,,1,,,,,228,,228,1,1,,219,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,8,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.06'}, {'action_type': 'subscribe_total', 'value': '13.06'}, {'action_type': 'start_trial_mobile_app', 'value': '6.53'}, {'action_type': 'start_trial_total', 'value': '6.53'}]",1.6325,"[{'action_type': 'outbound_click', 'value': '1.6325'}]",1.6325,2.176667,0.111624,,0.057281,0.057281,13.06,,0.059635,1.6325,22.439863,23.03351,1.37457,2025-12-10,2025-12-10,AVERAGE,1.026455,582,1.37457,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.37457'}]",AVERAGE,567,13.06,22,7,21,210,93,59
,,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,363,1,,80,37,37,363,,,16,,,,,1773,1,1773,17,16,,1676,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,79,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '63.345'}, {'action_type': 'subscribe_total', 'value': '63.345'}, {'action_type': 'start_trial_mobile_app', 'value': '25.338'}, {'action_type': 'start_trial_total', 'value': '25.338'}]",1.583625,"[{'action_type': 'outbound_click', 'value': '1.583625'}]",1.583625,3.424054,0.349008,,0.071455,0.071455,7.452353,,0.075591,1.603671,24.710357,26.025062,1.540862,2025-12-10,2025-12-10,AVERAGE,1.053205,5127,1.560367,80,"[{'action_type': 'outbound_click', 'value': '80'}]","[{'action_type': 'outbound_click', 'value': '1.560367'}]",AVERAGE,4868,126.69,260,4,251,1600,783,484
,,,,,,,,,,1,,,,,6,,6,1,1,,5,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.078333,0.078333,0.47,,0.094,,24.736842,24.736842,0,2025-12-10,2025-12-10,UNKNOWN,1,19,,,,,UNKNOWN,19,0.47,,3,,5,4,1
,,,,,,,,,,,,,,,5,,5,,,,5,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.022,0.022,,,0.022,,13.75,13.75,0,2025-12-10,2025-12-10,UNKNOWN,1,8,,,,,UNKNOWN,8,0.11,,5,,5,3,2
,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,,,,,
1,404,,,52,30,30,404,1,1,29,3,3,,1,1655,3,1655,35,29,1,1568,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,61,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '7.914615'}, {'action_type': 'subscribe_total', 'value': '7.914615'}, {'action_type': 'start_trial_mobile_app', 'value': '9.353636'}, {'action_type': 'start_trial_total', 'value': '9.353636'}]",1.978654,"[{'action_type': 'outbound_click', 'value': '1.978654'}]",1.978654,3.429667,0.254678,102.89,0.062169,0.062169,2.939714,102.89,0.065619,1.686721,25.45522,25.45522,1.509154,2025-12-10,2025-12-10,ABOVE_AVERAGE,1,4042,1.286492,52,"[{'action_type': 'outbound_click', 'value': '52'}]","[{'action_type': 'outbound_click', 'value': '1.286492'}]",BELOW_AVERAGE_35,4042,102.89,155,4,155,1433,703,429
,,,,,,,,,,2,,,,,27,,27,2,2,,25,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,,,,,,,0.044444,0.044444,0.6,,0.048,1.2,19.047619,19.047619,1.587302,2025-12-10,2025-12-10,UNKNOWN,1,63,,,,,UNKNOWN,63,1.2,2,3,2,22,14,4
