action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,56,3,,28,6,6,56,,,7,1,1,,,1074,1,1074,9,7,,1037,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,29,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '110.84'}, {'action_type': 'subscribe_total', 'value': '110.84'}, {'action_type': 'start_trial_mobile_app', 'value': '110.84'}, {'action_type': 'start_trial_total', 'value': '110.84'}]",3.958571,"[{'action_type': 'outbound_click', 'value': '3.958571'}]",3.958571,18.473333,1.979286,,0.103203,0.103203,12.315556,,0.106885,3.822069,40.511696,43.229329,1.059942,2025-12-10,2025-12-10,AVERAGE,1.067083,2736,1.023392,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.023392'}]",AVERAGE,2564,110.84,142,4,142,915,490,322
,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,2,,,,
,24,,,3,1,1,24,,,,,,,,80,1,80,1,,,76,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '3.25'}, {'action_type': 'subscribe_total', 'value': '3.25'}, {'action_type': 'start_trial_mobile_app', 'value': '3.25'}, {'action_type': 'start_trial_total', 'value': '3.25'}]",1.083333,"[{'action_type': 'outbound_click', 'value': '1.083333'}]",1.083333,3.25,0.135417,,0.040625,0.040625,3.25,,0.042763,1.625,14.508929,14.772727,0.892857,2025-12-10,2025-12-10,UNKNOWN,1.018182,224,1.339286,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.339286'}]",UNKNOWN,220,3.25,7,4,6,70,42,27
,2,,,,,,2,,,,,,,,4,,4,,,,4,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,0.07,,0.035,0.035,,,0.035,,15.555556,15.555556,0,2025-12-10,2025-12-10,UNKNOWN,1,9,,,,,UNKNOWN,9,0.14,1,5,1,4,3,2
,,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-10,2025-12-10,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,2,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.016667,0.016667,,,0.016667,,12.5,12.5,0,2025-12-10,2025-12-10,UNKNOWN,1,4,,,,,UNKNOWN,4,0.05,,7,,3,2,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-10,2025-12-10,UNKNOWN,1,3,,,,,UNKNOWN,3,0.03,,2,,,,
,533,1,,100,33,33,533,,,31,,,,,3758,1,3758,32,31,,3626,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,111,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '12.978'}, {'action_type': 'subscribe_total', 'value': '12.978'}, {'action_type': 'start_trial_mobile_app', 'value': '14.42'}, {'action_type': 'start_trial_total', 'value': '14.42'}]",1.2978,"[{'action_type': 'outbound_click', 'value': '1.2978'}]",1.2978,3.932727,0.24349,,0.034534,0.034534,4.055625,,0.035792,1.169189,13.815201,14.669379,1.181605,2025-12-10,2025-12-10,ABOVE_AVERAGE,1.061829,9394,1.064509,100,"[{'action_type': 'outbound_click', 'value': '100'}]","[{'action_type': 'outbound_click', 'value': '1.064509'}]",AVERAGE,8847,129.78,336,5,332,3220,1631,996
,2,,,,,,2,,,,,,,,4,,4,,,,4,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,0.15,,0.075,0.075,,,0.075,,30,30,0,2025-12-10,2025-12-10,UNKNOWN,1,10,,,,,UNKNOWN,10,0.3,,2,,4,1,
,10,,,2,,,10,,,,,,,,40,,40,,,,38,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,UNKNOWN,,1.05,"[{'action_type': 'outbound_click', 'value': '1.05'}]",1.05,,0.21,,0.0525,0.0525,,,0.055263,1.05,19.090909,20.192308,1.818182,2025-12-10,2025-12-10,UNKNOWN,1.057692,110,1.818182,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.818182'}]",UNKNOWN,104,2.1,4,3,4,35,10,6
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480184,04 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,,6,,1,,
,5,,,1,1,1,5,,,,,,,,2,,2,,,,1,,6917505480384,05 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.05,"[{'action_type': 'outbound_click', 'value': '0.05'}]",0.05,0.05,0.01,,0.025,0.025,,,0.05,0.05,25,25,50,2025-12-10,2025-12-10,UNKNOWN,1,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",UNKNOWN,2,0.05,,4,,1,1,
,,,,,,,,,,,,,,,13,,13,,,,13,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.106154,0.106154,,,0.106154,,20.597015,21.5625,0,2025-12-10,2025-12-10,UNKNOWN,1.046875,67,,,,,UNKNOWN,64,1.38,1,2,1,11,6,3
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,20,20,0,2025-12-10,2025-12-10,UNKNOWN,1,3,,,,,UNKNOWN,3,0.06,,3,,1,1,
,842,5,,130,59,59,842,,,41,1,1,,,2810,2,2810,44,41,,2636,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,136,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '6.573182'}, {'action_type': 'subscribe_total', 'value': '6.573182'}, {'action_type': 'start_trial_mobile_app', 'value': '5.355926'}, {'action_type': 'start_trial_total', 'value': '5.355926'}]",1.112385,"[{'action_type': 'outbound_click', 'value': '1.112385'}]",1.112385,2.451017,0.171746,,0.051463,0.051463,3.286591,,0.05486,1.063309,17.061114,18.800052,1.60453,2025-12-10,2025-12-10,ABOVE_AVERAGE,1.101924,8476,1.533742,130,"[{'action_type': 'outbound_click', 'value': '130'}]","[{'action_type': 'outbound_click', 'value': '1.533742'}]",AVERAGE,7692,144.61,267,3,250,2286,1132,657
,,,,,,,,,,,,,,,8,,8,,,,8,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,0.4,16,16.666667,4,2025-12-10,2025-12-10,UNKNOWN,1.041667,25,,,,,UNKNOWN,24,0.4,2,5,2,8,3,2
,520,,,132,41,41,520,,,28,3,3,,,3372,4,3372,35,28,,3205,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,138,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '24.414286'}, {'action_type': 'subscribe_total', 'value': '24.414286'}, {'action_type': 'start_trial_mobile_app', 'value': '21.3625'}, {'action_type': 'start_trial_total', 'value': '21.3625'}]",1.294697,"[{'action_type': 'outbound_click', 'value': '1.294697'}]",1.294697,4.168293,0.328654,,0.050682,0.050682,4.882857,,0.053323,1.238406,23.041661,23.113335,1.860591,2025-12-10,2025-12-10,ABOVE_AVERAGE,1.003111,7417,1.779695,132,"[{'action_type': 'outbound_click', 'value': '132'}]","[{'action_type': 'outbound_click', 'value': '1.779695'}]",AVERAGE,7394,170.9,389,5,380,2875,1559,948
,22,,,7,2,2,22,,,2,,,,,435,1,435,3,2,,425,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,9,ABOVE_AVERAGE,,2.535714,"[{'action_type': 'outbound_click', 'value': '2.535714'}]",2.535714,8.875,0.806818,,0.040805,0.040805,5.916667,,0.041765,1.972222,17.333984,17.384917,0.878906,2025-12-10,2025-12-10,ABOVE_AVERAGE,1.002938,1024,0.683594,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '0.683594'}]",AVERAGE,1021,17.75,27,4,27,384,173,92
,,,,,,,,,,,,,,,,,,,,,,,6920994402584,07_nose ring_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920994402784,09_red lipstick_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-10,2025-12-10,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,3,,,,
,4,,,,,,4,,,,,,,,4,,4,,,,4,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,0.135,,0.135,0.135,,,0.135,,24.545455,24.545455,0,2025-12-10,2025-12-10,UNKNOWN,1,22,,,,,UNKNOWN,22,0.54,1,4,1,4,4,3
,,,,,,,,,,,,,,,1,,1,,,,1,,6920994403184,01_black4_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,3,,,,
3,638,7,1,134,48,48,638,3,3,58,2,2,,3,3206,,3206,61,58,3,3011,3,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,130,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.816'}, {'action_type': 'subscribe_total', 'value': '17.816'}, {'action_type': 'start_trial_mobile_app', 'value': '17.816'}, {'action_type': 'start_trial_total', 'value': '17.816'}]",1.329552,"[{'action_type': 'outbound_click', 'value': '1.329552'}]",1.329552,3.711667,0.279248,59.386667,0.055571,0.055571,2.920656,59.386667,0.05917,1.370462,29.054142,30.140416,2.120026,2025-12-10,2025-12-10,ABOVE_AVERAGE,1.037388,6132,2.185258,134,"[{'action_type': 'outbound_click', 'value': '134'}]","[{'action_type': 'outbound_click', 'value': '2.185258'}]",AVERAGE,5911,178.16,589,6,552,2789,1786,1345
,,,,,,,,,,,,,,,,,,,,,,,6920994403784,11_yellow dress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920994403984,08_Red dress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,1,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.055,0.055,,,0.055,,27.5,27.5,0,2025-12-10,2025-12-10,UNKNOWN,1,4,,,,,UNKNOWN,4,0.11,1,7,1,2,1,1
,,,,,,,,,,,,,,,4,,4,,,,4,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.13,0.13,,,0.13,,30.588235,32.5,0,2025-12-10,2025-12-10,UNKNOWN,1.0625,17,,,,,UNKNOWN,16,0.52,1,3,1,4,1,1
4,1210,3,1,165,73,73,1210,4,4,50,1,1,,4,3725,9,3725,61,50,4,3499,4,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,173,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '7.49'}, {'action_type': 'subscribe_total', 'value': '7.49'}, {'action_type': 'start_trial_mobile_app', 'value': '6.241667'}, {'action_type': 'start_trial_total', 'value': '6.241667'}]",1.134848,"[{'action_type': 'outbound_click', 'value': '1.134848'}]",1.134848,2.565068,0.154752,46.8125,0.050268,0.050268,3.069672,46.8125,0.053515,1.08237,24.534853,25.88829,2.266771,2025-12-10,2025-12-10,ABOVE_AVERAGE,1.055164,7632,2.16195,165,"[{'action_type': 'outbound_click', 'value': '165'}]","[{'action_type': 'outbound_click', 'value': '2.16195'}]",BELOW_AVERAGE_35,7233,187.25,375,5,366,3105,1581,962
,,,,,,,,,,,,,,,2,,2,,,,2,,6920995425784,03_Mike T_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,20,20,0,2025-12-10,2025-12-10,UNKNOWN,1,7,,,,,UNKNOWN,7,0.14,,6,,2,2,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0,0,,,0,,0,0,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,23.333333,23.333333,0,2025-12-10,2025-12-10,UNKNOWN,1,3,,,,,UNKNOWN,3,0.07,,1,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,28,28,0,2025-12-10,2025-12-10,UNKNOWN,1,5,,,,,UNKNOWN,5,0.14,,4,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,17.5,17.5,0,2025-12-10,2025-12-10,UNKNOWN,1,4,,,,,UNKNOWN,4,0.07,1,9,1,1,1,1
,692,8,,119,55,55,692,,,43,,,,,3636,4,3636,47,43,,3470,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,124,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '18.579'}, {'action_type': 'subscribe_total', 'value': '18.579'}, {'action_type': 'start_trial_mobile_app', 'value': '16.89'}, {'action_type': 'start_trial_total', 'value': '16.89'}]",1.561261,"[{'action_type': 'outbound_click', 'value': '1.561261'}]",1.561261,3.378,0.268483,,0.051097,0.051097,3.952979,,0.053542,1.498306,24.053599,25.45766,1.605386,2025-12-10,2025-12-10,AVERAGE,1.058372,7724,1.540653,119,"[{'action_type': 'outbound_click', 'value': '119'}]","[{'action_type': 'outbound_click', 'value': '1.540653'}]",AVERAGE,7298,185.79,407,5,385,3098,1832,1275
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996507184,08_Red dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.11,0.11,,,0.11,,22,22,0,2025-12-10,2025-12-10,UNKNOWN,1,5,,,,,UNKNOWN,5,0.11,,2,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996507384,07_nose ring_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,80,80,0,2025-12-10,2025-12-10,UNKNOWN,1,1,,,,,UNKNOWN,1,0.08,1,19,1,1,1,1
,,,,,,,,,,,,,,,3,,3,,,,3,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.173333,0.173333,,,0.173333,,32.5,34.666667,0,2025-12-10,2025-12-10,UNKNOWN,1.066667,16,,,,,UNKNOWN,15,0.52,1,6,1,3,3,2
