action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,23,,23,,,,23,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.115652,0.115652,,,0.115652,,37.464789,38.550725,0,2025-12-08,2025-12-08,1.028986,71,,,,,69,2.66,2,3,2,21,8,5
2,71,,,2,1,1,71,2,2,,,,,2,204,,204,,,2,202,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,"[{'action_type': 'subscribe_mobile_app', 'value': '13.58'}, {'action_type': 'subscribe_total', 'value': '13.58'}]",6.79,"[{'action_type': 'outbound_click', 'value': '6.79'}]",6.79,13.58,0.191268,6.79,0.066569,0.066569,,6.79,0.067228,6.79,18.731034,19.344729,0.275862,2025-12-08,2025-12-08,1.032764,725,0.275862,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.275862'}]",702,13.58,10,2,10,190,55,28
1,104,1,,16,4,4,104,1,1,1,,,1,1,1269,,1269,2,2,1,1251,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,20,"[{'action_type': 'subscribe_mobile_app', 'value': '49.895'}, {'action_type': 'subscribe_total', 'value': '49.895'}]",6.236875,"[{'action_type': 'outbound_click', 'value': '6.236875'}]",6.236875,24.9475,0.959519,99.79,0.078637,0.078637,49.895,99.79,0.079768,4.9895,26.568158,28.791114,0.532481,2025-12-08,2025-12-08,1.08367,3756,0.425985,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '0.425985'}]",3466,99.79,95,3,91,1183,474,243
11,588,,,65,37,37,588,11,11,9,3,3,1,11,2727,2,2727,15,10,11,2647,11,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,74,"[{'action_type': 'subscribe_mobile_app', 'value': '32.622857'}, {'action_type': 'subscribe_total', 'value': '32.622857'}]",3.513231,"[{'action_type': 'outbound_click', 'value': '3.513231'}]",3.513231,6.171892,0.388367,20.76,0.08374,0.08374,15.224,20.76,0.086271,3.085946,35.838041,38.091743,1.161331,2025-12-08,2025-12-08,1.062886,6372,1.020088,65,"[{'action_type': 'outbound_click', 'value': '65'}]","[{'action_type': 'outbound_click', 'value': '1.020088'}]",5995,228.36,227,4,227,2520,1098,583
,130,,,25,11,11,130,,,4,1,1,,,1090,1,1090,6,4,,1059,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,30,,3.7156,"[{'action_type': 'outbound_click', 'value': '3.7156'}]",3.7156,8.444545,0.714538,,0.08522,0.08522,15.481667,,0.087715,3.096333,41.524363,43.508197,1.341082,2025-12-08,2025-12-08,1.047775,2237,1.117568,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.117568'}]",2135,92.89,100,4,101,1007,449,256
,2,,,1,,,2,,,,,,,,118,,118,,,,117,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,10.97,"[{'action_type': 'outbound_click', 'value': '10.97'}]",10.97,,5.485,,0.092966,0.092966,,,0.093761,10.97,40.780669,43.188976,0.371747,2025-12-08,2025-12-08,1.059055,269,0.371747,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.371747'}]",254,10.97,16,4,16,105,50,29
,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-08,2025-12-08,1,1,,,,,1,0.02,,5,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-08,2025-12-08,1,2,,,,,2,0.03,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-08,2025-12-08,1,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-08,2025-12-08,1,1,,,,,1,0.01,,8,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-08,2025-12-08,1,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916164484784,04 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-08,2025-12-08,1,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-08,2025-12-08,1,1,,,,,1,0.03,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.19,0.19,,,0.19,,23.75,27.142857,0,2025-12-08,2025-12-08,1.142857,8,,,,,7,0.19,,3,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-08,2025-12-08,1,1,,,,,1,0.01,1,16,1,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167868984,09 anomansollips,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.07,0.07,,,0.07,,70,70,0,2025-12-08,2025-12-08,1,1,,,,,1,0.07,,8,,1,1,
,,,,1,,,,,,,,,,,14,,14,,,,13,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.13,"[{'action_type': 'outbound_click', 'value': '1.13'}]",1.13,,,,0.080714,0.080714,,,0.086923,1.13,24.565217,26.27907,2.173913,2025-12-08,2025-12-08,1.069767,46,2.173913,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.173913'}]",43,1.13,,3,,11,5,2
1,77,,,11,6,6,77,1,1,1,,,,1,312,1,312,2,1,1,299,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,,2.05,"[{'action_type': 'outbound_click', 'value': '2.05'}]",2.05,3.758333,0.292857,22.55,0.072276,0.072276,11.275,22.55,0.075418,1.879167,21.374408,23.223481,1.137441,2025-12-08,2025-12-08,1.086509,1055,1.042654,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '1.042654'}]",971,22.55,27,3,27,269,131,74
5,411,1,,71,46,46,411,5,5,20,4,4,2,5,2179,4,2179,30,22,5,2078,5,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,82,"[{'action_type': 'subscribe_mobile_app', 'value': '45.8625'}, {'action_type': 'subscribe_total', 'value': '45.8625'}]",2.583803,"[{'action_type': 'outbound_click', 'value': '2.583803'}]",2.583803,3.988043,0.44635,36.69,0.08419,0.08419,6.115,36.69,0.088282,2.237195,28.415428,29.858398,1.270136,2025-12-08,2025-12-08,1.050781,6456,1.099752,71,"[{'action_type': 'outbound_click', 'value': '71'}]","[{'action_type': 'outbound_click', 'value': '1.099752'}]",6144,183.45,218,4,210,1892,934,569
7,439,2,,82,35,35,439,7,7,25,5,5,,7,2383,1,2383,31,25,7,2270,7,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,93,"[{'action_type': 'subscribe_mobile_app', 'value': '26.48'}, {'action_type': 'subscribe_total', 'value': '26.48'}]",2.583415,"[{'action_type': 'outbound_click', 'value': '2.583415'}]",2.583415,6.052571,0.482551,30.262857,0.088896,0.088896,6.833548,30.262857,0.093322,2.277849,38.314343,40.629076,1.68204,2025-12-08,2025-12-08,1.060414,5529,1.483089,82,"[{'action_type': 'outbound_click', 'value': '82'}]","[{'action_type': 'outbound_click', 'value': '1.483089'}]",5214,211.84,271,6,263,2093,1096,710
1,55,,,15,5,5,55,1,1,3,,,,1,379,,379,3,3,1,361,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,16,"[{'action_type': 'subscribe_mobile_app', 'value': '28.94'}, {'action_type': 'subscribe_total', 'value': '28.94'}]",1.929333,"[{'action_type': 'outbound_click', 'value': '1.929333'}]",1.929333,5.788,0.526182,28.94,0.076359,0.076359,9.646667,28.94,0.080166,1.80875,38.028909,39.752747,2.102497,2025-12-08,2025-12-08,1.04533,761,1.971091,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.971091'}]",728,28.94,63,5,59,338,196,135
,3,,,3,,,3,,,2,,,,,81,,81,2,2,,76,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,1.653333,"[{'action_type': 'outbound_click', 'value': '1.653333'}]",1.653333,,1.653333,,0.061235,0.061235,2.48,,0.065263,1.653333,29.700599,31,1.796407,2025-12-08,2025-12-08,1.04375,167,1.796407,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.796407'}]",160,4.96,13,6,12,71,40,23
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-08,2025-12-08,1,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,80,80,0,2025-12-08,2025-12-08,1,1,,,,,1,0.08,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,15,15,0,2025-12-08,2025-12-08,1,2,,,,,2,0.03,,1,,,,
,,,,,,,,,,,,,,,5,,5,,,,5,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.122,0.122,,,0.122,,40.666667,40.666667,0,2025-12-08,2025-12-08,1,15,,,,,15,0.61,,3,,4,2,2
,,,,,,,,,,,,,,,41,,41,,,,41,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.099512,0.099512,,,0.099512,,21.25,23.314286,0,2025-12-08,2025-12-08,1.097143,192,,,,,175,4.08,4,3,4,36,18,12
,34,,,8,2,2,34,,,1,,,1,,184,,184,2,2,,174,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,,2.4675,"[{'action_type': 'outbound_click', 'value': '2.4675'}]",2.4675,9.87,0.580588,,0.107283,0.107283,9.87,,0.113448,2.4675,30.229709,32.736318,1.225115,2025-12-08,2025-12-08,1.082919,653,1.225115,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.225115'}]",603,19.74,17,3,17,144,71,44
,20,,,4,2,2,20,,,1,,,,,299,,299,1,1,,294,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,7.7675,"[{'action_type': 'outbound_click', 'value': '7.7675'}]",7.7675,15.535,1.5535,,0.103913,0.103913,31.07,,0.10568,7.7675,36.552941,39.081761,0.470588,2025-12-08,2025-12-08,1.069182,850,0.470588,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.470588'}]",795,31.07,30,4,28,257,134,81
,50,,,9,4,4,50,,,,,,,,199,,199,,,,190,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,,2.643333,"[{'action_type': 'outbound_click', 'value': '2.643333'}]",2.643333,5.9475,0.4758,,0.119548,0.119548,,,0.125211,2.643333,53.702032,57.883212,2.031603,2025-12-08,2025-12-08,1.077859,443,2.031603,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '2.031603'}]",411,23.79,38,5,38,164,96,75
,,,,1,,,,,,,,,,,49,,49,,,,48,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,6.35,"[{'action_type': 'outbound_click', 'value': '6.35'}]",6.35,,,,0.129592,0.129592,,,0.132292,6.35,62.871287,67.553191,0.990099,2025-12-08,2025-12-08,1.074468,101,0.990099,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.990099'}]",94,6.35,10,5,9,44,28,17
,,,,,,,,,,,,,,,,,,,,,,,6920992821584,04 will_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),45-54,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-08,2025-12-08,1,1,,,,,1,0.01,,,,,,
,,,,1,,,,,,,,,,,29,,29,,,,28,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),18-24,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.72,"[{'action_type': 'outbound_click', 'value': '1.72'}]",1.72,,,,0.05931,0.05931,,,0.061429,1.72,22.337662,23.243243,1.298701,2025-12-08,2025-12-08,1.040541,77,1.298701,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.298701'}]",74,1.72,6,5,6,25,13,9
,39,3,,15,3,3,39,,,3,,,,,275,,275,3,3,,257,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),25-34,6920965699384,FB_iOS_Purchase_Rap_251203,15,,0.923333,"[{'action_type': 'outbound_click', 'value': '0.923333'}]",0.923333,4.616667,0.355128,,0.050364,0.050364,4.616667,,0.053891,0.923333,16.686747,16.686747,1.807229,2025-12-08,2025-12-08,1,830,1.807229,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.807229'}]",830,13.85,24,3,24,230,112,67
,63,3,1,60,7,7,63,,,17,3,3,,,1932,1,1932,22,17,,1850,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),35-44,6920965699384,FB_iOS_Purchase_Rap_251203,65,,1.6305,"[{'action_type': 'outbound_click', 'value': '1.6305'}]",1.6305,13.975714,1.552857,,0.050637,0.050637,4.446818,,0.052881,1.505077,18.86425,20.158665,1.253374,2025-12-08,2025-12-08,1.068617,5186,1.156961,60,"[{'action_type': 'outbound_click', 'value': '60'}]","[{'action_type': 'outbound_click', 'value': '1.156961'}]",4853,97.83,195,4,190,1628,852,488
