action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,6,,1,1,
,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,3,,,,
3,360,,1,70,31,31,360,3,3,1,1,,3,2965,,2965,16,14,3,2879,3,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,77,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '95.695'}, {'action_type': 'subscribe_total', 'value': '95.695'}]",2.734143,"[{'action_type': 'outbound_click', 'value': '2.734143'}]",2.734143,6.173871,0.531639,63.796667,0.06455,0.06455,11.961875,63.796667,0.066478,2.485584,26.50831,27.693532,1.066482,2025-12-06,2025-12-06,AVERAGE,1.044711,7220,0.969529,70,"[{'action_type': 'outbound_click', 'value': '70'}]","[{'action_type': 'outbound_click', 'value': '0.969529'}]",AVERAGE,6911,191.39,250,3,244,2708,1144,603
,,,,,,,,,,,,,,1,,1,,,,1,,6916164484784,04 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,4,,1,,
,4,,,,,,4,,,,,,,5,,5,,,,5,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,0.03,,0.024,0.024,,,0.024,,13.333333,15,0,2025-12-06,2025-12-06,UNKNOWN,1.125,9,,,,,UNKNOWN,8,0.12,1,4,1,3,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,3,,,,
6,673,,,116,61,61,673,6,6,10,10,,6,2907,7,2907,52,35,6,2739,6,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,136,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '60.2325'}, {'action_type': 'subscribe_total', 'value': '60.2325'}]",2.076983,"[{'action_type': 'outbound_click', 'value': '2.076983'}]",2.076983,3.949672,0.357994,40.155,0.082879,0.082879,4.633269,40.155,0.087963,1.771544,33.60251,36.013453,1.896792,2025-12-06,2025-12-06,ABOVE_AVERAGE,1.071749,7170,1.617852,116,"[{'action_type': 'outbound_click', 'value': '116'}]","[{'action_type': 'outbound_click', 'value': '1.617852'}]",BELOW_AVERAGE_35,6690,240.93,323,4,315,2499,1357,848
,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,40,40,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,,2,,,,
,62,1,2,50,13,13,62,,,,,,,2192,3,2192,23,18,,2119,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,57,AVERAGE,,3.6936,"[{'action_type': 'outbound_click', 'value': '3.6936'}]",3.6936,14.206154,2.97871,,0.084252,0.084252,8.029565,,0.087154,3.24,31.386812,34.50028,0.968729,2025-12-06,2025-12-06,BELOW_AVERAGE_35,1.099197,5884,0.849762,50,"[{'action_type': 'outbound_click', 'value': '50'}]","[{'action_type': 'outbound_click', 'value': '0.849762'}]",AVERAGE,5353,184.68,241,4,233,1841,907,606
,1,,,,,,1,,,,,,,,,,,,,,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
