action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,6912281081184,07 gaiaworksstudio_31415_A_beauti_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,35-44,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,,,,,,,0,0,0,2025-11-22,2025-11-22,1,1,,,,,1,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6912281720584,09 joel5934846_a_ginger_cat_and_w_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,18-24,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0.31,,,,,,,,77.5,77.5,0,2025-11-22,2025-11-22,1,4,,,,,4,0.31,,1,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6912281720584,09 joel5934846_a_ginger_cat_and_w_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,25-34,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,0.3,0.3,,,0.3,,23.076923,23.076923,0,2025-11-22,2025-11-22,1,13,,,,,13,0.3,,1,,1,,
,1,,,,,,1,,,,,,5,,5,,,,5,,6912281720584,09 joel5934846_a_ginger_cat_and_w_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,35-44,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0.31,,0.062,0.062,,,0.062,,12.4,12.4,0,2025-11-22,2025-11-22,1,25,,,,,25,0.31,1,3,1,5,3,2
,,,,1,,,,,,,,,5,,5,,,,4,,6912281720584,09 joel5934846_a_ginger_cat_and_w_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,45-54,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,1,,0.46,"[{'action_type': 'outbound_click', 'value': '0.46'}]",0.46,,,,0.092,0.092,,,0.115,0.46,30.666667,30.666667,6.666667,2025-11-22,2025-11-22,1,15,6.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.666667'}]",15,0.46,1,4,1,2,2,2
,,,,,,,,,,,,,3,,3,,,,3,,6912281720584,09 joel5934846_a_ginger_cat_and_w_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,55-64,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,0.093333,0.093333,,,0.093333,,28,28,0,2025-11-22,2025-11-22,1,10,,,,,10,0.28,1,9,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,6912281720584,09 joel5934846_a_ginger_cat_and_w_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,65+,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,,,,,,,30,30,0,2025-11-22,2025-11-22,1,1,,,,,1,0.03,,1,,,,
,,,,,,,,,,,,,2,,2,,,,2,,6912300992384,16 sina_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,18-24,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,0.05,0.05,,,0.05,,12.5,12.5,0,2025-11-22,2025-11-22,1,8,,,,,8,0.1,,4,,1,1,
,,,,,,,,,,,,,7,,7,,,,7,,6912300992384,16 sina_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,25-34,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,0.05,0.05,,,0.05,,23.333333,23.333333,0,2025-11-22,2025-11-22,1,15,,,,,15,0.35,,4,,6,3,1
,,,,2,,,,,,,,,7,,7,,,,5,,6912300992384,16 sina_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,35-44,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,2,,0.205,"[{'action_type': 'outbound_click', 'value': '0.205'}]",0.205,,,,0.058571,0.058571,,,0.082,0.205,17.826087,21.578947,8.695652,2025-11-22,2025-11-22,1.210526,23,8.695652,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '8.695652'}]",19,0.41,1,3,1,5,2,2
