action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,8,,,3,,,8,,,,,,,135,,135,1,1,,131,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,3.373333,"[{'action_type': 'outbound_click', 'value': '3.373333'}]",3.373333,,1.265,,0.074963,0.074963,10.12,,0.077252,2.53,27.277628,27.574932,1.078167,2025-12-06,2025-12-06,1.010899,male,371,0.808625,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.808625'}]",367,10.12,16,4,16,120,57,38
,1,,,,,,1,,,,,,,16,,16,,,,16,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,1.07,,0.066875,0.066875,,,0.066875,,32.424242,32.424242,0,2025-12-06,2025-12-06,1,unknown,33,,,,,33,1.07,2,4,2,15,5,4
,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-06,2025-12-06,1,unknown,1,,,,,1,0.04,,2,,,,
,16,,1,16,4,4,16,,,,,,,635,2,635,13,10,,606,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,18,,3.441875,"[{'action_type': 'outbound_click', 'value': '3.441875'}]",3.441875,13.7675,3.441875,,0.086724,0.086724,4.236154,,0.090875,3.059444,38.537439,41.593656,1.259622,2025-12-06,2025-12-06,1.079305,female,1429,1.119664,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.119664'}]",1324,55.07,63,4,61,540,261,172
,46,1,1,34,9,9,46,,,,,,,1540,1,1540,10,8,,1496,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,39,,3.762941,"[{'action_type': 'outbound_click', 'value': '3.762941'}]",3.762941,14.215556,2.781304,,0.083078,0.083078,12.794,,0.085521,3.280513,29.064062,32.332575,0.885961,2025-12-06,2025-12-06,1.112459,male,4402,0.772376,34,"[{'action_type': 'outbound_click', 'value': '34'}]","[{'action_type': 'outbound_click', 'value': '0.772376'}]",3957,127.94,176,4,170,1288,640,431
,,,,,,,,,,,,,,17,,17,,,,17,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.098235,0.098235,,,0.098235,,31.509434,34.081633,0,2025-12-06,2025-12-06,1.081633,unknown,53,,,,,49,1.67,2,3,2,13,6,3
,1,,,,,,1,,,,,,,,,,,,,,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,female,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,male,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6920199460384,03_blackbodysuit_Big energy,6920175379584,Test_F_BigEnergy,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,female,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,6920213202984,03_blackbodysuit_I like it,6920211227584,Test_F_ILikeIt,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,female,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6920229519184,02_blackNew_Wap 2,6920228641784,Test_F_Wap2,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,female,0,,,,,0,0,,,,,,
,39,,,5,1,1,39,,,1,1,,,154,,154,6,5,,143,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,6,,1.33,"[{'action_type': 'outbound_click', 'value': '1.33'}]",1.33,6.65,0.170513,,0.043182,0.043182,1.108333,,0.046504,1.108333,19.164265,19.850746,1.729107,2025-12-06,2025-12-06,1.035821,female,347,1.440922,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.440922'}]",335,6.65,15,4,15,126,59,41
11,861,2,,199,56,56,861,11,11,1,1,,11,5448,9,5448,67,57,11,5182,11,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,228,"[{'action_type': 'subscribe_mobile_app', 'value': '52.31'}, {'action_type': 'subscribe_total', 'value': '52.31'}]",1.314322,"[{'action_type': 'outbound_click', 'value': '1.314322'}]",1.314322,4.670536,0.303775,23.777273,0.048008,0.048008,3.903731,23.777273,0.050473,1.147149,20.479994,20.651402,1.785295,2025-12-06,2025-12-06,1.00837,male,12771,1.558218,199,"[{'action_type': 'outbound_click', 'value': '199'}]","[{'action_type': 'outbound_click', 'value': '1.558218'}]",12665,261.55,535,4,525,4695,2437,1440
,,,,1,,,,,,,,,,27,,27,,,,26,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.79,"[{'action_type': 'outbound_click', 'value': '1.79'}]",1.79,,,,0.066296,0.066296,,,0.068846,1.79,20.11236,20.340909,1.123596,2025-12-06,2025-12-06,1.011364,unknown,89,1.123596,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.123596'}]",88,1.79,1,3,1,23,9,3
,,,,,,,,,,,,,,1,,1,,,,1,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,male,1,,,,,1,0.01,,4,,1,,
,,,,,,,,,,,,,,4,,4,,,,4,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.1025,0.1025,,,0.1025,,24.117647,24.117647,0,2025-12-06,2025-12-06,1,male,17,,,,,17,0.41,,2,,3,1,1
,,,,,,,,,,,,,,,,,,,,,,6920992823984,01 Santa_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-06,2025-12-06,1,female,1,,,,,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6920992823984,01 Santa_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-06,2025-12-06,1,male,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6920994402784,09_red lipstick_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,40,40,0,2025-12-06,2025-12-06,1,male,1,,,,,1,0.04,,2,,,,
,,,,,,,,,,,,,,3,,3,1,1,,2,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.09,0.09,0.27,,0.135,,54,67.5,0,2025-12-06,2025-12-06,1.25,female,5,,,,,4,0.27,,3,,2,,
,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-06,2025-12-06,1,unknown,1,,,,,1,0,,1,,,,
2,502,4,,209,68,68,502,2,2,1,1,2,2,4521,8,4521,74,65,2,4238,2,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,207,"[{'action_type': 'subscribe_mobile_app', 'value': '123.86'}, {'action_type': 'subscribe_total', 'value': '123.86'}]",1.185263,"[{'action_type': 'outbound_click', 'value': '1.190962'}]",1.185263,3.642941,0.493466,123.86,0.054793,0.054793,3.347568,123.86,0.058452,1.196715,26.443211,30.294729,2.20965,2025-12-06,2025-12-06,1.145652,female,9368,2.230999,209,"[{'action_type': 'outbound_click', 'value': '208'}]","[{'action_type': 'outbound_click', 'value': '2.220325'}]",8177,247.72,803,5,759,3890,2388,1782
,6,,,9,1,1,6,,,,,,,226,,226,1,1,,216,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,10,,1.427778,"[{'action_type': 'outbound_click', 'value': '1.427778'}]",1.427778,12.85,2.141667,,0.056858,0.056858,12.85,,0.059491,1.285,25.59761,27.167019,1.992032,2025-12-06,2025-12-06,1.061311,male,502,1.792829,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.792829'}]",473,12.85,35,5,35,193,117,79
,,,,,,,,,,,,,,19,,19,,,,19,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.074737,0.074737,,,0.074737,,25.818182,29.583333,0,2025-12-06,2025-12-06,1.145833,unknown,55,,,,,48,1.42,3,5,3,19,11,10
,,,,,,,,,,,,,,,,,,,,,,6920994403984,08_Red dress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-06,2025-12-06,1,female,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,2,,2,1,1,,1,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.205,0.205,0.41,,0.41,,102.5,102.5,0,2025-12-06,2025-12-06,1,female,4,,,,,4,0.41,,3,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,male,1,,,,,1,0.01,,9,,1,1,
,,,,,,,,,,,,,,,,,,,,,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,30,0,2025-12-06,2025-12-06,1,male,1,,,,,1,0.03,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-06,2025-12-06,1,male,2,,,,,2,0.04,,2,,,,
,6,,,6,1,1,6,,,,,1,,266,2,266,9,7,,251,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,6,,2.11,"[{'action_type': 'outbound_click', 'value': '2.11'}]",2.11,12.66,2.11,,0.047594,0.047594,1.406667,,0.050438,2.11,21.457627,22.893309,1.016949,2025-12-06,2025-12-06,1.066908,female,590,1.016949,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.016949'}]",553,12.66,41,5,42,219,123,84
4,893,6,3,226,80,80,893,4,4,1,1,3,4,5285,4,5285,82,74,4,4977,4,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,223,"[{'action_type': 'subscribe_mobile_app', 'value': '62.71'}, {'action_type': 'subscribe_total', 'value': '62.71'}]",1.109912,"[{'action_type': 'outbound_click', 'value': '1.114844'}]",1.109912,3.1355,0.280896,62.71,0.047463,0.047463,3.059024,62.71,0.0504,1.124843,22.780856,24.285023,2.025247,2025-12-06,2025-12-06,1.066028,male,11011,2.052493,226,"[{'action_type': 'outbound_click', 'value': '225'}]","[{'action_type': 'outbound_click', 'value': '2.043411'}]",10329,250.84,795,5,776,4481,2609,1681
,,,,3,,,,,,,,,,40,,40,1,1,,36,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,4,,0.733333,"[{'action_type': 'outbound_click', 'value': '0.733333'}]",0.733333,,,,0.055,0.055,2.2,,0.061111,0.55,24.444444,25.882353,4.444444,2025-12-06,2025-12-06,1.058824,unknown,90,3.333333,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '3.333333'}]",85,2.2,6,5,6,33,22,11
,,,,,,,,,,,,,,,,,,,,,,6920996505784,09_red lipstick_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-06,2025-12-06,1,male,1,,,,,1,0.01,,1,,,,
3,496,,,80,45,45,496,3,3,2,2,1,3,2133,4,2133,34,28,3,2019,3,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,77,"[{'action_type': 'subscribe_mobile_app', 'value': '57.035'}, {'action_type': 'subscribe_total', 'value': '57.035'}]",1.425875,"[{'action_type': 'outbound_click', 'value': '1.425875'}]",1.425875,2.534889,0.22998,38.023333,0.053479,0.053479,3.355,38.023333,0.056498,1.481429,26.073143,27.069293,1.76,2025-12-06,2025-12-06,1.038206,female,4375,1.828571,80,"[{'action_type': 'outbound_click', 'value': '80'}]","[{'action_type': 'outbound_click', 'value': '1.828571'}]",4214,114.07,278,5,263,1803,1091,767
,,,,2,,,,,,,,,,133,,133,,,,131,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,2,,3.75,"[{'action_type': 'outbound_click', 'value': '3.75'}]",3.75,,,,0.056391,0.056391,,,0.057252,3.75,22.590361,23.734177,0.60241,2025-12-06,2025-12-06,1.050633,male,332,0.60241,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.60241'}]",316,7.5,13,4,12,111,58,39
,,,,,,,,,,,,,,13,,13,,,,13,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.091538,0.091538,,,0.091538,,35,35,0,2025-12-06,2025-12-06,1,unknown,34,,,,,34,1.19,2,4,2,13,6,5
,,,,,,,,,,,,,,,,,,,,,,6920996507384,07_nose ring_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,220,220,0,2025-12-06,2025-12-06,1,female,2,,,,,2,0.44,,3,,,,
,,,,,,,,,,,,,,3,,3,,,,3,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,,,0.02,,12,12,0,2025-12-06,2025-12-06,1,female,5,,,,,5,0.06,1,15,1,3,2,2
,,,,,,,,,,,,,,2,,2,,,,2,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-06,2025-12-06,1,male,4,,,,,4,0.08,,6,,2,2,1
2,458,4,1,121,47,47,458,2,2,3,3,,2,3275,4,3275,55,47,2,3099,2,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,128,"[{'action_type': 'subscribe_mobile_app', 'value': '52.173333'}, {'action_type': 'subscribe_total', 'value': '52.173333'}]",1.293554,"[{'action_type': 'outbound_click', 'value': '1.293554'}]",1.293554,3.330213,0.341747,78.26,0.047792,0.047792,2.845818,78.26,0.050507,1.222813,22.832969,23.808944,1.86725,2025-12-06,2025-12-06,1.042744,female,6855,1.765135,121,"[{'action_type': 'outbound_click', 'value': '121'}]","[{'action_type': 'outbound_click', 'value': '1.765135'}]",6574,156.52,318,5,304,2791,1687,1076
,9,,,8,,,9,,,1,1,1,,389,1,389,10,8,,371,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,11,,2.29625,"[{'action_type': 'outbound_click', 'value': '2.29625'}]",2.29625,,2.041111,,0.047224,0.047224,1.837,,0.049515,1.67,20.142544,21.510539,1.20614,2025-12-06,2025-12-06,1.067916,male,912,0.877193,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.877193'}]",854,18.37,34,4,35,323,181,111
,,,,,,,,,,,,,,24,,24,,,,24,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.06,0.06,,,0.06,,26.666667,27.169811,0,2025-12-06,2025-12-06,1.018868,unknown,54,,,,,53,1.44,,4,,23,11,3
