action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,,,,2,,,,,,37,1,37,2,1,,35,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0.6,,0.032432,0.032432,0.6,,0.034286,,13.483146,14.285714,0,2025-11-28,2025-11-28,1.059524,female,89,,,,,84,1.2,10,4,9,34,16,13
,189,2,,23,12,12,189,,,,,,410,,410,3,3,,384,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,22,"[{'action_type': 'subscribe_mobile_app', 'value': '11.04'}, {'action_type': 'subscribe_total', 'value': '11.04'}, {'action_type': 'start_trial_mobile_app', 'value': '11.04'}, {'action_type': 'start_trial_total', 'value': '11.04'}]",0.48,"[{'action_type': 'outbound_click', 'value': '0.48'}]",0.48,0.92,0.058413,,0.026927,0.026927,3.68,,0.02875,0.501818,11.744681,12.225914,2.340426,2025-11-28,2025-11-28,1.040975,male,940,2.446809,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '2.446809'}]",903,11.04,55,4,49,369,184,109
,,,,,,,,,,,,,2,,2,,,,2,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02,0.02,,,0.02,,13.333333,13.333333,0,2025-11-28,2025-11-28,1,unknown,3,,,,,3,0.04,1,6,1,2,1,1
,1,,,2,,,1,,,,,,94,,94,1,1,,91,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,2,,1.185,"[{'action_type': 'outbound_click', 'value': '1.185'}]",1.185,,2.37,,0.025213,0.025213,2.37,,0.026044,1.185,10.128205,10.304348,0.854701,2025-11-28,2025-11-28,1.017391,female,234,0.854701,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.854701'}]",230,2.37,11,3,11,85,40,21
,312,,,69,32,32,312,,,,,,2755,,2755,12,12,,2674,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,68,"[{'action_type': 'subscribe_mobile_app', 'value': '17.953333'}, {'action_type': 'subscribe_total', 'value': '17.953333'}, {'action_type': 'start_trial_mobile_app', 'value': '17.953333'}, {'action_type': 'start_trial_total', 'value': '17.953333'}]",0.78058,"[{'action_type': 'outbound_click', 'value': '0.78058'}]",0.78058,1.683125,0.172628,,0.01955,0.01955,4.488333,,0.020142,0.792059,9.41773,9.667923,1.189019,2025-11-28,2025-11-28,1.026566,male,5719,1.206505,69,"[{'action_type': 'outbound_click', 'value': '69'}]","[{'action_type': 'outbound_click', 'value': '1.206505'}]",5571,53.86,228,4,208,2542,1111,577
,2,,,1,1,1,2,,,,,,15,,15,,,,14,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,1,,0.39,"[{'action_type': 'outbound_click', 'value': '0.39'}]",0.39,0.39,0.195,,0.026,0.026,,,0.027857,0.39,7.647059,8.125,1.960784,2025-11-28,2025-11-28,1.0625,unknown,51,1.960784,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.960784'}]",48,0.39,5,4,5,13,11,9
,,,,,,,,,,,,,,,,,,,,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-28,2025-11-28,1,male,1,,,,,1,0,,1,,,,
,97,3,,20,6,6,97,,,,,,419,1,419,4,3,,395,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,19,"[{'action_type': 'subscribe_mobile_app', 'value': '39.25'}, {'action_type': 'subscribe_total', 'value': '39.25'}, {'action_type': 'start_trial_mobile_app', 'value': '9.8125'}, {'action_type': 'start_trial_total', 'value': '9.8125'}]",1.9625,"[{'action_type': 'outbound_click', 'value': '1.9625'}]",1.9625,6.541667,0.404639,,0.093675,0.093675,9.8125,,0.099367,2.065789,35.714286,38.746298,1.728844,2025-11-28,2025-11-28,1.084896,female,1099,1.819836,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.819836'}]",1013,39.25,92,4,91,377,235,147
,338,2,,87,18,18,338,,,,,,2990,1,2990,14,13,,2889,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,91,"[{'action_type': 'subscribe_mobile_app', 'value': '43.62'}, {'action_type': 'subscribe_total', 'value': '43.62'}, {'action_type': 'start_trial_mobile_app', 'value': '19.827273'}, {'action_type': 'start_trial_total', 'value': '19.827273'}]",2.506897,"[{'action_type': 'outbound_click', 'value': '2.506897'}]",2.506897,12.116667,0.645266,,0.072943,0.072943,15.578571,,0.075493,2.396703,24.911479,26.394772,1.039406,2025-11-28,2025-11-28,1.059543,male,8755,0.993718,87,"[{'action_type': 'outbound_click', 'value': '87'}]","[{'action_type': 'outbound_click', 'value': '0.993718'}]",8263,218.1,507,4,483,2762,1455,898
,,,,2,,,,,,,,,29,,29,,,,27,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,1.555,"[{'action_type': 'outbound_click', 'value': '1.555'}]",1.555,,,,0.107241,0.107241,,,0.115185,1.555,35.340909,39.367089,2.272727,2025-11-28,2025-11-28,1.113924,unknown,88,2.272727,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.272727'}]",79,3.11,7,3,7,27,11,11
