action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,45,1,,11,10,10,45,,,2,,,,,381,,381,2,2,,368,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,,2.596364,"[{'action_type': 'outbound_click', 'value': '2.596364'}]",2.596364,2.856,0.634667,,0.074961,0.074961,14.28,,0.077609,2.38,34.534462,35.566625,1.451028,2025-12-09,2025-12-09,1.029888,827,1.330109,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '1.330109'}]",803,28.56,37,4,37,348,149,77
,,,,2,,,,,,,,,,,52,,52,,,,50,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,1.685,"[{'action_type': 'outbound_click', 'value': '1.685'}]",1.685,,,,0.064808,0.064808,,,0.0674,1.685,34.387755,34.742268,2.040816,2025-12-09,2025-12-09,1.010309,98,2.040816,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.040816'}]",97,3.37,6,4,6,48,22,10
,,,,,,,,,,,,,,,1,,1,,,,1,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-09,2025-12-09,1,1,,,,,1,0,1,14,1,1,1,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.035,0.035,,,0.035,,23.333333,23.333333,0,2025-12-09,2025-12-09,1,3,,,,,3,0.07,1,5,1,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,36.666667,36.666667,0,2025-12-09,2025-12-09,1,6,,,,,6,0.22,,1,,1,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.09,0.09,,,0.09,,25.714286,30,0,2025-12-09,2025-12-09,1.166667,7,,,,,6,0.18,,3,,4,2,
,11,,,2,1,1,11,,,1,,,,,92,,92,1,1,,89,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,"[{'action_type': 'subscribe_mobile_app', 'value': '5.76'}, {'action_type': 'subscribe_total', 'value': '5.76'}, {'action_type': 'start_trial_mobile_app', 'value': '5.76'}, {'action_type': 'start_trial_total', 'value': '5.76'}]",2.88,"[{'action_type': 'outbound_click', 'value': '2.88'}]",2.88,5.76,0.523636,,0.062609,0.062609,5.76,,0.064719,1.92,17.454545,18.402556,0.909091,2025-12-09,2025-12-09,1.054313,330,0.606061,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.606061'}]",313,5.76,14,3,13,81,38,26
,44,,,17,2,2,44,,,3,,,,,546,1,546,4,3,,525,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,19,,2.067059,"[{'action_type': 'outbound_click', 'value': '2.067059'}]",2.067059,17.57,0.798636,,0.064359,0.064359,8.785,,0.066933,1.849474,19.087452,19.587514,1.032048,2025-12-09,2025-12-09,1.026198,1841,0.923411,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '0.923411'}]",1794,35.14,62,3,61,505,232,138
,251,,,29,18,18,251,,,4,,,,,851,,851,4,4,,818,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,29,"[{'action_type': 'subscribe_mobile_app', 'value': '8.377143'}, {'action_type': 'subscribe_total', 'value': '8.377143'}, {'action_type': 'start_trial_mobile_app', 'value': '5.330909'}, {'action_type': 'start_trial_total', 'value': '5.330909'}]",2.022069,"[{'action_type': 'outbound_click', 'value': '2.022069'}]",2.022069,3.257778,0.233626,,0.068907,0.068907,14.66,,0.071687,2.022069,22.036828,22.888368,1.089816,2025-12-09,2025-12-09,1.038642,2661,1.089816,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '1.089816'}]",2562,58.64,95,3,93,774,354,194
,135,,,20,5,5,135,,,6,,,,,541,,541,6,6,,515,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,20,"[{'action_type': 'subscribe_mobile_app', 'value': '12.116667'}, {'action_type': 'subscribe_total', 'value': '12.116667'}, {'action_type': 'start_trial_mobile_app', 'value': '9.0875'}, {'action_type': 'start_trial_total', 'value': '9.0875'}]",1.8175,"[{'action_type': 'outbound_click', 'value': '1.8175'}]",1.8175,7.27,0.269259,,0.06719,0.06719,6.058333,,0.070583,1.8175,27.621581,28.354134,1.519757,2025-12-09,2025-12-09,1.026521,1316,1.519757,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.519757'}]",1282,36.35,83,7,77,493,236,147
,20,,,4,2,2,20,,,1,,,,,113,,113,1,1,,108,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,"[{'action_type': 'subscribe_mobile_app', 'value': '3.82'}, {'action_type': 'subscribe_total', 'value': '3.82'}, {'action_type': 'start_trial_mobile_app', 'value': '3.82'}, {'action_type': 'start_trial_total', 'value': '3.82'}]",1.91,"[{'action_type': 'outbound_click', 'value': '1.91'}]",1.91,3.82,0.382,,0.067611,0.067611,7.64,,0.070741,1.91,36.208531,36.908213,1.895735,2025-12-09,2025-12-09,1.019324,211,1.895735,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.895735'}]",207,7.64,10,4,10,104,43,24
,7,,,2,,,7,,,,,,,,20,,20,,,,18,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.255,"[{'action_type': 'outbound_click', 'value': '1.255'}]",1.255,,0.358571,,0.1255,0.1255,,,0.139444,1.255,62.75,66.052632,5,2025-12-09,2025-12-09,1.052632,40,5,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '5'}]",38,2.51,2,4,2,17,7,5
,,,,,,,,,,,,,,,2,,2,,,,2,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.005,0.005,,,0.005,,5,5,0,2025-12-09,2025-12-09,1,2,,,,,2,0.01,,4,,2,,
,,,,,,,,,,,,,,,,,,,,,,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-09,2025-12-09,1,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-09,2025-12-09,1,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,5,,5,,,,5,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.058,0.058,,,0.058,,24.166667,26.363636,0,2025-12-09,2025-12-09,1.090909,12,,,,,11,0.29,,3,,5,3,1
,45,,,5,2,2,45,,,,,,,,78,,78,,,,73,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,"[{'action_type': 'subscribe_mobile_app', 'value': '4.51'}, {'action_type': 'subscribe_total', 'value': '4.51'}, {'action_type': 'start_trial_mobile_app', 'value': '4.51'}, {'action_type': 'start_trial_total', 'value': '4.51'}]",0.902,"[{'action_type': 'outbound_click', 'value': '0.902'}]",0.902,2.255,0.100222,,0.057821,0.057821,,,0.061781,0.751667,18.870293,19.439655,2.51046,2025-12-09,2025-12-09,1.030172,239,2.09205,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '2.09205'}]",232,4.51,6,3,6,64,27,17
,152,,,20,12,12,152,,,8,,,,,618,,618,8,8,,590,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,24,"[{'action_type': 'subscribe_mobile_app', 'value': '13.0775'}, {'action_type': 'subscribe_total', 'value': '13.0775'}, {'action_type': 'start_trial_mobile_app', 'value': '13.0775'}, {'action_type': 'start_trial_total', 'value': '13.0775'}]",2.6155,"[{'action_type': 'outbound_click', 'value': '2.6155'}]",2.6155,4.359167,0.344145,,0.084644,0.084644,6.53875,,0.088661,2.179583,26.486076,27.883795,1.21519,2025-12-09,2025-12-09,1.052772,1975,1.012658,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.012658'}]",1876,52.31,64,4,64,542,261,178
1,120,,,34,12,12,120,1,1,18,1,1,,1,936,,936,19,18,1,883,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,38,"[{'action_type': 'subscribe_mobile_app', 'value': '35.815'}, {'action_type': 'subscribe_total', 'value': '35.815'}, {'action_type': 'start_trial_mobile_app', 'value': '71.63'}, {'action_type': 'start_trial_total', 'value': '71.63'}]",2.106765,"[{'action_type': 'outbound_click', 'value': '2.106765'}]",2.106765,5.969167,0.596917,71.63,0.076528,0.076528,3.77,71.63,0.081121,1.885,33.425105,34.570463,1.773215,2025-12-09,2025-12-09,1.034266,2143,1.586561,34,"[{'action_type': 'outbound_click', 'value': '34'}]","[{'action_type': 'outbound_click', 'value': '1.586561'}]",2072,71.63,98,5,93,786,403,256
,28,,,6,4,4,28,,,3,,,,,164,,164,3,3,,155,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,"[{'action_type': 'subscribe_mobile_app', 'value': '13.01'}, {'action_type': 'subscribe_total', 'value': '13.01'}, {'action_type': 'start_trial_mobile_app', 'value': '13.01'}, {'action_type': 'start_trial_total', 'value': '13.01'}]",2.168333,"[{'action_type': 'outbound_click', 'value': '2.168333'}]",2.168333,3.2525,0.464643,,0.079329,0.079329,4.336667,,0.083935,2.168333,40.154321,40.403727,1.851852,2025-12-09,2025-12-09,1.006211,324,1.851852,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.851852'}]",322,13.01,23,5,22,143,82,59
,2,,,2,,,2,,,1,,,,,26,,26,1,1,,23,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.63,"[{'action_type': 'outbound_click', 'value': '0.63'}]",0.63,,0.63,,0.048462,0.048462,1.26,,0.054783,0.63,25.2,25.2,4,2025-12-09,2025-12-09,1,50,4,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '4'}]",50,1.26,3,6,3,22,12,7
,,,,,,,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-09,2025-12-09,1,2,,,,,2,0.04,,1,,,,
