action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,1,,,2,,,,,,11,,11,,,,10,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,1,,0.52,"[{'action_type': 'outbound_click', 'value': '0.52'}]",0.52,,0.26,,0.047273,0.047273,,,0.052,0.52,15.757576,16.25,3.030303,2025-12-01,2025-12-01,1.03125,33,3.030303,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.030303'}]",32,0.52,,3,,10,3,1
,2,,,3,,,2,,,,,,48,,48,1,1,,44,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,3,,0.486667,"[{'action_type': 'outbound_click', 'value': '0.486667'}]",0.486667,,0.73,,0.030417,0.030417,1.46,,0.033182,0.486667,10.656934,10.977444,2.189781,2025-12-01,2025-12-01,1.030075,137,2.189781,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.189781'}]",133,1.46,5,3,4,43,21,7
,10,1,,6,1,1,10,,,,,,208,,208,4,4,,198,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,6,,0.886667,"[{'action_type': 'outbound_click', 'value': '0.886667'}]",0.886667,5.32,0.532,,0.025577,0.025577,1.33,,0.026869,0.886667,9.797422,10.191571,1.104972,2025-12-01,2025-12-01,1.04023,543,1.104972,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.104972'}]",522,5.32,32,4,32,192,93,67
,55,,,15,6,6,55,,,,,,404,2,404,6,4,,383,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,15,"[{'action_type': 'subscribe_mobile_app', 'value': '9.76'}, {'action_type': 'subscribe_total', 'value': '9.76'}, {'action_type': 'start_trial_mobile_app', 'value': '9.76'}, {'action_type': 'start_trial_total', 'value': '9.76'}]",0.650667,"[{'action_type': 'outbound_click', 'value': '0.650667'}]",0.650667,1.626667,0.177455,,0.024158,0.024158,1.626667,,0.025483,0.650667,10.880713,11.388565,1.672241,2025-12-01,2025-12-01,1.046674,897,1.672241,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.672241'}]",857,9.76,54,4,51,368,178,113
,6,,,2,1,1,6,,,,,,154,,154,2,2,,150,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,2,,2.415,"[{'action_type': 'outbound_click', 'value': '2.415'}]",2.415,4.83,0.805,,0.031364,0.031364,2.415,,0.0322,2.415,13.49162,13.567416,0.558659,2025-12-01,2025-12-01,1.005618,358,0.558659,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.558659'}]",356,4.83,31,4,30,144,73,54
,,,,1,,,,,,,,,23,,23,,,,22,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,1,,0.62,"[{'action_type': 'outbound_click', 'value': '0.62'}]",0.62,,,,0.026957,0.026957,,,0.028182,0.62,13.777778,14.418605,2.222222,2025-12-01,2025-12-01,1.046512,45,2.222222,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.222222'}]",43,0.62,2,4,2,22,8,7
,,,,,,,,,,,,,7,,7,,,,7,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.032857,0.032857,,,0.032857,,11.5,11.5,0,2025-12-01,2025-12-01,1,20,,,,,20,0.23,,3,,7,5,1
,,,,1,,,,,,,,,101,,101,2,2,,98,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,1,,2.15,"[{'action_type': 'outbound_click', 'value': '2.15'}]",2.15,,,,0.021287,0.021287,1.075,,0.021939,2.15,9.817352,10.046729,0.456621,2025-12-01,2025-12-01,1.023364,219,0.456621,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.456621'}]",214,2.15,7,3,6,94,37,23
,58,1,,12,4,4,58,,,,,,680,1,680,3,2,,665,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,11,"[{'action_type': 'subscribe_mobile_app', 'value': '13.27'}, {'action_type': 'subscribe_total', 'value': '13.27'}]",1.105833,"[{'action_type': 'outbound_click', 'value': '1.105833'}]",1.105833,3.3175,0.228793,,0.019515,0.019515,4.423333,,0.019955,1.206364,8.23201,8.28857,0.682382,2025-12-01,2025-12-01,1.006871,1612,0.744417,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '0.744417'}]",1601,13.27,50,3,45,635,256,138
,236,,1,51,22,22,236,,,,,,1841,,1841,9,8,,1781,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,52,"[{'action_type': 'subscribe_mobile_app', 'value': '18.22'}, {'action_type': 'subscribe_total', 'value': '18.22'}, {'action_type': 'start_trial_mobile_app', 'value': '12.146667'}, {'action_type': 'start_trial_total', 'value': '12.146667'}]",0.71451,"[{'action_type': 'outbound_click', 'value': '0.71451'}]",0.71451,1.656364,0.154407,,0.019794,0.019794,4.048889,,0.02046,0.700769,9.305414,9.793066,1.327886,2025-12-01,2025-12-01,1.052405,3916,1.302349,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '1.302349'}]",3721,36.44,158,4,140,1704,759,425
