action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,1,,,1,,,,,,,,18,,18,,,,17,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.82,"[{'action_type': 'outbound_click', 'value': '0.82'}]",0.82,,0.82,,0.045556,0.045556,,,0.048235,0.82,24.848485,25.625,3.030303,2025-12-10,2025-12-10,1.03125,unknown,33,3.030303,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.030303'}]",32,0.82,3,18,3,17,10,5
,,,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.115,0.115,,,0.115,,38.333333,38.333333,0,2025-12-10,2025-12-10,1,female,6,,,,,6,0.23,,4,,2,2,
,,,,,,,,,,1,,,,,4,,4,1,1,,3,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,0.24,,0.08,,18.461538,18.461538,0,2025-12-10,2025-12-10,1,male,13,,,,,13,0.24,,2,,3,2,1
,,,,,,,,,,,,,,,4,,4,,,,4,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.025,0.025,,,0.025,,14.285714,14.285714,0,2025-12-10,2025-12-10,1,female,7,,,,,7,0.1,,5,,4,3,2
,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-10,2025-12-10,1,male,1,,,,,1,0.01,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-10,2025-12-10,1,male,1,,,,,1,0,,,,,,
1,404,,,51,30,30,404,1,1,29,3,3,,1,1616,3,1616,35,29,1,1530,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,59,"[{'action_type': 'subscribe_mobile_app', 'value': '7.752308'}, {'action_type': 'subscribe_total', 'value': '7.752308'}, {'action_type': 'start_trial_mobile_app', 'value': '9.161818'}, {'action_type': 'start_trial_total', 'value': '9.161818'}]",1.976078,"[{'action_type': 'outbound_click', 'value': '1.976078'}]",1.976078,3.359333,0.249455,100.78,0.062364,0.062364,2.879429,100.78,0.065869,1.708136,25.565703,25.565703,1.496702,2025-12-10,2025-12-10,1,female,3942,1.29376,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '1.29376'}]",3942,100.78,152,4,152,1397,685,417
,,,,1,,,,,,,,,,,36,,36,,,,35,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,1.73,"[{'action_type': 'outbound_click', 'value': '1.73'}]",1.73,,,,0.048056,0.048056,,,0.049429,0.865,19.222222,19.222222,2.222222,2025-12-10,2025-12-10,1,male,90,1.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.111111'}]",90,1.73,3,4,3,34,17,11
,,,,,,,,,,,,,,,3,,3,,,,3,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.126667,0.126667,,,0.126667,,38,38,0,2025-12-10,2025-12-10,1,unknown,10,,,,,10,0.38,,3,,2,1,1
,,,,,,,,,,2,,,,,25,,25,2,2,,23,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,,,,,,,0.0432,0.0432,0.54,,0.046957,1.08,18,18,1.666667,2025-12-10,2025-12-10,1,female,60,,,,,60,1.08,2,3,2,21,13,4
,,,,,,,,,,,,,,,1,,1,,,,1,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-10,2025-12-10,1,male,2,,,,,2,0.02,,5,,1,1,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.1,0.1,,,0.1,,100,100,0,2025-12-10,2025-12-10,1,unknown,1,,,,,1,0.1,,3,,,,
,8,1,,9,,,8,,,3,,,,,376,1,376,4,3,,363,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,,4.462222,"[{'action_type': 'outbound_click', 'value': '4.462222'}]",4.462222,,5.02,,0.106809,0.106809,10.04,,0.110634,4.462222,46.535342,47.980884,1.042874,2025-12-10,2025-12-10,1.031063,female,863,1.042874,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.042874'}]",837,40.16,31,4,31,318,169,108
,48,2,,19,6,6,48,,,4,1,1,,,690,,690,5,4,,666,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,20,"[{'action_type': 'subscribe_mobile_app', 'value': '70.09'}, {'action_type': 'subscribe_total', 'value': '70.09'}, {'action_type': 'start_trial_mobile_app', 'value': '70.09'}, {'action_type': 'start_trial_total', 'value': '70.09'}]",3.688947,"[{'action_type': 'outbound_click', 'value': '3.688947'}]",3.688947,11.681667,1.460208,,0.10158,0.10158,14.018,,0.10524,3.5045,37.886486,41.277974,1.081081,2025-12-10,2025-12-10,1.089517,male,1850,1.027027,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '1.027027'}]",1698,70.09,111,4,111,589,317,212
,,,,,,,,,,,,,,,8,,8,,,,8,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.07375,0.07375,,,0.07375,,25.652174,29.5,0,2025-12-10,2025-12-10,1.15,unknown,23,,,,,20,0.59,,3,,8,4,2
,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-10,2025-12-10,1,male,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,13,,13,,,,13,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.036154,0.036154,,,0.036154,,15.16129,15.16129,0,2025-12-10,2025-12-10,1,female,31,,,,,31,0.47,1,3,1,11,3,2
,24,,,3,1,1,24,,,,,,,,67,1,67,1,,,63,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,"[{'action_type': 'subscribe_mobile_app', 'value': '2.78'}, {'action_type': 'subscribe_total', 'value': '2.78'}, {'action_type': 'start_trial_mobile_app', 'value': '2.78'}, {'action_type': 'start_trial_total', 'value': '2.78'}]",0.926667,"[{'action_type': 'outbound_click', 'value': '0.926667'}]",0.926667,2.78,0.115833,,0.041493,0.041493,2.78,,0.044127,1.39,14.404145,14.708995,1.036269,2025-12-10,2025-12-10,1.021164,male,193,1.554404,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.554404'}]",189,2.78,6,4,5,59,39,25
