action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,29,,1,5,1,1,29,,,,,,180,2,180,5,2,,170,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,5,,0.85,"[{'action_type': 'outbound_click', 'value': '0.85'}]",0.85,4.25,0.146552,,0.023611,0.023611,0.85,,0.025,0.85,9.860789,10.119048,1.160093,2025-12-03,2025-12-03,1.02619,431,1.160093,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.160093'}]",facebook,420,4.25,22,4,21,162,76,49
,,,,,,,,,,,,,20,,20,,,,20,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.0355,0.0355,,,0.0355,,11.833333,11.833333,0,2025-12-03,2025-12-03,1,60,,,,,instagram,60,0.71,2,3,2,16,6,3
,,,,,,,,,,,,,13,,13,,,,13,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.013077,0.013077,,,0.013077,,10.625,10.625,0,2025-12-03,2025-12-03,1,16,,,,,threads,16,0.17,,5,1,12,4,3
,432,3,1,106,52,52,432,,,,,,4256,,4256,17,16,,4133,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,104,,0.724327,"[{'action_type': 'outbound_click', 'value': '0.724327'}]",0.724327,1.476513,0.177728,,0.01804,0.01804,4.516392,,0.018577,0.738256,8.496035,8.813991,1.150824,2025-12-03,2025-12-03,1.037424,9037,1.172956,106,"[{'action_type': 'outbound_click', 'value': '106'}]","[{'action_type': 'outbound_click', 'value': '1.172956'}]",facebook,8711,76.778672,363,4,318,3956,1732,965
,45,,,24,9,9,45,,,1,1,,581,,581,5,4,,552,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,27,,0.482555,"[{'action_type': 'outbound_click', 'value': '0.482555'}]",0.482555,1.286812,0.257362,,0.019933,0.019933,2.316262,,0.020981,0.428937,10.803459,10.803459,2.518657,2025-12-03,2025-12-03,1,1072,2.238806,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '2.238806'}]",instagram,1072,11.581308,44,4,44,521,195,102
,,,,,,,,,,,,,14,,14,,,,14,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.012859,0.012859,,,0.012859,,8.572397,8.572397,0,2025-12-03,2025-12-03,1,21,,,,,threads,21,0.18002,3,8,3,14,9,6
,,,,,,,,,,,,,,,,,,,,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-03,2025-12-03,1,1,,,,,instagram,1,0.02,,1,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-03,2025-12-03,1,2,,,,,threads,2,0,1,8,1,1,1,1
,3,,,1,,,3,,,,,,47,,47,,,,46,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,4.28,"[{'action_type': 'outbound_click', 'value': '4.28'}]",4.28,,1.426667,,0.091064,0.091064,,,0.093043,4.28,36.271186,38.214286,0.847458,2025-12-03,2025-12-03,1.053571,118,0.847458,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.847458'}]",facebook,112,4.28,15,4,15,45,27,19
,,,,,,,,,,,,,18,,18,,,,18,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.107778,0.107778,,,0.107778,,30.3125,31.290323,0,2025-12-03,2025-12-03,1.032258,64,,,,,instagram,62,1.94,1,2,1,15,5,2
