action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,3,,,,,,3,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.003333,,,,,,,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,1,0.01,,3,,,,
,1,,,,,,1,,,,,,,4,,4,,,,4,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.09,,0.0225,0.0225,,,0.0225,,15,18,0,2025-12-06,2025-12-06,1.2,6,,,,,5,0.09,1,4,1,3,1,1
,,,,,,,,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-06,2025-12-06,1,1,,,,,1,0.02,,3,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,1,0.01,,3,,,,
,4,,,2,,,4,,,,,,,12,,12,,,,10,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.27,"[{'action_type': 'outbound_click', 'value': '0.27'}]",0.27,,0.135,,0.045,0.045,,,0.054,0.27,31.764706,31.764706,11.764706,2025-12-06,2025-12-06,1,17,11.764706,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '11.764706'}]",17,0.54,,6,,9,8,3
,7,,,2,1,1,7,,,,,,,104,,104,2,2,,100,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,4.34,"[{'action_type': 'outbound_click', 'value': '4.34'}]",4.34,8.68,1.24,,0.083462,0.083462,4.34,,0.0868,2.893333,22.25641,22.962963,0.769231,2025-12-06,2025-12-06,1.031746,390,0.512821,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.512821'}]",378,8.68,13,3,13,88,49,35
2,166,,,36,17,17,166,2,2,4,4,,2,1105,5,1105,19,10,2,1050,2,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,41,"[{'action_type': 'subscribe_mobile_app', 'value': '46.02'}, {'action_type': 'subscribe_total', 'value': '46.02'}]",2.556667,"[{'action_type': 'outbound_click', 'value': '2.556667'}]",2.556667,5.414118,0.554458,46.02,0.083294,0.083294,4.844211,46.02,0.087657,2.244878,28.637212,29.490548,1.275669,2025-12-06,2025-12-06,1.029798,3214,1.1201,36,"[{'action_type': 'outbound_click', 'value': '36'}]","[{'action_type': 'outbound_click', 'value': '1.1201'}]",3121,92.04,96,4,93,959,465,281
4,431,,,65,38,38,431,4,4,3,3,,4,1383,2,1383,25,20,4,1293,4,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,76,"[{'action_type': 'subscribe_mobile_app', 'value': '58.505'}, {'action_type': 'subscribe_total', 'value': '58.505'}]",1.800154,"[{'action_type': 'outbound_click', 'value': '1.800154'}]",1.800154,3.079211,0.271485,29.2525,0.084606,0.084606,4.6804,29.2525,0.090495,1.539605,38.706583,40.998598,2.514059,2025-12-06,2025-12-06,1.059215,3023,2.150182,65,"[{'action_type': 'outbound_click', 'value': '65'}]","[{'action_type': 'outbound_click', 'value': '2.150182'}]",2854,117.01,168,5,166,1183,688,422
,59,,,9,5,5,59,,,,,,,246,,246,3,3,,234,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,,2.101111,"[{'action_type': 'outbound_click', 'value': '2.101111'}]",2.101111,3.782,0.320508,,0.07687,0.07687,6.303333,,0.080812,1.575833,44.182243,47.039801,2.803738,2025-12-06,2025-12-06,1.064677,428,2.102804,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '2.102804'}]",402,18.91,39,6,37,213,118,83
,6,,,2,,,6,,,3,3,,,57,,57,3,,,52,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,1.875,"[{'action_type': 'outbound_click', 'value': '1.875'}]",1.875,,0.625,,0.065789,0.065789,1.25,,0.072115,1.875,38.265306,39.473684,2.040816,2025-12-06,2025-12-06,1.031579,98,2.040816,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.040816'}]",95,3.75,7,6,6,47,29,24
