action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,256,2,,59,25,25,256,,,,,,1563,4,1563,19,15,,1485,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,57,,0.62661,"[{'action_type': 'outbound_click', 'value': '0.62661'}]",0.62661,1.4788,0.144414,,0.023653,0.023653,1.945789,,0.024896,0.648596,10.226833,10.508812,1.576763,2025-11-26,2025-11-26,1.027572,3615,1.632089,59,"[{'action_type': 'outbound_click', 'value': '59'}]","[{'action_type': 'outbound_click', 'value': '1.632089'}]",facebook,3518,36.97,174,4,162,1427,685,396
,,,,4,,,,,,,,,101,,101,3,3,,94,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,4,,0.8875,"[{'action_type': 'outbound_click', 'value': '0.8875'}]",0.8875,,,,0.035149,0.035149,1.183333,,0.037766,0.8875,13.396226,13.498099,1.509434,2025-11-26,2025-11-26,1.007605,265,1.509434,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.509434'}]",instagram,263,3.55,9,4,9,89,42,30
,,,,,,,,,,,,,6,,6,,,,6,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.04,0.04,,,0.04,,17.142857,17.142857,0,2025-11-26,2025-11-26,1,14,,,,,threads,14,0.24,,3,,6,2,
2,1096,1,1,212,91,91,1096,2,2,,,2,7652,,7652,35,34,2,7405,2,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,210,"[{'action_type': 'subscribe_mobile_app', 'value': '28.448947'}, {'action_type': 'subscribe_total', 'value': '28.448947'}, {'action_type': 'start_trial_mobile_app', 'value': '17.780592'}, {'action_type': 'start_trial_total', 'value': '17.780592'}]",0.670966,"[{'action_type': 'outbound_click', 'value': '0.670966'}]",0.670966,1.563129,0.129785,71.122367,0.018589,0.018589,4.064135,71.122367,0.019209,0.677356,9.228282,9.775599,1.362398,2025-11-26,2025-11-26,1.059309,15414,1.375373,212,"[{'action_type': 'outbound_click', 'value': '212'}]","[{'action_type': 'outbound_click', 'value': '1.375373'}]",facebook,14551,142.244734,625,4,564,7073,3246,1719
,80,,,22,7,7,80,,,,,,829,1,829,9,8,,798,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,28,"[{'action_type': 'subscribe_mobile_app', 'value': '21.21518'}, {'action_type': 'subscribe_total', 'value': '21.21518'}, {'action_type': 'start_trial_mobile_app', 'value': '21.21518'}, {'action_type': 'start_trial_total', 'value': '21.21518'}]",0.964326,"[{'action_type': 'outbound_click', 'value': '0.964326'}]",0.964326,3.03074,0.26519,,0.025591,0.025591,2.357242,,0.026585,0.757685,11.845439,12.199644,1.563372,2025-11-26,2025-11-26,1.029902,1791,1.228364,22,"[{'action_type': 'outbound_click', 'value': '22'}]","[{'action_type': 'outbound_click', 'value': '1.228364'}]",instagram,1739,21.21518,63,4,63,755,277,148
,,,,,,,,,,,,,15,,15,,,,15,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.023339,0.023339,,,0.023339,,10.002442,10.002442,0,2025-11-26,2025-11-26,1,35,,,,,threads,35,0.350085,2,5,2,13,9,7
,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-11-26,2025-11-26,1,1,,,,,instagram,1,0.01,,4,,1,,
,,,,2,,,,,,,,,38,,38,,,,36,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.465,"[{'action_type': 'outbound_click', 'value': '0.465'}]",0.465,,,,0.024474,0.024474,,,0.025833,0.465,18.6,27.352941,4,2025-11-26,2025-11-26,1.470588,50,4,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '4'}]",audience_network,34,0.93,13,6,13,33,18,14
,451,2,1,105,33,33,451,,,,,,2107,2,2107,16,13,,1986,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,100,"[{'action_type': 'subscribe_mobile_app', 'value': '27.142'}, {'action_type': 'subscribe_total', 'value': '27.142'}, {'action_type': 'start_trial_mobile_app', 'value': '13.571'}, {'action_type': 'start_trial_total', 'value': '13.571'}]",1.292476,"[{'action_type': 'outbound_click', 'value': '1.292476'}]",1.292476,4.112424,0.300909,,0.064409,0.064409,8.481875,,0.068333,1.3571,23.107441,26.183677,1.702707,2025-11-26,2025-11-26,1.133128,5873,1.787843,105,"[{'action_type': 'outbound_click', 'value': '105'}]","[{'action_type': 'outbound_click', 'value': '1.787843'}]",facebook,5183,135.71,364,4,340,1910,1026,652
,85,,,13,4,4,85,,,,,,474,1,474,6,5,,455,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,21,"[{'action_type': 'subscribe_mobile_app', 'value': '20.185'}, {'action_type': 'subscribe_total', 'value': '20.185'}, {'action_type': 'start_trial_mobile_app', 'value': '20.185'}, {'action_type': 'start_trial_total', 'value': '20.185'}]",3.105385,"[{'action_type': 'outbound_click', 'value': '3.105385'}]",3.105385,10.0925,0.474941,,0.085169,0.085169,6.728333,,0.088725,1.922381,25.84507,26.12945,1.34443,2025-11-26,2025-11-26,1.011003,1562,0.832266,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '0.832266'}]",instagram,1545,40.37,56,3,56,432,200,123
