action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,155,1,,36,21,21,155,,,,8,,,,,935,,935,8,8,,891,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,37,"[{'action_type': 'subscribe_mobile_app', 'value': '16.793333'}, {'action_type': 'subscribe_total', 'value': '16.793333'}]",1.399444,"[{'action_type': 'outbound_click', 'value': '1.399444'}]",1.399444,2.399048,0.325032,,0.053882,0.053882,6.2975,,0.056543,1.361622,22.096491,22.817029,1.622807,2025-12-15,2025-12-15,1.032609,male,2280,1.578947,36,"[{'action_type': 'outbound_click', 'value': '36'}]","[{'action_type': 'outbound_click', 'value': '1.578947'}]",2208,50.38,114,4,106,846,422,238
,,,,1,,,,,,,,,,,,15,,15,,,,14,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.8,"[{'action_type': 'outbound_click', 'value': '0.8'}]",0.8,,,,0.053333,0.053333,,,0.057143,0.8,21.621622,22.222222,2.702703,2025-12-15,2025-12-15,1.027778,unknown,37,2.702703,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.702703'}]",36,0.8,,3,,14,6,2
,3,,,,,,3,,,,,,,,,67,,67,,,,67,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,1.483333,,0.066418,0.066418,,,0.066418,,23.421053,24.722222,0,2025-12-15,2025-12-15,1.055556,female,190,,,,,180,4.45,11,3,10,61,29,22
,48,,1,6,3,3,48,,,,3,,,,,196,1,196,5,3,,185,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '16.2'}, {'action_type': 'subscribe_total', 'value': '16.2'}, {'action_type': 'start_trial_mobile_app', 'value': '16.2'}, {'action_type': 'start_trial_total', 'value': '16.2'}]",2.7,"[{'action_type': 'outbound_click', 'value': '2.7'}]",2.7,5.4,0.3375,,0.082653,0.082653,3.24,,0.087568,2.314286,28.471002,30.055659,1.230228,2025-12-15,2025-12-15,1.055659,male,569,1.054482,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.054482'}]",539,16.2,37,4,34,178,108,60
,,,,,,,,,,,,,,,,2,,2,,,,2,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-15,2025-12-15,1,unknown,6,,,,,6,0.1,1,4,1,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-15,2025-12-15,1,female,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-15,2025-12-15,1,male,3,,,,,3,0.04,1,25,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,male,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.05,0.05,,,0.05,,33.333333,33.333333,0,2025-12-15,2025-12-15,1,male,3,,,,,3,0.1,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916166162984,05 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-15,2025-12-15,1,female,1,,,,,1,0.04,,1,,,,
,265,,,25,14,14,265,,,,9,,,,,527,2,527,11,9,,491,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,30,"[{'action_type': 'subscribe_mobile_app', 'value': '5.717143'}, {'action_type': 'subscribe_total', 'value': '5.717143'}, {'action_type': 'start_trial_mobile_app', 'value': '40.02'}, {'action_type': 'start_trial_total', 'value': '40.02'}]",1.6008,"[{'action_type': 'outbound_click', 'value': '1.6008'}]",1.6008,2.858571,0.151019,,0.075939,0.075939,3.638182,,0.081507,1.334,29.776786,31.586425,2.232143,2025-12-15,2025-12-15,1.060773,female,1344,1.860119,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.860119'}]",1267,40.02,58,5,56,442,225,154
,,,,2,,,,,,,,,,,,28,,28,,,,26,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,0.58,"[{'action_type': 'outbound_click', 'value': '0.58'}]",0.58,,,,0.041429,0.041429,,,0.044615,0.386667,17.575758,18.125,4.545455,2025-12-15,2025-12-15,1.03125,male,66,3.030303,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.030303'}]",64,1.16,5,6,5,24,17,11
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.1,"[{'action_type': 'outbound_click', 'value': '0.1'}]",0.1,,,,0.05,0.05,,,0.1,0.1,25,33.333333,25,2025-12-15,2025-12-15,1.333333,unknown,4,25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '25'}]",3,0.1,1,6,1,1,1,1
,164,1,,23,7,7,164,,,,13,1,1,1,,1025,,1025,15,14,,987,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,29,"[{'action_type': 'subscribe_mobile_app', 'value': '11.522'}, {'action_type': 'subscribe_total', 'value': '11.522'}, {'action_type': 'start_trial_mobile_app', 'value': '57.61'}, {'action_type': 'start_trial_total', 'value': '57.61'}]",2.504783,"[{'action_type': 'outbound_click', 'value': '2.504783'}]",2.504783,8.23,0.35128,,0.056205,0.056205,3.840667,,0.058369,1.986552,19.542062,19.831325,0.983718,2025-12-15,2025-12-15,1.014802,female,2948,0.78019,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '0.78019'}]",2905,57.61,70,4,69,840,391,215
,6,,,3,,,6,,,,,,,,,105,,105,,,,102,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,,1.45,"[{'action_type': 'outbound_click', 'value': '1.45'}]",1.45,,0.725,,0.041429,0.041429,,,0.042647,0.621429,14.948454,15.591398,2.405498,2025-12-15,2025-12-15,1.043011,male,291,1.030928,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.030928'}]",279,4.35,10,4,10,91,51,31
,,,,,,,,,,,,,,,,8,,8,,,,8,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.08375,0.08375,,,0.08375,,33.5,35.263158,0,2025-12-15,2025-12-15,1.052632,unknown,20,,,,,19,0.67,1,3,1,6,2,2
