action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,,,,1,,,,,,,,,,,,,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,35-44,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-25,2025-11-25,0,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.21,0.21,,,0.21,,105,105,0,2025-11-25,2025-11-25,1,2,,,,,2,0.21,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,35,35,0,2025-11-25,2025-11-25,1,2,,,,,2,0.07,,1,,,,
,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-25,2025-11-25,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,30,30,0,2025-11-25,2025-11-25,1,1,,,,,1,0.03,,2,,,,
,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-25,2025-11-25,1,1,,,,,1,0.01,,2,,,,
,6,,,1,1,1,6,,,,,,35,,35,2,2,,32,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,3,,1.780231,"[{'action_type': 'outbound_click', 'value': '1.780231'}]",1.780231,1.780231,0.296705,,0.050864,0.050864,0.890115,,0.055632,0.59341,14.959924,15.480269,2.521008,2025-11-25,2025-11-25,1.034783,119,0.840336,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.840336'}]",115,1.780231,3,3,3,28,16,6
,5,,,9,1,1,5,,,,,,115,,115,4,4,,102,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,7,,0.341155,"[{'action_type': 'outbound_click', 'value': '0.341155'}]",0.341155,3.070398,0.61408,,0.026699,0.026699,0.7676,,0.030102,0.438628,9.332518,9.625073,2.12766,2025-11-25,2025-11-25,1.031348,329,2.735562,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '2.735562'}]",319,3.070398,13,3,13,96,45,28
,126,,,19,9,9,126,,,,,,596,2,596,3,1,,574,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,21,"[{'action_type': 'subscribe_mobile_app', 'value': '7.280944'}, {'action_type': 'subscribe_total', 'value': '7.280944'}, {'action_type': 'start_trial_mobile_app', 'value': '7.280944'}, {'action_type': 'start_trial_total', 'value': '7.280944'}]",0.766415,"[{'action_type': 'outbound_click', 'value': '0.766415'}]",0.766415,1.617988,0.115571,,0.024433,0.024433,4.853963,,0.025369,0.693423,9.650026,9.792797,1.39165,2025-11-25,2025-11-25,1.014795,1509,1.259112,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '1.259112'}]",1487,14.561889,66,4,62,547,256,142
,238,1,,71,22,22,238,,,1,1,,1657,3,1657,17,13,,1569,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,66,"[{'action_type': 'subscribe_mobile_app', 'value': '37.434856'}, {'action_type': 'subscribe_total', 'value': '37.434856'}, {'action_type': 'start_trial_mobile_app', 'value': '37.434856'}, {'action_type': 'start_trial_total', 'value': '37.434856'}]",0.527251,"[{'action_type': 'outbound_click', 'value': '0.527251'}]",0.527251,1.701584,0.157289,,0.022592,0.022592,2.20205,,0.023859,0.567195,10.536126,10.536126,1.857585,2025-11-25,2025-11-25,1,3553,1.998311,71,"[{'action_type': 'outbound_click', 'value': '71'}]","[{'action_type': 'outbound_click', 'value': '1.998311'}]",3553,37.434856,233,4,218,1511,765,479
