action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,55,,,24,5,5,55,,,2,2,1,,1196,2,1196,10,6,,1162,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,32,,4.820833,"[{'action_type': 'outbound_click', 'value': '4.820833'}]",4.820833,23.14,2.103636,,0.096739,0.096739,11.57,,0.09957,3.615625,30.559958,33.323733,0.845219,2025-12-04,2025-12-04,1.090438,female,3786,0.633914,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '0.633914'}]",3472,115.7,72,4,72,951,402,190
,5,,,4,1,1,5,,,,,,,269,,269,3,3,,262,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,5,,6.985,"[{'action_type': 'outbound_click', 'value': '6.985'}]",6.985,27.94,5.588,,0.103866,0.103866,9.313333,,0.106641,5.588,27.205453,29.566138,0.486855,2025-12-04,2025-12-04,1.086772,male,1027,0.389484,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.389484'}]",945,27.94,25,3,25,208,84,48
,,,,,,,,,,,,,,13,,13,,,,13,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,,,0.134615,0.134615,,,0.134615,,38.888889,40.697674,0,2025-12-04,2025-12-04,1.046512,unknown,45,,,,,43,1.75,,3,,9,4,2
,3,,,,,,3,,,,,,,1,,1,,,,1,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0.04,,0.12,0.12,,,0.12,,15,15,0,2025-12-04,2025-12-04,1,male,8,,,,,8,0.12,,1,,1,,
,44,,,9,6,6,44,,,,,,,256,1,256,2,1,,245,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,9,,0.623333,"[{'action_type': 'outbound_click', 'value': '0.623333'}]",0.623333,0.935,0.1275,,0.021914,0.021914,2.805,,0.022898,0.623333,10.408163,10.665399,1.669759,2025-12-04,2025-12-04,1.024715,female,539,1.669759,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.669759'}]",526,5.61,22,4,22,229,102,59
,456,1,,124,48,48,456,,,,,,,4799,1,4799,14,13,,4661,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,125,,0.694032,"[{'action_type': 'outbound_click', 'value': '0.694032'}]",0.694032,1.792917,0.188728,,0.017933,0.017933,6.147143,,0.018464,0.68848,8.520792,8.932946,1.237624,2025-12-04,2025-12-04,1.04837,male,10100,1.227723,124,"[{'action_type': 'outbound_click', 'value': '124'}]","[{'action_type': 'outbound_click', 'value': '1.227723'}]",9634,86.06,381,4,347,4434,1944,1075
,,,,2,,,,,,,,,,43,,43,,,,41,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,1,,0.4,"[{'action_type': 'outbound_click', 'value': '0.4'}]",0.4,,,,0.018605,0.018605,,,0.019512,0.8,9.876543,10,1.234568,2025-12-04,2025-12-04,1.0125,unknown,81,2.469136,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.469136'}]",80,0.8,3,4,2,35,13,8
,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.135,0.135,,,0.135,,67.5,67.5,0,2025-12-04,2025-12-04,1,female,4,,,,,4,0.27,,4,,2,1,
,,,,1,,,,,,,,,,13,,13,,,,12,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.22,"[{'action_type': 'outbound_click', 'value': '1.22'}]",1.22,,,,0.093846,0.093846,,,0.101667,1.22,35.882353,35.882353,2.941176,2025-12-04,2025-12-04,1,male,34,2.941176,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.941176'}]",34,1.22,4,4,4,12,6,5
,19,,,4,1,1,19,,,,,,,130,,130,1,1,,125,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,3.34,"[{'action_type': 'outbound_click', 'value': '3.34'}]",3.34,13.36,0.703158,,0.102769,0.102769,13.36,,0.10688,3.34,36.502732,38.501441,1.092896,2025-12-04,2025-12-04,1.054755,female,366,1.092896,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.092896'}]",347,13.36,14,4,14,119,53,29
