action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
2,282,3,,38,20,20,282,2,2,2,2,,2,1808,1,1808,8,5,2,1762,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,42,"[{'action_type': 'subscribe_mobile_app', 'value': '66.83'}, {'action_type': 'subscribe_total', 'value': '66.83'}]",3.517368,"[{'action_type': 'outbound_click', 'value': '3.517368'}]",3.517368,6.683,0.473972,66.83,0.073927,0.073927,16.7075,66.83,0.075857,3.182381,29.311404,29.603544,0.921053,2025-12-04,2025-12-04,1.009967,male,4560,0.833333,38,"[{'action_type': 'outbound_click', 'value': '38'}]","[{'action_type': 'outbound_click', 'value': '0.833333'}]",4515,133.66,139,3,134,1667,676,353
,,,,,,,,,,,,,,19,,19,,,,19,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.053158,0.053158,,,0.053158,,24.634146,25.897436,0,2025-12-04,2025-12-04,1.051282,unknown,41,,,,,39,1.01,,4,,19,9,5
,1,,,,,,1,,,,,,,,,,,,,,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0,,,,,,,,,,,2025-12-04,2025-12-04,0,male,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-04,2025-12-04,1,female,2,,,,,2,0.03,,2,,,,
,21,,,1,,,21,,,,,,,75,,75,,,,74,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,5.78,"[{'action_type': 'outbound_click', 'value': '5.78'}]",5.78,,0.275238,,0.077067,0.077067,,,0.078108,5.78,36.125,36.125,0.625,2025-12-04,2025-12-04,1,female,160,0.625,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.625'}]",160,5.78,11,4,9,67,35,28
,,,,,,,,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-04,2025-12-04,1,male,1,,,,,1,0,,6,,1,,
,,,,1,,,,,,,,,,14,,14,,,,13,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.54,"[{'action_type': 'outbound_click', 'value': '1.54'}]",1.54,,,,0.11,0.11,,,0.118462,1.54,37.560976,41.621622,2.439024,2025-12-04,2025-12-04,1.108108,female,41,2.439024,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.439024'}]",37,1.54,2,4,2,11,5,4
,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,22.5,30,0,2025-12-04,2025-12-04,1.333333,male,4,,,,,3,0.09,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-12-04,2025-12-04,1,male,1,,,,,1,0.06,1,14,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6916167868984,09 anomansollips,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,15,15,0,2025-12-04,2025-12-04,1,female,2,,,,,2,0.03,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6916167868984,09 anomansollips,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-04,2025-12-04,1,male,1,,,,,1,0.01,,1,,,,
12,771,,,151,61,61,771,12,12,11,11,8,12,4195,3,4195,83,69,12,3961,12,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,186,"[{'action_type': 'subscribe_mobile_app', 'value': '43.443333'}, {'action_type': 'subscribe_total', 'value': '43.443333'}]",2.589338,"[{'action_type': 'outbound_click', 'value': '2.589338'}]",2.589338,6.409672,0.507121,32.5825,0.093204,0.093204,4.710723,32.5825,0.09871,2.102097,36.674796,40.445847,1.744677,2025-12-04,2025-12-04,1.102824,female,10661,1.416377,151,"[{'action_type': 'outbound_click', 'value': '151'}]","[{'action_type': 'outbound_click', 'value': '1.416377'}]",9667,390.99,491,4,486,3597,1769,1114
1,33,,,9,2,2,33,1,1,,,,1,358,,358,5,5,1,344,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '33.03'}, {'action_type': 'subscribe_total', 'value': '33.03'}]",3.67,"[{'action_type': 'outbound_click', 'value': '3.67'}]",3.67,16.515,1.000909,33.03,0.092263,0.092263,6.606,33.03,0.096017,3.303,31.487131,33.911704,0.953289,2025-12-04,2025-12-04,1.077002,male,1049,0.85796,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.85796'}]",974,33.03,49,4,49,317,156,112
,,,,,,,,,,,,,,35,,35,1,1,,34,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.084571,0.084571,2.96,,0.087059,,35.662651,37.948718,0,2025-12-04,2025-12-04,1.064103,unknown,83,,,,,78,2.96,4,5,4,31,16,9
,,,,,,,,,,,,,,,,,,,,,,6916170650384,18 esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,25,25,0,2025-12-04,2025-12-04,1,female,2,,,,,2,0.05,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916170650384,18 esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-04,2025-12-04,1,male,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-04,2025-12-04,1,male,2,,,,,2,0.01,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,25,25,0,2025-12-04,2025-12-04,1,male,2,,,,,2,0.05,,1,,,,
,1,,,5,2,2,1,,,,,,,109,1,109,2,1,,102,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,,3.534,"[{'action_type': 'outbound_click', 'value': '3.534'}]",3.534,8.835,17.67,,0.16211,0.16211,8.835,,0.173235,2.945,53.383686,59.295302,1.812689,2025-12-04,2025-12-04,1.110738,female,331,1.510574,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.510574'}]",298,17.67,14,4,13,92,46,31
,10,,,14,3,3,10,,,,,,,310,,310,2,2,,294,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,15,,2.188571,"[{'action_type': 'outbound_click', 'value': '2.188571'}]",2.188571,10.213333,3.064,,0.098839,0.098839,15.32,,0.104218,2.042667,34.196429,36.60693,1.674107,2025-12-04,2025-12-04,1.07049,male,896,1.5625,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.5625'}]",837,30.64,47,4,46,255,135,96
,,,,,1,1,,,,,,,,3,,3,,,,3,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,0.17,,,0.056667,0.056667,,,0.056667,,18.888889,18.888889,0,2025-12-04,2025-12-04,1,unknown,9,,,,,9,0.17,2,6,2,3,2,2
,100,,,29,10,10,100,,,,,1,,571,1,571,11,10,,531,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,27,,0.588621,"[{'action_type': 'outbound_click', 'value': '0.588621'}]",0.588621,1.707,0.1707,,0.029895,0.029895,1.551818,,0.032147,0.632222,11.425703,12.514663,1.807229,2025-12-04,2025-12-04,1.095308,female,1494,1.941098,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '1.941098'}]",1364,17.07,71,4,67,472,220,156
,193,2,,56,18,18,193,,,1,1,,,1050,3,1050,9,5,,985,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,55,,0.517321,"[{'action_type': 'outbound_click', 'value': '0.517321'}]",0.517321,1.609444,0.150104,,0.02759,0.02759,3.218889,,0.029411,0.526727,9.883999,10.646821,1.876493,2025-12-04,2025-12-04,1.077178,male,2931,1.910611,56,"[{'action_type': 'outbound_click', 'value': '56'}]","[{'action_type': 'outbound_click', 'value': '1.910611'}]",2721,28.97,118,4,113,853,414,282
,,,,,,,,,,,,,,13,,13,,,,13,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.039231,0.039231,,,0.039231,,11.086957,11.590909,0,2025-12-04,2025-12-04,1.045455,unknown,46,,,,,44,0.51,3,4,3,13,8,6
,,,,,,,,,,,,,,1,,1,,,,1,,6916177884584,08 aiartist3 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.05,0.05,,,0.05,,50,50,0,2025-12-04,2025-12-04,1,male,1,,,,,1,0.05,,4,,1,,
,556,3,,184,67,67,556,,,1,1,1,,3972,4,3972,72,67,,3716,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,184,,0.436793,"[{'action_type': 'outbound_click', 'value': '0.436793'}]",0.436793,1.199552,0.14455,,0.020234,0.020234,1.11625,,0.021628,0.436793,10.7648,10.967522,2.464506,2025-12-04,2025-12-04,1.018832,female,7466,2.464506,184,"[{'action_type': 'outbound_click', 'value': '184'}]","[{'action_type': 'outbound_click', 'value': '2.464506'}]",7328,80.37,553,5,506,3335,1870,1484
,4,,,10,,,4,,,,,,,164,,164,7,7,,147,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,9,,0.279,"[{'action_type': 'outbound_click', 'value': '0.279'}]",0.279,,0.6975,,0.017012,0.017012,0.398571,,0.01898,0.31,8.558282,8.857143,2.760736,2025-12-04,2025-12-04,1.034921,male,326,3.067485,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '3.067485'}]",315,2.79,13,4,11,119,49,34
,,,,,,,,,,,,,,7,,7,,,,7,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.03,0.03,,,0.03,,12.352941,12.352941,0,2025-12-04,2025-12-04,1,unknown,17,,,,,17,0.21,2,4,2,6,4,3
,,,,,,,,,,,,,,,,,,,,,,6916177886584,01 Esha - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-12-04,2025-12-04,1,male,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916177886984,03 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,1,,,,,,,,0,0,,,0,0,0,0,100,2025-12-04,2025-12-04,1,female,1,,,,,1,0,,5,,1,,
,,,,,,,,,,,,,,4,,4,,,,4,,6916856841784,01 Jesus_travis,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.03,0.03,,,0.03,,10.909091,10.909091,0,2025-12-04,2025-12-04,1,male,11,,,,,11,0.12,1,4,1,4,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-04,2025-12-04,1,female,3,,,,,3,0.03,,3,,1,,
,3,,,,,,3,,,,,,,39,,39,,,,39,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0.213333,,0.01641,0.01641,,,0.01641,,8.205128,8.311688,0,2025-12-04,2025-12-04,1.012987,male,78,,,,,77,0.64,1,5,1,35,23,10
,,,,,,,,,,,,,,2,,2,,,,2,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.015,0.015,,,0.015,,15,15,0,2025-12-04,2025-12-04,1,unknown,2,,,,,2,0.03,,6,,2,1,
,,,,,,,,,,,,,,1,,1,,,,1,,6916859158784,02 Mike_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.07,0.07,,,0.07,,23.333333,23.333333,0,2025-12-04,2025-12-04,1,male,3,,,,,3,0.07,1,8,,1,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6916860073184,02 Mike_sicko,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.04,0.04,,,0.04,,10,10,0,2025-12-04,2025-12-04,1,male,4,,,,,4,0.04,,3,,1,1,
,,,,,,,,,,,,,,1,,1,,,,1,,6916863115584,03 Snoop_sicko,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-04,2025-12-04,1,male,1,,,,,1,0.01,,4,,1,,
,,,,8,,,,,,,,,,151,,151,4,4,,139,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,7,,0.33375,"[{'action_type': 'outbound_click', 'value': '0.33375'}]",0.33375,,,,0.017682,0.017682,0.6675,,0.019209,0.381429,9.368421,9.535714,2.45614,2025-12-04,2025-12-04,1.017857,female,285,2.807018,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '2.807018'}]",280,2.67,22,5,21,127,71,47
,549,5,1,209,54,54,549,,,6,6,2,,4362,11,4362,84,66,,4069,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,210,,0.377177,"[{'action_type': 'outbound_click', 'value': '0.377177'}]",0.377177,1.459815,0.143588,,0.018072,0.018072,0.938452,,0.019373,0.375381,9.162018,9.543584,2.440725,2025-12-04,2025-12-04,1.041646,male,8604,2.429103,209,"[{'action_type': 'outbound_click', 'value': '209'}]","[{'action_type': 'outbound_click', 'value': '2.429103'}]",8260,78.83,539,5,497,3734,2167,1320
,,,,1,,,,,,,,,,29,,29,1,1,,27,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,,0.5,"[{'action_type': 'outbound_click', 'value': '0.5'}]",0.5,,,,0.017241,0.017241,0.5,,0.018519,0.5,9.259259,9.259259,1.851852,2025-12-04,2025-12-04,1,unknown,54,1.851852,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.851852'}]",54,0.5,4,6,5,24,14,10
,2,,,,,,2,,,,,,,,,,,,,,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0,,,,,,,,,,,2025-12-04,2025-12-04,0,unknown,0,,,,,0,0,,,,,,
,3,,,,,,3,,,,,,,,,,,,,,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0,,,,,,,,,,,2025-12-04,2025-12-04,0,female,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0,,,,,,,,,,,2025-12-04,2025-12-04,0,female,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0,,,,,,,,,,,2025-12-04,2025-12-04,0,male,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920196825784,01_black4_Big energy,6920175379584,Test_F_BigEnergy,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,,,0.01,0.01,,,0.01,,2,2,0,2025-12-04,2025-12-04,1,female,5,,,,,5,0.01,,3,,1,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6920196825784,01_black4_Big energy,6920175379584,Test_F_BigEnergy,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-04,2025-12-04,1,male,5,,,,,5,0,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,6920199274584,02_blackNew_Big energy,6920175379584,Test_F_BigEnergy,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,,,,,,,,,10,10,0,2025-12-04,2025-12-04,1,male,1,,,,,1,0.01,,1,,,,
1,502,10,1,223,72,72,502,1,1,,,1,1,3863,6,3863,54,47,1,3586,1,6920199460384,03_blackbodysuit_Big energy,6920175379584,Test_F_BigEnergy,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,216,"[{'action_type': 'subscribe_mobile_app', 'value': '79.9'}, {'action_type': 'subscribe_total', 'value': '79.9'}]",0.358296,"[{'action_type': 'outbound_click', 'value': '0.358296'}]",0.358296,1.109722,0.159163,79.9,0.020683,0.020683,1.47963,79.9,0.022281,0.369907,10.640565,10.885559,2.876548,2025-12-04,2025-12-04,1.023025,female,7509,2.96977,223,"[{'action_type': 'outbound_click', 'value': '223'}]","[{'action_type': 'outbound_click', 'value': '2.96977'}]",7340,79.9,465,5,439,3261,1798,1217
