action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,570,1,1,76,31,31,570,,,,,,3379,,3379,9,8,,3294,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,74,"[{'action_type': 'subscribe_mobile_app', 'value': '30.221667'}, {'action_type': 'subscribe_total', 'value': '30.221667'}, {'action_type': 'start_trial_mobile_app', 'value': '15.110833'}, {'action_type': 'start_trial_total', 'value': '15.110833'}]",2.385921,"[{'action_type': 'outbound_click', 'value': '2.385921'}]",2.385921,5.849355,0.318123,,0.053664,0.053664,20.147778,,0.055049,2.450405,19.387362,21.380733,0.79119,2025-11-29,2025-11-29,1.102818,9353,0.812574,76,"[{'action_type': 'outbound_click', 'value': '76'}]","[{'action_type': 'outbound_click', 'value': '0.812574'}]",facebook,8481,181.33,267,3,240,3117,1234,659
,134,,,20,13,13,134,,,,,,731,2,731,8,6,,703,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,23,"[{'action_type': 'subscribe_mobile_app', 'value': '45.23'}, {'action_type': 'subscribe_total', 'value': '45.23'}, {'action_type': 'start_trial_mobile_app', 'value': '15.076667'}, {'action_type': 'start_trial_total', 'value': '15.076667'}]",2.2615,"[{'action_type': 'outbound_click', 'value': '2.2615'}]",2.2615,3.479231,0.337537,,0.061874,0.061874,5.65375,,0.064339,1.966522,22.558603,22.56986,1.147132,2025-11-29,2025-11-29,1.000499,2005,0.997506,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '0.997506'}]",instagram,2004,45.23,49,5,49,663,249,130
,,,,,,,,,,,,,,,,,,,,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,5,5,0,2025-11-29,2025-11-29,1,2,,,,,messenger,2,0.01,,,,,,
,,,,,,,,,,,,,59,,59,,,,59,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.034576,0.034576,,,0.034576,,20,20,0,2025-11-29,2025-11-29,1,102,,,,,threads,102,2.04,10,6,10,59,31,20
,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-11-29,2025-11-29,1,2,,,,,facebook,2,0.06,,2,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-11-29,2025-11-29,1,1,,,,,threads,1,0.06,,10,,1,1,
,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,16,16,0,2025-11-29,2025-11-29,1,5,,,,,facebook,5,0.08,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-11-29,2025-11-29,1,1,,,,,instagram,1,0.02,,1,,,,
,,,,,,,,,,,,,5,,5,,,,5,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.074,0.074,,,0.074,,74,123.333333,0,2025-11-29,2025-11-29,1.666667,5,,,,,audience_network,3,0.37,,6,,4,2,1
,508,2,,68,30,30,508,,,,,,2358,,2358,9,9,,2281,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,66,"[{'action_type': 'subscribe_mobile_app', 'value': '24.862857'}, {'action_type': 'subscribe_total', 'value': '24.862857'}, {'action_type': 'start_trial_mobile_app', 'value': '17.404'}, {'action_type': 'start_trial_total', 'value': '17.404'}]",2.559412,"[{'action_type': 'outbound_click', 'value': '2.559412'}]",2.559412,5.801333,0.342598,,0.073808,0.073808,19.337778,,0.0763,2.63697,23.61145,25.175756,0.895401,2025-11-29,2025-11-29,1.066252,7371,0.922534,68,"[{'action_type': 'outbound_click', 'value': '68'}]","[{'action_type': 'outbound_click', 'value': '0.922534'}]",facebook,6913,174.04,222,3,206,2164,949,510
,27,,,8,5,5,27,,,,,,256,,256,3,3,,245,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '24.18'}, {'action_type': 'subscribe_total', 'value': '24.18'}, {'action_type': 'start_trial_mobile_app', 'value': '24.18'}, {'action_type': 'start_trial_total', 'value': '24.18'}]",3.0225,"[{'action_type': 'outbound_click', 'value': '3.0225'}]",3.0225,4.836,0.895556,,0.094453,0.094453,8.06,,0.098694,2.418,24.473684,25.372508,1.012146,2025-11-29,2025-11-29,1.036726,988,0.809717,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.809717'}]",instagram,953,24.18,16,3,16,227,80,44
,,,,,,,,,,,,,78,,78,,,,78,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.035385,0.035385,,,0.035385,,17.037037,17.037037,0,2025-11-29,2025-11-29,1,162,,,,,threads,162,2.76,18,7,18,75,40,26
,,,,1,,,,,,,,,13,,13,,,,12,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.22,"[{'action_type': 'outbound_click', 'value': '0.22'}]",0.22,,,,0.016923,0.016923,,,0.018333,0.22,14.666667,18.333333,6.666667,2025-11-29,2025-11-29,1.25,15,6.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.666667'}]",audience_network,12,0.22,2,6,3,9,8,5
