action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,3,,3,,,,3,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.136667,0.136667,,,0.136667,,17.826087,17.826087,0,2025-12-10,2025-12-10,1,23,,,,,23,0.41,,2,,3,1,1
,3,,,2,1,1,3,,,,,,,,39,,39,,,,37,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,"[{'action_type': 'subscribe_mobile_app', 'value': '2.06'}, {'action_type': 'subscribe_total', 'value': '2.06'}, {'action_type': 'start_trial_mobile_app', 'value': '2.06'}, {'action_type': 'start_trial_total', 'value': '2.06'}]",1.03,"[{'action_type': 'outbound_click', 'value': '1.03'}]",1.03,2.06,0.686667,,0.052821,0.052821,,,0.055676,1.03,17.913043,17.913043,1.73913,2025-12-10,2025-12-10,1,115,1.73913,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.73913'}]",115,2.06,8,4,8,36,16,10
,51,,,6,4,4,51,,,,,,,,270,,270,,,,264,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '18.75'}, {'action_type': 'subscribe_total', 'value': '18.75'}, {'action_type': 'start_trial_mobile_app', 'value': '18.75'}, {'action_type': 'start_trial_total', 'value': '18.75'}]",3.125,"[{'action_type': 'outbound_click', 'value': '3.125'}]",3.125,4.6875,0.367647,,0.069444,0.069444,,,0.071023,2.678571,22.782503,24.606299,0.850547,2025-12-10,2025-12-10,1.080052,823,0.72904,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '0.72904'}]",762,18.75,26,3,26,249,103,61
,153,,,14,14,14,153,,,3,1,1,,,870,1,870,5,3,,851,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,17,"[{'action_type': 'subscribe_mobile_app', 'value': '19.8'}, {'action_type': 'subscribe_total', 'value': '19.8'}, {'action_type': 'start_trial_mobile_app', 'value': '29.7'}, {'action_type': 'start_trial_total', 'value': '29.7'}]",4.242857,"[{'action_type': 'outbound_click', 'value': '4.242857'}]",4.242857,4.242857,0.388235,,0.068276,0.068276,11.88,,0.0698,3.494118,28.125,28.125,0.804924,2025-12-10,2025-12-10,1,2112,0.662879,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '0.662879'}]",2112,59.4,64,3,64,806,323,156
,33,,,8,5,5,33,,,2,1,1,,,317,,317,3,2,,306,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,,2.7975,"[{'action_type': 'outbound_click', 'value': '2.7975'}]",2.7975,4.476,0.678182,,0.070599,0.070599,7.46,,0.073137,2.486667,33.502994,35.244094,1.347305,2025-12-10,2025-12-10,1.051969,668,1.197605,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.197605'}]",635,22.38,34,5,33,286,129,72
,,,,,,,,,,,,,,,21,,21,,,,21,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.097619,0.097619,,,0.097619,,35.964912,36.607143,0,2025-12-10,2025-12-10,1.017857,57,,,,,56,2.05,2,4,2,20,12,5
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-10,2025-12-10,1,1,,,,,1,0.03,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,65,65,0,2025-12-10,2025-12-10,1,2,,,,,2,0.13,,1,,,,
,27,,,1,2,2,27,,,,,,,,6,,6,,,,5,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.28,"[{'action_type': 'outbound_click', 'value': '0.28'}]",0.28,0.14,0.01037,,0.046667,0.046667,,,0.056,0.28,16.470588,16.470588,5.882353,2025-12-10,2025-12-10,1,17,5.882353,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '5.882353'}]",17,0.28,1,2,,3,2,2
,,,,,,,,,,,,,,,27,,27,,,,27,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.059259,0.059259,,,0.059259,,16.666667,16.666667,0,2025-12-10,2025-12-10,1,96,,,,,96,1.6,1,16,1,27,10,5
