action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,1,,1,,,,1,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.07,0.07,,,0.07,,8.75,8.75,0,2025-12-03,2025-12-03,1,8,,,,,8,0.07,,2,,1,1,1
,2,,,,,,2,,,,,,12,,12,,,,12,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0.165,,0.0275,0.0275,,,0.0275,,10.645161,10.645161,0,2025-12-03,2025-12-03,1,31,,,,,31,0.33,,2,,11,2,2
,2,,,,,,2,,,,,,54,,54,1,1,,53,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0.6,,0.022222,0.022222,1.2,,0.022642,,8.219178,8.275862,0,2025-12-03,2025-12-03,1.006897,146,,,,,145,1.2,7,3,7,49,21,15
,25,,1,5,1,1,25,,,,,,108,1,108,3,1,,100,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,5,,0.472,"[{'action_type': 'outbound_click', 'value': '0.472'}]",0.472,2.36,0.0944,,0.021852,0.021852,0.786667,,0.0236,0.472,10.305677,10.442478,2.183406,2025-12-03,2025-12-03,1.013274,229,2.183406,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '2.183406'}]",226,2.36,15,4,15,95,49,31
,,,,,,,,,,,,,34,1,34,1,,,33,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.030588,0.030588,1.04,,0.031515,,12.53012,12.682927,0,2025-12-03,2025-12-03,1.012195,83,,,,,82,1.04,2,3,2,31,12,6
,,,,,,,,,,,,,4,,4,,,,4,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.0325,0.0325,,,0.0325,,13,13,0,2025-12-03,2025-12-03,1,10,,,,,10,0.13,,3,,3,1,
,,,,,,,,,,,,,13,,13,,,,13,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.016923,0.016923,,,0.016923,,7.857143,7.857143,0,2025-12-03,2025-12-03,1,28,,,,,28,0.22,1,8,1,11,4,1
,,,,1,,,,,,,,,66,,66,,,,65,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,1,,1.56,"[{'action_type': 'outbound_click', 'value': '1.56'}]",1.56,,,,0.023636,0.023636,,,0.024,1.56,9.017341,9.176471,0.578035,2025-12-03,2025-12-03,1.017647,173,0.578035,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.578035'}]",170,1.56,7,3,6,61,28,15
,67,1,,20,10,10,67,,,,,,709,,709,3,3,,686,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,21,,0.595,"[{'action_type': 'outbound_click', 'value': '0.595'}]",0.595,1.19,0.177612,,0.016784,0.016784,3.966667,,0.017347,0.566667,7.323077,7.368421,1.292308,2025-12-03,2025-12-03,1.006192,1625,1.230769,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.230769'}]",1615,11.9,49,4,45,642,241,138
,233,1,1,60,26,26,233,,,,,,2438,,2438,5,4,,2373,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,59,,0.711167,"[{'action_type': 'outbound_click', 'value': '0.711167'}]",0.711167,1.641154,0.183133,,0.017502,0.017502,8.534,,0.017981,0.72322,8.40126,8.718839,1.161646,2025-12-03,2025-12-03,1.037801,5079,1.181335,60,"[{'action_type': 'outbound_click', 'value': '60'}]","[{'action_type': 'outbound_click', 'value': '1.181335'}]",4894,42.67,207,4,181,2287,1005,548
,113,1,,39,21,21,113,,,1,1,,1395,,1395,14,13,,1342,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,39,,0.693077,"[{'action_type': 'outbound_click', 'value': '0.693077'}]",0.693077,1.287143,0.239204,,0.019376,0.019376,1.930714,,0.020142,0.693077,9.857768,9.966814,1.422319,2025-12-03,2025-12-03,1.011062,2742,1.422319,39,"[{'action_type': 'outbound_click', 'value': '39'}]","[{'action_type': 'outbound_click', 'value': '1.422319'}]",2712,27.03,121,4,109,1277,569,321
,64,,,10,4,4,64,,,,,,230,,230,,,,220,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,11,,0.516,"[{'action_type': 'outbound_click', 'value': '0.516'}]",0.516,1.29,0.080625,,0.022435,0.022435,,,0.023455,0.469091,10.68323,11.466667,2.277433,2025-12-03,2025-12-03,1.073333,483,2.070393,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '2.070393'}]",450,5.16,25,4,23,213,89,50
,,,,,,,,,,,,,,,,,,,,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-03,2025-12-03,1,2,,,,,2,0.02,,1,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-03,2025-12-03,1,1,,,,,1,0,1,8,1,1,1,1
,,,,,,,,,,,,,3,,3,,,,3,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.053333,0.053333,,,0.053333,,53.333333,53.333333,0,2025-12-03,2025-12-03,1,3,,,,,3,0.16,,7,,3,1,1
,,,,1,,,,,,,,,8,,8,,,,7,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.59,"[{'action_type': 'outbound_click', 'value': '0.59'}]",0.59,,,,0.07375,0.07375,,,0.084286,0.59,31.052632,36.875,5.263158,2025-12-03,2025-12-03,1.1875,19,5.263158,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '5.263158'}]",16,0.59,4,5,4,7,5,4
