action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,6,1,,7,1,1,6,,,,,,126,1,126,2,1,,117,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,7,"[{'action_type': 'subscribe_mobile_app', 'value': '3.73'}, {'action_type': 'subscribe_total', 'value': '3.73'}, {'action_type': 'start_trial_mobile_app', 'value': '3.73'}, {'action_type': 'start_trial_total', 'value': '3.73'}]",0.532857,"[{'action_type': 'outbound_click', 'value': '0.532857'}]",0.532857,3.73,0.621667,,0.029603,0.029603,1.865,,0.03188,0.532857,12.817869,12.817869,2.405498,2025-12-01,2025-12-01,1,female,291,2.405498,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '2.405498'}]",291,3.73,25,4,24,113,61,41
,69,,,21,7,7,69,,,,,,716,1,716,11,10,,684,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,21,,0.885714,"[{'action_type': 'outbound_click', 'value': '0.885714'}]",0.885714,2.657143,0.269565,,0.025978,0.025978,1.690909,,0.027193,0.885714,10.896309,11.59601,1.230228,2025-12-01,2025-12-01,1.064214,male,1707,1.230228,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '1.230228'}]",1604,18.6,97,4,93,660,313,206
,,,,,,,,,,,,,6,,6,,,,6,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.03,0.03,,,0.03,,12,12.857143,0,2025-12-01,2025-12-01,1.071429,unknown,15,,,,,14,0.18,2,4,2,6,2,2
,14,,,6,,,14,,,,,,269,,269,1,1,,262,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,6,,1.21,"[{'action_type': 'outbound_click', 'value': '1.21'}]",1.21,,0.518571,,0.026989,0.026989,7.26,,0.02771,1.21,12.1202,12.582322,1.001669,2025-12-01,2025-12-01,1.038128,female,599,1.001669,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.001669'}]",577,7.26,24,4,19,254,114,62
,434,3,2,94,36,36,434,,,,,,3561,1,3561,21,18,,3446,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,94,"[{'action_type': 'subscribe_mobile_app', 'value': '23.846667'}, {'action_type': 'subscribe_total', 'value': '23.846667'}, {'action_type': 'start_trial_mobile_app', 'value': '23.846667'}, {'action_type': 'start_trial_total', 'value': '23.846667'}]",0.761064,"[{'action_type': 'outbound_click', 'value': '0.761064'}]",0.761064,1.987222,0.164839,,0.02009,0.02009,3.406667,,0.02076,0.761064,9.345526,10.043521,1.227956,2025-12-01,2025-12-01,1.074688,male,7655,1.227956,94,"[{'action_type': 'outbound_click', 'value': '94'}]","[{'action_type': 'outbound_click', 'value': '1.227956'}]",7123,71.54,303,4,274,3284,1442,805
,1,,,3,,,1,,,,,,41,,41,,,,38,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,3,,0.27,"[{'action_type': 'outbound_click', 'value': '0.27'}]",0.27,,0.81,,0.019756,0.019756,,,0.021316,0.27,12.272727,12.65625,4.545455,2025-12-01,2025-12-01,1.03125,unknown,66,4.545455,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '4.545455'}]",64,0.81,5,5,3,35,21,11
,,,,,,,,,,,,,,,,,,,,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,320,320,0,2025-12-01,2025-12-01,1,female,1,,,,,1,0.32,,1,,,,
,,,,3,,,,,,,,,33,,33,,,,30,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,0.833333,"[{'action_type': 'outbound_click', 'value': '0.833333'}]",0.833333,,,,0.075758,0.075758,,,0.083333,0.833333,46.296296,55.555556,5.555556,2025-12-01,2025-12-01,1.2,female,54,5.555556,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '5.555556'}]",45,2.5,5,5,5,30,16,10
,154,,,10,10,10,154,,,,,,263,1,263,2,1,,251,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '10.035'}, {'action_type': 'subscribe_total', 'value': '10.035'}, {'action_type': 'start_trial_mobile_app', 'value': '10.035'}, {'action_type': 'start_trial_total', 'value': '10.035'}]",2.007,"[{'action_type': 'outbound_click', 'value': '2.007'}]",2.007,2.007,0.130325,,0.076312,0.076312,10.035,,0.07996,2.007,32.528363,33.505843,1.620746,2025-12-01,2025-12-01,1.03005,male,617,1.620746,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.620746'}]",599,20.07,58,4,58,244,148,100
,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.125,0.125,,,0.125,,62.5,62.5,0,2025-12-01,2025-12-01,1,unknown,4,,,,,4,0.25,2,7,2,2,2,2
