action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,,,,1,,,,,,,,,,,,,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,female,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6908318943184,fwg_sliding,6908318942984,FB_iOS_Purchase_itoshi_fwgvariants,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,male,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910107137584,OG_fbg_variant,6910106337984,FB_iOS_Purchase_itoshi_fbgvariants_141125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,female,0,,,,,0,0,,,,,,
,4,,,,,,4,,,,,,,,,,,,,,6910489554384,kimk_twitt,6910489554184,FB_iOS_Purchase_itoshi_kimkvariants_151125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,female,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910489554784,kdash_sisters,6910489554184,FB_iOS_Purchase_itoshi_kimkvariants_151125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,female,0,,,,,0,0,,,,,,
,4,,,,,,4,,,,,,,,,,,,,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,male,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,female,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-11-24,2025-11-24,1,female,1,,,,,1,0.02,,4,,1,,
,,,,,,,,,,,,,2,,2,1,1,,1,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.09,0.09,0.18,,0.18,,60,60,0,2025-11-24,2025-11-24,1,male,3,,,,,3,0.18,,2,,1,,
1,276,3,1,98,22,22,276,1,1,3,3,1,1807,3,1807,36,29,1,1673,1,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,94,"[{'action_type': 'subscribe_mobile_app', 'value': '53.94'}, {'action_type': 'subscribe_total', 'value': '53.94'}]",0.550408,"[{'action_type': 'outbound_click', 'value': '0.550408'}]",0.550408,2.451818,0.195435,53.94,0.029851,0.029851,1.498333,53.94,0.032241,0.57383,13.827224,14.701554,2.409639,2025-11-24,2025-11-24,1.063232,female,3901,2.512176,98,"[{'action_type': 'outbound_click', 'value': '98'}]","[{'action_type': 'outbound_click', 'value': '2.512176'}]",3669,53.94,221,5,205,1609,743,427
5,998,13,2,438,76,76,998,5,5,,,5,8799,9,8799,75,64,5,8286,5,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,440,"[{'action_type': 'subscribe_mobile_app', 'value': '54.2725'}, {'action_type': 'subscribe_total', 'value': '54.2725'}]",0.495639,"[{'action_type': 'outbound_click', 'value': '0.495639'}]",0.495639,2.856447,0.217525,43.418,0.024672,0.024672,2.894533,43.418,0.0262,0.493386,10.725261,11.221441,2.173806,2025-11-24,2025-11-24,1.046263,male,20241,2.163925,438,"[{'action_type': 'outbound_click', 'value': '438'}]","[{'action_type': 'outbound_click', 'value': '2.163925'}]",19346,217.09,1146,4,1065,7940,3943,2360
,,,,4,,,,,,,,,71,,71,1,1,,66,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,4,,0.4125,"[{'action_type': 'outbound_click', 'value': '0.4125'}]",0.4125,,,,0.023239,0.023239,1.65,,0.025,0.4125,10.855263,11.785714,2.631579,2025-11-24,2025-11-24,1.085714,unknown,152,2.631579,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '2.631579'}]",140,1.65,6,4,6,60,29,16
,125,1,,32,11,11,125,,,,,,646,,646,3,3,,611,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,31,,0.625,"[{'action_type': 'outbound_click', 'value': '0.625'}]",0.625,1.818182,0.16,,0.03096,0.03096,6.666667,,0.032733,0.645161,12.771392,14.164306,1.979566,2025-11-24,2025-11-24,1.109065,female,1566,2.043423,32,"[{'action_type': 'outbound_click', 'value': '32'}]","[{'action_type': 'outbound_click', 'value': '2.043423'}]",1412,20,52,3,44,582,261,130
1,493,4,,121,52,52,493,1,1,,,1,2956,1,2956,12,11,1,2823,1,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,120,"[{'action_type': 'subscribe_mobile_app', 'value': '69.15'}, {'action_type': 'subscribe_total', 'value': '69.15'}]",0.571488,"[{'action_type': 'outbound_click', 'value': '0.571488'}]",0.571488,1.329808,0.140264,69.15,0.023393,0.023393,5.7625,69.15,0.024495,0.57625,10.106694,11.350952,1.753873,2025-11-24,2025-11-24,1.123112,male,6842,1.768489,121,"[{'action_type': 'outbound_click', 'value': '121'}]","[{'action_type': 'outbound_click', 'value': '1.768489'}]",6092,69.15,254,4,227,2692,1241,677
,3,,,,,,3,,,,,,16,,16,,,,16,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0.16,,0.03,0.03,,,0.03,,9.6,10.434783,0,2025-11-24,2025-11-24,1.086957,unknown,50,,,,,46,0.48,2,3,2,16,9,4
,,,,,,,,,,,,,1,,1,,,,1,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.08,0.08,,,0.08,,11.428571,13.333333,0,2025-11-24,2025-11-24,1.166667,male,7,,,,,6,0.08,1,3,1,2,1,1
,,,,,,,,,,,,,2,,2,1,1,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.07,0.07,0.14,,0.14,,28,28,0,2025-11-24,2025-11-24,1,male,5,,,,,5,0.14,,1,,2,,
