action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,16,16,0,2025-12-12,2025-12-12,1,male,5,,,,,5,0.08,,1,,,,
,77,,,5,5,5,77,,,,3,,,,,216,,216,3,3,,208,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '9.22'}, {'action_type': 'subscribe_total', 'value': '9.22'}, {'action_type': 'start_trial_mobile_app', 'value': '9.22'}, {'action_type': 'start_trial_total', 'value': '9.22'}]",3.688,"[{'action_type': 'outbound_click', 'value': '3.688'}]",3.688,3.688,0.239481,,0.08537,0.08537,6.146667,,0.088654,2.634286,34.990512,34.990512,1.328273,2025-12-12,2025-12-12,1,female,527,0.948767,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.948767'}]",527,18.44,15,3,14,195,75,37
1,203,,,24,12,12,203,1,1,,2,1,1,,1,1141,,1141,3,2,1,1114,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,27,"[{'action_type': 'subscribe_mobile_app', 'value': '17.98'}, {'action_type': 'subscribe_total', 'value': '17.98'}, {'action_type': 'start_trial_mobile_app', 'value': '35.96'}, {'action_type': 'start_trial_total', 'value': '35.96'}]",2.996667,"[{'action_type': 'outbound_click', 'value': '2.996667'}]",2.996667,5.993333,0.354286,71.92,0.063032,0.063032,23.973333,71.92,0.06456,2.663704,26.257758,26.607473,0.985761,2025-12-12,2025-12-12,1.013319,male,2739,0.876232,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '0.876232'}]",2703,71.92,98,3,97,1035,424,237
,3,,,1,,,3,,,,,,,,,8,,8,,,,7,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.92,"[{'action_type': 'outbound_click', 'value': '0.92'}]",0.92,,0.306667,,0.115,0.115,,,0.131429,0.92,31.724138,31.724138,3.448276,2025-12-12,2025-12-12,1,unknown,29,3.448276,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.448276'}]",29,0.92,4,4,4,7,6,5
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-12,2025-12-12,1,male,1,,,,,1,0.03,,1,,,,
,22,,,11,2,2,22,,,,3,,,1,,313,,313,4,4,,298,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,11,"[{'action_type': 'subscribe_mobile_app', 'value': '23.49'}, {'action_type': 'subscribe_total', 'value': '23.49'}, {'action_type': 'start_trial_mobile_app', 'value': '23.49'}, {'action_type': 'start_trial_total', 'value': '23.49'}]",2.135455,"[{'action_type': 'outbound_click', 'value': '2.135455'}]",2.135455,11.745,1.067727,,0.075048,0.075048,5.8725,,0.078826,2.135455,28.165468,29.325843,1.318945,2025-12-12,2025-12-12,1.041199,female,834,1.318945,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '1.318945'}]",801,23.49,35,3,33,284,127,70
,67,,,17,5,5,67,,,,3,,,1,,514,,514,4,4,,493,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,18,"[{'action_type': 'subscribe_mobile_app', 'value': '31.9'}, {'action_type': 'subscribe_total', 'value': '31.9'}, {'action_type': 'start_trial_mobile_app', 'value': '31.9'}, {'action_type': 'start_trial_total', 'value': '31.9'}]",1.876471,"[{'action_type': 'outbound_click', 'value': '1.876471'}]",1.876471,6.38,0.476119,,0.062062,0.062062,7.975,,0.064706,1.772222,26.407285,26.874473,1.490066,2025-12-12,2025-12-12,1.017692,male,1208,1.407285,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '1.407285'}]",1187,31.9,58,4,55,466,213,135
,,,,1,,,,,,,,,,,,10,,10,,,,9,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.49,"[{'action_type': 'outbound_click', 'value': '0.49'}]",0.49,,,,0.049,0.049,,,0.054444,0.49,25.789474,27.222222,5.263158,2025-12-12,2025-12-12,1.055556,unknown,19,5.263158,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '5.263158'}]",18,0.49,1,4,1,9,3,3
,,,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,1,female,1,,,,,1,0.01,,2,,,,
,11,,,12,1,1,11,,,,2,,,,,308,,308,2,2,,294,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,11,"[{'action_type': 'subscribe_mobile_app', 'value': '21.11'}, {'action_type': 'subscribe_total', 'value': '21.11'}, {'action_type': 'start_trial_mobile_app', 'value': '10.555'}, {'action_type': 'start_trial_total', 'value': '10.555'}]",1.759167,"[{'action_type': 'outbound_click', 'value': '1.759167'}]",1.759167,21.11,1.919091,,0.068539,0.068539,10.555,,0.071803,1.919091,23.719101,24.461182,1.235955,2025-12-12,2025-12-12,1.031286,female,890,1.348315,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.348315'}]",863,21.11,56,3,51,280,151,91
,159,2,,37,12,12,159,,,,5,,,,,741,1,741,6,5,,698,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,38,"[{'action_type': 'subscribe_mobile_app', 'value': '19.143333'}, {'action_type': 'subscribe_total', 'value': '19.143333'}, {'action_type': 'start_trial_mobile_app', 'value': '19.143333'}, {'action_type': 'start_trial_total', 'value': '19.143333'}]",1.552162,"[{'action_type': 'outbound_click', 'value': '1.595278'}]",1.552162,4.785833,0.361195,,0.077503,0.077503,9.571667,,0.082278,1.511316,25.089559,26.575659,1.660114,2025-12-12,2025-12-12,1.059232,male,2289,1.616426,37,"[{'action_type': 'outbound_click', 'value': '36'}]","[{'action_type': 'outbound_click', 'value': '1.572739'}]",2161,57.43,110,3,105,670,353,210
,1,,,1,,,1,,,,,,,,,10,,10,,,,9,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.18,"[{'action_type': 'outbound_click', 'value': '1.18'}]",1.18,,1.18,,0.118,0.118,,,0.131111,1.18,42.142857,43.703704,3.571429,2025-12-12,2025-12-12,1.037037,unknown,28,3.571429,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.571429'}]",27,1.18,1,3,1,7,5,2
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,40,40,0,2025-12-12,2025-12-12,1,female,1,,,,,1,0.04,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,1,male,1,,,,,1,0.01,,3,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-12-12,2025-12-12,1,male,1,,,,,1,0.06,1,13,1,1,1,1
1,411,,,52,24,24,411,1,1,,21,,,2,1,1155,3,1155,26,23,1,1077,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,64,"[{'action_type': 'subscribe_mobile_app', 'value': '12.721429'}, {'action_type': 'subscribe_total', 'value': '12.721429'}, {'action_type': 'start_trial_mobile_app', 'value': '9.894444'}, {'action_type': 'start_trial_total', 'value': '9.894444'}]",1.7125,"[{'action_type': 'outbound_click', 'value': '1.7125'}]",1.7125,3.710417,0.216667,89.05,0.0771,0.0771,3.425,89.05,0.082683,1.391406,31.388791,33.00593,2.255904,2025-12-12,2025-12-12,1.05152,female,2837,1.832922,52,"[{'action_type': 'outbound_click', 'value': '52'}]","[{'action_type': 'outbound_click', 'value': '1.832922'}]",2698,89.05,122,4,122,987,521,355
,5,,,,,,5,,,,,,,,,27,,27,,,,27,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.392,,0.072593,0.072593,,,0.072593,,20.631579,20.631579,0,2025-12-12,2025-12-12,1,male,95,,,,,95,1.96,2,3,2,24,9,7
,,,,,,,,,,,,,,,,4,,4,,,,4,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.1075,0.1075,,,0.1075,,30.714286,30.714286,0,2025-12-12,2025-12-12,1,unknown,14,,,,,14,0.43,,3,,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,6916169150784,13 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-12,2025-12-12,1,female,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,,23,,23,,,,23,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.046957,0.046957,,,0.046957,,20.377358,20.769231,0,2025-12-12,2025-12-12,1.019231,female,53,,,,,52,1.08,,3,,18,4,2
,,,,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,36.666667,36.666667,0,2025-12-12,2025-12-12,1,male,3,,,,,3,0.11,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-12,2025-12-12,1,male,2,,,,,2,0.06,,5,,1,1,
,1,,,,,,1,,,,,,,,,,,,,,,,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,0,female,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,0,male,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-12,2025-12-12,1,female,2,,,,,2,0.03,,5,,1,1,
,,,,1,,,,,,,,,,,,13,,13,,,,12,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.37,"[{'action_type': 'outbound_click', 'value': '0.37'}]",0.37,,,,0.028462,0.028462,,,0.030833,0.37,11.935484,12.758621,3.225806,2025-12-12,2025-12-12,1.068966,male,31,3.225806,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.225806'}]",29,0.37,2,5,2,12,6,6
