action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,3,,,1,,,3,,,,,,111,,111,5,5,,105,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,1,,3.07,"[{'action_type': 'outbound_click', 'value': '3.07'}]",3.07,,1.023333,,0.027658,0.027658,0.614,,0.029238,3.07,12.231076,12.379032,0.398406,2025-12-02,2025-12-02,1.012097,female,251,0.398406,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.398406'}]",248,3.07,16,4,15,101,43,23
,124,1,3,25,14,14,124,,,,,,602,,602,11,8,,566,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,26,,0.6632,"[{'action_type': 'outbound_click', 'value': '0.6632'}]",0.6632,1.184286,0.13371,,0.027542,0.027542,1.507273,,0.029293,0.637692,10.330218,10.440806,1.619938,2025-12-02,2025-12-02,1.010705,male,1605,1.557632,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.557632'}]",1588,16.58,67,3,63,544,256,156
,,,,,,,,,,,,,5,,5,,,,5,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.026,0.026,,,0.026,,8.666667,8.666667,0,2025-12-02,2025-12-02,1,unknown,15,,,,,15,0.13,1,3,,5,1,1
,34,1,,14,7,7,34,,,,,,363,,363,1,1,,348,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,13,,0.552857,"[{'action_type': 'outbound_click', 'value': '0.552857'}]",0.552857,1.105714,0.227647,,0.021322,0.021322,7.74,,0.022241,0.595385,10.516304,10.631868,1.766304,2025-12-02,2025-12-02,1.010989,female,736,1.902174,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.902174'}]",728,7.74,28,4,26,337,147,68
,506,1,1,108,48,48,506,,,2,2,,4045,2,4045,18,13,,3919,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,107,"[{'action_type': 'subscribe_mobile_app', 'value': '74.14'}, {'action_type': 'subscribe_total', 'value': '74.14'}, {'action_type': 'start_trial_mobile_app', 'value': '74.14'}, {'action_type': 'start_trial_total', 'value': '74.14'}]",0.686481,"[{'action_type': 'outbound_click', 'value': '0.686481'}]",0.686481,1.544583,0.146522,,0.018329,0.018329,4.118889,,0.018918,0.692897,8.987756,8.987756,1.297127,2025-12-02,2025-12-02,1,male,8249,1.30925,108,"[{'action_type': 'outbound_click', 'value': '108'}]","[{'action_type': 'outbound_click', 'value': '1.30925'}]",8249,74.14,327,4,298,3733,1657,891
,,,,,,,,,,,,,35,,35,,,,35,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.021714,0.021714,,,0.021714,,9.74359,10.27027,0,2025-12-02,2025-12-02,1.054054,unknown,78,,,,,74,0.76,2,3,2,33,14,10
,,,,,,,,,,,,,1,,1,,,,1,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.07,0.07,,,0.07,,35,35,0,2025-12-02,2025-12-02,1,male,2,,,,,2,0.07,,4,,2,,
,1,,,,,,1,,,,,,11,,11,,,,11,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.84,,0.076364,0.076364,,,0.076364,,40,40,0,2025-12-02,2025-12-02,1,female,21,,,,,21,0.84,5,6,5,11,8,6
,3,,,4,1,1,3,,,,,,197,,197,1,1,,192,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,4.58,"[{'action_type': 'outbound_click', 'value': '4.58'}]",4.58,18.32,6.106667,,0.092995,0.092995,18.32,,0.095417,4.58,38.246347,38.568421,0.835073,2025-12-02,2025-12-02,1.008421,male,479,0.835073,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.835073'}]",475,18.32,32,4,32,181,96,60
,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-02,2025-12-02,1,unknown,3,,,,,3,0.03,,4,,1,1,1
