action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,168,2,,59,22,22,168,,,2,2,,1349,1,1349,17,14,,1273,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,56,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '30.73'}, {'action_type': 'subscribe_total', 'value': '30.73'}, {'action_type': 'start_trial_mobile_app', 'value': '30.73'}, {'action_type': 'start_trial_total', 'value': '30.73'}]",0.520847,"[{'action_type': 'outbound_click', 'value': '0.520847'}]",0.520847,1.396818,0.182917,,0.02278,0.02278,1.807647,,0.02414,0.54875,10.135224,10.135224,1.846966,2025-11-27,2025-11-27,ABOVE_AVERAGE,1,3032,1.94591,59,"[{'action_type': 'outbound_click', 'value': '59'}]","[{'action_type': 'outbound_click', 'value': '1.94591'}]",ABOVE_AVERAGE,3032,30.73,148,4,137,1225,596,343
,976,6,1,225,104,104,976,,,1,1,,8814,2,8814,30,26,,8559,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,220,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '52.986667'}, {'action_type': 'subscribe_total', 'value': '52.986667'}, {'action_type': 'start_trial_mobile_app', 'value': '39.74'}, {'action_type': 'start_trial_total', 'value': '39.74'}]",0.706489,"[{'action_type': 'outbound_click', 'value': '0.706489'}]",0.706489,1.528462,0.162869,,0.018035,0.018035,5.298667,,0.018572,0.722545,8.853737,9.411486,1.225354,2025-11-27,2025-11-27,AVERAGE,1.062996,17954,1.253203,225,"[{'action_type': 'outbound_click', 'value': '225'}]","[{'action_type': 'outbound_click', 'value': '1.253203'}]",ABOVE_AVERAGE,16890,158.96,705,4,639,8122,3613,1884
,494,1,1,136,37,37,494,,,2,2,,3106,10,3106,36,23,,2934,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,139,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '42.648'}, {'action_type': 'subscribe_total', 'value': '42.648'}, {'action_type': 'start_trial_mobile_app', 'value': '26.655'}, {'action_type': 'start_trial_total', 'value': '26.655'}]",1.567941,"[{'action_type': 'outbound_click', 'value': '1.567941'}]",1.567941,5.763243,0.43166,,0.068654,0.068654,5.923333,,0.072679,1.534101,25.443265,27.023191,1.658513,2025-11-27,2025-11-27,AVERAGE,1.062096,8381,1.622718,136,"[{'action_type': 'outbound_click', 'value': '136'}]","[{'action_type': 'outbound_click', 'value': '1.622718'}]",AVERAGE,7891,213.24,484,4,464,2805,1565,954
1,582,1,,53,41,41,582,1,1,,,1,2200,,2200,4,4,1,2143,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,55,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '10.235385'}, {'action_type': 'subscribe_total', 'value': '10.235385'}, {'action_type': 'start_trial_mobile_app', 'value': '7.392222'}, {'action_type': 'start_trial_total', 'value': '7.392222'}]",2.510566,"[{'action_type': 'outbound_click', 'value': '2.510566'}]",2.510566,3.245366,0.228625,133.06,0.060482,0.060482,33.265,133.06,0.062091,2.419273,21.344241,22.663941,0.882259,2025-11-27,2025-11-27,AVERAGE,1.061829,6234,0.850176,53,"[{'action_type': 'outbound_click', 'value': '53'}]","[{'action_type': 'outbound_click', 'value': '0.850176'}]",ABOVE_AVERAGE,5871,133.06,199,3,191,2030,914,505
,,,,,,,,,,,,,5,,5,,,,5,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.158,0.158,,,0.158,,41.578947,43.888889,0,2025-11-27,2025-11-27,UNKNOWN,1.055556,19,,,,,UNKNOWN,18,0.79,2,4,2,5,5,4
,4,,,1,,,4,,,,,,3,,3,,,,2,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.41,"[{'action_type': 'outbound_click', 'value': '0.41'}]",0.41,,0.1025,,0.136667,0.136667,,,0.205,0.41,45.555556,51.25,11.111111,2025-11-27,2025-11-27,UNKNOWN,1.125,9,11.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '11.111111'}]",UNKNOWN,8,0.41,2,6,2,4,2,2
,349,,1,51,22,22,349,,,1,1,,1738,1,1738,10,7,,1677,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,53,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '41.09'}, {'action_type': 'subscribe_total', 'value': '41.09'}, {'action_type': 'start_trial_mobile_app', 'value': '7.704375'}, {'action_type': 'start_trial_total', 'value': '7.704375'}]",2.417059,"[{'action_type': 'outbound_click', 'value': '2.417059'}]",2.417059,5.603182,0.353209,,0.070926,0.070926,12.327,,0.073506,2.325849,23.13192,25.049787,0.994558,2025-11-27,2025-11-27,AVERAGE,1.08291,5329,0.957028,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '0.957028'}]",AVERAGE,4921,123.27,156,3,145,1570,687,371
,,,,,,,,,,,,,7,,7,,,,7,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.17,0.17,,,0.17,,33.055556,38.387097,0,2025-11-27,2025-11-27,UNKNOWN,1.16129,36,,,,,UNKNOWN,31,1.19,,1,,7,,
,504,2,,120,32,32,504,,,3,3,,2397,5,2397,26,18,,2251,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,127,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '32.416667'}, {'action_type': 'subscribe_total', 'value': '32.416667'}, {'action_type': 'start_trial_mobile_app', 'value': '12.966667'}, {'action_type': 'start_trial_total', 'value': '12.966667'}]",1.620833,"[{'action_type': 'outbound_click', 'value': '1.620833'}]",1.620833,6.078125,0.385913,,0.081143,0.081143,7.480769,,0.086406,1.531496,26.030514,28.37759,1.699679,2025-11-27,2025-11-27,AVERAGE,1.090166,7472,1.605996,120,"[{'action_type': 'outbound_click', 'value': '120'}]","[{'action_type': 'outbound_click', 'value': '1.605996'}]",AVERAGE,6854,194.5,291,3,281,2142,1103,646
,35,,1,1,1,1,35,,,,,,58,,58,1,,,56,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,"[{'action_type': 'start_trial_mobile_app', 'value': '10.73'}, {'action_type': 'start_trial_total', 'value': '10.73'}]",10.73,"[{'action_type': 'outbound_click', 'value': '10.73'}]",10.73,10.73,0.306571,,0.185,0.185,10.73,,0.191607,10.73,33.015385,35.065359,0.307692,2025-11-27,2025-11-27,UNKNOWN,1.062092,325,0.307692,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.307692'}]",UNKNOWN,306,10.73,7,2,8,51,24,14
