action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,91,,,15,7,7,91,,,3,,,,,392,,392,3,3,,374,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,21,"[{'action_type': 'subscribe_mobile_app', 'value': '8.6325'}, {'action_type': 'subscribe_total', 'value': '8.6325'}, {'action_type': 'start_trial_mobile_app', 'value': '6.906'}, {'action_type': 'start_trial_total', 'value': '6.906'}]",2.302,"[{'action_type': 'outbound_click', 'value': '2.302'}]",2.302,4.932857,0.379451,,0.088087,0.088087,11.51,,0.092326,1.644286,26.0211,26.378915,1.582517,2025-12-09,2025-12-09,1.013751,1327,1.130369,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.130369'}]",instagram,1309,34.53,38,3,38,360,140,75
,,,,,,,,,,,,,,,,,,,,,,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-09,2025-12-09,1,2,,,,,messenger,2,0.06,,,,,,
,,,,1,,,,,,1,,,,,114,,114,1,1,,112,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,5.07,"[{'action_type': 'outbound_click', 'value': '5.07'}]",5.07,,,,0.044474,0.044474,5.07,,0.045268,5.07,18.777778,18.777778,0.37037,2025-12-09,2025-12-09,1,270,0.37037,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.37037'}]",threads,270,5.07,22,8,23,107,58,41
,,,,,,,,,,,,,,,2,,2,,,,2,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.015,0.015,,,0.015,,10,10,0,2025-12-09,2025-12-09,1,3,,,,,facebook,3,0.03,,3,,2,,
,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-09,2025-12-09,1,1,,,,,facebook,1,0.02,,2,,,,
,26,,,13,3,3,26,,,9,,,,,518,,518,9,9,,496,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,13,"[{'action_type': 'subscribe_mobile_app', 'value': '36.942916'}, {'action_type': 'subscribe_total', 'value': '36.942916'}, {'action_type': 'start_trial_mobile_app', 'value': '36.942916'}, {'action_type': 'start_trial_total', 'value': '36.942916'}]",2.841763,"[{'action_type': 'outbound_click', 'value': '2.841763'}]",2.841763,12.314305,1.420881,,0.071318,0.071318,4.104768,,0.074482,2.841763,28.287072,28.771742,0.995406,2025-12-09,2025-12-09,1.017134,1306,0.995406,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '0.995406'}]",facebook,1284,36.942916,62,4,56,450,251,160
1,321,,,53,27,27,321,1,1,21,1,1,,1,1249,,1249,22,21,1,1174,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,62,"[{'action_type': 'subscribe_mobile_app', 'value': '14.93808'}, {'action_type': 'subscribe_total', 'value': '14.93808'}, {'action_type': 'start_trial_mobile_app', 'value': '17.42776'}, {'action_type': 'start_trial_total', 'value': '17.42776'}]",1.972954,"[{'action_type': 'outbound_click', 'value': '1.972954'}]",1.972954,3.872836,0.325753,104.566559,0.08372,0.08372,4.753025,104.566559,0.089069,1.686557,31.213898,32.986296,1.850746,2025-12-09,2025-12-09,1.056782,3350,1.58209,53,"[{'action_type': 'outbound_click', 'value': '53'}]","[{'action_type': 'outbound_click', 'value': '1.58209'}]",instagram,3170,104.566559,122,4,122,1055,500,337
,,,,1,,,,,,,,,,,60,,60,,,,59,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.500525,"[{'action_type': 'outbound_click', 'value': '1.500525'}]",1.500525,,,,0.025009,0.025009,,,0.025433,1.500525,17.247409,17.447961,1.149425,2025-12-09,2025-12-09,1.011628,87,1.149425,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.149425'}]",threads,86,1.500525,10,8,10,57,37,21
,,,,,,,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-09,2025-12-09,1,2,,,,,facebook,2,0.04,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-09,2025-12-09,1,1,,,,,facebook,1,0.02,,2,,,,
