action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,5,,,3,1,1,5,,,,1,,,,,134,,134,1,1,,130,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,2.933333,"[{'action_type': 'outbound_click', 'value': '2.933333'}]",2.933333,8.8,1.76,,,0.065672,0.065672,8.8,,0.067692,2.933333,22.110553,23.280423,0.753769,2025-12-13,2025-12-13,1.05291,female,398,0.753769,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.753769'}]",378,8.8,29,3,27,126,72,47
,79,,,12,9,9,79,,,,3,,,,,367,,367,3,3,,352,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,12,"[{'action_type': 'subscribe_mobile_app', 'value': '26.01'}, {'action_type': 'subscribe_total', 'value': '26.01'}, {'action_type': 'start_trial_mobile_app', 'value': '8.67'}, {'action_type': 'start_trial_total', 'value': '8.67'}]",2.1675,"[{'action_type': 'outbound_click', 'value': '2.1675'}]",2.1675,2.89,0.329241,,,0.070872,0.070872,8.67,,0.073892,2.1675,24.285714,25.803571,1.120448,2025-12-13,2025-12-13,1.0625,male,1071,1.120448,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.120448'}]",1008,26.01,46,3,44,342,176,101
,,,,,,,,,,,,,,,,3,,3,,,,3,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.05,0.05,,,0.05,,15,15,0,2025-12-13,2025-12-13,1,unknown,10,,,,,10,0.15,1,3,1,3,2,2
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.06,0.06,,,0.06,,15,15,0,2025-12-13,2025-12-13,1,male,8,,,,,8,0.12,,2,,2,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-13,2025-12-13,1,female,3,,,,,3,0.03,,3,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,male,3,,,,,3,0.03,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,1,female,2,,,,,2,0.03,,6,,1,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.01,,7,,1,1,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.08,0.08,,,0.08,,22.857143,22.857143,0,2025-12-13,2025-12-13,1,male,7,,,,,7,0.16,,2,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,female,2,,,,,2,0.02,,1,,,,
1,336,,,48,22,22,336,1,1,,11,1,1,2,1,1042,,1042,14,13,1,980,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,53,"[{'action_type': 'subscribe_mobile_app', 'value': '11.0875'}, {'action_type': 'subscribe_total', 'value': '11.0875'}, {'action_type': 'start_trial_mobile_app', 'value': '11.0875'}, {'action_type': 'start_trial_total', 'value': '11.0875'}]",1.847917,"[{'action_type': 'outbound_click', 'value': '1.847917'}]",1.847917,4.031818,0.263988,88.7,,0.085125,0.085125,6.335714,88.7,0.09051,1.673585,31.588319,32.864024,1.887464,2025-12-13,2025-12-13,1.040385,female,2808,1.709402,48,"[{'action_type': 'outbound_click', 'value': '48'}]","[{'action_type': 'outbound_click', 'value': '1.709402'}]",2699,88.7,104,4,102,893,444,293
