action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-13,2025-12-13,1,unknown,2,,,,,2,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.02,,2,,,,
,587,2,,126,53,53,587,,,,27,2,2,1,,2524,3,2524,33,28,,2365,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,127,"[{'action_type': 'subscribe_mobile_app', 'value': '12.172222'}, {'action_type': 'subscribe_total', 'value': '12.172222'}, {'action_type': 'start_trial_mobile_app', 'value': '7.303333'}, {'action_type': 'start_trial_total', 'value': '7.303333'}]",0.869444,"[{'action_type': 'outbound_click', 'value': '0.869444'}]",0.869444,2.066981,0.186627,,,0.043403,0.043403,3.319697,,0.046321,0.862598,14.91897,15.634366,1.729538,2025-12-13,2025-12-13,1.047952,female,7343,1.71592,126,"[{'action_type': 'outbound_click', 'value': '126'}]","[{'action_type': 'outbound_click', 'value': '1.71592'}]",7007,109.55,200,3,183,2051,960,523
,,,,4,,,,,,,,,,,,53,,53,,,,49,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,0.62,"[{'action_type': 'outbound_click', 'value': '0.62'}]",0.62,,,,,0.046792,0.046792,,,0.050612,0.62,14.761905,15.403727,2.380952,2025-12-13,2025-12-13,1.043478,male,168,2.380952,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '2.380952'}]",161,2.48,3,3,3,43,13,8
,,,,,,,,,,,,,,,,17,,17,,,,17,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.049412,0.049412,,,0.049412,,16.153846,17.142857,0,2025-12-13,2025-12-13,1.061224,unknown,52,,,,,49,0.84,1,3,1,14,9,5
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.07,0.07,,,0.07,,11.666667,11.666667,0,2025-12-13,2025-12-13,1,female,6,,,,,6,0.07,1,4,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,unknown,1,,,,,1,0,,1,,,,
,78,1,,15,6,6,78,,,,4,2,2,,,287,1,287,7,4,,265,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,16,"[{'action_type': 'subscribe_mobile_app', 'value': '14.08'}, {'action_type': 'subscribe_total', 'value': '14.08'}, {'action_type': 'start_trial_mobile_app', 'value': '14.08'}, {'action_type': 'start_trial_total', 'value': '14.08'}]",0.938667,"[{'action_type': 'outbound_click', 'value': '0.938667'}]",0.938667,2.346667,0.180513,,,0.049059,0.049059,2.011429,,0.053132,0.88,18.624339,19.182561,2.116402,2025-12-13,2025-12-13,1.029973,female,756,1.984127,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.984127'}]",734,14.08,43,4,42,234,132,91
,,,,1,,,,,,,,,,,,17,,17,,,,16,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.73,"[{'action_type': 'outbound_click', 'value': '0.73'}]",0.73,,,,,0.042941,0.042941,,,0.045625,0.73,14.897959,14.897959,2.040816,2025-12-13,2025-12-13,1,male,49,2.040816,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.040816'}]",49,0.73,,3,,13,5,3
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.04,0.04,,,0.04,,16,16,0,2025-12-13,2025-12-13,1,unknown,5,,,,,5,0.08,,4,,2,2,1
,4,,,4,1,1,4,,,,1,,,,,67,,67,1,1,,62,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,4,,1.12,"[{'action_type': 'outbound_click', 'value': '1.12'}]",1.12,4.48,1.12,,,0.066866,0.066866,4.48,,0.072258,1.12,27.484663,28,2.453988,2025-12-13,2025-12-13,1.01875,female,163,2.453988,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '2.453988'}]",160,4.48,3,3,3,52,22,11
,324,,,63,29,29,324,,,,16,,,2,,1831,2,1831,20,18,,1748,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,67,"[{'action_type': 'subscribe_mobile_app', 'value': '16.478'}, {'action_type': 'subscribe_total', 'value': '16.478'}, {'action_type': 'start_trial_mobile_app', 'value': '16.478'}, {'action_type': 'start_trial_total', 'value': '16.478'}]",1.307778,"[{'action_type': 'outbound_click', 'value': '1.307778'}]",1.307778,2.841034,0.25429,,,0.044997,0.044997,4.1195,,0.047134,1.229701,20.5975,20.5975,1.675,2025-12-13,2025-12-13,1,male,4000,1.575,63,"[{'action_type': 'outbound_click', 'value': '63'}]","[{'action_type': 'outbound_click', 'value': '1.575'}]",4000,82.39,222,5,202,1593,881,565
,1,,,1,1,1,1,,,,,,,,,18,,18,,,,17,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.94,"[{'action_type': 'outbound_click', 'value': '0.94'}]",0.94,0.94,0.94,,,0.052222,0.052222,,,0.055294,0.94,26.857143,27.647059,2.857143,2025-12-13,2025-12-13,1.029412,unknown,35,2.857143,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.857143'}]",34,0.94,1,4,1,16,8,3
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.01,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,female,1,,,,,1,0,,0,,,,
,,,,1,,,,,,,,,,,,7,,7,,,,6,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.29,"[{'action_type': 'outbound_click', 'value': '0.29'}]",0.29,,,,,0.041429,0.041429,,,0.048333,0.29,22.307692,22.307692,7.692308,2025-12-13,2025-12-13,1,female,13,7.692308,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '7.692308'}]",13,0.29,,4,,5,5,
,32,,,10,4,4,32,,,,1,,,,,236,,236,1,1,,225,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,11,,1.029,"[{'action_type': 'outbound_click', 'value': '1.029'}]",1.029,2.5725,0.321563,,,0.043602,0.043602,10.29,,0.045733,0.935455,18.607595,18.777372,1.98915,2025-12-13,2025-12-13,1.009124,male,553,1.808318,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.808318'}]",548,10.29,22,4,22,200,100,63
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-13,2025-12-13,1,unknown,2,,,,,2,0.02,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,24,24,0,2025-12-13,2025-12-13,1,female,5,,,,,5,0.12,,1,,,,
,8,,,1,1,1,8,,,,,,,,,3,,3,,,,2,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.23,"[{'action_type': 'outbound_click', 'value': '0.23'}]",0.23,0.23,0.02875,,,0.076667,0.076667,,,0.115,0.23,46,46,20,2025-12-13,2025-12-13,1,male,5,20,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '20'}]",5,0.23,,3,,2,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994403184,01_black4_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,female,1,,,,,1,0.01,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994403184,01_black4_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.02,,1,,,,
,408,,,61,25,25,408,,,,27,1,1,1,,1667,1,1667,30,28,,1576,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,62,"[{'action_type': 'subscribe_mobile_app', 'value': '21.9025'}, {'action_type': 'subscribe_total', 'value': '21.9025'}, {'action_type': 'start_trial_mobile_app', 'value': '12.515714'}, {'action_type': 'start_trial_total', 'value': '12.515714'}]",1.43623,"[{'action_type': 'outbound_click', 'value': '1.43623'}]",1.43623,3.5044,0.21473,,,0.052555,0.052555,2.920333,,0.05559,1.413065,27.250389,27.57633,1.92846,2025-12-13,2025-12-13,1.011961,female,3215,1.897356,61,"[{'action_type': 'outbound_click', 'value': '61'}]","[{'action_type': 'outbound_click', 'value': '1.897356'}]",3177,87.61,251,5,226,1451,941,669
,5,1,,7,,,5,,,,2,,,,,78,1,78,3,2,,68,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,7,,1.08,"[{'action_type': 'outbound_click', 'value': '1.08'}]",1.08,,1.512,,,0.096923,0.096923,2.52,,0.111176,1.08,34.208145,36.521739,3.167421,2025-12-13,2025-12-13,1.067633,male,221,3.167421,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '3.167421'}]",207,7.56,10,4,10,61,33,27
,,,,,,,,,,,,,,,,4,,4,,,,4,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.075,0.075,,,0.075,,27.272727,27.272727,0,2025-12-13,2025-12-13,1,unknown,11,,,,,11,0.3,1,4,1,2,2,2
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.09,0.09,,,0.09,,30,30,0,2025-12-13,2025-12-13,1,female,3,,,,,3,0.09,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,15,15,0,2025-12-13,2025-12-13,1,female,4,,,,,4,0.06,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,125,125,0,2025-12-13,2025-12-13,1,male,2,,,,,2,0.25,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920995424984,01_Eddie_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,50,50,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.05,,3,,,,
,62,,,6,3,3,62,,,,2,,,,,104,,104,2,2,,96,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,6,"[{'action_type': 'subscribe_mobile_app', 'value': '6.92'}, {'action_type': 'subscribe_total', 'value': '6.92'}, {'action_type': 'start_trial_mobile_app', 'value': '6.92'}, {'action_type': 'start_trial_total', 'value': '6.92'}]",1.153333,"[{'action_type': 'outbound_click', 'value': '1.153333'}]",1.153333,2.306667,0.111613,,,0.066538,0.066538,3.46,,0.072083,1.153333,28.713693,29.699571,2.489627,2025-12-13,2025-12-13,1.034335,female,241,2.489627,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '2.489627'}]",233,6.92,9,4,8,83,37,16
1,494,1,,65,42,42,494,1,1,,26,,,,1,1975,5,1975,31,26,1,1879,1,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,74,"[{'action_type': 'subscribe_mobile_app', 'value': '17.588'}, {'action_type': 'subscribe_total', 'value': '17.588'}, {'action_type': 'start_trial_mobile_app', 'value': '17.588'}, {'action_type': 'start_trial_total', 'value': '17.588'}]",1.352923,"[{'action_type': 'outbound_click', 'value': '1.352923'}]",1.352923,2.09381,0.178016,87.94,,0.044527,0.044527,2.836774,87.94,0.046801,1.188378,21.985,21.985,1.85,2025-12-13,2025-12-13,1,male,4000,1.625,65,"[{'action_type': 'outbound_click', 'value': '65'}]","[{'action_type': 'outbound_click', 'value': '1.625'}]",4000,87.94,169,5,157,1619,823,434
,,,,2,,,,,,,1,,,,,17,,17,1,1,,14,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,2,,0.365,"[{'action_type': 'outbound_click', 'value': '0.365'}]",0.365,,,,,0.042941,0.042941,0.73,,0.052143,0.365,19.210526,19.210526,5.263158,2025-12-13,2025-12-13,1,unknown,38,5.263158,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '5.263158'}]",38,0.73,2,4,2,11,9,4
,,,,,,,,,,,,,,,,,,,,,,,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,female,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,30,30,0,2025-12-13,2025-12-13,1,female,1,,,,,1,0.03,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,female,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.01,,1,,,,
1,427,,,75,36,36,427,1,1,,26,,,,1,1999,2,1999,28,26,1,1896,1,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,76,"[{'action_type': 'subscribe_mobile_app', 'value': '13.695714'}, {'action_type': 'subscribe_total', 'value': '13.695714'}, {'action_type': 'start_trial_mobile_app', 'value': '9.587'}, {'action_type': 'start_trial_total', 'value': '9.587'}]",1.278267,"[{'action_type': 'outbound_click', 'value': '1.278267'}]",1.278267,2.663056,0.22452,95.87,,0.047959,0.047959,3.423929,95.87,0.050564,1.261447,23.246848,23.907731,1.842871,2025-12-13,2025-12-13,1.028429,female,4124,1.818623,75,"[{'action_type': 'outbound_click', 'value': '75'}]","[{'action_type': 'outbound_click', 'value': '1.818623'}]",4010,95.87,230,5,213,1719,1021,693
,,,,3,,,,,,,,,,,,61,,61,,,,58,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,3,,0.98,"[{'action_type': 'outbound_click', 'value': '0.98'}]",0.98,,,,,0.048197,0.048197,,,0.05069,0.98,21.940299,22.96875,2.238806,2025-12-13,2025-12-13,1.046875,male,134,2.238806,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.238806'}]",128,2.94,5,4,5,51,29,22
,,,,,,,,,,,,,,,,14,,14,,,,14,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.033571,0.033571,,,0.033571,,20.434783,20.434783,0,2025-12-13,2025-12-13,1,unknown,23,,,,,23,0.47,1,5,1,13,7,2
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.15,0.15,,,0.15,,37.5,37.5,0,2025-12-13,2025-12-13,1,female,4,,,,,4,0.15,,4,,1,1,
,,,,,,,,,,,1,,,,,2,,2,1,1,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.095,0.095,0.19,,0.19,,31.666667,38,0,2025-12-13,2025-12-13,1.2,male,6,,,,,5,0.19,,1,,1,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,,,,,,,,0.043333,0.043333,,,0.043333,0.13,14.444444,14.444444,11.111111,2025-12-13,2025-12-13,1,female,9,,,,,9,0.13,1,3,1,3,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,30,60,0,2025-12-13,2025-12-13,2,male,2,,,,,1,0.06,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,31.666667,31.666667,0,2025-12-13,2025-12-13,1,female,6,,,,,6,0.19,,1,,,,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.05,0.05,,,0.05,,22.222222,25,0,2025-12-13,2025-12-13,1.125,male,9,,,,,8,0.2,,3,,3,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,80,80,0,2025-12-13,2025-12-13,1,male,2,,,,,2,0.16,,1,,,,
1,279,,,49,19,19,279,1,1,,7,2,2,1,1,949,1,949,11,8,1,889,1,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,49,"[{'action_type': 'subscribe_mobile_app', 'value': '10.526'}, {'action_type': 'subscribe_total', 'value': '10.526'}, {'action_type': 'start_trial_mobile_app', 'value': '6.57875'}, {'action_type': 'start_trial_total', 'value': '6.57875'}]",1.074082,"[{'action_type': 'outbound_click', 'value': '1.074082'}]",1.074082,2.77,0.188638,52.63,,0.055458,0.055458,4.784545,52.63,0.059201,1.074082,26.223219,27.26943,2.441455,2025-12-13,2025-12-13,1.039896,female,2007,2.441455,49,"[{'action_type': 'outbound_click', 'value': '49'}]","[{'action_type': 'outbound_click', 'value': '2.441455'}]",1930,52.63,96,5,92,787,489,308
,4,,,4,,,4,,,,2,,,,,142,,142,2,2,,136,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,3,,1.7275,"[{'action_type': 'outbound_click', 'value': '1.7275'}]",1.7275,,1.7275,,,0.048662,0.048662,3.455,,0.050809,2.303333,21.661442,22.805281,0.940439,2025-12-13,2025-12-13,1.052805,male,319,1.253919,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.253919'}]",303,6.91,16,5,16,118,70,45
,,,,,,,,,,,,,,,,3,,3,,,,3,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.093333,0.093333,,,0.093333,,28,28,0,2025-12-13,2025-12-13,1,unknown,10,,,,,10,0.28,,3,,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,15,0,2025-12-13,2025-12-13,1.5,female,3,,,,,2,0.03,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-13,2025-12-13,1,female,1,,,,,1,0.03,,12,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.01,,1,,,,
,77,,,14,7,7,77,,,,8,1,1,,,536,,536,9,8,,513,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,13,"[{'action_type': 'subscribe_mobile_app', 'value': '32.66'}, {'action_type': 'subscribe_total', 'value': '32.66'}, {'action_type': 'start_trial_mobile_app', 'value': '32.66'}, {'action_type': 'start_trial_total', 'value': '32.66'}]",2.332857,"[{'action_type': 'outbound_click', 'value': '2.332857'}]",2.332857,4.665714,0.424156,,,0.060933,0.060933,3.628889,,0.063665,2.512308,27.171381,27.795745,1.081531,2025-12-13,2025-12-13,1.022979,female,1202,1.164725,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.164725'}]",1175,32.66,63,4,57,467,275,203
,7,1,,2,,,7,,,,2,,,,,78,,78,2,2,,74,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,2,,2.495,"[{'action_type': 'outbound_click', 'value': '2.495'}]",2.495,,0.712857,,,0.063974,0.063974,2.495,,0.067432,2.495,26.827957,28.352273,1.075269,2025-12-13,2025-12-13,1.056818,male,186,1.075269,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.075269'}]",176,4.99,10,4,7,68,40,29
,,,,,,,,,,,,,,,,7,,7,,,,7,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.018571,0.018571,,,0.018571,,14.444444,14.444444,0,2025-12-13,2025-12-13,1,unknown,9,,,,,9,0.13,2,7,2,7,5,3
,3,,,,,,3,,,,,,,,,,,,,,,,,6922648896584,08_reddress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,0,,,,,,,,,,,,2025-12-13,2025-12-13,0,female,0,,,,,0,0,,,,,,
