action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
5,194,,,21,8,8,194,5,5,,1,1,,5,802,,802,7,6,5,774,5,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,24,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.758333'}, {'action_type': 'subscribe_total', 'value': '13.758333'}]",3.930952,"[{'action_type': 'outbound_click', 'value': '3.930952'}]",3.930952,10.31875,0.425515,16.51,0.10293,0.10293,11.792857,16.51,0.106654,3.439583,37.034545,40.906838,1.076716,2025-12-05,2025-12-05,AVERAGE,1.104559,2229,0.942127,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '0.942127'}]",AVERAGE,2018,82.55,85,4,83,670,333,199
,5,,,,,,5,,,,,,,,,,,,,,,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,46,,,,1,1,46,,,,,,,,,,,,,,,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,0,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,14,,,,2,2,14,,,,,,,,,,,,,,,,6920199460384,03_blackbodysuit_Big energy,6920175379584,Test_F_BigEnergy,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,UNKNOWN,,,,,0,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,6920216907984,11_yellow dress_I like it,6920211227584,Test_F_ILikeIt,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,22,,,,,,22,,,,,,,,,,,,,,,,6920221871184,02_blackNew_Wap 1,6920220510584,Test_F_Wap1,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,6,,,,,,6,,,,,,,,,,,,,,,,6920229519184,02_blackNew_Wap 2,6920228641784,Test_F_Wap2,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,9,,,,,,9,,,,,,,,,,,,,,,,6920251011584,04_MorganF_Nuthin But A G Thang,6920236297184,Test_F_GThang,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992821584,04 will_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.025,0.025,,,0.025,,25,25,0,2025-12-05,2025-12-05,UNKNOWN,1,2,,,,,UNKNOWN,2,0.05,,15,,2,2,2
