action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,6920996507384,07_nose ring_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,30,0,2025-12-05,2025-12-05,UNKNOWN,1.5,3,,,,,UNKNOWN,2,0.06,,5,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.17,0.17,,,0.17,,28.333333,28.333333,0,2025-12-05,2025-12-05,UNKNOWN,1,6,,,,,UNKNOWN,6,0.17,,2,,1,1,
,,,,,,,,,,,,,,,3,,3,,,,3,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.043333,0.043333,,,0.043333,,16.25,16.25,0,2025-12-05,2025-12-05,UNKNOWN,1,8,,,,,UNKNOWN,8,0.13,,4,,3,2,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.085,0.085,,,0.085,,42.5,42.5,0,2025-12-05,2025-12-05,UNKNOWN,1,4,,,,,UNKNOWN,4,0.17,,5,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,17.777778,17.777778,0,2025-12-05,2025-12-05,UNKNOWN,1,9,,,,,UNKNOWN,9,0.16,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999336584,09_red lipstick_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,1,,,,
,,,,,,,,,,,,,,,4,,4,,,,4,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,16,16,0,2025-12-05,2025-12-05,UNKNOWN,1,10,,,,,UNKNOWN,10,0.16,1,7,1,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,6920999336984,03_blackbodysuit_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,1,,,,
3,415,3,1,149,58,58,415,3,3,,5,5,4,3,3908,7,3908,57,44,3,3702,3,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,167,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '93.9'}, {'action_type': 'subscribe_total', 'value': '93.9'}]",1.260403,"[{'action_type': 'outbound_click', 'value': '1.260403'}]",1.260403,3.237931,0.45253,62.6,0.048055,0.048055,3.294737,62.6,0.050729,1.124551,22.375789,24.475433,1.989753,2025-12-05,2025-12-05,ABOVE_AVERAGE,1.093836,8393,1.775289,149,"[{'action_type': 'outbound_click', 'value': '149'}]","[{'action_type': 'outbound_click', 'value': '1.775289'}]",BELOW_AVERAGE_35,7673,187.8,368,5,350,3363,2064,1304
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-05,2025-12-05,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,5,,,1,
,,,,,,,,,,,,,,,,,,,,,,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,UNKNOWN,1,2,,,,,UNKNOWN,2,0.06,,1,,,,
,39,,,6,3,3,39,,,,1,1,,,180,,180,1,,,173,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,7,UNKNOWN,,2.07,"[{'action_type': 'outbound_click', 'value': '2.07'}]",2.07,4.14,0.318462,,0.069,0.069,12.42,,0.071792,1.774286,27.058824,28.163265,1.525054,2025-12-05,2025-12-05,UNKNOWN,1.040816,459,1.30719,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.30719'}]",UNKNOWN,441,12.42,22,4,21,153,97,74
,1,,,,,,1,,,,,,,,,,,,,,,,6921774416784,02_Jesus_God's Plan,6921773421984,GodsPlan_Singing_251204,6920922044184,FB_iOS_Install_Rap_SingingTest_251203,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6921774934184,04_Lebron_God's Plan,6921773421984,GodsPlan_Singing_251204,6920922044184,FB_iOS_Install_Rap_SingingTest_251203,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,,,,1,,,,,,,,,,,24,,24,,,,23,,6922611488184,01_Cristiano_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,1.87,"[{'action_type': 'outbound_click', 'value': '1.87'}]",1.87,,,,0.077917,0.077917,,,0.081304,1.87,23.974359,24.605263,1.282051,2025-12-05,2025-12-05,UNKNOWN,1.026316,78,1.282051,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.282051'}]",UNKNOWN,76,1.87,2,3,2,19,8,5
,3,,,1,,,3,,,,,,,,39,,39,,,,38,,6922613374584,01_Cristiano_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,3.25,"[{'action_type': 'outbound_click', 'value': '3.25'}]",3.25,,1.083333,,0.083333,0.083333,,,0.085526,3.25,22.108844,23.049645,0.680272,2025-12-05,2025-12-05,UNKNOWN,1.042553,147,0.680272,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.680272'}]",UNKNOWN,141,3.25,2,3,2,30,11,4
,23,,,4,1,1,23,,,,1,1,,,92,,92,2,1,,86,,6922613549984,01_black4_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,6,UNKNOWN,,2.7525,"[{'action_type': 'outbound_click', 'value': '2.7525'}]",2.7525,11.01,0.478696,,0.119674,0.119674,5.505,,0.128023,1.835,38.096886,38.229167,2.076125,2025-12-05,2025-12-05,UNKNOWN,1.003472,289,1.384083,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.384083'}]",UNKNOWN,288,11.01,7,3,7,77,34,20
,30,,1,13,9,9,30,,,,1,1,,,627,1,627,4,1,,610,,6922613869184,01_Cristiano_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,16,AVERAGE,,3.146154,"[{'action_type': 'outbound_click', 'value': '3.146154'}]",3.146154,4.544444,1.363333,,0.065231,0.065231,10.225,,0.067049,2.55625,20.94214,21.743753,0.819252,2025-12-05,2025-12-05,BELOW_AVERAGE_35,1.038278,1953,0.665643,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '0.665643'}]",BELOW_AVERAGE_35,1881,40.9,63,3,61,501,230,147
,5,,,3,2,2,5,,,,,,,,287,,287,1,1,,283,,6922614475984,02_Eddie_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,4,ABOVE_AVERAGE,,8.426667,"[{'action_type': 'outbound_click', 'value': '8.426667'}]",8.426667,12.64,5.056,,0.088084,0.088084,25.28,,0.089329,6.32,27.478261,28.532731,0.434783,2025-12-05,2025-12-05,AVERAGE,1.038375,920,0.326087,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.326087'}]",BELOW_AVERAGE_35,886,25.28,18,3,16,224,76,34
,,,,1,,,,,,,,,,,30,,30,,,,29,,6922615092384,03_Gael_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,3.57,"[{'action_type': 'outbound_click', 'value': '3.57'}]",3.57,,,,0.119,0.119,,,0.123103,3.57,36.060606,36.060606,1.010101,2025-12-05,2025-12-05,UNKNOWN,1,99,1.010101,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.010101'}]",UNKNOWN,99,3.57,3,4,3,27,13,8
,,,,,,,,,,,,,1,,5,,5,1,1,,4,,6922616414384,04_Javier_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.114,0.114,0.57,,0.1425,,25.909091,27.142857,0,2025-12-05,2025-12-05,UNKNOWN,1.047619,22,,,,,UNKNOWN,21,0.57,,2,,4,1,
,,,,,,,,,,,,,,,22,,22,,,,22,,6922617151984,05_Jesus_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.072273,0.072273,,,0.072273,,20.384615,20.649351,0,2025-12-05,2025-12-05,UNKNOWN,1.012987,78,,,,,UNKNOWN,77,1.59,4,4,4,16,7,5
,2,,,2,,,2,,,,,,,,30,,30,1,1,,27,,6922617314184,06_LioneM_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,3,UNKNOWN,,2.15,"[{'action_type': 'outbound_click', 'value': '2.15'}]",2.15,,2.15,,0.143333,0.143333,4.3,,0.159259,1.433333,26.380368,27.21519,1.840491,2025-12-05,2025-12-05,UNKNOWN,1.031646,163,1.226994,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.226994'}]",UNKNOWN,158,4.3,3,2,2,25,9,5
,2,,,1,,,2,,,,,,,,55,,55,1,1,,53,,6922617563384,07_Morgan_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,3,UNKNOWN,,5.48,"[{'action_type': 'outbound_click', 'value': '5.48'}]",5.48,,2.74,,0.099636,0.099636,5.48,,0.103396,1.826667,28.691099,29.782609,1.570681,2025-12-05,2025-12-05,UNKNOWN,1.038043,191,0.52356,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.52356'}]",UNKNOWN,184,5.48,5,3,5,38,15,11
,,,,,,,,,,,,,,,68,,68,,,,68,,6922617753784,09_oscar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.075147,0.075147,,,0.075147,,28.707865,29.537572,0,2025-12-05,2025-12-05,UNKNOWN,1.028902,178,,,,,UNKNOWN,173,5.11,4,3,4,59,22,9
,,,,,,,,,,,,,,,5,,5,,,,5,,6922618733184,08_Neymar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.26,0.26,,,0.26,,44.827586,46.428571,0,2025-12-05,2025-12-05,UNKNOWN,1.035714,29,,,,,UNKNOWN,28,1.3,,2,,3,,
,,,,,,,,,,,,,,,57,,57,3,3,,54,,6922620119984,10_Pedro_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.063684,0.063684,1.21,,0.067222,,23.72549,24.362416,0,2025-12-05,2025-12-05,UNKNOWN,1.026846,153,,,,,UNKNOWN,149,3.63,4,3,4,47,18,7
,,,,,,,,,,,,,,,4,,4,,,,4,,6922620236784,11_Timmy_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.12,0.12,,,0.12,,24,24,0,2025-12-05,2025-12-05,UNKNOWN,1,20,,,,,UNKNOWN,20,0.48,,2,,4,2,1
,,,,,,,,,,,,,,,36,,36,,,,36,,6922620509184,12_Tyson_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.114722,0.114722,,,0.114722,,30.145985,30.820896,0,2025-12-05,2025-12-05,UNKNOWN,1.022388,137,,,,,UNKNOWN,134,4.13,3,4,3,28,8,4
,29,,,13,3,3,29,,,,,,,,405,,405,2,2,,390,,6922620631584,02_Eddie_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,12,ABOVE_AVERAGE,,1.969231,"[{'action_type': 'outbound_click', 'value': '1.969231'}]",1.969231,8.533333,0.882759,,0.06321,0.06321,12.8,,0.065641,2.133333,23.507805,24.082785,1.101928,2025-12-05,2025-12-05,AVERAGE,1.024459,1089,1.193756,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.193756'}]",BELOW_AVERAGE_35,1063,25.6,34,3,35,316,139,78
,1,,,,,,1,,,,,,,,11,,11,,,,11,,6922620662784,03_Gael_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,,,,,1.43,,0.13,0.13,,,0.13,1.43,15.714286,16.25,1.098901,2025-12-05,2025-12-05,UNKNOWN,1.034091,91,,,,,UNKNOWN,88,1.43,4,3,4,9,5,5
,2,,,1,,,2,,,,,,,,45,,45,,,,44,,6922620689584,04_Javier_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,4.22,"[{'action_type': 'outbound_click', 'value': '4.22'}]",4.22,,2.11,,0.093778,0.093778,,,0.095909,4.22,29.103448,29.929078,0.689655,2025-12-05,2025-12-05,UNKNOWN,1.028369,145,0.689655,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.689655'}]",UNKNOWN,141,4.22,4,3,4,38,15,10
,,,,,,,,,,,,,,,45,,45,,,,45,,6922620718984,05_Jesus_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.065333,0.065333,,,0.065333,,21.940299,21.940299,0,2025-12-05,2025-12-05,UNKNOWN,1,134,,,,,UNKNOWN,134,2.94,1,3,1,34,8,2
,,,,1,,,,,,,,,,,32,,32,,,,31,,6922621057784,07_Morgan_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,3.37,"[{'action_type': 'outbound_click', 'value': '3.37'}]",3.37,,,,0.105313,0.105313,,,0.10871,3.37,32.095238,32.718447,0.952381,2025-12-05,2025-12-05,UNKNOWN,1.019417,105,0.952381,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.952381'}]",UNKNOWN,103,3.37,4,3,4,28,6,5
,,,,,,,,,,,,,,,10,,10,,,,10,,6922621362584,06_LioneM_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.119,0.119,,,0.119,,15.063291,15.866667,0,2025-12-05,2025-12-05,UNKNOWN,1.053333,79,,,,,UNKNOWN,75,1.19,2,2,2,8,5,4
,,,,,,,,,,,,,,,3,,3,,,,3,,6922621725384,08_Neymar_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.16,0.16,,,0.16,,22.857143,22.857143,0,2025-12-05,2025-12-05,UNKNOWN,1,21,,,,,UNKNOWN,21,0.48,,2,,2,1,1
,,,,,,,,,,,,,,,10,,10,,,,10,,6922622059984,09_oscar_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.154,0.154,,,0.154,,36.666667,37.560976,0,2025-12-05,2025-12-05,UNKNOWN,1.02439,42,,,,,UNKNOWN,41,1.54,,2,,7,3,1
,,,,,,,,,,,,,,,24,,24,,,,24,,6922622253984,10_Pedro_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,,,,,,,0.05875,0.05875,,,0.05875,1.41,21.692308,21.692308,1.538462,2025-12-05,2025-12-05,UNKNOWN,1,65,,,,,UNKNOWN,65,1.41,1,3,1,20,5,4
,,,,1,,,,,,,,,,,39,,39,,,,38,,6922622745984,11_Timmy_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,4.06,"[{'action_type': 'outbound_click', 'value': '4.06'}]",4.06,,,,0.104103,0.104103,,,0.106842,4.06,33.278689,33.833333,0.819672,2025-12-05,2025-12-05,UNKNOWN,1.016667,122,0.819672,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.819672'}]",UNKNOWN,120,4.06,2,3,2,25,7,6
,4,,,4,,,4,,,,,,,,109,,109,1,1,,104,,6922623122784,12_Tyson_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,4,UNKNOWN,,1.59,"[{'action_type': 'outbound_click', 'value': '1.59'}]",1.59,,1.59,,0.058349,0.058349,6.36,,0.061154,1.59,21.270903,21.270903,1.337793,2025-12-05,2025-12-05,UNKNOWN,1,299,1.337793,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.337793'}]",UNKNOWN,299,6.36,9,3,9,81,26,15
,18,,,11,5,5,18,,,,,,,,209,,209,1,1,,197,,6922624055584,02_blackbodysuit_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,13,UNKNOWN,,1.896364,"[{'action_type': 'outbound_click', 'value': '2.086'}]",1.896364,4.172,1.158889,,0.099809,0.099809,20.86,,0.105888,1.604615,32.954186,35.296108,2.053712,2025-12-05,2025-12-05,UNKNOWN,1.071066,633,1.737757,11,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.579779'}]",UNKNOWN,591,20.86,21,4,21,165,81,43
,75,2,,11,7,7,75,,,,,,,,132,,132,2,2,,119,,6922624481184,03_blackNew_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,11,UNKNOWN,,0.931818,"[{'action_type': 'outbound_click', 'value': '0.931818'}]",0.931818,1.464286,0.136667,,0.077652,0.077652,5.125,,0.086134,0.931818,31.441718,31.832298,3.374233,2025-12-05,2025-12-05,UNKNOWN,1.012422,326,3.374233,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '3.374233'}]",UNKNOWN,322,10.25,15,6,15,105,55,29
,,,,1,,,,,,,,,,,50,,50,1,1,,48,,6922624897584,04_fbg Selfie_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,4.32,"[{'action_type': 'outbound_click', 'value': '4.32'}]",4.32,,,,0.0864,0.0864,4.32,,0.09,4.32,30.638298,32.238806,0.70922,2025-12-05,2025-12-05,UNKNOWN,1.052239,141,0.70922,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.70922'}]",UNKNOWN,134,4.32,2,3,2,41,22,11
,,,,1,,,,,,,,,,,16,,16,,,,15,,6922648508584,05_greendress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,2.26,"[{'action_type': 'outbound_click', 'value': '2.26'}]",2.26,,,,0.14125,0.14125,,,0.150667,2.26,39.649123,42.641509,1.754386,2025-12-05,2025-12-05,UNKNOWN,1.075472,57,1.754386,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.754386'}]",UNKNOWN,53,2.26,2,4,2,14,6,4
,2,,,,,,2,,,1,,,,,57,,57,,,,57,,6922648658784,06_greenhair_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,,,,,2.19,,0.076842,0.076842,,,0.076842,4.38,25.465116,26.227545,0.581395,2025-12-05,2025-12-05,UNKNOWN,1.02994,172,,,,,UNKNOWN,167,4.38,10,4,10,51,21,14
,1,,,2,,,1,,,,,,,,17,,17,,,,15,,6922648747384,07_nosering_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,2,UNKNOWN,,0.96,"[{'action_type': 'outbound_click', 'value': '0.96'}]",0.96,,1.92,,0.112941,0.112941,,,0.128,0.96,28.235294,28.656716,2.941176,2025-12-05,2025-12-05,UNKNOWN,1.014925,68,2.941176,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.941176'}]",UNKNOWN,67,1.92,4,3,4,10,6,6
,,,,2,1,1,,,,,,,,,10,,10,,,,8,,6922648806784,09_red lipstick_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,2,UNKNOWN,,0.555,"[{'action_type': 'outbound_click', 'value': '0.555'}]",0.555,1.11,,,0.111,0.111,,,0.13875,0.555,48.26087,48.26087,8.695652,2025-12-05,2025-12-05,UNKNOWN,1,23,8.695652,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '8.695652'}]",UNKNOWN,23,1.11,1,5,1,8,3,2
,,,,3,,,,,,,,,,,23,,23,,,,20,,6922648896584,08_reddress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,3,UNKNOWN,,0.836667,"[{'action_type': 'outbound_click', 'value': '0.836667'}]",0.836667,,,,0.10913,0.10913,,,0.1255,0.836667,38.030303,39.84127,4.545455,2025-12-05,2025-12-05,UNKNOWN,1.047619,66,4.545455,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '4.545455'}]",UNKNOWN,63,2.51,4,3,4,19,8,5
,,,,,,,,,,,,,,,1,,1,,,,1,,6922649227984,10_redPants_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.1,0.1,,,0.1,,11.111111,11.111111,0,2025-12-05,2025-12-05,UNKNOWN,1,9,,,,,UNKNOWN,9,0.1,1,6,1,1,1,1
,2,,,4,,,2,,,,1,1,,,78,,78,3,2,,71,,6922651586784,11_YellowDress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,5,UNKNOWN,,1.9675,"[{'action_type': 'outbound_click', 'value': '1.9675'}]",1.9675,,3.935,,0.100897,0.100897,2.623333,,0.110845,1.574,38.768473,40.777202,2.463054,2025-12-05,2025-12-05,UNKNOWN,1.051813,203,1.970443,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.970443'}]",UNKNOWN,193,7.87,7,4,7,64,31,18
,,,,,,,,,,,,,,,18,,18,,,,18,,6922651863184,02_Eddie_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.050556,0.050556,,,0.050556,,20.681818,20.681818,0,2025-12-05,2025-12-05,UNKNOWN,1,44,,,,,UNKNOWN,44,0.91,2,4,2,18,7,5
,,,,2,,,,,,,,,,,67,,67,1,1,,64,,6922652352184,06_michael_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,2,UNKNOWN,,1.595,"[{'action_type': 'outbound_click', 'value': '1.595'}]",1.595,,,,0.047612,0.047612,3.19,,0.049844,1.595,21.266667,22,1.333333,2025-12-05,2025-12-05,UNKNOWN,1.034483,150,1.333333,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.333333'}]",UNKNOWN,145,3.19,10,6,9,50,27,15
,8,,,3,1,1,8,,,,,,,,143,,143,,,,140,,6922652927584,04_Jesus_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,4,UNKNOWN,,3.263333,"[{'action_type': 'outbound_click', 'value': '3.263333'}]",3.263333,9.79,1.22375,,0.068462,0.068462,,,0.069929,2.4475,25.167095,25.899471,1.028278,2025-12-05,2025-12-05,UNKNOWN,1.029101,389,0.771208,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.771208'}]",UNKNOWN,378,9.79,14,6,14,113,47,25
,,,,1,,,,,,,,,,,12,,12,1,1,,10,,6922653410384,05_lionel_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,0.7,"[{'action_type': 'outbound_click', 'value': '0.7'}]",0.7,,,,0.058333,0.058333,0.7,,0.07,0.7,16.27907,16.666667,2.325581,2025-12-05,2025-12-05,UNKNOWN,1.02381,43,2.325581,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.325581'}]",UNKNOWN,42,0.7,3,3,3,10,5,4
,,,,,,,,,,,,,,,11,,11,,,,11,,6922654558384,07_morgan_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.087273,0.087273,,,0.087273,,35.555556,35.555556,0,2025-12-05,2025-12-05,UNKNOWN,1,27,,,,,UNKNOWN,27,0.96,2,83,2,11,6,5
