action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,1,,,,,,,,,26,,26,1,1,,24,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,1,,0.96,"[{'action_type': 'outbound_click', 'value': '0.96'}]",0.96,,,,0.036923,0.036923,0.96,,0.04,0.96,14.545455,14.545455,1.515152,2025-11-26,2025-11-26,1,66,1.515152,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.515152'}]",66,0.96,3,4,3,24,14,9
,2,,,1,,,2,,,,,,58,,58,,,,57,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,1,,1.73,"[{'action_type': 'outbound_click', 'value': '1.73'}]",1.73,,0.865,,0.029828,0.029828,,,0.030351,1.73,10.176471,10.421687,0.588235,2025-11-26,2025-11-26,1.024096,170,0.588235,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.588235'}]",166,1.73,9,3,8,54,28,23
,2,,,7,,,2,,,,,,295,,295,2,2,,286,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,7,,1.035714,"[{'action_type': 'outbound_click', 'value': '1.035714'}]",1.035714,,3.625,,0.024576,0.024576,3.625,,0.02535,1.035714,8.841463,9.085213,0.853659,2025-11-26,2025-11-26,1.027569,820,0.853659,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '0.853659'}]",798,7.25,22,3,22,273,119,64
,162,2,,29,17,17,162,,,,,,870,2,870,12,10,,829,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,29,,0.706552,"[{'action_type': 'outbound_click', 'value': '0.706552'}]",0.706552,1.205294,0.126481,,0.023552,0.023552,1.7075,,0.024717,0.706552,10.358948,10.76721,1.466127,2025-11-26,2025-11-26,1.039411,1978,1.466127,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '1.466127'}]",1903,20.49,81,4,77,799,366,215
,87,,,20,7,7,87,,,,,,379,2,379,7,5,,352,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,18,,0.4645,"[{'action_type': 'outbound_click', 'value': '0.4645'}]",0.4645,1.327143,0.106782,,0.024512,0.024512,1.327143,,0.026392,0.516111,12.033679,12.956764,2.331606,2025-11-26,2025-11-26,1.076709,772,2.590674,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '2.590674'}]",717,9.29,63,6,57,335,187,106
,3,,,5,1,1,3,,,,,,42,,42,,,,37,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,5,,0.208,"[{'action_type': 'outbound_click', 'value': '0.208'}]",0.208,1.04,0.346667,,0.024762,0.024762,,,0.028108,0.208,11.818182,12.235294,5.681818,2025-11-26,2025-11-26,1.035294,88,5.681818,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '5.681818'}]",85,1.04,5,3,4,37,15,9
,1,,,,1,1,1,,,,,,26,,26,,,,26,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,1.190291,1.190291,,0.04578,0.04578,,,0.04578,,13.681502,13.840589,0,2025-11-26,2025-11-26,1.011628,87,,,,,86,1.190291,,2,,24,8,4
,50,,,5,3,3,50,,,,,,161,,161,,,,156,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,5,,0.652159,"[{'action_type': 'outbound_click', 'value': '0.652159'}]",0.652159,1.086932,0.065216,,0.020253,0.020253,,,0.020903,0.652159,8.404114,8.603684,1.28866,2025-11-26,2025-11-26,1.023747,388,1.28866,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.28866'}]",379,3.260796,9,4,8,149,68,31
,117,,,28,9,9,117,,,,,,1189,,1189,4,4,,1157,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,29,,0.8202,"[{'action_type': 'outbound_click', 'value': '0.8202'}]",0.8202,2.551734,0.196287,,0.019315,0.019315,5.741402,,0.019849,0.791918,8.207866,8.672813,1.036455,2025-11-26,2025-11-26,1.056647,2798,1.000715,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.000715'}]",2648,22.965608,82,3,72,1101,446,244
2,620,,1,105,48,48,620,2,2,,,2,4215,1,4215,19,17,2,4091,2,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,108,"[{'action_type': 'subscribe_mobile_app', 'value': '19.014643'}, {'action_type': 'subscribe_total', 'value': '19.014643'}, {'action_type': 'start_trial_mobile_app', 'value': '10.86551'}, {'action_type': 'start_trial_total', 'value': '10.86551'}]",0.724367,"[{'action_type': 'outbound_click', 'value': '0.724367'}]",0.724367,1.584554,0.122675,38.029286,0.018045,0.018045,4.003083,38.029286,0.018592,0.704246,8.996756,9.621578,1.277502,2025-11-26,2025-11-26,1.06945,8454,1.242016,105,"[{'action_type': 'outbound_click', 'value': '105'}]","[{'action_type': 'outbound_click', 'value': '1.242016'}]",7905,76.058572,334,4,309,3919,1816,958
