action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,1,,,1,,,,,,,,,37,,37,,,,36,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.74,"[{'action_type': 'outbound_click', 'value': '2.74'}]",2.74,,2.74,,,0.074054,0.074054,,,0.076111,2.74,18.026316,18.513514,0.657895,2025-12-13,2025-12-13,1.027027,152,0.657895,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.657895'}]",148,2.74,7,3,7,36,15,12
,13,,,2,2,2,13,,,,1,,,,,305,,305,1,1,,302,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,,12.08,"[{'action_type': 'outbound_click', 'value': '12.08'}]",12.08,12.08,1.858462,,,0.079213,0.079213,24.16,,0.08,4.832,27.330317,27.330317,0.565611,2025-12-13,2025-12-13,1,884,0.226244,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.226244'}]",884,24.16,23,3,22,275,103,58
2,217,,,12,8,8,217,2,2,,1,,,,2,750,,750,1,1,2,737,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,"[{'action_type': 'subscribe_mobile_app', 'value': '7.172857'}, {'action_type': 'subscribe_total', 'value': '7.172857'}, {'action_type': 'start_trial_mobile_app', 'value': '8.368333'}, {'action_type': 'start_trial_total', 'value': '8.368333'}]",4.184167,"[{'action_type': 'outbound_click', 'value': '4.184167'}]",4.184167,6.27625,0.231382,25.105,,0.066947,0.066947,50.21,25.105,0.068128,4.184167,30.065868,31.089783,0.718563,2025-12-13,2025-12-13,1.034056,1670,0.718563,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '0.718563'}]",1615,50.21,59,4,58,680,282,154
,6,,,2,1,1,6,,,,,,,,,238,,238,,,,236,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,8.605,"[{'action_type': 'outbound_click', 'value': '8.605'}]",8.605,17.21,2.868333,,,0.072311,0.072311,,,0.072924,5.736667,32.108209,34.42,0.559701,2025-12-13,2025-12-13,1.072,536,0.373134,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.373134'}]",500,17.21,20,4,19,219,97,49
,5,,,1,,,5,,,,,,,,,28,,28,,,,27,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.3,"[{'action_type': 'outbound_click', 'value': '1.3'}]",1.3,,0.26,,,0.046429,0.046429,,,0.048148,1.3,20.967742,21.666667,1.612903,2025-12-13,2025-12-13,1.033333,62,1.612903,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.612903'}]",60,1.3,2,4,2,26,11,5
,,,,,,,,,,,,,,,,19,,19,,,,19,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.053158,0.053158,,,0.053158,,20.2,21.489362,0,2025-12-13,2025-12-13,1.06383,50,,,,,47,1.01,,3,,17,8,2
,18,,,7,,,18,,,,1,,,,,191,,191,1,1,,183,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,,1.622857,"[{'action_type': 'outbound_click', 'value': '1.622857'}]",1.622857,,0.631111,,,0.059476,0.059476,11.36,,0.062077,1.622857,19.418803,20,1.196581,2025-12-13,2025-12-13,1.02993,585,1.196581,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.196581'}]",568,11.36,14,3,13,172,80,42
,243,1,,25,20,20,243,,,,2,1,1,,,693,,693,3,2,,665,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,24,"[{'action_type': 'subscribe_mobile_app', 'value': '6.138571'}, {'action_type': 'subscribe_total', 'value': '6.138571'}, {'action_type': 'start_trial_mobile_app', 'value': '4.297'}, {'action_type': 'start_trial_total', 'value': '4.297'}]",1.7188,"[{'action_type': 'outbound_click', 'value': '1.7188'}]",1.7188,2.1485,0.176831,,,0.062006,0.062006,14.323333,,0.064617,1.790417,23.315247,24.113356,1.302225,2025-12-13,2025-12-13,1.034231,1843,1.356484,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.356484'}]",1782,42.97,85,3,81,640,329,191
,176,2,,20,12,12,176,,,,5,,,,,599,,599,5,5,,574,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,20,"[{'action_type': 'subscribe_mobile_app', 'value': '8.81'}, {'action_type': 'subscribe_total', 'value': '8.81'}, {'action_type': 'start_trial_mobile_app', 'value': '8.81'}, {'action_type': 'start_trial_total', 'value': '8.81'}]",1.762,"[{'action_type': 'outbound_click', 'value': '1.762'}]",1.762,2.936667,0.200227,,,0.058831,0.058831,7.048,,0.061394,1.762,26.576169,27.92393,1.508296,2025-12-13,2025-12-13,1.050713,1326,1.508296,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.508296'}]",1262,35.24,68,4,64,545,271,160
,4,,,3,1,1,4,,,,,,,,,83,,83,,,,80,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,1.916667,"[{'action_type': 'outbound_click', 'value': '1.916667'}]",1.916667,5.75,1.4375,,,0.069277,0.069277,,,0.071875,1.916667,29.639175,30.748663,1.546392,2025-12-13,2025-12-13,1.037433,194,1.546392,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.546392'}]",187,5.75,14,4,12,78,34,25
,,,,,,,,,,,,,,,,10,,10,,,,10,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.039,0.039,,,0.039,,21.666667,22.941176,0,2025-12-13,2025-12-13,1.058824,18,,,,,17,0.39,1,5,1,9,3,1
,2,,,,,,2,,,,,,,,,18,,18,,,,18,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.525,,,0.058333,0.058333,,,0.058333,,16.666667,17.213115,0,2025-12-13,2025-12-13,1.032787,63,,,,,61,1.05,3,3,3,17,7,3
,8,,,2,1,1,8,,,,,,,,,85,,85,,,,83,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,3.345,"[{'action_type': 'outbound_click', 'value': '3.345'}]",3.345,6.69,0.83625,,,0.078706,0.078706,,,0.080602,3.345,21.442308,22.225914,0.641026,2025-12-13,2025-12-13,1.036545,312,0.641026,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.641026'}]",301,6.69,8,3,7,82,40,22
,23,,,3,2,2,23,,,,2,,,,,190,,190,2,2,,185,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,4.173333,"[{'action_type': 'outbound_click', 'value': '4.173333'}]",4.173333,6.26,0.544348,,,0.065895,0.065895,6.26,,0.067676,4.173333,22.397138,23.099631,0.536673,2025-12-13,2025-12-13,1.031365,559,0.536673,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.536673'}]",542,12.52,27,4,24,178,102,60
,50,,,9,7,7,50,,,,2,,,,,172,,172,2,2,,161,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '11.64'}, {'action_type': 'subscribe_total', 'value': '11.64'}, {'action_type': 'start_trial_mobile_app', 'value': '3.88'}, {'action_type': 'start_trial_total', 'value': '3.88'}]",1.293333,"[{'action_type': 'outbound_click', 'value': '1.293333'}]",1.293333,1.662857,0.2328,,,0.067674,0.067674,5.82,,0.072298,1.293333,26.040268,27.323944,2.013423,2025-12-13,2025-12-13,1.049296,447,2.013423,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '2.013423'}]",426,11.64,31,4,31,156,75,53
,1,,,1,,,1,,,,,,,,,35,,35,,,,34,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,2.9,"[{'action_type': 'outbound_click', 'value': '2.9'}]",2.9,,2.9,,,0.082857,0.082857,,,0.085294,2.9,33.72093,34.939759,1.162791,2025-12-13,2025-12-13,1.036145,86,1.162791,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.162791'}]",83,2.9,7,4,7,34,23,12
,,,,,,,,,,,,,,,,4,,4,,,,4,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.04,0.04,,,0.04,,13.333333,14.545455,0,2025-12-13,2025-12-13,1.090909,12,,,,,11,0.16,,3,,4,3,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-13,2025-12-13,1,2,,,,,2,0.02,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,2,,,,,2,0.02,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.07,0.07,,,0.07,,23.333333,23.333333,0,2025-12-13,2025-12-13,1,3,,,,,3,0.07,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-13,2025-12-13,1,3,,,,,3,0.03,,3,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,2,,,,,2,0.02,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,7,,1,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,1,2,,,,,2,0.03,,6,,1,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.12,0.12,,,0.12,,30,30,0,2025-12-13,2025-12-13,1,4,,,,,4,0.12,,2,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,1,2,,,,,2,0.03,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,,,,,
