action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,3,,3,,,,3,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.183333,0.183333,,,0.183333,,30.555556,34.375,0,2025-12-13,2025-12-13,1.125,18,,,,,16,0.55,,3,,3,2,1
,1,,,1,,,1,,,,,,,,,40,,40,,,,39,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,3.57,"[{'action_type': 'outbound_click', 'value': '3.57'}]",3.57,,3.57,,,0.08925,0.08925,,,0.091538,3.57,22.594937,23.181818,0.632911,2025-12-13,2025-12-13,1.025974,158,0.632911,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.632911'}]",154,3.57,3,3,3,33,16,10
1,170,,,20,9,9,170,1,1,,0,1,1,1,1,424,,424,2,1,1,402,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,24,"[{'action_type': 'subscribe_mobile_app', 'value': '7.378'}, {'action_type': 'subscribe_total', 'value': '7.378'}, {'action_type': 'start_trial_mobile_app', 'value': '9.2225'}, {'action_type': 'start_trial_total', 'value': '9.2225'}]",1.8445,"[{'action_type': 'outbound_click', 'value': '1.8445'}]",1.8445,4.098889,0.217,36.89,,0.087005,0.087005,18.445,36.89,0.091766,1.537083,29.25456,31.026072,1.903251,2025-12-13,2025-12-13,1.060555,1261,1.586043,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.586043'}]",1189,36.89,41,4,41,367,180,121
,120,,,23,12,12,120,,,,6,1,1,1,,509,,509,8,7,,478,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,24,"[{'action_type': 'subscribe_mobile_app', 'value': '21.265'}, {'action_type': 'subscribe_total', 'value': '21.265'}, {'action_type': 'start_trial_mobile_app', 'value': '14.176667'}, {'action_type': 'start_trial_total', 'value': '14.176667'}]",1.84913,"[{'action_type': 'outbound_click', 'value': '1.84913'}]",1.84913,3.544167,0.354417,,,0.083556,0.083556,5.31625,,0.088975,1.772083,33.409269,34.718367,1.88531,2025-12-13,2025-12-13,1.039184,1273,1.806756,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '1.806756'}]",1225,42.53,48,4,48,429,208,139
,46,,,8,2,2,46,,,,6,,,,,109,,109,6,6,,95,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,"[{'action_type': 'subscribe_mobile_app', 'value': '8.75'}, {'action_type': 'subscribe_total', 'value': '8.75'}, {'action_type': 'start_trial_mobile_app', 'value': '8.75'}, {'action_type': 'start_trial_total', 'value': '8.75'}]",1.09375,"[{'action_type': 'outbound_click', 'value': '1.09375'}]",1.09375,4.375,0.190217,,,0.080275,0.080275,1.458333,,0.092105,1.09375,39.0625,40.509259,3.571429,2025-12-13,2025-12-13,1.037037,224,3.571429,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '3.571429'}]",216,8.75,19,5,17,93,60,38
,1,,,1,,,1,,,,,,,,,15,,15,,,,14,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.95,"[{'action_type': 'outbound_click', 'value': '0.95'}]",0.95,,0.95,,,0.063333,0.063333,,,0.067857,0.95,23.170732,23.75,2.439024,2025-12-13,2025-12-13,1.025,41,2.439024,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.439024'}]",40,0.95,2,8,2,14,10,5
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.1,0.1,,,0.1,,14.285714,14.285714,0,2025-12-13,2025-12-13,1,7,,,,,7,0.1,,2,,1,1,1
,,,,,,,,,,,,,,,,7,,7,,,,7,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.074286,0.074286,,,0.074286,,23.636364,23.636364,0,2025-12-13,2025-12-13,1,22,,,,,22,0.52,1,3,1,5,1,1
,,,,,,,,,,,,,,,,9,,9,,,,9,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,,,,,,,,0.044444,0.044444,,,0.044444,0.4,19.047619,19.047619,4.761905,2025-12-13,2025-12-13,1,21,,,,,21,0.4,1,4,1,8,2,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-13,2025-12-13,1,2,,,,,2,0.04,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,1,0,,4,,1,,
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.07,"[{'action_type': 'outbound_click', 'value': '0.07'}]",0.07,,,,,0.035,0.035,,,0.07,0.07,35,35,50,2025-12-13,2025-12-13,1,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",2,0.07,,4,,1,1,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.065,0.065,,,0.065,,18.571429,18.571429,0,2025-12-13,2025-12-13,1,7,,,,,7,0.13,,1,,1,,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.08,0.08,,,0.08,,40,40,0,2025-12-13,2025-12-13,1,8,,,,,8,0.32,,4,,3,1,1
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.04,0.04,,,0.04,,16,16,0,2025-12-13,2025-12-13,1,5,,,,,5,0.08,,4,,2,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,30,30,0,2025-12-13,2025-12-13,1,1,,,,,1,0.03,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,1,0,,11,,1,1,1
,1,,,,,,1,,,,,,,,,,,,,,,,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,,,,,,,,,,,2025-12-13,2025-12-13,0,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,40,40,0,2025-12-13,2025-12-13,1,3,,,,,3,0.12,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,2,,,,,2,0.04,,0,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.1,0.1,,,0.1,,12.5,12.5,0,2025-12-13,2025-12-13,1,8,,,,,8,0.1,,1,,1,,
,,,,,,,,,,,,,,,,7,,7,,,,7,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.035714,0.035714,,,0.035714,,20.833333,20.833333,0,2025-12-13,2025-12-13,1,12,,,,,12,0.25,,5,,6,5,2
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.015,0.015,,,0.015,,10,10,0,2025-12-13,2025-12-13,1,3,,,,,3,0.03,1,12,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,70,70,0,2025-12-13,2025-12-13,1,1,,,,,1,0.07,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.08,0.08,,,0.08,,13.333333,13.333333,0,2025-12-13,2025-12-13,1,6,,,,,6,0.08,,1,,,,
,,,,,,,,,,,,,,,,5,,5,,,,5,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.05,0.05,,,0.05,,27.777778,27.777778,0,2025-12-13,2025-12-13,1,9,,,,,9,0.25,,3,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,25,25,0,2025-12-13,2025-12-13,1,2,,,,,2,0.05,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,1,,,,
,2,,,1,,,2,,,,,,,,,2,,2,,,,1,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.01,"[{'action_type': 'outbound_click', 'value': '0.01'}]",0.01,,0.005,,,0.005,0.005,,,0.01,0.01,10,10,100,2025-12-13,2025-12-13,1,1,100,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '100'}]",1,0.01,,10,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,2,,,,
,4,,,2,1,1,4,,,,,,,,,67,,67,,,,65,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,,1.455,"[{'action_type': 'outbound_click', 'value': '1.455'}]",1.455,2.91,0.7275,,,0.043433,0.043433,,,0.044769,0.582,12.435897,12.707424,2.136752,2025-12-13,2025-12-13,1.021834,234,0.854701,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.854701'}]",229,2.91,10,3,10,61,34,20
,29,,1,21,5,5,29,,,,3,1,1,,,736,1,736,6,3,,709,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,23,"[{'action_type': 'subscribe_mobile_app', 'value': '27.62'}, {'action_type': 'subscribe_total', 'value': '27.62'}, {'action_type': 'start_trial_mobile_app', 'value': '27.62'}, {'action_type': 'start_trial_total', 'value': '27.62'}]",1.315238,"[{'action_type': 'outbound_click', 'value': '1.315238'}]",1.315238,5.524,0.952414,,,0.037527,0.037527,4.603333,,0.038956,1.20087,11.993053,12.178131,0.998697,2025-12-13,2025-12-13,1.015432,2303,0.911854,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '0.911854'}]",2268,27.62,64,3,62,625,324,198
,206,2,,62,14,14,206,,,1,7,,,,,1615,,1615,7,7,,1546,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,66,"[{'action_type': 'subscribe_mobile_app', 'value': '9.365'}, {'action_type': 'subscribe_total', 'value': '9.365'}, {'action_type': 'start_trial_mobile_app', 'value': '9.365'}, {'action_type': 'start_trial_total', 'value': '9.365'}]",0.90629,"[{'action_type': 'outbound_click', 'value': '0.90629'}]",0.90629,4.013571,0.272767,,56.19,0.034793,0.034793,8.027143,,0.036345,0.851364,12.629804,12.692568,1.483479,2025-12-13,2025-12-13,1.00497,4449,1.393572,62,"[{'action_type': 'outbound_click', 'value': '62'}]","[{'action_type': 'outbound_click', 'value': '1.393572'}]",4427,56.19,123,4,119,1361,711,412
,231,2,,43,15,15,231,,,,5,,,,,1027,1,1027,6,5,,978,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,42,"[{'action_type': 'subscribe_mobile_app', 'value': '6.375'}, {'action_type': 'subscribe_total', 'value': '6.375'}, {'action_type': 'start_trial_mobile_app', 'value': '5.464286'}, {'action_type': 'start_trial_total', 'value': '5.464286'}]",0.889535,"[{'action_type': 'outbound_click', 'value': '0.889535'}]",0.889535,2.55,0.165584,,,0.037244,0.037244,6.375,,0.03911,0.910714,17.075893,17.465753,1.875,2025-12-13,2025-12-13,1.022831,2240,1.919643,43,"[{'action_type': 'outbound_click', 'value': '43'}]","[{'action_type': 'outbound_click', 'value': '1.919643'}]",2190,38.25,94,5,91,883,476,289
,8,,,9,1,1,8,,,,2,,,,,153,,153,2,2,,142,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,9,,0.717778,"[{'action_type': 'outbound_click', 'value': '0.717778'}]",0.717778,6.46,0.8075,,,0.042222,0.042222,3.23,,0.045493,0.717778,20.83871,21.320132,2.903226,2025-12-13,2025-12-13,1.023102,310,2.903226,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '2.903226'}]",303,6.46,18,5,17,129,73,50
,,,,2,,,,,,,1,,,,,34,,34,1,1,,31,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,0.575,"[{'action_type': 'outbound_click', 'value': '0.575'}]",0.575,,,,,0.033824,0.033824,1.15,,0.037097,0.575,13.690476,13.690476,2.380952,2025-12-13,2025-12-13,1,84,2.380952,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.380952'}]",84,1.15,3,4,3,26,10,6
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,1,0,,3,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-13,2025-12-13,1,2,,,,,2,0.02,,3,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-13,2025-12-13,1,2,,,,,2,0.04,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.08,0.08,,,0.08,,29.090909,32,0,2025-12-13,2025-12-13,1.1,11,,,,,10,0.32,,3,,4,1,1
,,,,,,,,,,,,,,,,9,,9,,,,9,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.046667,0.046667,,,0.046667,,21,23.333333,0,2025-12-13,2025-12-13,1.111111,20,,,,,18,0.42,1,5,1,8,3,3
,,,,,,,,,,,,,,,,4,,4,,,,4,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.0575,0.0575,,,0.0575,,23,23,0,2025-12-13,2025-12-13,1,10,,,,,10,0.23,1,5,1,3,2,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480384,05 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,13-17,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,1,0,,6,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.07,0.07,,,0.07,,14,14,0,2025-12-13,2025-12-13,1,5,,,,,5,0.07,,3,,1,1,1
,,,,1,1,1,,,,,1,,,,,15,,15,1,1,,13,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.59,"[{'action_type': 'outbound_click', 'value': '0.59'}]",0.59,0.59,,,,0.039333,0.039333,0.59,,0.045385,0.59,13.409091,13.72093,2.272727,2025-12-13,2025-12-13,1.023256,44,2.272727,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.272727'}]",43,0.59,4,4,3,13,5,4
,,,,1,,,,,,,,,,,,11,,11,,,,10,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.79,"[{'action_type': 'outbound_click', 'value': '0.79'}]",0.79,,,,,0.071818,0.071818,,,0.079,0.79,15.192308,16.122449,1.923077,2025-12-13,2025-12-13,1.061224,52,1.923077,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.923077'}]",49,0.79,1,3,1,10,5,3
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.086667,0.086667,,,0.086667,,21.666667,21.666667,0,2025-12-13,2025-12-13,1,12,,,,,12,0.26,,3,,2,1,
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.06,"[{'action_type': 'outbound_click', 'value': '0.06'}]",0.06,,,,,0.03,0.03,,,0.06,0.06,20,20,33.333333,2025-12-13,2025-12-13,1,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",3,0.06,1,5,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,13-17,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,3.333333,3.333333,0,2025-12-13,2025-12-13,1,3,,,,,3,0.01,,1,,,,
,,,,1,,,,,,,1,,,,,17,,17,1,1,,15,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.12,"[{'action_type': 'outbound_click', 'value': '1.12'}]",1.12,,,,,0.065882,0.065882,1.12,,0.074667,1.12,14.358974,14.933333,1.282051,2025-12-13,2025-12-13,1.04,78,1.282051,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.282051'}]",75,1.12,,2,,14,8,5
,78,,,25,5,5,78,,,,5,,,,,360,1,360,6,5,,329,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,25,"[{'action_type': 'subscribe_mobile_app', 'value': '9.005'}, {'action_type': 'subscribe_total', 'value': '9.005'}, {'action_type': 'start_trial_mobile_app', 'value': '6.003333'}, {'action_type': 'start_trial_total', 'value': '6.003333'}]",0.7204,"[{'action_type': 'outbound_click', 'value': '0.7204'}]",0.7204,3.602,0.230897,,,0.050028,0.050028,3.001667,,0.054742,0.7204,13.31116,13.737605,1.847746,2025-12-13,2025-12-13,1.032037,1353,1.847746,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.847746'}]",1311,18.01,32,3,29,292,133,63
