action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,12,,12,,,,12,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.031667,0.031667,,,0.031667,,11.875,12.258065,0,2025-11-27,2025-11-27,1.032258,32,,,,,31,0.38,,3,,12,4,2
,,,,,,,,,,,,,42,,42,,,,42,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.026905,0.026905,,,0.026905,,9.495798,9.65812,0,2025-11-27,2025-11-27,1.017094,119,,,,,117,1.13,3,3,3,42,19,8
,42,,,8,4,4,42,,,,,,245,1,245,3,2,,234,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,8,"[{'action_type': 'subscribe_mobile_app', 'value': '5.86'}, {'action_type': 'subscribe_total', 'value': '5.86'}, {'action_type': 'start_trial_mobile_app', 'value': '5.86'}, {'action_type': 'start_trial_total', 'value': '5.86'}]",0.7325,"[{'action_type': 'outbound_click', 'value': '0.7325'}]",0.7325,1.465,0.139524,,0.023918,0.023918,1.953333,,0.025043,0.7325,8.567251,8.878788,1.169591,2025-11-27,2025-11-27,1.036364,684,1.169591,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.169591'}]",660,5.86,26,3,24,225,97,57
,97,1,,37,14,14,97,,,2,2,,704,,704,13,11,,654,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,34,,0.407027,"[{'action_type': 'outbound_click', 'value': '0.407027'}]",0.407027,1.075714,0.155258,,0.021392,0.021392,1.158462,,0.023028,0.442941,10.06012,10.400552,2.271209,2025-11-27,2025-11-27,1.03384,1497,2.47161,37,"[{'action_type': 'outbound_click', 'value': '37'}]","[{'action_type': 'outbound_click', 'value': '2.47161'}]",1448,15.06,78,4,72,626,300,181
,29,1,,13,4,4,29,,,,,,304,,304,1,1,,290,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,13,,0.547692,"[{'action_type': 'outbound_click', 'value': '0.547692'}]",0.547692,1.78,0.245517,,0.023421,0.023421,7.12,,0.024552,0.547692,11.672131,11.946309,2.131148,2025-11-27,2025-11-27,1.02349,610,2.131148,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '2.131148'}]",596,7.12,33,4,30,280,153,84
,,,,1,,,,,,,,,42,,42,,,,41,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,1,,1.18,"[{'action_type': 'outbound_click', 'value': '1.18'}]",1.18,,,,0.028095,0.028095,,,0.02878,1.18,13.111111,13.882353,1.111111,2025-11-27,2025-11-27,1.058824,90,1.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.111111'}]",85,1.18,8,5,8,40,23,11
,,,,,,,,,,,,,9,,9,,,,9,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.035556,0.035556,,,0.035556,,12.8,13.333333,0,2025-11-27,2025-11-27,1.041667,25,,,,,24,0.32,1,4,1,9,5,4
,5,1,,4,,,5,,,,,,112,,112,1,1,,107,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,4,,0.5475,"[{'action_type': 'outbound_click', 'value': '0.5475'}]",0.5475,,0.438,,0.019554,0.019554,2.19,,0.020467,0.5475,8.938776,9.563319,1.632653,2025-11-27,2025-11-27,1.069869,245,1.632653,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.632653'}]",229,2.19,15,4,15,99,48,28
,144,1,1,21,11,11,144,,,,,,945,,945,6,5,,918,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,21,,0.757143,"[{'action_type': 'outbound_click', 'value': '0.757143'}]",0.757143,1.445455,0.110417,,0.016825,0.016825,2.65,,0.01732,0.757143,7.614943,7.737226,1.005747,2025-11-27,2025-11-27,1.016058,2088,1.005747,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '1.005747'}]",2055,15.9,60,4,54,868,383,199
,478,2,,111,47,47,478,,,1,1,,4357,2,4357,10,7,,4236,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,108,"[{'action_type': 'subscribe_mobile_app', 'value': '24.096667'}, {'action_type': 'subscribe_total', 'value': '24.096667'}, {'action_type': 'start_trial_mobile_app', 'value': '24.096667'}, {'action_type': 'start_trial_total', 'value': '24.096667'}]",0.651261,"[{'action_type': 'outbound_click', 'value': '0.651261'}]",0.651261,1.538085,0.151234,,0.016592,0.016592,7.229,,0.017066,0.669352,8.327382,8.918085,1.244096,2025-11-27,2025-11-27,1.070935,8681,1.278655,111,"[{'action_type': 'outbound_click', 'value': '111'}]","[{'action_type': 'outbound_click', 'value': '1.278655'}]",8106,72.29,350,4,316,4025,1796,939
