action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
14,895,1,,109,53,53,895,14,14,14,4,4,2,14,5431,3,5431,23,16,14,5299,14,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,127,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '44.825'}, {'action_type': 'subscribe_total', 'value': '44.825'}]",4.112385,"[{'action_type': 'outbound_click', 'value': '4.112385'}]",4.112385,8.457547,0.500838,32.017857,0.082535,0.082535,19.48913,32.017857,0.084591,3.529528,33.376768,35.771287,0.945644,2025-12-08,2025-12-08,AVERAGE,1.071742,13430,0.811616,109,"[{'action_type': 'outbound_click', 'value': '109'}]","[{'action_type': 'outbound_click', 'value': '0.811616'}]",AVERAGE,12531,448.25,450,4,447,5026,2134,1144
,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-08,2025-12-08,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,5,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-08,2025-12-08,UNKNOWN,1,3,,,,,UNKNOWN,3,0.03,,2,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-08,2025-12-08,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916164484784,04 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-08,2025-12-08,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.22,0.22,,,0.22,,24.444444,27.5,0,2025-12-08,2025-12-08,UNKNOWN,1.125,9,,,,,UNKNOWN,8,0.22,,3,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-08,2025-12-08,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,1,16,1,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167868984,09 anomansollips,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,70,70,0,2025-12-08,2025-12-08,UNKNOWN,1,1,,,,,UNKNOWN,1,0.07,,8,,1,1,
14,985,3,,183,92,92,985,14,14,51,9,9,2,14,5348,6,5348,68,53,14,5097,14,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,207,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '34.836154'}, {'action_type': 'subscribe_total', 'value': '34.836154'}]",2.474699,"[{'action_type': 'outbound_click', 'value': '2.474699'}]",2.474699,4.9225,0.459767,32.347857,0.08468,0.08468,6.659853,32.347857,0.08885,2.187778,32.315542,33.573282,1.477094,2025-12-08,2025-12-08,AVERAGE,1.038921,14014,1.305837,183,"[{'action_type': 'outbound_click', 'value': '183'}]","[{'action_type': 'outbound_click', 'value': '1.305837'}]",BELOW_AVERAGE_35,13489,452.87,592,5,571,4674,2402,1513
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,32.5,32.5,0,2025-12-08,2025-12-08,UNKNOWN,1,4,,,,,UNKNOWN,4,0.13,,1,,,,
