action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,3,1,1,2,,,,1,,,,,179,,179,1,1,,175,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,3.880802,"[{'action_type': 'outbound_click', 'value': '3.880802'}]",3.880802,11.642407,5.821204,,,0.065041,0.065041,11.642407,,0.066528,3.880802,24.255016,24.356501,0.625,2025-12-13,2025-12-13,1.004184,480,0.625,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.625'}]",instagram,478,11.642407,14,3,14,166,64,30
,,,,1,,,,,,,,,,,,12,,12,,,,11,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.330068,"[{'action_type': 'outbound_click', 'value': '0.330068'}]",0.330068,,,,,0.027506,0.027506,,,0.030006,0.330068,13.752844,13.752844,4.166667,2025-12-13,2025-12-13,1,24,4.166667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.166667'}]",threads,24,0.330068,2,5,2,11,6,4
,,,,,,,,,,,,,,,,3,,3,,,,3,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.02,0.02,,,0.02,,7.5,15,0,2025-12-13,2025-12-13,2,8,,,,,audience_network,4,0.06,,3,,3,3,
,79,,,12,10,10,79,,,,4,,,,,381,,381,4,4,,365,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,12,"[{'action_type': 'subscribe_mobile_app', 'value': '24.71'}, {'action_type': 'subscribe_total', 'value': '24.71'}, {'action_type': 'start_trial_mobile_app', 'value': '8.236667'}, {'action_type': 'start_trial_total', 'value': '8.236667'}]",2.059167,"[{'action_type': 'outbound_click', 'value': '2.059167'}]",2.059167,2.471,0.312785,,,0.064856,0.064856,6.1775,,0.067699,2.059167,23.92062,25.291709,1.161665,2025-12-13,2025-12-13,1.057318,1033,1.161665,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.161665'}]",facebook,977,24.71,66,4,62,354,193,123
,5,,,3,,,5,,,,,,,,,71,,71,,,,68,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,2.76,"[{'action_type': 'outbound_click', 'value': '2.76'}]",2.76,,1.656,,,0.11662,0.11662,,,0.121765,2.76,24.352941,25.090909,0.882353,2025-12-13,2025-12-13,1.030303,340,0.882353,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.882353'}]",instagram,330,8.28,7,3,7,68,29,15
,,,,,,,,,,,,,,,,1,,1,,,,1,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,2,,,,,messenger,2,0,,3,,,,
,,,,,,,,,,,,,,,,48,,48,,,,48,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.039792,0.039792,,,0.039792,,19.895833,19.895833,0,2025-12-13,2025-12-13,1,96,,,,,threads,96,1.91,3,4,3,46,25,12
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.055,0.055,,,0.055,,15.714286,15.714286,0,2025-12-13,2025-12-13,1,7,,,,,facebook,7,0.11,,2,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.06,0.06,,,0.06,,10,10,0,2025-12-13,2025-12-13,1,6,,,,,facebook,6,0.06,,2,,1,1,
